Afghanistan,"0-14 years: 42% (male 6,793,832/female 6,579,388) 
      
      
        15-24 years: 22.2% (male 3,600,264/female 3,464,781) 
      
      
        25-54 years: 29.4% (male 4,771,323/female 4,586,963) 
      
      
        55-64 years: 3.9% (male 603,197/female 622,539) 
      
      
        65 years and over: 2.5% (male 371,753/female 428,808) (2014 est.)"
Albania,"0-14 years: 19.3% (male 307,275/female 274,634) 
      
      
        15-24 years: 19.2% (male 297,851/female 282,498) 
      
      
        25-54 years: 40% (male 574,820/female 633,729) 
      
      
        55-64 years: 10.5% (male 157,014/female 158,602) 
      
      
        65 years and over: 11.1% (male 157,143/female 176,643) (2014 est.)"
Algeria,"0-14 years: 28.4% (male 5,641,148/female 5,378,207) 
      
      
        15-24 years: 17.4% (male 3,451,069/female 3,291,166) 
      
      
        25-54 years: 42.8% (male 8,398,770/female 8,209,634) 
      
      
        55-64 years: 6.2% (male 1,230,865/female 1,186,832) 
      
      
        65 years and over: 5.2% (male 931,769/female 1,094,262) (2014 est.)"
American Samoa,"0-14 years: 24.9% (male 6,671/female 6,917) 
      
      
        15-24 years: 20.2% (male 5,468/female 5,565) 
      
      
        25-54 years: 41.7% (male 11,694/female 11,056) 
      
      
        55-64 years: 8.2% (male 2,211/female 2,260) 
      
      
        65 years and over: 4.9% (male 1,234/female 1,441) (2014 est.)"
Andorra,"0-14 years: 15.3% (male 6,708/female 6,379) 
      
      
        15-24 years: 9.2% (male 4,078/female 3,766) 
      
      
        25-54 years: 48.7% (male 21,395/female 20,231) 
      
      
        55-64 years: 12.5% (male 5,756/female 4,957) 
      
      
        65 years and over: 14.3% (male 6,145/female 6,043) (2014 est.)"
Angola,"0-14 years: 43.2% (male 4,206,929/female 4,043,618) 
      
      
        15-24 years: 20.5% (male 1,992,955/female 1,923,932) 
      
      
        25-54 years: 29.3% (male 2,822,164/female 2,777,147) 
      
      
        55-64 years: 4% (male 370,181/female 389,885) 
      
      
        65 years and over: 2.9% (male 259,637/female 301,658) (2014 est.)"
Anguilla,"0-14 years: 23.3% (male 1,918/female 1,826) 
      
      
        15-24 years: 14.1% (male 1,123/female 1,144) 
      
      
        25-54 years: 45% (male 3,269/female 3,965) 
      
      
        55-64 years: 9.4% (male 744/female 763) 
      
      
        65 years and over: 8.3% (male 658/female 676) (2014 est.)"
Antigua and Barbuda,"0-14 years: 24.3% (male 11,289/female 10,932) 
      
      
        15-24 years: 16.8% (male 7,588/female 7,723) 
      
      
        25-54 years: 42.6% (male 17,789/female 21,137) 
      
      
        55-64 years: 8.9% (male 3,694/female 4,441) 
      
      
        65 years and over: 7.3% (male 2,886/female 3,816) (2014 est.)"
Argentina,"0-14 years: 24.9% (male 5,486,989/female 5,233,968) 
      
      
        15-24 years: 15.7% (male 3,445,086/female 3,301,168) 
      
      
        25-54 years: 38.9% (male 8,345,893/female 8,391,445) 
      
      
        55-64 years: 9.1% (male 1,895,965/female 2,017,330) 
      
      
        65 years and over: 11.4% (male 2,036,545/female 2,869,985) (2014 est.)"
Armenia,"0-14 years: 19.1% (male 312,955/female 272,065) 
      
      
        15-24 years: 15.2% (male 236,317/female 228,943) 
      
      
        25-54 years: 43.5% (male 638,141/female 693,397) 
      
      
        55-64 years: 11.7% (male 161,102/female 195,714) 
      
      
        65 years and over: 10.5% (male 128,568/female 193,429) (2014 est.)"
Aruba,"0-14 years: 17.8% (male 9,852/female 9,797) 
      
      
        15-24 years: 13.5% (male 7,469/female 7,427) 
      
      
        25-54 years: 43% (male 22,981/female 24,615) 
      
      
        55-64 years: 13.5% (male 6,804/female 8,093) 
      
      
        65 years and over: 12.3% (male 5,346/female 8,279) (2014 est.)"
