Afghanistan,"total: 23 
      
      
        over 3,047 m: 4 
      
      
        2,438 to 3,047 m: 4 
      
      
        1,524 to 2,437 m: 11 
      
      
        914 to 1,523 m: 2 
      
      
        under 914 m: 2 (2013)"
Albania,"total: 4 
      
      
        2,438 to 3,047 m: 3 
      
      
        1,524 to 2,437 m: 1 (2013)"
Algeria,"total: 64 
      
      
        over 3,047 m: 12 
      
      
        2,438 to 3,047 m: 29 
      
      
        1,524 to 2,437 m: 17 
      
      
        914 to 1,523 m: 5 
      
      
        under 914 m: 1 (2013)"
American Samoa,"total: 3 
      
      
        over 3,047 m: 1 
      
      
        914 to 1,523 m: 1 
      
      
        under 914 m: 1 (2013)"
Angola,"total: 31 
      
      
        over 3,047 m: 7 
      
      
        2,438 to 3,047 m: 8 
      
      
        1,524 to 2,437 m: 12 
      
      
        914 to 1,523 m: 4 (2013)"
Anguilla,"total: 1 
      
      
        1,524 to 2,437 m: 1 (2013)"
Antigua and Barbuda,"total: 2 
      
      
        2,438 to 3,047 m: 1 
      
      
        under 914 m: 1 (2013)"
Argentina,"total: 161 
      
      
        over 3,047 m: 4 
      
      
        2,438 to 3,047 m: 29 
      
      
        1,524 to 2,437 m: 65 
      
      
        914 to 1,523 m: 53 
      
      
        under 914 m: 10 (2013)"
Armenia,"total: 10 
      
      
        over 3,047 m: 2 
      
      
        2,438 to 3,047 m: 2 
      
      
        1,524 to 2,437 m: 4 
      
      
        914 to 1,523 m: 2 (2013)"
Aruba,"total: 1 
      
      
        2,438 to 3,047 m: 1 (2013)"
Australia,"total: 349 
      
      
        over 3,047 m: 11 
      
      
        2,438 to 3,047 m: 14 
      
      
        1,524 to 2,437 m: 155 
      
      
        914 to 1,523 m: 155 
      
      
        under 914 m: 14 (2013)"
Austria,"total: 24 
      
      
        over 3,047 m: 1 
      
      
        2,438 to 3,047 m: 5 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 4 
      
      
        under 914 m: 13 (2013)"
Azerbaijan,"total: 30 
      
      
        over 3,047 m: 5 
      
      
        2,438 to 3,047 m: 5 
      
      
        1,524 to 2,437 m: 13 
      
      
        914 to 1,523 m: 4 
      
      
        under 914 m: 3 (2013)"
"Bahamas, The","total: 24 
      
      
        over 3,047 m: 2 
      
      
        2,438 to 3,047 m: 2 
      
      
        1,524 to 2,437 m: 13 
      
      
        914 to 1,523 m: 7 (2013)"
Bahrain,"total: 4 
      
      
        over 3,047 m: 3 
      
      
        914 to 1,523 m: 1 (2013)"
Bangladesh,"total: 16 
      
      
        over 3,047 m: 2 
      
      
        2,438 to 3,047 m: 2 
      
      
        1,524 to 2,437 m: 6 
      
      
        914 to 1,523 m: 1 
      
      
        under 914 m: 5 (2013)"
Barbados,"total: 1 
      
      
        over 3,047 m: 1 (2013)"
