Afghanistan,"total: 29 
      
      
        2,438 to 3,047 m: 4 
      
      
        1,524 to 2,437 m: 13 
      
      
        914 to 1,523 m: 6 
      
      
        under 914 m: 
      
      6 (2013)"
Albania,"total: 1 
      
      
        914 to 1,523 m: 1 (2012)"
Algeria,"total: 93 
      
      
        2,438 to 3,047 m: 2 
      
      
        1,524 to 2,437 m: 18 
      
      
        914 to 1,523 m: 39 
      
      
        under 914 m: 
      
      34 (2013)"
Angola,"total: 145 
      
      
        over 3,047 m: 2 
      
      
        2,438 to 3,047 m: 3 
      
      
        1,524 to 2,437 m: 31 
      
      
        914 to 1,523 m: 66 
      
      
        under 914 m: 
      
      43 (2013)"
Anguilla,"total: 1 
      
      
        under 914 m: 
      
      1 (2013)"
Antarctica,"total: 23 
      
      
        over 3,047 m: 3 
      
      
        2,438 to 3,047 m: 5 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 8 
      
      
        under 914 m: 
      
      6 (2013)"
Antigua and Barbuda,"total: 1 
      
      
        under 914 m: 
      
      1 (2013)"
Argentina,"total: 977 
      
      
        over 3,047 m: 1 
      
      
        2,438 to 3,047 m: 1 
      
      
        1,524 to 2,437 m: 43 
      
      
        914 to 1,523 m: 484 
      
      
        under 914 m: 
      
      448 (2013)"
Armenia,"total: 1 
      
      
        914 to 1,523 m: 1 (2013)"
Australia,"total: 131 
      
      
        1,524 to 2,437 m: 16 
      
      
        914 to 1,523 m: 101 
      
      
        under 914 m: 
      
      14 (2013)"
Austria,"total: 28 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 3 
      
      
        under 914 m: 
      
      24 (2013)"
Azerbaijan,"total: 7 
      
      
        under 914 m: 
      
      7 (2013)"
"Bahamas, The","total: 37 
      
      
        1,524 to 2,437 m: 4 
      
      
        914 to 1,523 m: 16 
      
      
        under 914 m: 
      
      17 (2013)"
Bangladesh,"total: 2 
      
      
        1,524 to 2,437 m: 1 
      
      
        under 914 m: 
      
      1 (2013)"
Belarus,"total: 32 
      
      
        over 3,047 m: 1 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 2 
      
      
        under 914 m: 
      
      28 (2013)"
Belgium,"total: 15 
      
      
        under 914 m: 
      
      15 (2013)"
Belize,"total: 41 
      
      
        2,438 to 3,047 m: 1 
      
      
        914 to 1,523 m: 11 
      
      
        under 914 m: 
      
      29 (2013)"
Benin,"total: 5 
      
      
        2,438 to 3,047 m: 2 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 2 (2013)"
Bhutan,"total: 1 
      
      
        914 to 1,523 m: 1 (2012)"
Bolivia,"total: 834 
      
      
        over 3,047 m: 1 
      
      
        2,438 to 3,047 m: 4 
      
      
        1,524 to 2,437 m: 47 
      
      
        914 to 1,523 m: 151 
      
      
        under 914 m: 
      
      631 (2013)"
Bosnia and Herzegovina,"total: 17 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 5 
      
      
        under 914 m: 
      
      11 (2013)"
Botswana,"total: 64 
      
      
        1,524 to 2,437 m: 5 
      
      
        914 to 1,523 m: 46 
      
      
        under 914 m: 
      
      13 (2013)"
Brazil,"total: 3,395 
      
      
        1,524 to 2,437 m: 92 
      
      
        914 to 1,523 m: 1,619 
      
      
        under 914 m: 
      
      1,684 (2013)"
British Virgin Islands,"total: 2 
      
      
        914 to 1,523 m: 2 (2013)"
Bulgaria,"total: 11 
      
      
        914 to 1,523 m: 2 
      
      
        under 914 m: 
      
      9 (2013)"
Burkina Faso,"total: 21 
      
      
        1,524 to 2,437 m: 3 
      
      
        914 to 1,523 m: 13 
      
      
        under 914 m: 
      
      5 (2013)"
Burma,"total: 28 
      
      
        over 3,047 m: 1 
      
      
        1,524 to 2,437 m: 4 
      
      
        914 to 1,523 m: 10 
      
      
        under 914 m: 
      
      13 (2013)"
Burundi,"total: 6 
      
      
        914 to 1,523 m: 4 
      
      
        under 914 m: 
      
      2 (2013)"
Cambodia,"total: 10 
      
      
        1,524 to 2,437 m: 2 
      
      
        914 to 1,523 m: 7 
      
      
        under 914 m: 
      
      1 (2013)"
Cameroon,"total: 22 
      
      
        1,524 to 2,437 m: 4 
      
      
        914 to 1,523 m: 10 
      
      
        under 914 m: 
      
      8 (2013)"
Canada,"total: 944 
      
      
        1,524 to 2,437 m: 75 
      
      
        914 to 1,523 m: 385 
      
      
        under 914 m: 
      
      484 (2013)"
Cayman Islands,"total: 1 
      
      
        914 to 1,523 m: 1 (2012)"
Central African Republic,"total: 37 
      
      
        2,438 to 3,047 m: 1 
      
      
        1,524 to 2,437 m: 11 
      
      
        914 to 1,523 m: 19 
      
      
        under 914 m: 
      
      6 (2013)"
Chad,"total: 50 
      
      
        over 3,047 m: 1 
      
      
        2,438 to 3,047 m: 2 
      
      
        1,524 to 2,437 m: 14 
      
      
        914 to 1,523 m: 22 
      
      
        under 914 m: 
      
      11 (2013)"
Chile,"total: 391 
      
      
        2,438 to 3,047 m: 5 
      
      
        1,524 to 2,437 m: 11 
      
      
        914 to 1,523 m: 56 
      
      
        under 914 m: 
      
      319 (2013)"
China,"total: 44 
      
      
        over 3,047 m: 4 
      
      
        2,438 to 3,047 m: 7 
      
      
        1,524 to 2,437 m: 6 
      
      
        914 to 1,523 m: 9 
      
      
        under 914 m: 
      
      18 (2013)"
Colombia,"total: 715 
      
      
        over 3,047 m: 1 
      
      
        1,524 to 2,437 m: 25 
      
      
        914 to 1,523 m: 201 
      
      
        under 914 m: 
      
      488 (2013)"
"Congo, Democratic Republic of the","total: 172 
      
      
        1,524 to 2,437 m: 20 
      
      
        914 to 1,523 m: 87 
      
      
        under 914 m: 
      
      65 (2013)"
"Congo, Republic of the","total: 19 
      
      
        1,524 to 2,437 m: 8 
      
      
        914 to 1,523 m: 9 
      
      
        under 914 m: 
      
      2 (2013)"
Cook Islands,"total: 10 
      
      
        1,524 to 2,437 m: 2 
      
      
        914 to 1,523 m: 7 
      
      
        under 914 m: 
      
      1 (2013)"
Costa Rica,"total: 114 
      
      
        914 to 1,523 m: 18 
      
      
        under 914 m: 
      
      96 (2013)"
Cote d'Ivoire,"total: 20 
      
      
        1,524 to 2,437 m: 6 
      
      
        914 to 1,523 m: 11 
      
      
        under 914 m: 
      
      3 (2013)"
Croatia,"total: 45 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 6 
      
      
        under 914 m: 
      
      38 (2013)"
Cuba,"total: 69 
      
      
        914 to 1,523 m: 11 
      
      
        under 914 m: 
      
      58 (2013)"
Cyprus,"total: 2 
      
      
        under 914 m: 
      
      2 (2013)"
Czech Republic,"total: 87 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 25 
      
      
        under 914 m: 
      
      61 (2013)"
Denmark,"total: 52 
      
      
        914 to 1,523 m: 5 
      
      
        under 914 m: 
      
      47 (2013)"
Djibouti,"total: 10 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 7 
      
      
        under 914 m: 
      
      2 (2013)"
Dominican Republic,"total: 20 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 1 
      
      
        under 914 m: 
      
      18 (2013)"
Ecuador,"total: 328 
      
      
        914 to 1,523 m: 37 
      
      
        under 914 m: 
      
      291 (2013)"
Egypt,"total: 11 
      
      
        2,438 to 3,047 m: 1 
      
      
        1,524 to 2,437 m: 3 
      
      
        914 to 1,523 m: 4 
      
      
        under 914 m: 
      
      3 (2013)"
El Salvador,"total: 63 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 11 
      
      
        under 914 m: 
      
      51 (2013)"
Equatorial Guinea,"total: 1 
      
      
        2,438 to 3,047 m: 1 (2013)"
Eritrea,"total: 9 
      
      
        over 3,047 m: 1 
      
      
        2,438 to 3,047 m: 1 
      
      
        1,524 to 2,437 m: 5 
      
      
        914 to 1,523 m: 2 (2013)"
Estonia,"total: 5 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 1 
      
      
        under 914 m: 
      
      3 (2013)"
Ethiopia,"total: 40 
      
      
        2,438 to 3,047 m: 3 
      
      
        1,524 to 2,437 m: 9 
      
      
        914 to 1,523 m: 20 
      
      
        under 914 m: 
      
      8 (2013)"
European Union,"total: 1,244 
      
      
        over 3,047 m: 1 
      
      
        2,437 to 3,047 m: 1 
      
      
        1,524 to 2,437 m: 15 
      
      
        914 to 1,523 m: 245 
      
      
        under 914 m: 982 (2013)"
Falkland Islands (Islas Malvinas),"total: 5 
      
      
        under 914 m: 
      
      5 (2013)"
Fiji,"total: 24 
      
      
        914 to 1,523 m: 5 
      
      
        under 914 m: 
      
      19 (2013)"
Finland,"total: 74 
      
      
        914 to 1,523 m: 3 
      
      
        under 914 m: 
      
      71 (2013)"
France,"total: 170 
      
      
        1,524 to 2,437 m: 1 
      
      
        914 to 1,523 m: 64 
      
      
        under 914 m: 
      
      105 (2013)"
French Polynesia,"total: 9 
      
      
        914 to 1,523 m: 4 
      
      
        under 914 m: 
      
      5 (2013)"
