Afghanistan,"revenues: $2.333 billion 
      
      
        expenditures: $4.122 billion (2012 est.)"
Albania,"revenues: $3.074 billion 
      
      
        expenditures: $3.858 billion (2013 est.)"
Algeria,"revenues: $80.55 billion 
      
      
        expenditures: $85.58 billion (2013 est.)"
American Samoa,"revenues: $155.4 million 
      
      
        expenditures: $183.6 million (2007 est.)"
Andorra,"revenues: $1.029 billion 
      
      
        expenditures: $1.041 billion (2012)"
Angola,"revenues: $52.75 billion 
      
      
        expenditures: $48.48 billion (2013 est.)"
Anguilla,"revenues: $69.52 million 
      
      
        expenditures: $78.37 million (2012 est.)"
Antigua and Barbuda,"revenues: $239.5 million 
      
      
        expenditures: $248.7 million (2012 est.)"
Argentina,"revenues: $129.6 billion 
      
      
        expenditures: $145.3 billion (2013 est.)"
Armenia,"revenues: $2.677 billion 
      
      
        expenditures: $2.707 billion (2013 est.)"
Aruba,"revenues: $625.1 million 
      
      
        expenditures: $813.9 million (2013 est.)"
Australia,"revenues: $494.3 billion 
      
      
        expenditures: $514.4 billion (2013 est.)"
Austria,"revenues: $200 billion 
      
      
        expenditures: $212.1 billion (2013 est.)"
Azerbaijan,"revenues: $27.61 billion 
      
      
        expenditures: $27.24 billion (2013 est.)"
"Bahamas, The","revenues: $1.41 billion 
      
      
        expenditures: $2.1 billion (2012 est.)"
Bahrain,"revenues: $8.143 billion 
      
      
        expenditures: $9.232 billion (2013 est.)"
Bangladesh,"revenues: $17.19 billion 
      
      
        expenditures: $24.02 billion (2013 est.)"
Barbados,"revenues: $1.15 billion (2013 est.) 
      
      
        expenditures: $1.45 billion (2013 est.)"
Belarus,"revenues: $26.68 billion 
      
      
        expenditures: $26.79 billion (2013 est.)"
Belgium,"revenues: $241.9 billion 
      
      
        expenditures: $258.2 billion (2013 est.)"
Belize,"revenues: $410.1 million 
      
      
        expenditures: $352.4 million (2013 est.)"
Benin,"revenues: $1.712 billion 
      
      
        expenditures: $1.825 billion (2013 est.)"
Bermuda,"revenues: $973.2 million 
      
      
        expenditures: $1.115 billion (FY11/12)"
Bhutan,"revenues: $588.2 million 
      
      
        expenditures: $639.5 million 
      
      
        note: the government of India finances nearly one-quarter of Bhutan's budget expenditures (2013 est.)"
Bolivia,"revenues: $15.16 billion 
      
      
        expenditures: $15.13 billion (2013 est.)"
Bosnia and Herzegovina,"revenues: $7.691 billion 
      
      
        expenditures: $7.497 billion (2013 est.)"
Botswana,"revenues: $5.04 billion 
      
      
        expenditures: $4.952 billion (2013 est.)"
Brazil,"revenues: $851.1 billion 
      
      
        expenditures: $815.6 billion (2013 est.)"
British Virgin Islands,"revenues: $300 million 
      
      
        expenditures: $300 million (2013 est.)"
Brunei,"revenues: $6.992 billion 
      
      
        expenditures: $5.366 billion (2013 est.)"
Bulgaria,"revenues: $18.81 billion 
      
      
        expenditures: $20.12 billion (2013 est.)"
Burkina Faso,"revenues: $2.838 billion 
      
      
        expenditures: $3.228 billion (2013 est.)"
Burma,"revenues: $2.413 billion 
      
      
        expenditures: $4.443 billion (2013 est.)"
Burundi,"revenues: $766.9 million 
      
      
        expenditures: $855.8 million (2013 est.)"
Cabo Verde,"revenues: $414.6 million 
      
      
        expenditures: $607 million (2013 est.)"
Cambodia,"revenues: $2.685 billion 
      
      
        expenditures: $3.1 billion (2013 est.)"
Cameroon,"revenues: $5.089 billion 
      
      
        expenditures: $6.28 billion (2013 est.)"
Canada,"revenues: $687.8 billion 
      
      
        expenditures: $740.8 billion (2013 est.)"
Cayman Islands,"revenues: $700.5 million 
      
      
        expenditures: $757.5 million (2013 est.)"
Central African Republic,"revenues: $186.2 million 
      
      
        expenditures: $270.7 million (2013 est.)"
Chad,"revenues: $2.753 billion 
      
      
        expenditures: $3.557 billion (2013 est.)"
Chile,"revenues: $58.49 billion 
      
      
        expenditures: $61.26 billion (2013 est.)"
China,"revenues: $2.118 trillion 
      
      
        expenditures: $2.292 trillion (2013 est.)"
Christmas Island,"revenues: $NA 
      
      
        expenditures: $NA"
Cocos (Keeling) Islands,"revenues: $NA 
      
      
        expenditures: $NA"
Colombia,"revenues: $107.4 billion 
      
      
        expenditures: $106 billion (2013 est.)"
Comoros,"revenues: $170.1 million 
      
      
        expenditures: $167.4 million (2013 est.)"
"Congo, Democratic Republic of the","revenues: $5.817 billion 
      
      
        expenditures: $6.472 billion (2013 est.)"
"Congo, Republic of the","revenues: $6.608 billion 
      
      
        expenditures: $4.618 billion (2013 est.)"
Cook Islands,"revenues: $70.95 million 
      
      
        expenditures: $69.05 million (FY05/06)"
Costa Rica,"revenues: $7.197 billion 
      
      
        expenditures: $9.621 billion (2013 est.)"
Cote d'Ivoire,"revenues: $5.7 billion 
      
      
        expenditures: $6.665 billion (2013 est.)"
Croatia,"revenues: $17.87 billion 
      
      
        expenditures: $20.43 billion (2013 est.)"
