Afghanistan,-8.7% of GDP (2012 est.)
Albania,-6.1% of GDP (2013 est.)
Algeria,-2.3% of GDP (2013 est.)
American Samoa,-6.1% of GDP (2007)
Andorra,-0.3% of GDP (2012)
Angola,3.4% of GDP (2013 est.)
Anguilla,-5% of GDP (2012 est.)
Antigua and Barbuda,-0.8% of GDP (2012 est.)
Argentina,-3.2% of GDP (2013 est.)
Armenia,-0.3% of GDP (2013 est.)
Aruba,-7.5% of GDP (2013 est.)
Australia,-1.3% of GDP (2013 est.)
Austria,-2.9% of GDP (2013 est.)
Azerbaijan,0.5% of GDP (2013 est.)
"Bahamas, The",-8.2% of GDP (2012 est.)
Bahrain,-3.8% of GDP (2013 est.)
Bangladesh,-4.9% of GDP (2013 est.)
Barbados,-7% of GDP (2013 est.)
Belarus,-0.2% of GDP (2013 est.)
Belgium,-3.2% of GDP (2013 est.)
Belize,3.5% of GDP (2013 est.)
Benin,-1.3% of GDP (2013 est.)
Bermuda,-2.5% of GDP (FY11/12 est.)
Bhutan,-2.4% of GDP (2013 est.)
Bolivia,0.1% of GDP (2013 est.)
Bosnia and Herzegovina,1% of GDP (2013 est.)
Botswana,0.6% of GDP (2013 est.)
Brazil,1.6% of GDP (2013 est.)
British Virgin Islands,0% of GDP (2013 est.)
Brunei,9.8% of GDP (2013 est.)
Bulgaria,-2.4% of GDP (2013 est.)
Burkina Faso,-3.2% of GDP (2013 est.)
Burma,-3.4% of GDP (2013 est.)
Burundi,-3.3% of GDP (2013 est.)
Cabo Verde,-9.8% of GDP (2013 est.)
Cambodia,-2.7% of GDP (2013 est.)
Cameroon,-4.3% of GDP (2013 est.)
Canada,-2.9% of GDP (2013 est.)
Cayman Islands,-2.5% of GDP (2013 est.)
Central African Republic,-4.1% of GDP (2013 est.)
Chad,-5.9% of GDP (2013 est.)
Chile,-1% of GDP (2013 est.)
China,-2.1% of GDP (2013 est.)
Colombia,0.4% of GDP (2012 est.)
Comoros,0.4% of GDP (2013 est.)
"Congo, Democratic Republic of the",-3.5% of GDP (2013 est.)
"Congo, Republic of the",14% of GDP (2013 est.)
Cook Islands,1% of GDP (FY05/06)
Costa Rica,-5% of GDP (2013 est.)
Cote d'Ivoire,-3.4% of GDP (2013 est.)
Croatia,-4.4% of GDP (2013 est.)
