Afghanistan,"name: Kabul 
      
      
        geographic coordinates: 34 31 N, 69 11 E 
      
      
        time difference: UTC+4.5 (9.5 hours ahead of Washington, DC, during Standard Time)"
Akrotiri,"name: Episkopi Cantonment (base administrative center for Akrotiri and Dhekelia) 
      
      
        geographic coordinates: 34 40 N, 32 51 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Albania,"name: Tirana (Tirane) 
      
      
        geographic coordinates: 41 19 N, 19 49 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Algeria,"name: Algiers 
      
      
        geographic coordinates: 36 45 N, 3 03 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
American Samoa,"name: Pago Pago 
      
      
        geographic coordinates: 14 16 S, 170 42 W 
      
      
        time difference: UTC-11 (6 hours behind Washington, DC, during Standard Time)"
Andorra,"name: Andorra la Vella 
      
      
        geographic coordinates: 42 30 N, 1 31 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Angola,"name: Luanda 
      
      
        geographic coordinates: 8 50 S, 13 13 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time)"
Anguilla,"name: The Valley 
      
      
        geographic coordinates: 18 13 N, 63 03 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Antigua and Barbuda,"name: Saint John's 
      
      
        geographic coordinates: 17 07 N, 61 51 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Argentina,"name: Buenos Aires 
      
      
        geographic coordinates: 34 35 S, 58 40 W 
      
      
        time difference: UTC-3 (2 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: none scheduled for 2014"
Armenia,"name: Yerevan 
      
      
        geographic coordinates: 40 10 N, 44 30 E 
      
      
        time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time)"
Aruba,"name: Oranjestad 
      
      
        geographic coordinates: 12 31 N, 70 02 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Australia,"name: Canberra 
      
      
        geographic coordinates: 35 16 S, 149 08 E 
      
      
        time difference: UTC+10 (15 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins first Sunday in October; ends first Sunday in April 
      
      
        note: Australia has three time zones"
Austria,"name: Vienna 
      
      
        geographic coordinates: 48 12 N, 16 22 E 
      
      
        time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
Azerbaijan,"name: Baku (Baki, Baky) 
      
      
        geographic coordinates: 40 23 N, 49 52 E 
      
      
        time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October"
"Bahamas, The","name: Nassau 
      
      
        geographic coordinates: 25 05 N, 77 21 W 
      
      
        time difference: UTC-5 (same time as Washington, DC, during Standard Time) 
      
      
        daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November"
Bahrain,"name: Manama 
      
      
        geographic coordinates: 26 14 N, 50 34 E 
      
      
        time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time)"
Bangladesh,"name: Dhaka 
      
      
        geographic coordinates: 23 43 N, 90 24 E 
      
      
        time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time)"
Barbados,"name: Bridgetown 
      
      
        geographic coordinates: 13 06 N, 59 37 W 
      
      
        time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time)"
Belarus,"name: Minsk 
      
      
        geographic coordinates: 53 54 N, 27 34 E 
      
      
        time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time)"
