Albania,"$NA (31 December  2013 est.) 
      
      4% (31 December 2012 est.)"
Algeria,"4% (31 December 2010 est.) 
      
      4% (31 December 2009 est.)"
Angola,"$NA (31 December 2010 est.) 
      
      30% (31 December 2009 est.)"
Anguilla,"6.5% (31 December 2010 est.) 
      
      6.5% (31 December 2009 est.)"
Antigua and Barbuda,"6.5% (31 December 2010 est.) 
      
      6.5% (31 December 2009 est.)"
Argentina,NA%
Armenia,"$NA (11 January 2012) 
      
      7.25% (2 December 2008) 
      
      
        note: this is the Refinancing Rate, the key monetary policy instrument of the Armenian National Bank"
Aruba,"1% (31 December 2010 est.) 
      
      3% (31 December 2009 est.)"
Australia,"3% (February 2013 est.) 
      
      4.35% (31 December 2010 est.) 
      
      
        note: this is the Reserve Bank of Australia's ""cash rate target,"" or policy rate"
Azerbaijan,"5% (31 December 2012 est.) 
      
      5.25% (31 December 2011 est.) 
      
      
        note: this is the Refinancing Rate, the key policy rate for the National Bank of Azerbaijan"
"Bahamas, The","4.5% (1 January 2014 est.) 
      
      4.5% (31 December 2012 est.)"
Bangladesh,"5% (31 December 2010 est.) 
      
      5% (31 December 2009 est.)"
Barbados,"7% (31 December 2010 est.) 
      
      7% (31 December 2009 est.)"
Belarus,"10.5% (31 December 2010 est.) 
      
      13.5% (31 December 2009 est.)"
Belgium,"0.75% (31 December 2013) 
      
      1.5% (31 December 2010) 
      
      
        note: this is the European Central Bank's rate on the marginal lending facility, which offers overnight credit to banks in the euro area"
Belize,"18% (31 December 2010 est.) 
      
      12% (31 December 2009 est.)"
Benin,"4.25% (31 December 2010 est.) 
      
      4.25% (31 December 2009 est.)"
Bhutan,NA%
Bolivia,"4.5% (31 December 2013 est.) 
      
      4% (31 december 2012 est.)"
Botswana,"9.5% (31 December 2010 est.) 
      
      10% (31 December 2009 est.)"
Brazil,"10% (31 December 2013 est.) 
      
      11% (31 December 2011 est.)"
Bulgaria,"$NA (31 December 2012 est.) 
      
      0.22% (31 December 2011 est.) 
      
      
        note: Bulgarian National Bank (BNB) has had no independent monetary policy since the introduction of the Currency Board regime in 1997; this is BNB's base interest rate"
Burkina Faso,"4.25% (31 December 2010 est.) 
      
      4.25% (31 December 2009 est.)"
Burma,"9.95% (31 December 2010 est.) 
      
      12% (31 December 2009 est.)"
