Afghanistan,"total number: 3,252,243 
      
      
        percentage: 25 % 
      
      
        note: data on child labor in Afghanistan is uncertain and may be higher than the estimated 25% of children ages 5-14 derived from 2011 survey results; UNICEF estimated that 30% of children ages 5-14 in 2011 were engaged in child labor (2008 est.)"
Albania,"total number: 72,818 
      
      
        percentage: 12 % (2005 est.)"
Algeria,"total number: 304,358 
      
      
        percentage: 5 % (2006 est.)"
Angola,"total number: 832,895 
      
      
        percentage: 24 % (2001 est.)"
Argentina,"total number: 435,252 
      
      
        percentage: 7 % 
      
      
        note: data represents children ages 5-13 (2003 est.)"
Armenia,"total number: 19,596 
      
      
        percentage: 4 % 
      
      
        note: data represents children ages 7-17 (2007 est.)"
Azerbaijan,"total number: 106,626 
      
      
        percentage: 7 % (2005 est.)"
Bahrain,"total number: 5,530 
      
      
        percentage: 5 % (2000 est.)"
Bangladesh,"total number: 4,485,497 
      
      
        percentage: 13 % (2006 est.)"
Belarus,"total number: 54,218 
      
      
        percentage: 5 % (2005 est.)"
Belize,"total number: 27,751 
      
      
        percentage: 40 % (2001 est.)"
Benin,"total number: 1,020,981 
      
      
        percentage: 46 % (2006 est.)"
Bhutan,"total number: 25,801 
      
      
        percentage: 18 % (2010 est.)"
Bolivia,"total number: 553,323 
      
      
        percentage: 26 % 
      
      
        note: data represents children ages 5-13 (2008 est.)"
Bosnia and Herzegovina,"total number: 24,722 
      
      
        percentage: 5 % (2006 est.)"
Botswana,"total number: 45,036 
      
      
        percentage: 9 % 
      
      
        note: data represents children ages 7-17 (2006 est.)"
Brazil,"total number: 959,942 
      
      
        percentage: 3 % 
      
      
        note: data represents children ages 5-13 (2009 est.)"
Burkina Faso,"total number: 1,521,006 
      
      
        percentage: 38 % (2006 est.)"
Burundi,"total number: 433,187 
      
      
        percentage: 19 % (2005 est.)"
Cabo Verde,"total number: 1,948 
      
      
        percentage: 3 % 
      
      
        note: data represents children ages 10-14 (2001 est.)"
Cambodia,"total number: 1,345,269 
      
      
        percentage: 39 % (2001 est.)"
Cameroon,"total number: 1,396,281 
      
      
        percentage: 31 % (2006 est.)"
Central African Republic,"total number: 532,518 
      
      
        percentage: 47 % (2006 est.)"
Chad,"total number: 1,475,960 
      
      
        percentage: 48 % (2010 est.)"
Chile,"total number: 82,882 
      
      
        percentage: 3 % (2003 est.)"
Colombia,"total number: 988,362 
      
      
        percentage: 9 % 
      
      
        note: data represents children ages 5-17 (2009 est.)"
