Afghanistan,32.9% (2004)
Albania,6.3% (2009)
Algeria,3.7% (2005)
Angola,15.6% (2007)
Argentina,2.3% (2005)
Armenia,5.3% (2010)
Australia,0.2% (2007)
Azerbaijan,8.4% (2006)
Bangladesh,36.8% (2011)
Belarus,1.3% (2005)
Belize,6.2% (2011)
Benin,20.2% (2006)
Bhutan,12.8% (2010)
Bolivia,4.5% (2008)
Bosnia and Herzegovina,1.5% (2012)
Botswana,11.2% (2008)
Brazil,2.2% (2007)
Bulgaria,1.6% (2004)
Burkina Faso,26.2% (2010)
Burma,22.6% (2010)
Burundi,29.1% (2011)
Cambodia,29% (2011)
Cameroon,15.1% (2011)
Central African Republic,28% (2006)
Chad,33.9% (2004)
Chile,0.5% (2008)
China,3.4% (2010)
Colombia,3.4% (2010)
Comoros,25% (2000)
"Congo, Democratic Republic of the",28.2% (2007)
"Congo, Republic of the",11.8% (2005)
Costa Rica,1.1% (2009)
Cote d'Ivoire,29.4% (2007)
Cuba,3.4% (2000)
Czech Republic,2% (2007)
Djibouti,29.8% (2012)
Dominican Republic,3.4% (2007)
Ecuador,6.2% (2004)
Egypt,6.8% (2008)
El Salvador,6.6% (2008)
Equatorial Guinea,10.6% (2004)
Eritrea,34.5% (2002)
Ethiopia,29.2% (2011)
Fiji,5.3% (2004)
Gabon,6.5% (2012)
"Gambia, The",15.8% (2006)
Georgia,1.1% (2009)
Germany,1.1% (2006)
Ghana,14.3% (2008)
Guatemala,13% (2009)
Guinea,16.3% (2012)
Guinea-Bissau,16.6% (2008)
Guyana,11.1% (2009)
Haiti,18.9% (2006)
Honduras,8.6% (2006)
India,43.5% (2006)
Indonesia,18.6% (2010)
Iran,4.6% (2004)
Iraq,7.1% (2006)
Jamaica,3.2% (2010)
Jordan,1.9% (2009)
Kazakhstan,3.7% (2011)
Kenya,16.4% (2009)
"Korea, North",18.8% (2009)
Kuwait,2.2% (2012)
Kyrgyzstan,2.7% (2006)
Laos,31.6% (2006)
Lebanon,4.2% (2004)
Lesotho,13.5% (2010)
Liberia,20.4% (2007)
Libya,5.6% (2007)
Macedonia,1.8% (2005)
Madagascar,36.8% (2004)
Malawi,13.8% (2010)
Malaysia,12.9% (2006)
Maldives,17.8% (2009)
Mali,27.9% (2006)
Mauritania,19.5% (2012)
Mexico,2.8% (2012)
Moldova,3.2% (2005)
Mongolia,5.3% (2005)
Montenegro,2.2% (2006)
Morocco,3.1% (2011)
Mozambique,15.6% (2011)
Namibia,17.5% (2007)
Nauru,4.8% (2007)
Nepal,29.1% (2011)
Nicaragua,5.7% (2007)
Niger,39.9% (2006)
Nigeria,24.4% (2011)
Oman,8.6% (2009)
Pakistan,30.9% (2011)
Panama,3.9% (2008)
Papua New Guinea,18.1% (2005)
Paraguay,3.4% (2005)
Peru,4.5% (2008)
Philippines,20.2% (2011)
Romania,3.5% (2002)
Rwanda,11.7% (2011)
Sao Tome and Principe,14.4% (2009)
Saudi Arabia,5.3% (2005)
Senegal,14.4% (2012)
Serbia,1.6% (2010)
Sierra Leone,18.6% (2010)
Singapore,3.3% (2000)
Solomon Islands,11.5% (2007)
Somalia,32.8% (2006)
South Africa,8.7% (2008)
South Sudan,32.5% (2006)
Sri Lanka,21.6% (2009)
Sudan,31.7% (2006)
Suriname,5.8% (2010)
Swaziland,5.8% (2010)
Syria,10.1% (2009)
Tajikistan,15% (2007)
Tanzania,16.2% (2010)
Thailand,7% (2006)
Timor-Leste,45.3% (2010)
Togo,16.5% (2010)
Trinidad and Tobago,4.4% (2000)
Tunisia,3.3% (2006)
Turkey,3.5% (2004)
Turkmenistan,10.5% (2000)
Tuvalu,1.6% (2007)
Uganda,14.1% (2011)
Ukraine,0.9% (2002)
United States,1.3% (2004)
Uruguay,4.5% (2011)
Uzbekistan,4.4% (2006)
Vanuatu,11.7% (2007)
Venezuela,2.9% (2009)
Vietnam,12% (2011)
West Bank,2.2% (2007)
Yemen,43.1% (2003)
Zambia,14.9% (2007)
Zimbabwe,10.1% (2011)
