Afghanistan,"several previous; latest drafted 14 December 2003 - 4 January 2004, signed 16 January 2004, ratified 26 January 2004 (2012)"
Akrotiri,"presented 3 August 1960, effective 16 August 1960; amended 1966 (The Sovereign Base Areas of Akrotiri and Dhekelia Order in Council 1960, serves as a basic legal document) (2013)"
Albania,"several previous; latest approved by parliament 21 October 1998, adopted by popular referendum 22 November 1998, promulgated 28 November 1998; amended 2007, 2008, 2012 (2014)"
Algeria,"adopted 8 September 1963; amended several times, last in 2008 (2013)"
American Samoa,"ratified 2 June 1966, effective 1 July 1967 (2013)"
Andorra,"drafted 1991, approved by referendum 14 March 1993, effective 28 April 1993 (2013)"
Angola,"previous 1975, 1992; latest adopted 5 February 2010 (2013)"
Anguilla,several previous; latest 1 April 1982; amended 1990 (2013)
Antigua and Barbuda,"several previous; latest presented 31 July 1981, effective 31 October 1981 (Antigua and Barbuda Constitutional Order 1981) (2011)"
Argentina,"several previous; latest effective 11 May 1853; amended many times, last in 1994 (2013)"
Armenia,"previous 1915, 1978; latest adopted 5 July 1995; amended 2005 (2013)"
Aruba,"previous 1947, 1955; latest drafted and approved August 1985, enacted 1 January 1986 (regulates governance of Aruba, but is subordinate to the Charter for the Kingdom of the Netherlands); note - in October 2010, following dissolution of the Netherlands Antilles, Aruba became a constituent country within the Kingdom of the Netherlands (2013)"
Australia,"9 July 1900; effective 1 January 1901; amended several times, last in 1977; note - a referendum to amend the constitution to reflect the Aboriginal and Torres Strait Islander Peoples Recognition Act 2013 is to be completed by the end of 2014 (2013)"
Austria,"several previous; latest adopted 1 October 1920, revised 1929, replaced May 1934 (authoritarian-corporate constitution), replaced by German Weimar constitution in 1938 following German annexation; latest reinstated 1 May 1945 (1920 constitution with 1929 revisions); amended many times, last in 2008 (2013)"
Azerbaijan,"several previous; latest adopted 12 November 1995; amended 1996, 2002, 2009 (2009)"
"Bahamas, The","previous 1964 (preindependence); latest adopted 20 June 1973, effective 10 July 1973; amended many times, last in 2002; note - in 2012, a constitutional commission was appointed to review and recommend constitutional changes (2013)"
Bahrain,adopted 14 February 2002; amended 2012 (2012)
Bangladesh,"previous 1935, 1956, 1962 (preindependence); latest enacted 4 November 1972, effective 16 December 1972, suspended March 1982, restored November 1986; amended many times, last in 2011 (2011)"
Barbados,"adopted 22 November 1966, effective 30 November 1966; amended several times, last in 2003 (2011)"
Belarus,"several previous; latest drafted between late 1991 and early 1994, signed 15 March 1994; amended 1996, 2004 (2013)"
Belgium,"drafted 25 November 1830, approved 7 February 1831, entered into force 26 July 1831, revised 14 July 1993 (creating a federal state); amended many times, last in 2012 (2012)"
Belize,"previous 1954, 1963 (preindependence); latest signed and entered into force 21 September 1981; amended several times, last in 2012 (2013)"
Benin,"previous 1946, 1958 (preindependence); latest adopted by referendum 2 December 1990, promulgated 11 December 1990 (2012)"
Bermuda,"several previous (dating to 1684); latest entered into force 8 June 1968; amended several times, last in 2003 (2013)"
Bhutan,"previous (various royal decrees); first constitution drafted November 2001 - March 2005, ratified 18 July 2008 (2011)"
Bolivia,"many previous; latest drafted 6 August 2006 - 9 December 2008, approved by referendum 25 January 2009, effective 7 February 2009; amended 2013 (2013)"
Bosnia and Herzegovina,"14 December 1995 (constitution included as part of the Dayton Peace Accords); amended several times, last in 2003; note - each of the entities has its own constitution (2011)"
Botswana,"previous 1960 (preindependence); latest adopted March 1965, effective 30 September 1966; amended several times, last in 2006 (2006)"
Brazil,"several previous; latest ratified 5 October 1988; amended many times, last in 2012 (2012)"
