Afghanistan,21.8% (2010)
Albania,69.3% (2008/09)
Algeria,61.4% (2006)
Angola,17.7% (2009)
Anguilla,"43% 
      
      
        note: percent of women aged 15-45 (2003)"
Argentina,78.9% (2004/05)
Armenia,54.9% (2010)
Australia,"72.3% 
      
      
        note: percent of women aged 18-44 (2005)"
Austria,"69.6% 
      
      
        note: percent of women aged 18-46 (2009)"
Azerbaijan,51.1% (2006)
Bangladesh,61.2% (2011/12)
Belarus,72.6% (2005)
Belgium,"70.4% 
      
      
        note: percent of women aged 18-49 (2010)"
Belize,55.2% (2011)
Benin,12.9% (2012)
Bhutan,65.6% (2010)
Bolivia,60.5% (2008)
Bosnia and Herzegovina,45.8% (2012)
Botswana,"52.8% 
      
      
        note: percent of women aged 12-49 (2007/08)"
Brazil,80.3% (2006)
Bulgaria,"69.2% 
      
      
        note: percent of women age 20-49 (2007)"
Burkina Faso,16.2% (2010/11)
Burma,46% (2009/10)
Burundi,21.9% (2010/11)
Cabo Verde,61.3% (2005)
Cambodia,50.5% (2010/11)
Cameroon,23.4% (2011)
Canada,"74% 
      
      
        note: percent of women aged 18-44 (2002)"
Central African Republic,19% (2006)
Chad,4.8% (2010)
Chile,"64.2% 
      
      
        note: percent of women aged 15-44 (2006)"
China,84.6% (2006)
Colombia,79.1% (2010)
Comoros,25.7% (2000)
"Congo, Democratic Republic of the",17.7% (2010)
"Congo, Republic of the",44.7% (2011/12)
Costa Rica,82.2% (2010)
Cote d'Ivoire,18.2% (2012)
Cuba,74.3% (2011)
Czech Republic,"86.3% 
      
      
        note: percent of women aged 18-49 (2008)"
Djibouti,17.8% (2006)
Dominican Republic,72.9% (2007)
Ecuador,72.7% (2004)
Egypt,60.3% (2008)
El Salvador,"72.5% 
      
      
        note: percent of women aged 15-44 (2008)"
Equatorial Guinea,10.1% (2000)
Eritrea,8% (2002)
Estonia,"63.4% 
      
      
        note: percent of women aged 18-49 (2005)"
Ethiopia,28.6% (2010/11)
France,"76.4% 
      
      
        note: percent of women aged 20-49 (2008)"
Gabon,31.1% (2012)
"Gambia, The",13.3% (2010)
Georgia,"53.4% 
      
      
        note: percent of women aged 15-44 (2010)"
Germany,"66.2% 
      
      
        note: percent of women aged 18-49 (2005)"
Ghana,23.5% (2008)
Greece,"76.2% 
      
      
        note: percent of women aged 16-45 (2001)"
Grenada,"54.3% 
      
      
        note: percent of women aged 15-44 (1990)"
Guam,"66.6% 
      
      
        note: percent of women aged 18-44 (2002)"
Guatemala,43.3% (2002)
Guinea,5.6% (2012)
Guinea-Bissau,14% (2010)
Guyana,42.5% (2009)
Haiti,34.5% (2012)
Honduras,65.2% (2005/06)
Hong Kong,79.5% (2007)
India,54.8% (2007/08)
Indonesia,61.9% (2012)
Iran,73.3% (2002)
Iraq,51.2% (2011)
Ireland,"64.8% 
      
      
        note: percent of women aged 18-49 (2004/05)"
Jamaica,69% (2002/03)
Japan,"54.3% 
      
      
        note: percent of women aged 20-49 (2005)"
Jordan,59.3% (2009)
Kazakhstan,51% (2011)
Kenya,45.5% (2008/09)
Kiribati,22.3% (2009)
"Korea, North",68.6% (2002)
"Korea, South","80% 
      
      
        note: percent of women aged 15-44 (2009)"
Kyrgyzstan,47.8% (2005/06)
Laos,38.4% (2005)
Latvia,"67.8% 
      
      
        note: percent of women aged 18-49 (1995)"
Lebanon,58% (2004)
Lesotho,47% (2009/10)
Liberia,11.4% (2007)
Lithuania,"62.9% 
      
      
        note: percent of women aged 18-49 (2006)"
Madagascar,39.9% (2008/09)
Malawi,46.1% (2010)
Malaysia,49% (2004)
Maldives,34.7% (2009)
Mali,8.2% (2006)
Marshall Islands,44.6% (2007)
Mauritania,9.3% (2007)
Mauritius,75.8% (2002)
Mexico,70.9% (2006)
Moldova,67.8% (2005)
Mongolia,55% (2010)
Montenegro,39.4% (2005/06)
Morocco,67.4% (2011)
