Afghanistan,0 bbl/day (2010 est.)
Albania,"23,320 bbl/day (2013 est.)"
Algeria,1.097 million bbl/day (2010 est.)
American Samoa,0 bbl/day (2010 est.)
Angola,1.928 million bbl/day (2010 est.)
Antigua and Barbuda,0 bbl/day (2010 est.)
Argentina,"90,920 bbl/day (2010 est.)"
Armenia,0 bbl/day (2013 est.)
Aruba,0 bbl/day (2010 est.)
Australia,"314,100 bbl/day (2010 est.)"
Austria,0 bbl/day (2011 est.)
Azerbaijan,"821,000 bbl/day (2011 est.)"
"Bahamas, The",0 bbl/day (2010 est.)
Bahrain,"152,600 bbl/day (2012 est.)"
Bangladesh,0 bbl/day (2010 est.)
Barbados,764.5 bbl/day (2010 est.)
Belarus,0 bbl/day (2010 est.)
Belgium,0 bbl/day (2010 est.)
Belize,"4,345 bbl/day (2010 est.)"
Benin,0 bbl/day (2010 est.)
Bermuda,0 bbl/day (2010 est.)
Bhutan,0 bbl/day (2010 est.)
Bolivia,60.71 bbl/day (2013 est.)
Bosnia and Herzegovina,0 bbl/day (2012 est.)
Botswana,0 bbl/day (2010 est.)
Brazil,"619,100 bbl/day (2010 est.)"
British Virgin Islands,0 bbl/day (2010 est.)
Brunei,"147,900 bbl/day (2010 est.)"
Bulgaria,0 bbl/day (2012 est.)
Burkina Faso,0 bbl/day (2010 est.)
Burma,0 bbl/day (2010 est.)
Burundi,0 bbl/day (2010 est.)
Cabo Verde,0 bbl/day (2010 est.)
Cambodia,0 bbl/day (2010 est.)
Cameroon,"55,680 bbl/day (2010 est.)"
Canada,1.576 million bbl/day (2011 est.)
Cayman Islands,0 bbl/day (2010 est.)
Central African Republic,0 bbl/day (2010 est.)
Chad,"125,700 bbl/day (2010 est.)"
Chile,0 bbl/day (2010 est.)
China,"33,000 bbl/day (2013 est.)"
Colombia,"777,900 bbl/day (2009)"
Comoros,0 bbl/day (2010 est.)
"Congo, Democratic Republic of the","22,240 bbl/day (2010 est.)"
"Congo, Republic of the","290,000 bbl/day (2011 est.)"
Cook Islands,0 bbl/day (2010 est.)
Costa Rica,0 bbl/day (2010 est.)
Cote d'Ivoire,"32,190 bbl/day (2010 est.)"
Croatia,0 bbl/day (2013 est.)
Cuba,"83,000 bbl/day (2012 est.)"
Cyprus,0 bbl/day (2010 est.)
Czech Republic,403.8 bbl/day (2010 est.)
Denmark,"155,200 bbl/day (2010 est.)"
Djibouti,0 bbl/day (2010 est.)
Dominica,0 bbl/day (2010 est.)
Dominican Republic,0 bbl/day (2010 est.)
Ecuador,"413,000 bbl/day (2013 est.)"
Egypt,"85,000 bbl/day (2010 est.)"
El Salvador,0 bbl/day (2010 est.)
Equatorial Guinea,"319,100 bbl/day (2010 est.)"
Eritrea,0 bbl/day (2010 est.)
Estonia,"7,624 bbl/day (2010 est.)"
Ethiopia,0 bbl/day (2010 est.)
Falkland Islands (Islas Malvinas),0 bbl/day (2010 est.)
Faroe Islands,0 bbl/day (2010 est.)
Fiji,0 bbl/day (2010 est.)
Finland,0 bbl/day (2010 est.)
France,0 bbl/day (2010 est.)
French Polynesia,0 bbl/day (2010 est.)
Gabon,"225,300 bbl/day (2010 est.)"
"Gambia, The",0 bbl/day (2010 est.)
Georgia,531 bbl/day (2012 est.)
Germany,"14,260 bbl/day (2010 est.)"
Ghana,0 bbl/day (2010 est.)
Gibraltar,0 bbl/day (2010 est.)
Greece,"17,020 bbl/day (2010 est.)"
Greenland,0 bbl/day (2010 est.)
Grenada,0 bbl/day (2010 est.)
Guam,0 bbl/day (2010 est.)
Guatemala,"10,960 bbl/day (2010 est.)"
Guinea,0 bbl/day (2010 est.)
Guinea-Bissau,0 bbl/day (2010 est.)
Guyana,0 bbl/day (2010 est.)
Haiti,0 bbl/day (2010 est.)
Honduras,0 bbl/day (2010 est.)
Hong Kong,0 bbl/day (2013 est.)
Hungary,0 bbl/day (2010 est.)
Iceland,0 bbl/day (2010 est.)
India,0 bbl/day (2010 est.)
Indonesia,"338,100 bbl/day (2010 est.)"
Iran,2.445 million bbl/day (2011 est.)
Iraq,2.39 million bbl/day (2013 est.)
Ireland,"1,858 bbl/day (2010 est.)"
