Afghanistan,0 bbl/day (2010 est.)
Albania,0 bbl/day (2013 est.)
Algeria,"6,400 bbl/day (2010 est.)"
American Samoa,0 bbl/day (2010 est.)
Angola,0 bbl/day (2010 est.)
Antigua and Barbuda,0 bbl/day (2010 est.)
Argentina,0 bbl/day (2010 est.)
Armenia,0 bbl/day (2013 est.)
Aruba,"228,800 bbl/day (2010 est.)"
Australia,"475,900 bbl/day (2010 est.)"
Austria,"139,000 bbl/day (2011 est.)"
Azerbaijan,0 bbl/day (2010 est.)
"Bahamas, The",0 bbl/day (2010 est.)
Bahrain,"256,000 bbl/day (2011 est.)"
Bangladesh,"23,620 bbl/day (2010 est.)"
Barbados,0 bbl/day (2010 est.)
Belarus,"294,800 bbl/day (2010 est.)"
Belgium,"667,700 bbl/day (2010 est.)"
Belize,0 bbl/day (2010 est.)
Benin,0 bbl/day (2010 est.)
Bermuda,0 bbl/day (2010 est.)
Bhutan,0 bbl/day (2010 est.)
Bolivia,0 bbl/day (2013 est.)
Bosnia and Herzegovina,"22,140 bbl/day (2010 est.)"
Botswana,0 bbl/day (2010 est.)
Brazil,"343,600 bbl/day (2010 est.)"
British Virgin Islands,0 bbl/day (2010 est.)
Brunei,0 bbl/day (2011 est.)
Bulgaria,"124,700 bbl/day (2010 est.)"
Burkina Faso,0 bbl/day (2010 est.)
Burma,0 bbl/day (2010 est.)
Burundi,0 bbl/day (2010 est.)
Cabo Verde,0 bbl/day (2010 est.)
Cambodia,0 bbl/day (2010 est.)
Cameroon,"34,220 bbl/day (2010 est.)"
Canada,"770,300 bbl/day (2010 est.)"
Cayman Islands,0 bbl/day (2010 est.)
Central African Republic,0 bbl/day (2010 est.)
Chad,0 bbl/day (2010 est.)
Chile,"169,700 bbl/day (2010 est.)"
China,5.664 million bbl/day (2013 est.)
Colombia,10 bbl/day (2011 est.)
Comoros,0 bbl/day (2010 est.)
"Congo, Democratic Republic of the",0 bbl/day (2010 est.)
"Congo, Republic of the",0 bbl/day (2011 est.)
Cook Islands,0 bbl/day (2010 est.)
Costa Rica,"10,040 bbl/day (2010 est.)"
Cote d'Ivoire,"49,780 bbl/day (2010 est.)"
Croatia,"51,470 bbl/day (2013 est.)"
Cuba,"165,000 bbl/day (2012 est.)"
Cyprus,0 bbl/day (2010 est.)
Czech Republic,"154,000 bbl/day (2010 est.)"
Denmark,"55,010 bbl/day (2010 est.)"
Djibouti,0 bbl/day (2010 est.)
Dominica,0 bbl/day (2010 est.)
Dominican Republic,"27,260 bbl/day (2010 est.)"
Ecuador,"154,000 bbl/day (2012 est.)"
Egypt,"48,740 bbl/day (2010 est.)"
El Salvador,"16,160 bbl/day (2010 est.)"
Equatorial Guinea,0 bbl/day (2010 est.)
Eritrea,0 bbl/day (2010 est.)
Estonia,0 bbl/day (2010 est.)
Ethiopia,0 bbl/day (2010 est.)
Falkland Islands (Islas Malvinas),0 bbl/day (2010 est.)
Faroe Islands,0 bbl/day (2010 est.)
Fiji,0 bbl/day (2010 est.)
Finland,"214,700 bbl/day (2010 est.)"
France,1.298 million bbl/day (2010 est.)
French Polynesia,0 bbl/day (2010 est.)
Gabon,0 bbl/day (2010 est.)
"Gambia, The",0 bbl/day (2010 est.)
Georgia,0 bbl/day (2013 est.)
