Afghanistan,"1,950 bbl/day (2012 est.)"
Albania,"23,930 bbl/day (2013 est.)"
Algeria,1.875 million bbl/day (2012 est.)
American Samoa,0 bbl/day (2012 est.)
Angola,1.872 million bbl/day (2012 est.)
Antigua and Barbuda,0 bbl/day (2012 est.)
Argentina,"723,200 bbl/day (2012 est.)"
Armenia,0 bbl/day (2013 est.)
Aruba,"2,811 bbl/day (2012 est.)"
Australia,"519,100 bbl/day (2012 est.)"
Austria,"29,480 bbl/day (2012 est.)"
Azerbaijan,"931,900 bbl/day (2012 est.)"
"Bahamas, The",0 bbl/day (2012 est.)
Bahrain,"49,160 bbl/day (2012 est.)"
Bangladesh,"5,452 bbl/day (2012 est.)"
Barbados,"1,001 bbl/day (2012 est.)"
Belarus,"32,070 bbl/day (2012 est.)"
Belgium,"10,530 bbl/day (2012 est.)"
Belize,"3,239 bbl/day (2012 est.)"
Benin,0 bbl/day (2012 est.)
Bermuda,0 bbl/day (2012 est.)
Bhutan,0 bbl/day (2012 est.)
Bolivia,"51,200 bbl/day (2013 est.)"
Bosnia and Herzegovina,0 bbl/day (2012 est.)
Botswana,0 bbl/day (2012 est.)
Brazil,2.652 million bbl/day (2012 est.)
British Virgin Islands,0 bbl/day (2012 est.)
Brunei,"141,000 bbl/day (2012 est.)"
Bulgaria,"3,384 bbl/day (2012 est.)"
Burkina Faso,0 bbl/day (2012 est.)
Burma,"20,830 bbl/day (2012 est.)"
Burundi,0 bbl/day (2012 est.)
Cabo Verde,0 bbl/day (2012 est.)
Cambodia,0.5 bbl/day (2012 est.)
Cameroon,"63,520 bbl/day (2012 est.)"
Canada,3.856 million bbl/day (2012 est.)
Cayman Islands,0 bbl/day (2012 est.)
Central African Republic,0 bbl/day (2012 est.)
Chad,"104,500 bbl/day (2012 est.)"
Chile,"17,340 bbl/day (2012 est.)"
China,4.197 million bbl/day (2013 est.)
Colombia,"969,100 bbl/day (2012 est.)"
Comoros,0 bbl/day (2012 est.)
"Congo, Democratic Republic of the","20,000 bbl/day (2012 est.)"
"Congo, Republic of the","291,900 bbl/day (2012 est.)"
Cook Islands,0 bbl/day (2012 est.)
