Afghanistan,"14.12 deaths/1,000 population (2014 est.)"
Albania,"6.47 deaths/1,000 population (2014 est.)"
Algeria,"4.31 deaths/1,000 population (2014 est.)"
American Samoa,"4.68 deaths/1,000 population (2014 est.)"
Andorra,"6.82 deaths/1,000 population (2014 est.)"
Angola,"11.67 deaths/1,000 population (2014 est.)"
Anguilla,"4.54 deaths/1,000 population (2014 est.)"
Antigua and Barbuda,"5.7 deaths/1,000 population (2014 est.)"
Argentina,"7.34 deaths/1,000 population (2014 est.)"
Armenia,"9.3 deaths/1,000 population (2014 est.)"
Aruba,"8.09 deaths/1,000 population (2014 est.)"
Australia,"7.07 deaths/1,000 population (2014 est.)"
Austria,"10.38 deaths/1,000 population (2014 est.)"
Azerbaijan,"7.09 deaths/1,000 population (2014 est.)"
"Bahamas, The","7 deaths/1,000 population (2014 est.)"
Bahrain,"2.67 deaths/1,000 population (2014 est.)"
Bangladesh,"5.64 deaths/1,000 population (2014 est.)"
Barbados,"8.41 deaths/1,000 population (2014 est.)"
Belarus,"13.51 deaths/1,000 population (2014 est.)"
Belgium,"10.76 deaths/1,000 population (2014 est.)"
Belize,"5.95 deaths/1,000 population (2014 est.)"
Benin,"8.39 deaths/1,000 population (2014 est.)"
Bermuda,"8.06 deaths/1,000 population (2014 est.)"
Bhutan,"6.78 deaths/1,000 population (2014 est.)"
Bolivia,"6.59 deaths/1,000 population (2014 est.)"
Bosnia and Herzegovina,"9.64 deaths/1,000 population (2014 est.)"
Botswana,"13.32 deaths/1,000 population (2014 est.)"
Brazil,"6.54 deaths/1,000 population (2014 est.)"
British Virgin Islands,"4.93 deaths/1,000 population (2014 est.)"
Brunei,"3.47 deaths/1,000 population (2014 est.)"
Bulgaria,"14.3 deaths/1,000 population (2014 est.)"
Burkina Faso,"11.96 deaths/1,000 population (2014 est.)"
Burma,"8.01 deaths/1,000 population (2014 est.)"
Burundi,"9.54 deaths/1,000 population (2014 est.)"
Cabo Verde,"6.17 deaths/1,000 population (2014 est.)"
Cambodia,"7.78 deaths/1,000 population (2014 est.)"
Cameroon,"10.4 deaths/1,000 population (2014 est.)"
Canada,"8.31 deaths/1,000 population (2014 est.)"
Cayman Islands,"5.41 deaths/1,000 population (2014 est.)"
Central African Republic,"14.11 deaths/1,000 population (2014 est.)"
Chad,"14.56 deaths/1,000 population (2014 est.)"
Chile,"5.93 deaths/1,000 population (2014 est.)"
China,"7.44 deaths/1,000 population (2014 est.)"
Colombia,"5.36 deaths/1,000 population (2014 est.)"
Comoros,"7.76 deaths/1,000 population (2014 est.)"
"Congo, Democratic Republic of the","10.3 deaths/1,000 population (2014 est.)"
"Congo, Republic of the","10.17 deaths/1,000 population (2014 est.)"
Cook Islands,"7.8 deaths/1,000 population (2014 est.)"
Costa Rica,"4.49 deaths/1,000 population (2014 est.)"
Cote d'Ivoire,"9.67 deaths/1,000 population (2014 est.)"
Croatia,"12.13 deaths/1,000 population (2014 est.)"
Cuba,"7.64 deaths/1,000 population (2014 est.)"
Curacao,"8 deaths/1,000 population (2009)"
Cyprus,"6.57 deaths/1,000 population (2014 est.)"
Czech Republic,"10.29 deaths/1,000 population (2014 est.)"
Denmark,"10.23 deaths/1,000 population (2014 est.)"
Djibouti,"7.84 deaths/1,000 population (2014 est.)"
Dominica,"7.94 deaths/1,000 population (2014 est.)"
Dominican Republic,"4.5 deaths/1,000 population (2014 est.)"
Ecuador,"5.04 deaths/1,000 population (2014 est.)"
Egypt,"4.77 deaths/1,000 population (2014 est.)"
El Salvador,"5.67 deaths/1,000 population (2014 est.)"
Equatorial Guinea,"8.39 deaths/1,000 population (2014 est.)"
Eritrea,"7.65 deaths/1,000 population (2014 est.)"
Estonia,"13.69 deaths/1,000 population (2014 est.)"
Ethiopia,"8.52 deaths/1,000 population (2014 est.)"
European Union,"10.17 deaths/1,000 population (2014 est.)"
Faroe Islands,"8.71 deaths/1,000 population (2014 est.)"
Fiji,"6 deaths/1,000 population (2014 est.)"
Finland,"10.51 deaths/1,000 population (2014 est.)"
France,"9.06 deaths/1,000 population (2014 est.)"
French Polynesia,"4.93 deaths/1,000 population (2014 est.)"
Gabon,"13.13 deaths/1,000 population (2014 est.)"
"Gambia, The","7.26 deaths/1,000 population (2014 est.)"
Gaza Strip,"3.09 deaths/1,000 population (2014 est.)"
Georgia,"10.77 deaths/1,000 population (2014 est.)"
Germany,"11.29 deaths/1,000 population (2014 est.)"
Ghana,"7.37 deaths/1,000 population (2014 est.)"
Gibraltar,"8.33 deaths/1,000 population (2014 est.)"
Greece,"11 deaths/1,000 population (2014 est.)"
Greenland,"8.38 deaths/1,000 population (2014 est.)"
Grenada,"8.04 deaths/1,000 population (2014 est.)"
Guam,"5.04 deaths/1,000 population (2014 est.)"
Guatemala,"4.82 deaths/1,000 population (2014 est.)"
Guernsey,"8.69 deaths/1,000 population (2014 est.)"
Guinea,"9.69 deaths/1,000 population (2014 est.)"
Guinea-Bissau,"14.54 deaths/1,000 population (2014 est.)"
Guyana,"7.3 deaths/1,000 population (2014 est.)"
Haiti,"7.91 deaths/1,000 population (2014 est.)"
Honduras,"5.13 deaths/1,000 population (2014 est.)"
Hong Kong,"6.93 deaths/1,000 population (2014 est.)"
Hungary,"12.72 deaths/1,000 population (2014 est.)"
Iceland,"7.13 deaths/1,000 population (2014 est.)"
India,"7.35 deaths/1,000 population (2014 est.)"
Indonesia,"6.34 deaths/1,000 population (2014 est.)"
Iran,"5.94 deaths/1,000 population (2014 est.)"
Iraq,"4.57 deaths/1,000 population (2014 est.)"
Ireland,"6.45 deaths/1,000 population (2014 est.)"
Isle of Man,"10.03 deaths/1,000 population (2014 est.)"
Israel,"5.54 deaths/1,000 population (2014 est.)"
Italy,"10.1 deaths/1,000 population (2014 est.)"
Jamaica,"6.67 deaths/1,000 population (2014 est.)"
Japan,"9.38 deaths/1,000 population (2014 est.)"
Jersey,"7.63 deaths/1,000 population (2014 est.)"
Jordan,"3.8 deaths/1,000 population (2014 est.)"
Kazakhstan,"8.31 deaths/1,000 population (2014 est.)"
Kenya,"7 deaths/1,000 population (2014 est.)"
Kiribati,"7.18 deaths/1,000 population (2014 est.)"
"Korea, North","9.18 deaths/1,000 population (2014 est.)"
"Korea, South","6.63 deaths/1,000 population (2014 est.)"
Kuwait,"2.16 deaths/1,000 population (2014 est.)"
Kyrgyzstan,"6.74 deaths/1,000 population (2014 est.)"
Laos,"7.74 deaths/1,000 population (2014 est.)"
Latvia,"13.6 deaths/1,000 population (2014 est.)"
Lebanon,"4.95 deaths/1,000 population (2014 est.)"
Lesotho,"14.91 deaths/1,000 population (2014 est.)"
Liberia,"9.9 deaths/1,000 population (2014 est.)"
Libya,"3.57 deaths/1,000 population (2014 est.)"
Liechtenstein,"7.02 deaths/1,000 population (2014 est.)"
Lithuania,"11.55 deaths/1,000 population (2014 est.)"
Luxembourg,"8.53 deaths/1,000 population (2014 est.)"
Macau,"4.1 deaths/1,000 population (2014 est.)"
Macedonia,"9.04 deaths/1,000 population (2014 est.)"
Madagascar,"6.95 deaths/1,000 population (2014 est.)"
Malawi,"8.74 deaths/1,000 population (2014 est.)"
Malaysia,"5 deaths/1,000 population (2014 est.)"
Maldives,"3.84 deaths/1,000 population (2014 est.)"
Mali,"13.22 deaths/1,000 population (2014 est.)"
Malta,"8.96 deaths/1,000 population (2014 est.)"
Marshall Islands,"4.24 deaths/1,000 population (2014 est.)"
Mauritania,"8.35 deaths/1,000 population (2014 est.)"
Mauritius,"6.85 deaths/1,000 population (2014 est.)"
Mexico,"5.24 deaths/1,000 population (2014 est.)"
"Micronesia, Federated States of","4.25 deaths/1,000 population (2014 est.)"
Moldova,"12.6 deaths/1,000 population (2014 est.)"
Monaco,"9.01 deaths/1,000 population (2014 est.)"
Mongolia,"6.38 deaths/1,000 population (2014 est.)"
Montenegro,"9.3 deaths/1,000 population (2014 est.)"
Montserrat,"6.52 deaths/1,000 population (2014 est.)"
Morocco,"4.79 deaths/1,000 population (2014 est.)"
Mozambique,"12.34 deaths/1,000 population (2014 est.)"
Namibia,"13.6 deaths/1,000 population (2014 est.)"
Nauru,"5.9 deaths/1,000 population (2014 est.)"
Nepal,"6.62 deaths/1,000 population (2014 est.)"
Netherlands,"8.57 deaths/1,000 population (2014 est.)"
New Caledonia,"5.45 deaths/1,000 population (2014 est.)"
New Zealand,"7.3 deaths/1,000 population (2014 est.)"
Nicaragua,"5.07 deaths/1,000 population (2014 est.)"
Niger,"12.73 deaths/1,000 population (2014 est.)"
Nigeria,"13.16 deaths/1,000 population (2014 est.)"
Northern Mariana Islands,"3.61 deaths/1,000 population (2014 est.)"
Norway,"8.19 deaths/1,000 population (2014 est.)"
Oman,"3.38 deaths/1,000 population (2014 est.)"
Pakistan,"6.58 deaths/1,000 population (2014 est.)"
Palau,"7.93 deaths/1,000 population (2014 est.)"
Panama,"4.77 deaths/1,000 population (2014 est.)"
Papua New Guinea,"6.53 deaths/1,000 population (2014 est.)"
Paraguay,"4.64 deaths/1,000 population (2014 est.)"
Peru,"5.99 deaths/1,000 population (2014 est.)"
Philippines,"4.92 deaths/1,000 population (2014 est.)"
Poland,"10.37 deaths/1,000 population (2014 est.)"
Portugal,"10.97 deaths/1,000 population (2014 est.)"
Puerto Rico,"8.51 deaths/1,000 population (2014 est.)"
Qatar,"1.53 deaths/1,000 population (2014 est.)"
Romania,"11.88 deaths/1,000 population (2014 est.)"
Russia,"13.83 deaths/1,000 population (2014 est.)"
Rwanda,"9.18 deaths/1,000 population (2014 est.)"
"Saint Helena, Ascension, and Tristan da Cunha","7.33 deaths/1,000 population (2014 est.)"
Saint Kitts and Nevis,"7.08 deaths/1,000 population (2014 est.)"
Saint Lucia,"7.32 deaths/1,000 population (2014 est.)"
Saint Pierre and Miquelon,"9.27 deaths/1,000 population (2014 est.)"
Saint Vincent and the Grenadines,"7.12 deaths/1,000 population (2014 est.)"
Samoa,"5.32 deaths/1,000 population (2014 est.)"
San Marino,"8.31 deaths/1,000 population (2014 est.)"
Sao Tome and Principe,"7.45 deaths/1,000 population (2014 est.)"
Saudi Arabia,"3.32 deaths/1,000 population (2014 est.)"
Senegal,"8.65 deaths/1,000 population (2014 est.)"
Serbia,"13.71 deaths/1,000 population (2014 est.)"
Seychelles,"6.9 deaths/1,000 population (2014 est.)"
Sierra Leone,"11.03 deaths/1,000 population (2014 est.)"
