Afghanistan,"$1.28 billion (FY10/11) 
      
      $2.7 billion (FY08/09)"
Albania,"$3.213 billion (31 December  2013 est.) 
      
      $2.957 billion (31 December 2012 est.)"
Algeria,"$5.278 billion (31 December 2013 est.) 
      
      $5.639 billion (31 December 2012 est.)"
American Samoa,$NA
Andorra,$NA
Angola,"$22.71 billion (31 December 2013 est.) 
      
      $21.85 billion (31 December 2012 est.)"
Anguilla,$8.8 million (1998)
Antigua and Barbuda,"$441.2 million (31 December 2012) 
      
      $458 million (June 2010)"
Argentina,"$111.5 billion (31 December 2013 est.) 
      
      $113.7 billion (31 December 2012 est.)"
Armenia,"$7.839 billion (31 December 2013 est.) 
      
      $7.633 billion (31 December 2012 est.)"
Aruba,$533.4 million (2005 est.)
Australia,"$1.506 trillion (31 December 2013 est.) 
      
      $1.497 trillion (31 December 2012 est.)"
Austria,"$812 billion (31 December 2012 est.) 
      
      $786.1 billion (31 December 2011)"
Azerbaijan,"$9.552 billion (31 December 2013 est.) 
      
      $9.11 billion (31 December 2012 est.)"
"Bahamas, The","$17.56 billion (31 December 2013 est.) 
      
      $16.35 billion (31 December 2012 est.)"
Bahrain,"$28.82 billion (31 December 2013 est.) 
      
      $27.54 billion (31 December 2012 est.)"
Bangladesh,"$30.69 billion (31 December 2013 est.) 
      
      $29.53 billion (31 December 2012 est.)"
Barbados,"$4.49 billion (2010 est.) 
      
      $668 million (2003 est.)"
Belarus,"$1.204 billion (31 December 2013 est.) 
      
      $1.225 billion (31 December 2012 est.)"
Belgium,"$1.424 trillion (31 December 2012 est.) 
      
      $1.417 trillion (31 December 2011)"
Belize,"$1.048 billion (31 December 2013 est.) 
      
      $1.033 billion (31 December 2012 est.)"
Benin,"$1.236 billion (31 December 2013 est.) 
      
      $1.123 billion (31 December 2012 est.)"
Bermuda,$1.4 billion (2012 est.)
Bhutan,"$1.275 billion (2011) 
      
      $836 million (2009)"
Bolivia,"$5.265 billion (31 December 2013 est.) 
      
      $4.196 billion (31 December 2012 est.)"
Bosnia and Herzegovina,"$11.14 billion (31 December 2013 est.) 
      
      $10.81 billion (31 December 2012 est.)"
Botswana,"$2.416 billion (31 December 2013 est.) 
      
      $2.443 billion (31 December 2012 est.)"
Brazil,"$475.9 billion (31 December 2013 est.) 
      
      $438.9 billion (31 December 2012 est.)"
British Virgin Islands,$36.1 million (1997)
Brunei,$0 (2005)
Bulgaria,"$37.85 billion (31 December 2013 est.) 
      
      $36.52 billion (31 December 2012 est.)"
Burkina Faso,"$2.863 billion (31 December 2013 est.) 
      
      $2.607 billion (31 December 2012 est.)"
Burma,"$5.379 billion (31 December 2013 est.) 
      
      $5.591 billion (31 December 2012 est.)"
Burundi,"$677.2 million (31 December 2013 est.) 
      
      $641.9 million (31 December 2012 est.)"
Cabo Verde,"$1.328 billion (31 December 2013 est.) 
      
      $1.18 billion (31 December 2012 est.)"
Cambodia,"$4.912 billion (31 December 2013 est.) 
      
      $4.567 billion (31 December 2012 est.)"
Cameroon,"$3.455 billion (31 December 2013 est.) 
      
      $3.207 billion (31 December 2012 est.)"
Canada,"$1.331 trillion (31 December 2012 est.) 
      
      $1.191 trillion (31 December 2011)"
Central African Republic,"$634.2 million (31 December 2013 est.) 
      
      $632.7 million (31 December 2012 est.)"
Chad,"$1.828 billion (31 December 2013 est.) 
      
      $1.794 billion (31 December 2012 est.)"
Chile,"$119 billion (31 December 2013 est.) 
      
      $112.7 billion (31 December 2012 est.)"
China,"$863.2 billion (31 December 2013 est.) 
      
      $737 billion (31 December 2012 est.)"
Colombia,"$85.83 billion (31 December 2013 est.) 
      
      $80.72 billion (31 December 2012 est.)"
Comoros,"$142.9 million (31 December 2013 est.) 
      
      $136.1 million (31 December 2012 est.)"
"Congo, Democratic Republic of the","$6.874 billion (31 December 2013 est.) 
      
      $6.087 billion (31 December 2012 est.)"
"Congo, Republic of the","$3.274 billion (31 December 2013 est.) 
      
      $2.999 billion (31 December 2012 est.)"
Cook Islands,$141 million (1996 est.)
Costa Rica,"$15.1 billion (31 December 2013 est.) 
      
      $13.81 billion (31 December 2012 est.)"
Cote d'Ivoire,"$8.959 billion (31 December 2013 est.) 
      
      $8.096 billion (31 December 2012 est.)"
Croatia,"$60.47 billion (31 December 2013 est.) 
      
      $61.39 billion (2012 est.)"
Cuba,"$23.44 billion (31 December 2013 est.) 
      
      $22.51 billion (31 December 2012 est.)"
Cyprus,"$95.28 billion (31 December 2013 est.) 
      
      $103.5 billion (31 December 2012 est.)"
Czech Republic,"$102.1 billion (30 September 2013 est.) 
      
      $101.9 billion (31 December 2012 est.)"
Denmark,"$586.7 billion (31 December 2012 est.) 
      
      $571.4 billion (31 December 2011)"
Djibouti,"$821.6 million (31 December 2013 est.) 
      
      $773.9 million (31 December 2012 est.)"
Dominica,"$274.9 million (31 December 2013 est.) 
      
      $272.1 million (31 December 2012 est.)"
Dominican Republic,"$18.01 billion (31 December 2013 est.) 
      
      $16.33 billion (31 December 2012 est.)"
Ecuador,"$19.91 billion (31 December 2013 est.) 
      
      $17.68 billion (31 December 2012 est.)"
