Afghanistan,"total dependency ratio: 93.1 % 
      
      
        youth dependency ratio: 88.4 % 
      
      
        elderly dependency ratio: 4.6 % 
      
      
        potential support ratio: 21.5 (2014 est.)"
Albania,"total dependency ratio: 44.9 % 
      
      
        youth dependency ratio: 29 % 
      
      
        elderly dependency ratio: 15.9 % 
      
      
        potential support ratio: 6.3 (2014 est.)"
Algeria,"total dependency ratio: 48.5 % 
      
      
        youth dependency ratio: 41.6 % 
      
      
        elderly dependency ratio: 6.8 % 
      
      
        potential support ratio: 14.6 (2014 est.)"
Angola,"total dependency ratio: 98.7 % 
      
      
        youth dependency ratio: 93.9 % 
      
      
        elderly dependency ratio: 4.8 % 
      
      
        potential support ratio: 21 (2014 est.)"
Antigua and Barbuda,"total dependency ratio: 46.4 % 
      
      
        youth dependency ratio: 35.9 % 
      
      
        elderly dependency ratio: 10.4 % 
      
      
        potential support ratio: 9.6 (2014 est.)"
Argentina,"total dependency ratio: 54.1 % 
      
      
        youth dependency ratio: 37 % 
      
      
        elderly dependency ratio: 17.1 % 
      
      
        potential support ratio: 5.9 (2014 est.)"
Armenia,"total dependency ratio: 44.1 % 
      
      
        youth dependency ratio: 29.1 % 
      
      
        elderly dependency ratio: 14.9 % 
      
      
        potential support ratio: 6.7 (2014 est.)"
Aruba,"total dependency ratio: 44.1 % 
      
      
        youth dependency ratio: 27.1 % 
      
      
        elderly dependency ratio: 16.9 % 
      
      
        potential support ratio: 5.9 (2014 est.)"
Australia,"total dependency ratio: 51 % 
      
      
        youth dependency ratio: 28.9 % 
      
      
        elderly dependency ratio: 22.1 % 
      
      
        potential support ratio: 4.5 (2014 est.)"
Austria,"total dependency ratio: 49.1 % 
      
      
        youth dependency ratio: 21.6 % 
      
      
        elderly dependency ratio: 27.6 % 
      
      
        potential support ratio: 3.6 (2014 est.)"
Azerbaijan,"total dependency ratio: 38.4 % 
      
      
        youth dependency ratio: 30.7 % 
      
      
        elderly dependency ratio: 7.7 % 
      
      
        potential support ratio: 13 (2014 est.)"
"Bahamas, The","total dependency ratio: 40.9 % 
      
      
        youth dependency ratio: 29.6 % 
      
      
        elderly dependency ratio: 11.3 % 
      
      
        potential support ratio: 8.9 (2014 est.)"
Bahrain,"total dependency ratio: 30.9 % 
      
      
        youth dependency ratio: 27.9 % 
      
      
        elderly dependency ratio: 3 % 
      
      
        potential support ratio: 33.3 (2014 est.)"
Bangladesh,"total dependency ratio: 52.2 % 
      
      
        youth dependency ratio: 44.9 % 
      
      
        elderly dependency ratio: 7.3 % 
      
      
        potential support ratio: 13.6 (2014 est.)"
Barbados,"total dependency ratio: 42.6 % 
      
      
        youth dependency ratio: 26.8 % 
      
      
        elderly dependency ratio: 15.8 % 
      
      
        potential support ratio: 6.3 (2014 est.)"
Belarus,"total dependency ratio: 41.5 % 
      
      
        youth dependency ratio: 22 % 
      
      
        elderly dependency ratio: 19.6 % 
      
      
        potential support ratio: 5.1 (2014 est.)"
Belgium,"total dependency ratio: 54.8 % 
      
      
        youth dependency ratio: 26.4 % 
      
      
        elderly dependency ratio: 28.4 % 
      
      
        potential support ratio: 3.5 (2014 est.)"
Belize,"total dependency ratio: 59.7 % 
      
      
        youth dependency ratio: 53.3 % 
      
      
        elderly dependency ratio: 6.4 % 
      
      
        potential support ratio: 15.6 (2014 est.)"
Benin,"total dependency ratio: 83 % 
      
      
        youth dependency ratio: 77.7 % 
      
      
        elderly dependency ratio: 5.3 % 
      
      
        potential support ratio: 18.9 (2014 est.)"
Bhutan,"total dependency ratio: 48.1 % 
      
      
        youth dependency ratio: 40.8 % 
      
      
        elderly dependency ratio: 7.2 % 
      
      
        potential support ratio: 13.8 (2014 est.)"
Bolivia,"total dependency ratio: 65.3 % 
      
      
        youth dependency ratio: 57 % 
      
      
        elderly dependency ratio: 8.2 % 
      
      
        potential support ratio: 12.1 (2014 est.)"
Bosnia and Herzegovina,"total dependency ratio: 44.8 % 
      
      
        youth dependency ratio: 22 % 
      
      
        elderly dependency ratio: 22.7 % 
      
      
        potential support ratio: 4.4 (2014 est.)"
Botswana,"total dependency ratio: 58.6 % 
      
      
        youth dependency ratio: 52.8 % 
      
      
        elderly dependency ratio: 5.9 % 
      
      
        potential support ratio: 17.1 (2014 est.)"
Brazil,"total dependency ratio: 45.8 % 
      
      
        youth dependency ratio: 34.4 % 
      
      
        elderly dependency ratio: 11.3 % 
      
      
        potential support ratio: 8.8 (2014 est.)"
Brunei,"total dependency ratio: 41.8 % 
      
      
        youth dependency ratio: 35.3 % 
      
      
        elderly dependency ratio: 6.5 % 
      
      
        potential support ratio: 15.5 (2014 est.)"
Bulgaria,"total dependency ratio: 50.3 % 
      
      
        youth dependency ratio: 20.8 % 
      
      
        elderly dependency ratio: 29.5 % 
      
      
        potential support ratio: 3.4 (2014 est.)"
Burkina Faso,"total dependency ratio: 91.3 % 
      
      
        youth dependency ratio: 86.6 % 
      
      
        elderly dependency ratio: 4.7 % 
      
      
        potential support ratio: 21.5 (2014 est.)"
Burma,"total dependency ratio: 42.5 % 
      
      
        youth dependency ratio: 35 % 
      
      
        elderly dependency ratio: 7.6 % 
      
      
        potential support ratio: 13.2 (2014 est.)"
Burundi,"total dependency ratio: 89.2 % 
      
      
        youth dependency ratio: 84.7 % 
      
      
        elderly dependency ratio: 4.5 % 
      
      
        potential support ratio: 22.2 (2014 est.)"
Cabo Verde,"total dependency ratio: 51.7 % 
      
      
        youth dependency ratio: 43.8 % 
      
      
        elderly dependency ratio: 8 % 
      
      
        potential support ratio: 12.6 (2014 est.)"
Cambodia,"total dependency ratio: 57.6 % 
      
      
        youth dependency ratio: 49 % 
      
      
        elderly dependency ratio: 8.6 % 
      
      
        potential support ratio: 11.6 (2014 est.)"
Cameroon,"total dependency ratio: 85.1 % 
      
      
        youth dependency ratio: 79.1 % 
      
      
        elderly dependency ratio: 6 % 
      
      
        potential support ratio: 16.8 (2014 est.)"
Canada,"total dependency ratio: 47.2 % 
      
      
        youth dependency ratio: 24.2 % 
      
      
        elderly dependency ratio: 22.9 % 
      
      
        potential support ratio: 4.4 (2014 est.)"
Central African Republic,"total dependency ratio: 76.5 % 
      
      
        youth dependency ratio: 69.7 % 
      
      
        elderly dependency ratio: 6.7 % 
      
      
        potential support ratio: 14.8 (2014 est.)"
Chad,"total dependency ratio: 102.2 % 
      
      
        youth dependency ratio: 97.4 % 
      
      
        elderly dependency ratio: 4.8 % 
      
      
        potential support ratio: 20.7 (2014 est.)"
Chile,"total dependency ratio: 45.1 % 
      
      
        youth dependency ratio: 30.2 % 
      
      
        elderly dependency ratio: 14.9 % 
      
      
        potential support ratio: 6.7 (2014 est.)"
