Albania,"34.5 (2008) 
      
      26.7 (2005)"
Algeria,35.3 (1995)
Argentina,45.8 (2009)
Armenia,"30.9 (2008) 
      
      44.4 (1996)"
Australia,"30.3 (2008) 
      
      35.2 (1994)"
Austria,"26.3 (2007) 
      
      31 (1995)"
Azerbaijan,"33.7 (2008) 
      
      36.5 (2001)"
Bangladesh,"32.1 (2010) 
      
      33.6 (1996)"
Belarus,"27.2 (2008) 
      
      21.7 (1998)"
Belgium,"28 (2005) 
      
      28.7 (1996)"
Benin,36.5 (2003)
Bhutan,"38.7 
      
      38.1"
Bolivia,"47 (2011) 
      
      57.9 (1999)"
Bosnia and Herzegovina,36.2 (2007)
Botswana,63 (1993)
Brazil,"51.9 (2012) 
      
      55.3 (2001)"
Bulgaria,"45.3 (2007) 
      
      26 (2001)"
Burkina Faso,"39.5 (2007) 
      
      48.2 (1994)"
Burundi,42.4 (1998)
Cambodia,"37.9 (2008 est.) 
      
      41.9 (2004 est.)"
Cameroon,"44.6 (2001) 
      
      47.7 (1996)"
Canada,"32.1 (2005) 
      
      31.5 (1994)"
Central African Republic,61.3 (1993)
Chile,"52.1 (2009) 
      
      57.1 (2000)"
China,"47.3 (2013) 
      
      47.4 (2012)"
Colombia,"55.9 (2010) 
      
      56.9 (1996)"
Costa Rica,"50.3 (2009) 
      
      45.9 (1997)"
Cote d'Ivoire,"41.5 (2008) 
      
      36.7 (1995)"
Croatia,"32 (2010) 
      
      29 (1998)"
Cyprus,"31 (2012 est.) 
      
      29 (2005 est.)"
Czech Republic,"24.9 (2012) 
      
      25.4 (1996)"
Denmark,"24.8 (2011 est.) 
      
      24.7 (1992)"
Djibouti,40.9 (2002)
Dominican Republic,"47.2 (2010 est.) 
      
      52 (2000 est.)"
Ecuador,"48.5 (December 2013) 
      
      50.5 (December 2010) 
      
      
        note: data are for urban households"
Egypt,"30.8 (2008) 
      
      32.1 (2005)"
El Salvador,"46.9 (2007) 
      
      52.5 (2001)"
Estonia,"31.3 (2010) 
      
      37 (1999)"
Ethiopia,"33 (2011) 
      
      30 (2000)"
European Union,"30.6 (2012 est.) 
      
      30.8 (2011 est.)"
Finland,"26.8 (2008) 
      
      25.6 (1991)"
France,"30.6 (2011) 
      
      27.9 (1996)"
"Gambia, The",50.2 (1998)
Georgia,"46 (2011) 
      
      37.1 (1996)"
Germany,"27 (2006) 
      
      30 (1994)"
Ghana,"39.4 (2005-06) 
      
      40.7 (1999)"
