Afghanistan,"improved:  
      
      urban: 89.9% of population 
      
      rural: 56.1% of population 
      
      total: 64.2% of population 
      
      
        unimproved: 
      
      urban: 10.1% of population 
      
      rural: 43.9% of population 
      
      total: 35.8% of population (2012 est.)"
Albania,"improved:  
      
      urban: 97.3% of population 
      
      rural: 93.8% of population 
      
      total: 95.7% of population 
      
      
        unimproved: 
      
      urban: 2.7% of population 
      
      rural: 6.2% of population 
      
      total: 4.3% of population (2012 est.)"
Algeria,"improved:  
      
      urban: 85.5% of population 
      
      rural: 79.5% of population 
      
      total: 83.9% of population 
      
      
        unimproved: 
      
      urban: 14.5% of population 
      
      rural: 20.5% of population 
      
      total: 16.1% of population (2012 est.)"
American Samoa,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Andorra,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Angola,"improved:  
      
      urban: 67.6% of population 
      
      rural: 34.3% of population 
      
      total: 54.3% of population 
      
      
        unimproved: 
      
      urban: 32.4% of population 
      
      rural: 65.7% of population 
      
      total: 45.7% of population (2012 est.)"
Anguilla,"improved:  
      
      urban: 94.6% of population 
      
      total: 94.6% of population 
      
      
        unimproved: 
      
      urban: 5.4% of population 
      
      total: 5.4% of population (2012 est.)"
Antigua and Barbuda,"improved:  
      
      urban: 97.9% of population 
      
      rural: 97.9% of population 
      
      total: 97.9% of population 
      
      
        unimproved: 
      
      urban: 2.1% of population 
      
      rural: 2.1% of population 
      
      total: 2.1% of population (2012 est.)"
Argentina,"improved:  
      
      urban: 99% of population 
      
      rural: 95.3% of population 
      
      total: 98.7% of population 
      
      
        unimproved: 
      
      urban: 1% of population 
      
      rural: 4.7% of population 
      
      total: 1.3% of population (2012 est.)"
Armenia,"improved:  
      
      urban: 99.7% of population 
      
      rural: 100% of population 
      
      total: 99.8% of population 
      
      
        unimproved: 
      
      urban: 0.3% of population 
      
      rural: 0% of population 
      
      total: 0.2% of population (2012 est.)"
Aruba,"improved:  
      
      urban: 97.8% of population 
      
      rural: 97.8% of population 
      
      total: 97.8% of population 
      
      
        unimproved: 
      
      urban: 2.2% of population 
      
      rural: 2.2% of population 
      
      total: 2.2% of population (2012 est.)"
Australia,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Austria,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Azerbaijan,"improved:  
      
      urban: 88.4% of population 
      
      rural: 70.7% of population 
      
      total: 80.2% of population 
      
      
        unimproved: 
      
      urban: 11.6% of population 
      
      rural: 29.3% of population 
      
      total: 19.8% of population (2012 est.)"
"Bahamas, The","improved:  
      
      urban: 98.4% of population 
      
      rural: 98.4% of population 
      
      total: 98.4% of population 
      
      
        unimproved: 
      
      urban: 1.6% of population 
      
      rural: 1.6% of population 
      
      total: 1.6% of population (2012 est.)"
Bahrain,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Bangladesh,"improved:  
      
      urban: 85.8% of population 
      
      rural: 84.4% of population 
      
      total: 84.8% of population 
      
      
        unimproved: 
      
      urban: 14.2% of population 
      
      rural: 15.6% of population 
      
      total: 15.2% of population (2012 est.)"
Barbados,"improved:  
      
      urban: 99.8% of population 
      
      rural: 99.8% of population 
      
      total: 99.8% of population 
      
      
        unimproved: 
      
      urban: 0.2% of population 
      
      rural: 0.2% of population 
      
      total: 0.2% of population (2012 est.)"
Belarus,"improved:  
      
      urban: 99.8% of population 
      
      rural: 99% of population 
      
      total: 99.6% of population 
      
      
        unimproved: 
      
      urban: 0.2% of population 
      
      rural: 1% of population 
      
      total: 0.4% of population (2012 est.)"
Belgium,"improved:  
      
      urban: 100% of population 
      
      rural: 100% of population 
      
      total: 100% of population 
      
      
        unimproved: 
      
      urban: 0% of population 
      
      rural: 0% of population 
      
      total: 0% of population (2012 est.)"
Belize,"improved:  
      
      urban: 98.4% of population 
      
      rural: 100% of population 
      
      total: 99.3% of population 
      
      
        unimproved: 
      
      urban: 1.6% of population 
      
      rural: 0% of population 
      
      total: 0.7% of population (2012 est.)"
Benin,"improved:  
      
      urban: 84.5% of population 
      
      rural: 69.1% of population 
      
      total: 76.1% of population 
      
      
        unimproved: 
      
      urban: 15.5% of population 
      
      rural: 30.9% of population 
      
      total: 23.9% of population (2012 est.)"
Bhutan,"improved:  
      
      urban: 99.4% of population 
      
      rural: 97.3% of population 
      
      total: 98.1% of population 
      
      
        unimproved: 
      
      urban: 0.6% of population 
      
      rural: 2.7% of population 
      
      total: 1.9% of population (2012 est.)"
