Afghanistan,NA
Albania,3.3% of GDP (2007)
Algeria,4.3% of GDP (2008)
Andorra,NA
Angola,3.5% of GDP (2010)
Anguilla,2.8% of GDP (2008)
Antigua and Barbuda,2.4% of GDP (2009)
Argentina,6.3% of GDP (2011)
Armenia,3.3% of GDP (2012)
Aruba,6% of GDP (2011)
Australia,5.6% of GDP (2010)
Austria,5.9% of GDP (2010)
Azerbaijan,2.4% of GDP (2011)
"Bahamas, The",NA
Bahrain,2.6% of GDP (2012)
Bangladesh,2.2% of GDP (2009)
Barbados,5.6% of GDP (2012)
Belarus,5.1% of GDP (2012)
Belgium,6.6% of GDP (2010)
Belize,6.6% of GDP (2010)
Benin,5.3% of GDP (2010)
Bermuda,2.6% of GDP (2010)
Bhutan,4.7% of GDP (2011)
Bolivia,6.9% of GDP (2011)
Bosnia and Herzegovina,NA
Botswana,9.5% of GDP (2009)
Brazil,5.8% of GDP (2010)
British Virgin Islands,4.4% of GDP (2010)
Brunei,3.5% of GDP (2013)
Bulgaria,4.1% of GDP (2010)
Burkina Faso,3.4% of GDP (2011)
Burma,0.8% of GDP (2011)
Burundi,5.8% of GDP (2012)
Cabo Verde,5% of GDP (2011)
Cambodia,2.6% of GDP (2010)
Cameroon,3.2% of GDP (2011)
Canada,5.4% of GDP (2011)
Cayman Islands,NA
Central African Republic,1.2% of GDP (2011)
Chad,2.3% of GDP (2011)
Chile,4.5% of GDP (2012)
China,NA
Colombia,4.4% of GDP (2012)
Comoros,7.6% of GDP (2008)
"Congo, Democratic Republic of the",2.5% of GDP (2010)
"Congo, Republic of the",6.2% of GDP (2010)
Cook Islands,3.1% of GDP (2011)
Costa Rica,6.3% of GDP (2009)
Cote d'Ivoire,4.6% of GDP (2008)
Croatia,4.3% of GDP (2010)
Cuba,12.8% of GDP (2010)
Cyprus,7.3% of GDP (2010)
Czech Republic,4.2% of GDP (2010)
Denmark,8.7% of GDP (2009)
Djibouti,8.4% of GDP (2007)
Dominica,3.5% of GDP (2010)
Dominican Republic,2.2% of GDP (2012)
Ecuador,4.4% of GDP (2012)
Egypt,3.8% of GDP (2008)
El Salvador,3.4% of GDP (2011)
Equatorial Guinea,0.6% of GDP (2002)
Eritrea,2.1% of GDP (2006)
Estonia,5.7% of GDP (2010)
Ethiopia,4.7% of GDP (2010)
Fiji,4.2% of GDP (2011)
Finland,6.8% of GDP (2010)
France,5.9% of GDP (2010)
Gabon,NA
"Gambia, The",4.1% of GDP (2012)
Georgia,2% of GDP (2012)
Germany,5.1% of GDP (2010)
Ghana,8.1% of GDP (2011)
Gibraltar,NA
Greece,4.1% of GDP (2005)
Grenada,3.9% of GDP (2003)
Guatemala,3% of GDP (2012)
Guinea,2.5% of GDP (2012)
