Afghanistan,2.489 billion kWh (2010 est.)
Albania,4.551 billion kWh (2013 est.)
Algeria,33.68 billion kWh (2010 est.)
American Samoa,147.9 million kWh (2010 est.)
Andorra,562.4 million kWh (2012)
Angola,4.592 billion kWh (2010 est.)
Antigua and Barbuda,107 million kWh (2010 est.)
Argentina,111.1 billion kWh (2010 est.)
Armenia,5.8 billion kWh (2011 est.)
Aruba,911.4 million kWh (2010 est.)
Australia,213.5 billion kWh (2010 est.)
Austria,63.8 billion kWh (2011 est.)
Azerbaijan,20.29 billion kWh (2012 est.)
"Bahamas, The",1.795 billion kWh (2010 est.)
Bahrain,12.97 billion kWh (2011 est.)
Bangladesh,38.89 billion kWh (2010 est.)
Barbados,986 million kWh (2010 est.)
Belarus,31.74 billion kWh (2010 est.)
Belgium,84.68 billion kWh (2010 est.)
Belize,630 million kWh (2011 est.)
Benin,870.1 million kWh (2010 est.)
Bermuda,638.4 million kWh (2010 est.)
Bhutan,1.68 billion kWh (2010 est.)
Bolivia,6.944 billion kWh (2012 est.)
Bosnia and Herzegovina,12.62 billion kWh (2012 est.)
Botswana,3.118 billion kWh (2011 est.)
Brazil,455.8 billion kWh (2010 est.)
British Virgin Islands,46.5 million kWh (2010 est.)
Brunei,3.391 billion kWh (2011 est.)
Bulgaria,30.46 billion kWh (2010 est.)
Burkina Faso,773.1 million kWh (2010 est.)
Burma,6.093 billion kWh (2010 est.)
Burundi,221.4 million kWh (2010 est.)
Cabo Verde,266.9 million kWh (2010 est.)
Cambodia,2.573 billion kWh (2011 est.)
Cameroon,5.181 billion kWh (2010 est.)
Canada,499.9 billion kWh (2010 est.)
Cayman Islands,552 million kWh (2010 est.)
Central African Republic,148.8 million kWh (2010 est.)
Chad,91.14 million kWh (2010 est.)
Chile,53.93 billion kWh (2010 est.)
China,5.322 trillion kWh (2013)
Colombia,45.35 billion kWh (2010 est.)
Comoros,37.2 million kWh (2010 est.)
"Congo, Democratic Republic of the",6.197 billion kWh (2010 est.)
"Congo, Republic of the",588 million kWh (2012 est.)
Cook Islands,28.95 million kWh (2010 est.)
Costa Rica,8.532 billion kWh (2010 est.)
Cote d'Ivoire,3.865 billion kWh (2010 est.)
Croatia,16.7 billion kWh (2012 est.)
Cuba,13.64 billion kWh (2010 est.)
Curacao,968 million kWh (2008 est.)
Cyprus,4.356 billion kWh (2012 est.)
Czech Republic,70.45 billion kWh (2012 est.)
Denmark,33.56 billion kWh (2010 est.)
Djibouti,302.3 million kWh (2010 est.)
Dominica,93.47 million kWh (2010 est.)
Dominican Republic,13.11 billion kWh (2010 est.)
Ecuador,19.38 billion kWh (2010 est.)
Egypt,122.4 billion kWh (2010 est.)
El Salvador,5.756 billion kWh (2011 est.)
Equatorial Guinea,90.21 million kWh (2010 est.)
Eritrea,253.5 million kWh (2010 est.)
Estonia,7.948 billion kWh (2010 est.)
Ethiopia,4.451 billion kWh (2010 est.)
European Union,3.037 trillion kWh (2009 est.)
Falkland Islands (Islas Malvinas),17.67 million kWh (2010 est.)
Faroe Islands,249 million kWh (2010 est.)
Fiji,808.3 million kWh (2010 est.)
Finland,84.83 billion kWh (2010 est.)
France,462.9 billion kWh (2012 est.)
French Polynesia,625 million kWh (2010 est.)
Gabon,1.442 billion kWh (2010 est.)
"Gambia, The",213.9 million kWh (2010 est.)
Gaza Strip,"202,000 kWh (2009)"
Georgia,9.379 billion kWh (2012 est.)
Germany,582.5 billion kWh (2012 est.)
Ghana,5.311 billion kWh (2010 est.)
Gibraltar,154.7 million kWh (2010 est.)
Greece,56.4 billion kWh (2010 est.)
Greenland,279 million kWh (2010 est.)
Grenada,178.4 million kWh (2010 est.)
Guam,1.635 billion kWh (2010 est.)
Guatemala,8.161 billion kWh (2011 est.)
Guinea,901.2 million kWh (2010 est.)
Guinea-Bissau,62.31 million kWh (2010 est.)
Guyana,512 million kWh (2010 est.)
Haiti,208.5 million kWh (2012 est.)
Honduras,4.85 billion kWh (2010 est.)
Hong Kong,44.21 billion kWh (2013 est.)
Hungary,36.13 billion kWh (2012 est.)
Iceland,16.23 billion kWh (2010 est.)
India,698.8 billion kWh (2010 est.)
Indonesia,158 billion kWh (2011 est.)
Iran,199.8 billion kWh (2011 est.)
Iraq,53.41 billion kWh (2013 est.)
Ireland,26.1 billion kWh (2011 est.)
Israel,48.73 billion kWh (2010 est.)
Italy,307.2 billion kWh (2012 est.)
Jamaica,3.066 billion kWh (2010 est.)
Japan,859.7 billion kWh (2012 est.)
Jersey,630.1 million kWh (2004 est.)
Jordan,13.54 billion kWh (2011 est.)
Kazakhstan,88.11 billion kWh (2011 est.)
Kenya,6.15 billion kWh (2010 est.)
Kiribati,23.25 million kWh (2010 est.)
"Korea, North",17.62 billion kWh (2010 est.)
"Korea, South",449.5 billion kWh (2010 est.)
Kosovo,5.467 billion kWh (2012)
Kuwait,46.71 billion kWh (2010 est.)
Kyrgyzstan,7.326 billion kWh (2010 est.)
Laos,2.4 billion kWh (2012 est.)
Latvia,6.56 billion kWh (2010 est.)
