Afghanistan,0 kWh (2012 est.)
Albania,1.424 billion kWh (2013 est.)
Algeria,803 million kWh (2010 est.)
American Samoa,0 kWh (2012 est.)
Andorra,0 kWh (2012 est.)
Angola,0 kWh (2012 est.)
Antigua and Barbuda,0 kWh (2012 est.)
Argentina,1.701 billion kWh (2010 est.)
Armenia,1.36 billion kWh (2011 est.)
Aruba,0 kWh (2012 est.)
Australia,0 kWh (2012 est.)
Austria,20.46 billion kWh (2012 est.)
Azerbaijan,462 million kWh (2010 est.)
"Bahamas, The",0 kWh (2012 est.)
Bahrain,0 kWh (2012 est.)
Bangladesh,0 kWh (2012 est.)
Barbados,0 kWh (2012 est.)
Belarus,5.067 billion kWh (2010 est.)
Belgium,6.911 billion kWh (2012 est.)
Belize,0 kWh (2012 est.)
Benin,0 kWh (2012 est.)
Bermuda,0 kWh (2012 est.)
Bhutan,5.4 billion kWh (2010 est.)
Bolivia,0 kWh (2013 est.)
Bosnia and Herzegovina,1.569 billion kWh (2012 est.)
Botswana,0 kWh (2012 est.)
Brazil,2.544 billion kWh (2011 est.)
British Virgin Islands,0 kWh (2012 est.)
Brunei,0 kWh (2012 est.)
Bulgaria,12.11 billion kWh (2011 est.)
Burkina Faso,0 kWh (2012 est.)
Burma,0 kWh (2012 est.)
Burundi,0 kWh (2012 est.)
Cabo Verde,0 kWh (2012 est.)
Cambodia,0 kWh (2012 est.)
Cameroon,0 kWh (2012 est.)
Canada,57.97 billion kWh (2012 est.)
Cayman Islands,0 kWh (2012 est.)
Central African Republic,0 kWh (2012 est.)
Chad,0 kWh (2012 est.)
Chile,0 kWh (2012 est.)
China,18.67 billion kWh (2013)
Colombia,1.294 billion kWh (2011 est.)
Comoros,0 kWh (2012 est.)
"Congo, Democratic Republic of the",916 million kWh (2010 est.)
"Congo, Republic of the",0 kWh (2012 est.)
Cook Islands,0 kWh (2012 est.)
Costa Rica,135 million kWh (2010 est.)
Cote d'Ivoire,471 million kWh (2010 est.)
Croatia,3.294 billion kWh (2013 est.)
Cuba,0 kWh (2012 est.)
Curacao,0 kWh (2009 est.)
Cyprus,0 kWh (2012 est.)
Czech Republic,27.45 billion kWh (2012 est.)
Denmark,10.71 billion kWh (2012 est.)
Djibouti,0 kWh (2012 est.)
Dominica,0 kWh (2012 est.)
Dominican Republic,0 kWh (2012 est.)
Ecuador,14.1 million kWh (2010 est.)
Egypt,1.595 billion kWh (2010 est.)
El Salvador,101.6 million kWh (2011 est.)
Equatorial Guinea,0 kWh (2012 est.)
Eritrea,0 kWh (2012 est.)
Estonia,4.95 billion kWh (2012 est.)
Ethiopia,0 kWh (2012 est.)
Falkland Islands (Islas Malvinas),0 kWh (2012 est.)
Faroe Islands,0 kWh (2012 est.)
Fiji,0 kWh (2012 est.)
Finland,1.645 billion kWh (2012 est.)
France,73.4 billion kWh (2012 est.)
French Polynesia,0 kWh (2012 est.)
Gabon,0 kWh (2012 est.)
"Gambia, The",0 kWh (2012 est.)
Gaza Strip,0 kWh (2011 est.)
Georgia,1.492 billion kWh (2010 est.)
Germany,66.81 billion kWh (2012 est.)
Ghana,1.036 billion kWh (2010 est.)
Gibraltar,0 kWh (2012 est.)
Greece,4.122 billion kWh (2012 est.)
Greenland,0 kWh (2012 est.)
Grenada,0 kWh (2012 est.)
Guam,0 kWh (2012 est.)
Guatemala,193.3 million kWh (2011 est.)
Guinea,0 kWh (2012 est.)
Guinea-Bissau,0 kWh (2012 est.)
Guyana,0 kWh (2012 est.)
Haiti,0 kWh (2012 est.)
