Afghanistan,23.5% of total installed capacity (2010 est.)
Albania,5.6% of total installed capacity (2012 est.)
Algeria,97.5% of total installed capacity (2010 est.)
American Samoa,100% of total installed capacity (2010 est.)
Andorra,61.3% of total installed capacity
Angola,56.9% of total installed capacity (2010 est.)
Antigua and Barbuda,100% of total installed capacity (2010 est.)
Argentina,66.2% of total installed capacity (2010 est.)
Armenia,55.6% of total installed capacity (2010 est.)
Aruba,88.7% of total installed capacity (2010 est.)
Australia,78.7% of total installed capacity (2010 est.)
Austria,27.5% of total installed capacity (2012 est.)
Azerbaijan,84.5% of total installed capacity (2010 est.)
"Bahamas, The",100% of total installed capacity (2012 est.)
Bahrain,100% of total installed capacity (2011 est.)
Bangladesh,97.7% of total installed capacity (2013 est.)
Barbados,100% of total installed capacity (2010 est.)
Belarus,99.7% of total installed capacity (2010 est.)
Belgium,43.6% of total installed capacity (2010 est.)
Belize,51.1% of total installed capacity (2010 est.)
Benin,98.4% of total installed capacity (2010 est.)
Bermuda,98.2% of total installed capacity (2012 est.)
Bhutan,1.1% of total installed capacity (2010 est.)
Bolivia,63.6% of total installed capacity (2012 est.)
Bosnia and Herzegovina,43.3% of total installed capacity (2012 est.)
Botswana,100% of total installed capacity (2010 est.)
Brazil,19.6% of total installed capacity (2010 est.)
British Virgin Islands,100% of total installed capacity (2010 est.)
Brunei,100% of total installed capacity (2010 est.)
Bulgaria,45.7% of total installed capacity (2010 est.)
Burkina Faso,87.3% of total installed capacity (2010 est.)
Burma,53.3% of total installed capacity (2010 est.)
Burundi,1.9% of total installed capacity (2010 est.)
Cabo Verde,96.9% of total installed capacity (2010 est.)
Cambodia,94.8% of total installed capacity (2010 est.)
Cameroon,27.8% of total installed capacity (2010 est.)
Canada,31.7% of total installed capacity (2010 est.)
Cayman Islands,100% of total installed capacity (2010 est.)
Central African Republic,43.2% of total installed capacity (2010 est.)
Chad,100% of total installed capacity (2010 est.)
Chile,62% of total installed capacity (2010 est.)
China,69.1% of total installed capacity (2013 est.)
Colombia,32.9% of total installed capacity (2010 est.)
Comoros,83.3% of total installed capacity (2010 est.)
"Congo, Democratic Republic of the",1.4% of total installed capacity (2010 est.)
"Congo, Republic of the",51.2% of total installed capacity (2012 est.)
Cook Islands,98.9% of total installed capacity (2010 est.)
Costa Rica,32.4% of total installed capacity (2010 est.)
Cote d'Ivoire,50.6% of total installed capacity (2010 est.)
Croatia,45.9% of total installed capacity (2010 est.)
Cuba,99.3% of total installed capacity (2011 est.)
Cyprus,94.2% of total installed capacity (2010 est.)
Czech Republic,63.6% of total installed capacity (2012 est.)
Denmark,63% of total installed capacity (2010 est.)
Djibouti,100% of total installed capacity (2010 est.)
Dominica,19.6% of total installed capacity (2010 est.)
Dominican Republic,90.6% of total installed capacity (2010 est.)
Ecuador,55.3% of total installed capacity (2010 est.)
Egypt,87.6% of total installed capacity (2010 est.)
El Salvador,52.6% of total installed capacity (2010 est.)
Equatorial Guinea,97.4% of total installed capacity (2010 est.)
Eritrea,98.7% of total installed capacity (2010 est.)
Estonia,93.4% of total installed capacity (2010 est.)
Ethiopia,9.9% of total installed capacity (2010 est.)
Falkland Islands (Islas Malvinas),90% of total installed capacity (2010 est.)
Faroe Islands,64.9% of total installed capacity (2010 est.)
Fiji,49% of total installed capacity (2010 est.)
Finland,52.3% of total installed capacity (2010 est.)
France,22.1% of total installed capacity (2010 est.)
French Polynesia,74.7% of total installed capacity (2010 est.)
