Afghanistan,76.5% of total installed capacity (2010 est.)
Albania,94.4% of total installed capacity (2012 est.)
Algeria,2.5% of total installed capacity (2010 est.)
American Samoa,0% of total installed capacity (2010 est.)
Andorra,23.3% of total installed capacity
Angola,43.1% of total installed capacity (2010 est.)
Antigua and Barbuda,0% of total installed capacity (2010 est.)
Argentina,27.6% of total installed capacity (2010 est.)
Armenia,33.5% of total installed capacity (2010 est.)
Aruba,0% of total installed capacity (2010 est.)
Australia,13.6% of total installed capacity (2010 est.)
Austria,59.6% of total installed capacity (2012 est.)
Azerbaijan,15.4% of total installed capacity (2010 est.)
"Bahamas, The",0% of total installed capacity (2012 est.)
Bahrain,0% of total installed capacity (2011 est.)
Bangladesh,2.3% of total installed capacity (2013 est.)
Barbados,0% of total installed capacity (2010 est.)
Belarus,0.2% of total installed capacity (2010 est.)
Belgium,0.6% of total installed capacity (2010 est.)
Belize,32% of total installed capacity (2010 est.)
Benin,1.6% of total installed capacity (2010 est.)
Bermuda,0% of total installed capacity (2012 est.)
Bhutan,98.9% of total installed capacity (2010 est.)
Bolivia,34.9% of total installed capacity (2012 est.)
Bosnia and Herzegovina,53.2% of total installed capacity (2012 est.)
Botswana,0% of total installed capacity (2010 est.)
Brazil,71% of total installed capacity (2010 est.)
British Virgin Islands,0% of total installed capacity (2010 est.)
Brunei,0% of total installed capacity (2010 est.)
Bulgaria,21.8% of total installed capacity (2010 est.)
Burkina Faso,12.7% of total installed capacity (2010 est.)
Burma,46.7% of total installed capacity (2010 est.)
Burundi,98.1% of total installed capacity (2010 est.)
Cabo Verde,0% of total installed capacity (2010 est.)
Cambodia,3.6% of total installed capacity (2010 est.)
Cameroon,72.2% of total installed capacity (2010 est.)
Canada,54.7% of total installed capacity (2010 est.)
Cayman Islands,0% of total installed capacity (2010 est.)
Central African Republic,56.8% of total installed capacity (2010 est.)
Chad,0% of total installed capacity (2010 est.)
Chile,33.7% of total installed capacity (2010 est.)
China,22.5% of total installed capacity (2013 est.)
Colombia,66.6% of total installed capacity (2010 est.)
Comoros,16.7% of total installed capacity (2010 est.)
"Congo, Democratic Republic of the",98.6% of total installed capacity (2010 est.)
"Congo, Republic of the",48.8% of total installed capacity (2012 est.)
Cook Islands,0% of total installed capacity (2010 est.)
Costa Rica,55.5% of total installed capacity (2010 est.)
Cote d'Ivoire,49.4% of total installed capacity (2010 est.)
Croatia,44.7% of total installed capacity (2010 est.)
Cuba,0.6% of total installed capacity (2011 est.)
Cyprus,0% of total installed capacity (2010 est.)
Czech Republic,5.2% of total installed capacity (2012 est.)
Denmark,0.1% of total installed capacity (2010 est.)
Djibouti,0% of total installed capacity (2010 est.)
Dominica,6.2% of total installed capacity (2010 est.)
Dominican Republic,9.2% of total installed capacity (2010 est.)
Ecuador,42.8% of total installed capacity (2010 est.)
Egypt,10.4% of total installed capacity (2010 est.)
El Salvador,31.6% of total installed capacity (2010 est.)
Equatorial Guinea,2.6% of total installed capacity (2010 est.)
Eritrea,0% of total installed capacity (2010 est.)
Estonia,0.2% of total installed capacity (2010 est.)
Ethiopia,89.7% of total installed capacity (2010 est.)
Falkland Islands (Islas Malvinas),0% of total installed capacity (2010 est.)
Faroe Islands,31% of total installed capacity (2010 est.)
Fiji,45.3% of total installed capacity (2010 est.)
Finland,18.8% of total installed capacity (2010 est.)
France,14.7% of total installed capacity (2010 est.)
French Polynesia,25.3% of total installed capacity (2010 est.)
Gabon,41% of total installed capacity (2010 est.)
"Gambia, The",0% of total installed capacity (2010 est.)
Georgia,62.8% of total installed capacity (2010 est.)
Germany,6% of total installed capacity (2012 est.)
Ghana,59.4% of total installed capacity (2010 est.)
Gibraltar,0% of total installed capacity (2010 est.)
Greece,16.2% of total installed capacity (2010 est.)
Greenland,0% of total installed capacity (2010 est.)
Grenada,0% of total installed capacity (2010 est.)
Guam,0% of total installed capacity (2010 est.)
Guatemala,31.1% of total installed capacity (2010 est.)
Guinea,31.6% of total installed capacity (2010 est.)
Guinea-Bissau,0% of total installed capacity (2010 est.)
Guyana,0.3% of total installed capacity (2010 est.)
Haiti,21% of total installed capacity (2011 est.)
Honduras,30.9% of total installed capacity (2010 est.)
Hong Kong,0% of total installed capacity (2013 est.)
Hungary,1% of total installed capacity (2011 est.)
Iceland,73% of total installed capacity (2010 est.)
India,19.5% of total installed capacity (31 March 2012 est)
Indonesia,9.9% of total installed capacity (2011 est.)
Iran,13.7% of total installed capacity (2010 est.)
Iraq,7.6% of total installed capacity (2013 est.)
Ireland,2.9% of total installed capacity (2010 est.)
Israel,0% of total installed capacity (2010 est.)
