Afghanistan,1.572 billion kWh (2010 est.)
Albania,2.322 billion kWh (2013 est.)
Algeria,736 million kWh (2010 est.)
American Samoa,0 kWh (2012 est.)
Andorra,0 kWh (2012 est.)
Angola,0 kWh (2012 est.)
Antigua and Barbuda,0 kWh (2012 est.)
Argentina,10.3 billion kWh (2010 est.)
Armenia,246 million kWh (2010 est.)
Aruba,0 kWh (2012 est.)
Australia,0 kWh (2012 est.)
Austria,23.26 billion kWh (2012 est.)
Azerbaijan,100 million kWh (2010 est.)
"Bahamas, The",0 kWh (2012 est.)
Bahrain,214 million kWh (2011 est.)
Bangladesh,"500,000 kWh (2013 est.)"
Barbados,0 kWh (2012 est.)
Belarus,7.767 billion kWh (2010 est.)
Belgium,16.85 billion kWh (2012 est.)
Belize,171 million kWh (2011 est.)
Benin,935 million kWh (2010 est.)
Bermuda,0 kWh (2012 est.)
Bhutan,20 million kWh (2010 est.)
Bolivia,0 kWh (2013 est.)
Bosnia and Herzegovina,1.245 billion kWh (2012 est.)
Botswana,2.985 billion kWh (2010 est.)
Brazil,38.43 billion kWh (2011 est.)
British Virgin Islands,0 kWh (2012 est.)
Brunei,0 kWh (2012 est.)
Bulgaria,1.45 billion kWh (2011 est.)
Burkina Faso,150 million kWh (2010 est.)
Burma,0 kWh (2012 est.)
Burundi,80 million kWh (2010 est.)
Cabo Verde,0 kWh (2012 est.)
Cambodia,1.83 billion kWh (2011 est.)
Cameroon,0 kWh (2012 est.)
Canada,11.39 billion kWh (2012 est.)
Cayman Islands,0 kWh (2012 est.)
Central African Republic,0 kWh (2012 est.)
Chad,0 kWh (2012 est.)
Chile,734 million kWh (2011 est.)
China,7.438 billion kWh (2013)
Colombia,8.22 billion kWh (2011 est.)
Comoros,0 kWh (2012 est.)
"Congo, Democratic Republic of the",161 million kWh (2010 est.)
"Congo, Republic of the",495 million kWh (2010 est.)
Cook Islands,0 kWh (2012 est.)
Costa Rica,164 million kWh (2010 est.)
Cote d'Ivoire,0 kWh (2012 est.)
Croatia,6.844 billion kWh (2013 est.)
Cuba,0 kWh (2012 est.)
Curacao,0 kWh (2009 est.)
Cyprus,0 kWh (2012 est.)
Czech Republic,10.33 billion kWh (2012 est.)
Denmark,15.92 billion kWh (2012 est.)
Djibouti,0 kWh (2012 est.)
Dominica,0 kWh (2012 est.)
Dominican Republic,0 kWh (2012 est.)
Ecuador,1.3 billion kWh (2010 est.)
Egypt,156 million kWh (2010 est.)
El Salvador,251 million kWh (2011 est.)
Equatorial Guinea,0 kWh (2012 est.)
Eritrea,0 kWh (2012 est.)
Estonia,2.71 billion kWh (2012 est.)
Ethiopia,0 kWh (2012 est.)
Falkland Islands (Islas Malvinas),0 kWh (2012 est.)
Faroe Islands,0 kWh (2012 est.)
Fiji,0 kWh (2012 est.)
Finland,19.09 billion kWh (2012 est.)
France,29 billion kWh (2012 est.)
French Polynesia,0 kWh (2012 est.)
Gabon,0 kWh (2012 est.)
"Gambia, The",0 kWh (2012 est.)
Gaza Strip,"193,000 kWh (2011 est.)"
Georgia,614 million kWh (2012 est.)
Germany,46.27 billion kWh (2012 est.)
Ghana,106 million kWh (2010 est.)
Gibraltar,0 kWh (2012 est.)
Greece,5.946 billion kWh (2012 est.)
Greenland,0 kWh (2012 est.)
Grenada,0 kWh (2012 est.)
Guam,0 kWh (2012 est.)
Guatemala,525.6 million kWh (2011 est.)
Guinea,0 kWh (2012 est.)
Guinea-Bissau,0 kWh (2012 est.)
Guyana,0 kWh (2012 est.)
Haiti,0 kWh (2012 est.)
Honduras,22 million kWh (2010 est.)
Hong Kong,11.47 billion kWh (2013 est.)
Hungary,16.97 billion kWh (2012 est.)
Iceland,0 kWh (2012 est.)
India,5.7 billion kWh (2011 est.)
Indonesia,2.542 billion kWh (2011 est.)
Iran,3.015 billion kWh (2010 est.)
Iraq,9.802 billion kWh (2013 est.)
Ireland,724 million kWh (2012 est.)
Israel,0 kWh (2012 est.)
Italy,45.41 billion kWh (2012 est.)
Jamaica,0 kWh (2012 est.)
Japan,0 kWh (2012 est.)
Jordan,1.738 billion kWh (2011 est.)
Kazakhstan,3.7 billion kWh (2011 est.)
Kenya,31 million kWh (2010 est.)
Kiribati,0 kWh (2012 est.)
"Korea, North",0 kWh (2012 est.)
"Korea, South",0 kWh (2012 est.)
Kosovo,625.1 million kWh
Kuwait,0 kWh (2012 est.)
Kyrgyzstan,0 kWh (2010 est.)
Laos,1 billion kWh (2010 est.)
Latvia,4.009 billion kWh (2011 est.)
Lebanon,1.245 billion kWh (2010 est.)
Lesotho,247 million kWh (2011 est.)
Liberia,0 kWh (2012 est.)
Libya,76 million kWh (2010 est.)
Liechtenstein,1.214 billion kWh (2012)
Lithuania,1.17 billion kWh (2012 est.)
Luxembourg,6.684 billion kWh (2012 est.)
Macau,4.059 billion kWh (2013 est.)
Macedonia,2.491 billion kWh (2013 est.)
Madagascar,0 kWh (2012 est.)
Malawi,0 kWh (2012 est.)
Malaysia,33 million kWh (2010 est.)
Maldives,0 kWh (2012 est.)
Mali,0 kWh (2012 est.)
Malta,0 kWh (2013 est.)
Mauritania,0 kWh (2012 est.)
Mauritius,0 kWh (2012 est.)
Mexico,603 million kWh (2012 est.)
"Micronesia, Federated States of",0 kWh (2002)
Moldova,3.297 billion kWh (2012 est.)
Mongolia,263 million kWh (2010 est.)
Montenegro,732 million kWh (2010 est.)
Montserrat,0 kWh (2012 est.)
Morocco,3.94 billion kWh (2010 est.)
Mozambique,8.537 billion kWh (2012 est.)
Namibia,2.907 billion kWh (2013 est.)
Nauru,0 kWh (2012 est.)
Nepal,694 million kWh (2010 est.)
Netherlands,33.25 billion kWh (2013 est.)
New Caledonia,0 kWh (2012 est.)
New Zealand,0 kWh (2012 est.)
Nicaragua,10 million kWh (2010 est.)
Niger,600 million kWh (2010 est.)
Nigeria,0 kWh (2012 est.)
Niue,0 kWh (2012 est.)
Northern Mariana Islands,0 kWh (January 2009 est.)
Norway,4.168 billion kWh (2012 est.)
Oman,0 kWh (2012 est.)
Pakistan,0 kWh (2012 est.)
Panama,72 million kWh (2011 est.)
Papua New Guinea,0 kWh (2012 est.)
Paraguay,0 kWh (2012 est.)
Peru,0 kWh (2012 est.)
Philippines,0 kWh (2012 est.)
Poland,9.803 billion kWh (2012 est.)
Portugal,10.76 billion kWh (2012 est.)
Puerto Rico,0 kWh (2012 est.)
Qatar,0 kWh (2012 est.)
Romania,1.4 billion kWh (2012 est.)
Russia,2.661 billion kWh (2012 est.)
Rwanda,62 million kWh (2010 est.)
"Saint Helena, Ascension, and Tristan da Cunha",0 kWh (2012 est.)
Saint Kitts and Nevis,0 kWh (2012 est.)
Saint Lucia,0 kWh (2012 est.)
Saint Pierre and Miquelon,0 kWh (2012 est.)
Saint Vincent and the Grenadines,0 kWh (2012 est.)
Samoa,0 kWh (2012 est.)
Sao Tome and Principe,0 kWh (2012 est.)
Saudi Arabia,0 kWh (2012 est.)
Senegal,0 kWh (2012 est.)
Serbia,5.835 billion kWh (2013 est.)
Seychelles,0 kWh (2012 est.)
Sierra Leone,0 kWh (2012 est.)
Singapore,0 kWh (2013 est.)
Slovakia,13.88 billion kWh (2012 est.)
Slovenia,7.452 billion kWh (2012 est.)
Solomon Islands,0 kWh (2012 est.)
Somalia,0 kWh (2012 est.)
South Africa,11.89 billion kWh (2011 est.)
South Sudan,0 kWh (2012 est.)
Spain,8.209 billion kWh (2012 est.)
Sri Lanka,0 kWh (2012 est.)
Sudan,0 kWh (2012 est.)
Suriname,0 kWh (2012 est.)
Swaziland,564 million kWh (2011 est.)
Sweden,11.68 billion kWh (2012 est.)
Switzerland,32.25 billion kWh (2012 est.)
Syria,0 kWh (2012 est.)
Taiwan,0 kWh (2011 est.)
Tajikistan,300.5 million kWh (2012 est.)
Tanzania,50 million kWh (2010 est.)
Thailand,9.575 billion kWh (2012 est.)
Timor-Leste,0 kWh (2011 est.)
Togo,710 million kWh (2010 est.)
Tonga,0 kWh (2012 est.)
Trinidad and Tobago,0 kWh (2012 est.)
Tunisia,19 million kWh (2010 est.)
Turkey,4.362 billion kWh (2012 est.)
Turkmenistan,0 kWh (2013 est.)
Turks and Caicos Islands,0 kWh (2012 est.)
Uganda,29 million kWh (2011 est.)
Ukraine,1.909 billion kWh (2010 est.)
United Arab Emirates,0 kWh (2012 est.)
United Kingdom,17.53 billion kWh (2013 est.)
United States,59.26 billion kWh (2012 est.)
Uruguay,477 million kWh (2011 est.)
Uzbekistan,12 billion kWh (2010 est.)
Vanuatu,0 kWh (2012 est.)
Venezuela,0 kWh (2010 est.)
Vietnam,2.7 billion kWh (2012 est.)
Virgin Islands,0 kWh (2012 est.)
West Bank,550 million kWh (2011 est.)
Western Sahara,0 kWh (2012 est.)
World,692.6 billion kWh (2012 est.)
Yemen,0 kWh (2012 est.)
Zambia,23 million kWh (2011 est.)
Zimbabwe,5.338 billion kWh (2010 est.)
