Afghanistan,"489,100 kW (2010 est.)"
Albania,1.726 million kW (2012 est.)
Algeria,11.33 million kW (2010 est.)
American Samoa,"60,000 kW (2010 est.)"
Andorra,"520,000 kW"
Angola,1.155 million kW (2010 est.)
Antigua and Barbuda,"27,000 kW (2010 est.)"
Argentina,32.87 million kW (2010 est.)
Armenia,3.472 million kW (2010 est.)
Aruba,"266,000 kW (2010 est.)"
Australia,59.13 million kW (2010 est.)
Austria,21.11 million kW (2010 est.)
Azerbaijan,6.392 million kW (2010 est.)
"Bahamas, The","493,000 kW (2010 est.)"
Bahrain,3.169 million kW (2010 est.)
Bangladesh,10.26 million kW (2013 est.)
Barbados,"239,000 kW (2010 est.)"
Belarus,8.032 million kW (2010 est.)
Belgium,18.32 million kW (2010 est.)
Belize,"178,100 kW (2010 est.)"
Benin,"61,000 kW (2010 est.)"
Bermuda,"165,000 kW (2011 est.)"
Bhutan,1.505 million kW (2010 est.)
Bolivia,1.365 million kW (2012 est.)
Bosnia and Herzegovina,3.963 million kW (2012 est.)
Botswana,"132,000 kW (2011 est.)"
Brazil,113.7 million kW (2010 est.)
British Virgin Islands,"44,000 kW (2010 est.)"
Brunei,"759,000 kW (2010 est.)"
Bulgaria,10.01 million kW (2010 est.)
Burkina Faso,"252,000 kW (2010 est.)"
Burma,1.713 million kW (2010 est.)
Burundi,"52,000 kW (2010 est.)"
Cabo Verde,"89,800 kW (2010 est.)"
Cambodia,"359,900 kW (2010 est.)"
Cameroon,1.115 million kW (2010 est.)
Canada,138.6 million kW (2011 est.)
Cayman Islands,"151,000 kW (2010 est.)"
Central African Republic,"44,000 kW (2010 est.)"
Chad,"31,000 kW (2010 est.)"
Chile,16.21 million kW (2010 est.)
China,1.247 billion kW (2013 est.)
Colombia,13.54 million kW (2010 est.)
Comoros,"6,000 kW (2010 est.)"
"Congo, Democratic Republic of the",2.437 million kW (2010 est.)
"Congo, Republic of the","559,000 kW (2012 est.)"
Cook Islands,"8,090 kW (2010 est.)"
Costa Rica,2.8 million kW (2010 est.)
