Afghanistan,986.1 million kWh (2010 est.)
Albania,6.987 billion kWh (2013 est.)
Algeria,46.25 billion kWh (2011 est.)
American Samoa,155 million kWh (2011 est.)
Andorra,91.24 million kWh (2011)
Angola,5.118 billion kWh (2010 est.)
Antigua and Barbuda,115 million kWh (2010 est.)
Argentina,119.3 billion kWh (2010 est.)
Armenia,7.432 billion kWh (2011 est.)
Aruba,980 million kWh (2010 est.)
Australia,225.5 billion kWh (2011 est.)
Austria,69 billion kWh (2012 est.)
Azerbaijan,22.99 billion kWh (2012 est.)
"Bahamas, The",1.93 billion kWh (2010 est.)
Bahrain,13.16 billion kWh (2011 est.)
Bangladesh,40.08 billion kWh (2011 est.)
Barbados,1.002 billion kWh (2011 est.)
Belarus,32.82 billion kWh (2010 est.)
Belgium,83.37 billion kWh (2011 est.)
Belize,524.2 million kWh (2010 est.)
Benin,142.1 million kWh (2010 est.)
Bermuda,675 million kWh (2011 est.)
Bhutan,7.23 billion kWh (2010 est.)
Bolivia,7.375 billion kWh (2013 est.)
Bosnia and Herzegovina,12.93 billion kWh (2012 est.)
Botswana,429.6 million kWh (2010 est.)
Brazil,530.7 billion kWh (2011 est.)
British Virgin Islands,50 million kWh (2010 est.)
Brunei,3.723 billion kWh (2011 est.)
Bulgaria,43.39 billion kWh (2010 est.)
Burkina Faso,670 million kWh (2010 est.)
Burma,7.346 billion kWh (2010 est.)
Burundi,152 million kWh (2010 est.)
Cabo Verde,287 million kWh (2010 est.)
Cambodia,1.019 billion kWh (2011 est.)
Cameroon,5.761 billion kWh (2010 est.)
Canada,618.9 billion kWh (2011 est.)
Cayman Islands,594 million kWh (2011 est.)
Central African Republic,160 million kWh (2010 est.)
Chad,98 million kWh (2010 est.)
Chile,62.86 billion kWh (2011 est.)
China,5.398 trillion kWh (2013)
Colombia,61.82 billion kWh (2011 est.)
Comoros,40 million kWh (2010 est.)
"Congo, Democratic Republic of the",7.804 billion kWh (2010 est.)
"Congo, Republic of the",559 million kWh (2012 est.)
Cook Islands,31.13 million kWh (2010 est.)
Costa Rica,9.473 billion kWh (2010 est.)
Cote d'Ivoire,5.721 billion kWh (2010 est.)
Croatia,14.24 billion kWh (2013 est.)
Cuba,17.8 billion kWh (2011 est.)
Curacao,1.785 billion kWh (2012 est.)
Cyprus,4.443 billion kWh (2012 est.)
Czech Republic,87.57 billion kWh (2012 est.)
Denmark,33.71 billion kWh (2011 est.)
Djibouti,325 million kWh (2010 est.)
Dominica,100.5 million kWh (2010 est.)
Dominican Republic,13.09 billion kWh (2011 est.)
Ecuador,22.85 billion kWh (2011 est.)
Egypt,138.7 billion kWh (2011 est.)
El Salvador,5.728 billion kWh (2011 est.)
Equatorial Guinea,97 million kWh (2010 est.)
Eritrea,292.5 million kWh (2010 est.)
Estonia,12.19 billion kWh (2011 est.)
Ethiopia,4.929 billion kWh (2010 est.)
European Union,3.255 trillion kWh (2011 est.)
Falkland Islands (Islas Malvinas),19 million kWh (2010 est.)
Faroe Islands,261 million kWh (2011 est.)
Fiji,836.1 million kWh (2011 est.)
Finland,70.34 billion kWh (2011 est.)
France,561.2 billion kWh (2012 est.)
French Polynesia,672 million kWh (2010 est.)
Gabon,1.777 billion kWh (2010 est.)
"Gambia, The",230 million kWh (2010 est.)
Gaza Strip,"51,000 kWh (2011 est.)"
