Afghanistan,"Pashtun 42%, Tajik 27%, Hazara 9%, Uzbek 9%, Aimak 4%, Turkmen 3%, Baloch 2%, other 4%"
Albania,"Albanian 82.6%, Greek 0.9%, other 1% (including Vlach, Roma (Gypsy), Macedonian, Montenegrin, and Egyptian), unspecified 15.5% (2011 est.)"
Algeria,"Arab-Berber 99%, European less than 1% 
      
      
        note: although almost all Algerians are Berber in origin (not Arab), only a minority identify themselves as Berber, about 15% of the total population; these people live mostly in the mountainous region of Kabylie east of Algiers; the Berbers are also Muslim but identify with their Berber rather than Arab cultural heritage; Berbers have long agitated, sometimes violently, for autonomy; the government is unlikely to grant autonomy but has offered to begin sponsoring teaching Berber language in schools"
American Samoa,"Native Hawaiian and other Pacific Islander 91.6%, Asian 2.8%, white 1.1%, mixed 4.2%, other 0.3% (2000 est.)"
Andorra,"Spanish 43%, Andorran 33%, Portuguese 11%, French 7%, other 6% (1998)"
Angola,"Ovimbundu 37%, Kimbundu 25%, Bakongo 13%, mestico (mixed European and native African) 2%, European 1%, other 22%"
Anguilla,"black (predominant) 90.1%, mixed, mulatto 4.6%, white 3.7%, other 1.5% (2001 census)"
Antigua and Barbuda,"black 91%, mixed 4.4%, white 1.7%, other 2.9% (2001 census)"
Argentina,"white (mostly Spanish and Italian) 97%, mestizo (mixed white and Amerindian ancestry), Amerindian, or other non-white groups 3%"
Armenia,"Armenian 98.1%, Yezidi (Kurd) 1.1%, other 0.7% (2011 est.)"
Aruba,"Dutch 82.1%, Colombian 6.6%, Venezuelan 2.2%, Dominican 2.2%, Haitian 1.2%, other 5.5%, unspecified 0.1% (2010 est.)"
Australia,"white 92%, Asian 7%, aboriginal and other 1%"
Austria,"Austrians 91.1%, former Yugoslavs 4% (includes Croatians, Slovenes, Serbs, and Bosniaks), Turks 1.6%, German 0.9%, other or unspecified 2.4% (2001 census)"
Azerbaijan,"Azerbaijani 91.6%, Lezgian 2%, Russian 1.3%, Armenian 1.3%, Talysh 1.3%, other 2.4% 
      
      
        note: almost all Armenians live in the separatist Nagorno-Karabakh region (2009 est.)"
"Bahamas, The","black 90.6%, white 4.7%, black and white 2.1%, other 1.9%, unspecified 0.7% (2010 est.)"
Bahrain,"Bahraini 46%, Asian 45.5%, other Arabs 4.7%, African 1.6%, European 1%, other 1.2% (includes Gulf Co-operative country nationals, North and South Americans, and Oceanians) (2010 est.)"
Bangladesh,"Bengali 98%, other 2% (includes tribal groups, non-Bengali Muslims) (1998)"
Barbados,"black 92.4%, white 2.7%, mixed 3.1%, East Indian 1.3%, other 0.2%, unspecified 0.2% (2010 est.)"
Belarus,"Belarusian 83.7%, Russian 8.3%, Polish 3.1%, Ukrainian 1.7%, other 2.4%, unspecified 0.9% (2009 est.)"
Belgium,"Fleming 58%, Walloon 31%, mixed or other 11%"
Belize,"mestizo 48.7%, Creole 24.9%, Maya 10.6%, Garifuna 6.1%, other 9.7% (2000 census)"
Benin,"Fon and related 39.2%, Adja and related 15.2%, Yoruba and related 12.3%, Bariba and related 9.2%, Peulh and related 7%, Ottamari and related 6.1%, Yoa-Lokpa and related 4%, Dendi and related 2.5%, other 1.6% (includes Europeans), unspecified 2.9% (2002 census)"
Bermuda,"black 53.8%, white 31%, mixed 7.5%, other 7.1%, unspecified 0.6% (2010 est.)"
Bhutan,"Ngalop (also known as Bhote) 50%, ethnic Nepalese 35% (includes Lhotsampas - one of several Nepalese ethnic groups), indigenous or migrant tribes 15%"
Bolivia,"Quechua 30%, mestizo (mixed white and Amerindian ancestry) 30%, Aymara 25%, white 15%"
Bosnia and Herzegovina,"Bosniak 48%, Serb 37.1%, Croat 14.3%, other 0.6% (2000) 
      
      
        note: Bosniak has replaced Muslim as an ethnic term in part to avoid confusion with the religious term Muslim - an adherent of Islam"
Botswana,"Tswana (or Setswana) 79%, Kalanga 11%, Basarwa 3%, other, including Kgalagadi and white 7%"
Brazil,"white 47.7%, mulatto (mixed white and black) 43.1%, black 7.6%, Asian 1.1%, indigenous 0.4% (2010 est.)"
British Virgin Islands,"black 82%, white 6.8%, other 11.2% (includes Indian and mixed) (2008)"
Brunei,"Malay 65.7%, Chinese 10.3%, other indigenous 3.4%, other 20.6% (2011 est.)"
Bulgaria,"Bulgarian 76.9%, Turkish 8%, Roma 4.4%, other 0.7% (including Russian, Armenian, and Vlach), other (unknown) 10% (2011 est.)"
Burkina Faso,"Mossi over 40%, other approximately 60% (includes Gurunsi, Senufo, Lobi, Bobo, Mande, and Fulani)"
Burma,"Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5%"
Burundi,"Hutu (Bantu) 85%, Tutsi (Hamitic) 14%, Twa (Pygmy) 1%, Europeans 3,000, South Asians 2,000"
Cabo Verde,"Creole (mulatto) 71%, African 28%, European 1%"
Cambodia,"Khmer 90%, Vietnamese 5%, Chinese 1%, other 4%"
Cameroon,"Cameroon Highlanders 31%, Equatorial Bantu 19%, Kirdi 11%, Fulani 10%, Northwestern Bantu 8%, Eastern Nigritic 7%, other African 13%, non-African less than 1%"
Canada,"Canadian 32.2%, English 19.8%, French 15.5%, Scottish 14.4%, Irish 13.8%, German 9.8%, Italian 4.5%, Chinese 4.5%, North American Indian 4.2%, other 50.9% 
      
      
        note: percentages add up to more than 100% because respondents were able to identify more than one ethnic origin (2011 est.)"
Cayman Islands,"mixed 40%, white 20%, black 20%, expatriates of various ethnic groups 20%"
Central African Republic,"Baya 33%, Banda 27%, Mandjia 13%, Sara 10%, Mboum 7%, M'Baka 4%, Yakoma 4%, other 2%"
Chad,"Sara 27.7%, Arab 12.3%, Mayo-Kebbi 11.5%, Kanem-Bornou 9%, Ouaddai 8.7%, Hadjarai 6.7%, Tandjile 6.5%, Gorane 6.3%, Fitri-Batha 4.7%, other 6.4%, unknown 0.3% (1993 census)"
Chile,"white and non-indigenous 88.9%, Mapuche 9.1%, Aymara 0.7%, other indigenous groups 1% (includes Rapa Nui, Likan Antai, Quechua, Colla, Diaguita, Kawesqar, Yagan or Yamana), unspecified 0.3% (2012 est.)"
China,"Han Chinese 91.6%, Zhuang 1.3%, other (includes Hui, Manchu, Uighur, Miao, Yi, Tujia, Tibetan, Mongol, Dong, Buyei, Yao, Bai, Korean, Hani, Li, Kazakh, Dai and other nationalities) 7.1% 
      
      
        note: the Chinese government officially recognizes 56 ethnic groups (2010 est.)"
Christmas Island,"Chinese 70%, European 20%, Malay 10% 
      
      
        note: no indigenous population (2001)"
Cocos (Keeling) Islands,"Europeans, Cocos Malays"
Colombia,"mestizo 58%, white 20%, mulatto 14%, black 4%, mixed black-Amerindian 3%, Amerindian 1%"
Comoros,"Antalote, Cafre, Makoa, Oimatsaha, Sakalava"
"Congo, Democratic Republic of the","over 200 African ethnic groups of which the majority are Bantu; the four largest tribes - Mongo, Luba, Kongo (all Bantu), and the Mangbetu-Azande (Hamitic) make up about 45% of the population"
"Congo, Republic of the","Kongo 48%, Sangha 20%, M'Bochi 12%, Teke 17%, Europeans and other 3%"
Cook Islands,"Cook Island Maori (Polynesian) 81.3%, part Cook Island Maori 6.7%, other 11.9% (2011 est.)"
Costa Rica,"white or mestizo 83.6%, mulato 6.7%, indigenous 2.4%, black of African descent 1.1%, other 1.1%, none 2.9%, unspecified 2.2% (2011 est.)"
Cote d'Ivoire,"Akan 42.1%, Voltaiques or Gur 17.6%, Northern Mandes 16.5%, Krous 11%, Southern Mandes 10%, other 2.8% (includes 130,000 Lebanese and 14,000 French) (1998)"
Croatia,"Croat 90.4%, Serb 4.4%, other 4.4% (including Bosniak, Hungarian, Slovene, Czech, and Roma), unspecified 0.8% (2011 est.)"
Cuba,"white 64.1%, mestizo 26.6%, black 9.3% (2012 est.)"
Curacao,"Afro-Caribbean majority; Dutch, French, Latin American, East Asian, South Asian, Jewish minorities"
Cyprus,"Greek 77%, Turkish 18%, other 5% (2001)"
Czech Republic,"Czech 64.3%, Moravian 5%, Slovak 1.4%, other 1.8%, unspecified 27.5% (2011 est.)"
Denmark,"Scandinavian, Inuit, Faroese, German, Turkish, Iranian, Somali"
Djibouti,"Somali 60%, Afar 35%, other 5% (includes French, Arab, Ethiopian, and Italian)"
Dominica,"black 86.8%, mixed 8.9%, Carib Amerindian 2.9%, white 0.8%, other 0.7% (2001 census)"
Dominican Republic,"mixed 73%, white 16%, black 11%"
Ecuador,"mestizo (mixed Amerindian and white) 71.9%, Montubio 7.4%, Afroecuadorian 7.2%, Amerindian 7%, white 6.1%, other 0.4% (2010 census)"
Egypt,"Egyptian 99.6%, other 0.4% (2006 census)"
El Salvador,"mestizo 86.3%, white 12.7%, Amerindian 1% (2007 census)"
Equatorial Guinea,"Fang 85.7%, Bubi 6.5%, Mdowe 3.6%, Annobon 1.6%, Bujeba 1.1%, other 1.4% (1994 census)"
Eritrea,"nine recognized ethnic groups: Tigrinya 55%, Tigre 30%, Saho 4%, Kunama 2%, Rashaida 2%, Bilen 2%, other (Afar, Beni Amir, Nera) 5% (2010 est.)"
Estonia,"Estonian 68.7%, Russian 24.8%, Ukrainian 1.7%, Belarusian 1%, Finn 0.6%, other 1.6%, unspecified 1.6% (2011 est.)"
Ethiopia,"Oromo 34.4%, Amhara (Amara) 27%, Somali (Somalie) 6.2%, Tigray (Tigrinya) 6.1%, Sidama 4%, Gurage 2.5%, Welaita 2.3%, Hadiya 1.7%, Afar (Affar) 1.7%, Gamo 1.5%, Gedeo 1.3%, Silte 1.3%, Kefficho 1.2%, other 10.5% (2007 est.)"
Falkland Islands (Islas Malvinas),"Falkland Islander 57%, British 24.6%, St. Helenian 9.8%, Chilean 5.3%, other 3.4% (2012 est.)"
Faroe Islands,Scandinavian
Fiji,"iTaukei 56.8% (predominantly Melanesian with a Polynesian admixture), Indian 37.5%, Rotuman 1.2%, other 4.5% (European, part European, other Pacific Islanders, Chinese) 
      
      
        note: a 2010 law replaces 'Fijian' with 'iTuakei' when referring to the original and native settlers of Fiji (2007 est.)"
Finland,"Finn 93.4%, Swede 5.6%, Russian 0.5%, Estonian 0.3%, Roma (Gypsy) 0.1%, Sami 0.1% (2006)"
France,"Celtic and Latin with Teutonic, Slavic, North African, Indochinese, Basque minorities 
      
      
        overseas departments: black, white, mulatto, East Indian, Chinese, Amerindian"
French Polynesia,"Polynesian 78%, Chinese 12%, local French 6%, metropolitan French 4%"
Gabon,"Bantu tribes, including four major tribal groupings (Fang, Bapounou, Nzebi, Obamba); other Africans and Europeans, 154,000, including 10,700 French and 11,000 persons of dual nationality"
"Gambia, The","African 99% (Mandinka 42%, Fula 18%, Wolof 16%, Jola 10%, Serahuli 9%, other 4%), non-African 1% (2003 census)"
Gaza Strip,Palestinian Arab
Georgia,"Georgian 83.8%, Azeri 6.5%, Armenian 5.7%, Russian 1.5%, other 2.5% (2002 census)"
Germany,"German 91.5%, Turkish 2.4%, other 6.1% (made up largely of Greek, Italian, Polish, Russian, Serbo-Croatian, Spanish)"
Ghana,"Akan 47.5%, Mole-Dagbon 16.6%, Ewe 13.9%, Ga-Dangme 7.4%, Gurma 5.7%, Guan 3.7%, Grusi 2.5%, Mande-Busanga 1.1%, other 1.6% (2010 census)"
Gibraltar,"Spanish, Italian, English, Maltese, Portuguese, German, North Africans"
Greece,"population: Greek 93%, other (foreign citizens) 7% (2001 census) 
      
      
        note: percents represent citizenship, since Greece does not collect data on ethnicity"
Greenland,"Inuit 89%, Danish and other 11% (2009)"
Grenada,"black 82%, mixed black and European 13%, European and East Indian 5%, and trace of Arawak/Carib Amerindian"
Guam,"Chamorro 37.3%, Filipino 26.3%, white 7.1%, Chuukese 7%, Korean 2.2%, other Pacific Islander 2%, other Asian 2%, Chinese 1.6%, Palauan 1.6%, Japanese 1.5%, Pohnpeian 1.4%, mixed 9.4%, other 0.6% (2010 est.)"
Guatemala,"Mestizo (mixed Amerindian-Spanish - in local Spanish called Ladino) and European 59.4%, K'iche 9.1%, Kaqchikel 8.4%, Mam 7.9%, Q'eqchi 6.3%, other Mayan 8.6%, indigenous non-Mayan 0.2%, other 0.1% (2001 census)"
Guernsey,British and Norman-French descent with small percentages from other European countries
Guinea,"Peuhl 40%, Malinke 30%, Soussou 20%, smaller ethnic groups 10%"
Guinea-Bissau,"African 99% (includes Balanta 30%, Fula 20%, Manjaca 14%, Mandinga 13%, Papel 7%), European and mulatto less than 1%"
Guyana,"East Indian 43.5%, black (African) 30.2%, mixed 16.7%, Amerindian 9.1%, other 0.5% (2002 census)"
Haiti,"black 95%, mulatto and white 5%"
Holy See (Vatican City),"Italians, Swiss, other"
Honduras,"mestizo (mixed Amerindian and European) 90%, Amerindian 7%, black 2%, white 1%"
Hong Kong,"Chinese 93.1%, Indonesian 1.9%, Filipino 1.9%, other 3% (2011 est.)"
Hungary,"Hungarian 92.3%, Roma 1.9%, other or unknown 5.8% (2001 census)"
Iceland,"homogeneous mixture of descendants of Norse and Celts 94%, population of foreign origin 6%"
India,"Indo-Aryan 72%, Dravidian 25%, Mongoloid and other 3% (2000)"
Indonesia,"Javanese 40.1%, Sundanese 15.5%, Malay 3.7%, Batak 3.6%, Madurese 3%, Betawi 2.9%, Minangkabau 2.7%, Buginese 2.7%, Bantenese 2%, Banjarese 1.7%, Balinese 1.7%, Acehnese 1.4%, Dayak 1.4%, Sasak 1.3%, Chinese 1.2%, other 15% (2010 est.)"
Iran,"Persian 61%, Azeri 16%, Kurd 10%, Lur 6%, Baloch 2%, Arab 2%, Turkmen and Turkic tribes 2%, other 1%"
Iraq,"Arab 75%-80%, Kurdish 15%-20%, Turkoman, Assyrian, or other 5%"
Ireland,"Irish 84.5%, other white 9.8%, Asian 1.9%, black 1.4%, mixed and other 0.9%, unspecified 1.6% (2011 est.)"
Isle of Man,"white 96.5%, Asian/Asian British 1.9%, other 1.5% (2011 est.)"
