Afghanistan,"afghanis (AFA) per US dollar - 
      
      50.92 (2012 est.) 
      
      46.75 (2011 est.) 
      
      46.45 (2010)"
Akrotiri,note: uses the euro
Albania,"leke (ALL) per US dollar - 
      
      109.2 (2013 est.) 
      
      108.19 (2012 est.) 
      
      103.94 (2010 est.) 
      
      94.98 (2009) 
      
      79.546 (2008)"
Algeria,"Algerian dinars (DZD) per US dollar - 
      
      78.77 (2013 est.) 
      
      77.536 (2012 est.) 
      
      74.386 (2010 est.) 
      
      72.65 (2009) 
      
      63.25 (2008)"
American Samoa,the US dollar is used
Andorra,"euros (EUR) per US dollar - 
      
      0.7778 (2013 est.) 
      
      0.7185 (2012 est.) 
      
      0.755 (2010 est.) 
      
      0.7198 (2009 est.) 
      
      0.6827 (2008 est.)"
Angola,"kwanza (AOA) per US dollar - 
      
      95.97 (2013 est.) 
      
      95.468 (2012 est.) 
      
      91.906 (2010 est.) 
      
      79.33 (2009) 
      
      75.023 (2008)"
Anguilla,"East Caribbean dollars (XCD) per US dollar - 
      
      2.7 (2013 est.) 
      
      2.7 (2012 est.) 
      
      2.7 (2010 est.), 2.7 (2009)"
Antigua and Barbuda,"East Caribbean dollars (XCD) per US dollar - 
      
      2.7 (2013 est.) 
      
      2.7 (2012 est.) 
      
      2.7 (2010 est.) 
      
      2.7 (2009)"
Argentina,"Argentine pesos (ARS) per US dollar - 
      
      5.447 (2013 est.) 
      
      4.5369 (2012 est.) 
      
      3.8963 (2010 est.) 
      
      3.7101 (2009) 
      
      3.1636 (2008)"
Armenia,"drams (AMD) per US dollar - 
      
      410.5 (2013 est.) 
      
      401.76 (2012 est.) 
      
      373.66 (2010 est.) 
      
      363.28 (2009) 
      
      303.93 (2008)"
Aruba,"Aruban guilders/florins per US dollar - 
      
      1.79 (2013 est.) 
      
      1.79 (2012 est.)"
Australia,"Australian dollars (AUD) per US dollar - 
      
      1.031 (2013 est.) 
      
      0.9658 (2012 est.) 
      
      1.0902 (2010) 
      
      1.2822 (2009) 
      
      1.2059 (2008)"
Austria,"euros (EUR) per US dollar - 
      
      0.7634 (2013 est.) 
      
      0.7752 (2012 est.) 
      
      0.755 (2010 est.) 
      
      0.7198 (2009 est.) 
      
      0.6827 (2008 est.)"
Azerbaijan,"Azerbaijani manats (AZN) per US dollar - 
      
      0.785 (2013 est.) 
      
      0.7857 (2012 est.) 
      
      0.8027 (2010 est.) 
      
      0.8038 (2009) 
      
      0.8219 (2008)"
"Bahamas, The","Bahamian dollars (BSD) per US dollar - 
      
      1 (2013 est.) 
      
      1 (2012 est.) 
      
      1 (2010 est.) 
      
      1 (2008 est.) 
      
      1 (2007 est.)"
Bahrain,"Bahraini dinars (BHD) per US dollar - 
      
      0.376 (2013 est.) 
      
      0.376 (2012 est.) 
      
      0.376 (2010 est.) 
      
      0.376 (2009) 
      
      0.376 (2008)"
Bangladesh,"taka (BDT) per US dollar - 
      
      78.19 (2013 est.) 
      
      81.863 (2012 est.) 
      
      69.649 (2010 est.) 
      
      69.04 (2009) 
      
      68.554 (2008)"
Barbados,"Barbadian dollars (BBD) per US dollar - 
      
      2 (2013 est.) 
      
      2 (2012 est.) 
      
      2 (2010 est.) 
      
      
        note: the Barbadian dollar is pegged to the US dollar"
Belarus,"Belarusian rubles (BYB/BYR) per US dollar - 
      
      8,950.7 (2013 est.) 
      
      8,336.9 (2012 est.) 
      
      2,978.5 (2010 est.) 
      
      2,789.49 (2009) 
      
      2,130 (2008)"
Belgium,"euros (EUR) per US dollar - 
      
      0.7634 (2013 est.) 
      
      0.7752 (2012 est.) 
      
      0.755 (2010 est.) 
      
      0.7198 (2009 est.) 
      
      0.6827 (2008 est.)"
Belize,"Belizean dollars (BZD) per US dollar - 
      
      2 (2013 est.) 
      
      2 (2012 est.) 
      
      2 (2010 est.) 
      
      2 (2009) 
      
      2 (2008)"
Benin,"Communaute Financiere Africaine francs (XOF) per US dollar - 
      
      500.7 (2013 est.) 
      
      510.53 (2012 est.) 
      
      495.28 (2010 est.) 
      
      472.19 (2009) 
      
      447.81 (2008)"
Bermuda,"Bermudian dollars (BMD) per US dollar - 
      
      1 (2013 est.) 
      
      1 (2012 est.)"
Bhutan,"ngultrum (BTN) per US dollar - 
      
      56.61 (2013 est.) 
      
      53.44 (2012 est.) 
      
      45.73 (2010 est.) 
      
      46.68 (2009 est.) 
      
      43.51 (2008 est.)"
Bolivia,"bolivianos (BOB) per US dollar - 
      
      6.91 (2013 est.) 
      
      6.94 (2012 est.) 
      
      7.0167 (2010 est.) 
      
      7.07 (2009) 
      
      7.253 (2008)"
Bosnia and Herzegovina,"konvertibilna markas (BAM) per US dollar - 
      
      1.42 (2013 est.) 
      
      1.52 (2012 est.) 
      
      1.4767 (2010 est.) 
      
      1.4079 (2009) 
      
      1.3083 (2008)"
Botswana,"pulas (BWP) per US dollar - 
      
      8.732 (2013 est.) 
      
      7.6181 (2012 est.) 
      
      6.7936 (2010 est.) 
      
      7.1551 (2009) 
      
      6.7907 (2008)"
Brazil,"reals (BRL) per US dollar - 
      
      2.153 (2013 est.) 
      
      1.9546 (2012 est.) 
      
      1.7592 (2010 est.) 
      
      2 (2009) 
      
      1.8644 (2008)"
British Indian Ocean Territory,the US dollar is used
British Virgin Islands,the US dollar is used
Brunei,"Bruneian dollars (BND) per US dollar - 
      
      1.23 (2013 est.) 
      
      1.2496 (2012 est.) 
      
      1.3635 (2010 est.) 
      
      1.45 (2009)"
Bulgaria,"leva (BGN) per US dollar - 
      
      1.478 (2013 est.) 
      
      1.5221 (2012 est.) 
      
      1.4774 (2010 est.) 
      
      1.404 (2009) 
      
      1.3171 (2008)"
Burkina Faso,"Communaute Financiere Africaine francs (XOF) per US dollar - 
      
      500.7 (2013 est.) 
      
      510.53 (2012 est.) 
      
      495.28 (2010 est.) 
      
      472.19 (2009) 
      
      447.81 (2008)"
Burma,"kyats (MMK) per US dollar - 
      
      947.9 (2013 est.) 
      
      853.48 (2012 est.) 
      
      5.58 (2010 est.) 
      
      1,055 (2009) 
      
      1,205 (2008)"
Burundi,"Burundi francs (BIF) per US dollar - 
      
      1,556.5 (2013 est.) 
      
      1,442.51 (2012 est.) 
      
      1,230.8 (2010 est.) 
      
      1,230.18 (2009) 
      
      1,198 (2008)"
Cabo Verde,"Cabo Verdean escudos (CVE) per US dollar - 
      
      84.18 (2013 est.) 
      
      85.822 (2012 est.) 
      
      83.259 (2010 est.) 
      
      79.38 (2009) 
      
      73.84 (2008)"
Cambodia,"riels (KHR) per US dollar - 
      
      4,037.6 (2013 est.) 
      
      4,033 (2012 est.) 
      
      4,184.9 (2010 est.) 
      
      4,139 (2009) 
      
      4,070.94 (2008)"
Cameroon,"Cooperation Financiere en Afrique Centrale francs (XAF) per dollar - 
      
      500.7 (2013 est.) 
      
      510.53 (2012 est.) 
      
      495.28 (2010 est.) 
      
      472.19 (2009) 
      
      447.81 (2008)"
Canada,"Canadian dollars (CAD) per US dollar - 
      
      1.03 (2013 est.) 
      
      0.9992 (2012 est.) 
      
      1.0302 (2010 est.) 
      
      1.1431 (2009) 
      
      1.0364 (2008)"
Cayman Islands,"Caymanian dollars (KYD) per US dollar - 
      
      0.83 (2013 est.) 
      
      0.83 (2012 est.) 
      
      0.83 (2010 est.)"
Central African Republic,"Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar - 
      
      500.7 (2013 est.) 
      
      510.53 (2012 est.) 
      
      495.28 (2010) 
      
      472.19 (2009) 
      
      447.81 (2008)"
Chad,"Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar - 
      
      500.7 (2013 est.) 
      
      510.53 (2012 est.) 
      
      495.28 (2010 est.) 
      
      472.19 (2009) 
      
      447.81 (2008)"
Chile,"Chilean pesos (CLP) per US dollar - 
      
      491.7 (2013 est.) 
      
      486.49 (2012 est.) 
      
      510.25 (2010 est.) 
      
      560.86 (2009) 
      
      509.02 (2008)"
China,"Renminbi yuan (RMB) per US dollar - 
      
      6.2 (2013 est.) 
      
      6.3123 (2012 est.) 
      
      6.7703 (2010 est.) 
      
      6.8314 (2009) 
      
      6.9385 (2008)"
Christmas Island,"Australian dollars (AUD) per US dollar - 
      
      1.031 (2013) 
      
      0.9658 (2012) 
      
      1.0902 (2010) 
      
      1.2822 (2009) 
      
      1.2059 (2008)"
Cocos (Keeling) Islands,"Australian dollars (AUD) per US dollar - 
      
      1.031 (2013) 
      
      0.9658 (2012) 
      
      1.0902 (2010) 
      
      1.2822 (2009) 
      
      1.2059 (2008)"
Colombia,"Colombian pesos (COP) per US dollar - 
      
      1,865.8 (2013 est.) 
      
      1,798 (2012 est.) 
      
      1,898.6 (2010 est.) 
      
      2,157.6 (2009) 
      
      2,243.6 (2008)"
Comoros,"Comoran francs (KMF) per US dollar - 
      
      378.7 (2013 est.) 
      
      382.9 (2012 est.) 
      
      371.46 (2010 est.)"
"Congo, Democratic Republic of the","Congolese francs (CDF) per US dollar - 
      
      918 (2013 est.) 
      
      920.25 (2012 est.) 
      
      905.91 (2010 est.) 
      
      472.19 (2009) 
      
      559 (2008)"
"Congo, Republic of the","Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar - 
      
      500.7 (2013 est.) 
      
      510.53 (2012 est.) 
      
      495.28 (2010 est.) 
      
      472.19 (2009) 
      
      447.81 (2008)"
Cook Islands,"NZ dollars (NZD) per US dollar - 
      
      1.247 (2013) 
      
      1.2659 (2011 est.) 
      
      1.3874 (2010) 
      
      1.6002 (2009) 
      
      1.4151 (2008)"
Costa Rica,"Costa Rican colones (CRC) per US dollar - 
      
      500.9 (2013 est.) 
      
      502.9 (2012 est.) 
      
      525.83 (2010 est.) 
      
      573.29 (2009) 
      
      530.41 (2008)"
Cote d'Ivoire,"Communaute Financiere Africaine francs (XOF) per US dollar - 
      
      504.6 (2013 est.) 
      
      510.29 (2012 est.) 
      
      495.28 (2010 est.) 
      
      472.19 (2009) 
      
      447.81 (2008)"
Croatia,"kuna (HRK) per US dollar - 
      
      5.775 (2013 est.) 
      
      5.8503 (2012 est.) 
      
      5.498 (2010 est.) 
      
      5.2692 (2009) 
      
      4.98 (2008)"
Cuba,"Cuban pesos (CUP) per US dollar - 
      
      1 (2013 est.) 
      
      1 (2012 est.) 
      
      0.9259 (2010 est.) 
      
      0.9259 (2009) 
      
      0.9259 (2008)"
Curacao,"Netherlands Antillean guilders (ANG) per US dollar - 
      
      1.79 (2011) 
      
      1.79 (2011 est.) 
      
      1.79 (2010 est.) 
      
      1.79 (2009) 
      
      1.79 (2008) 
      
      
        note: the Netherland Antillean guilder was replaced by the newly created Caribbean guilder in 2013"
Cyprus,"euros (EUR) per US dollar - 
      
      0.7634 (2013 est.) 
      
      0.7752 (2012 est.) 
      
      0.755 (2010 est.) 
      
      0.7198 (2009 est.) 
      
      0.6827 (2008 est.)"
Czech Republic,"koruny (CZK) per US dollar - 
      
      19.57 (2013 est.) 
      
      19.59 (2012 est.) 
      
      19.098 (2010 est.) 
      
      19.063 (2009) 
      
      17.064 (2008)"
Denmark,"Danish kroner (DKK) per US dollar - 
      
      5.695 (2013 est.) 
      
      5.7925 (2012 est.) 
      
      5.6241 (2010 est.) 
      
      5.361 (2009) 
      
      5.0236 (2008)"
Dhekelia,note: uses the euro
Djibouti,"Djiboutian francs (DJF) per US dollar - 
      
      177.7 (2013 est.) 
      
      177.72 (2012 est.) 
      
      177.72 (2010 est.)"
Dominica,"East Caribbean dollars (XCD) per US dollar - 
      
      2.7 (2013 est.) 
      
      2.7 (2012 est.) 
      
      2.7 (2010 est.) 
      
      2.7 (2009)"
Dominican Republic,"Dominican pesos (DOP) per US dollar - 
      
      41.8 (2013 est.) 
      
      39.336 (2012 est.) 
      
      37.307 (2010 est.) 
      
      36.03 (2009) 
      
      34.775 (2008)"
Ecuador,the US dollar became Ecuador's currency in 2001
Egypt,"Egyptian pounds (EGP) per US dollar - 
      
      6.91 (2013 est.) 
      
      6.0608 (2012 est.) 
      
      5.6219 (2010 est.) 
      
      5.545 (2009) 
      
      5.4 (2008)"
El Salvador,"note: the US dollar is used as a medium of exchange and circulates freely in the economy, 1 (2013 est.) 
      
      1 (2012 est.)"
Equatorial Guinea,"Cooperation Financiere en Afrique Centrale francs (XAF) per US dollar - 
      
      500.7 (2013 est.) 
      
      510.53 (2012 est.) 
      
      495.28 (2010 est.) 
      
      472.19 (2009) 
      
      447.81 (2008)"
Eritrea,"nakfa (ERN) per US dollar - 
      
      15.38 (2013 est.) 
      
      15.375 (2012 est.) 
      
      15.375 (2010 est.) 
      
      15.375 (2009) 
      
      15.38 (2008)"
Estonia,"kroon (EEK) per US dollar - 
      
      0.7697 (2013 est.) 
      
      0.7778 (2012 est.) 
      
      11.81 (2010 est.) 
      
      11.23 (2009) 
      
      10.7 (2008)"
Ethiopia,"birr (ETB) per US dollar - 
      
      19.92 (2013 est.) 
      
      17.705 (2012 est.) 
      
      14.41 (2010 est.) 
      
      11.78 (2009) 
      
      9.57 (2008)"
