Afghanistan,"chief of state: President of the Islamic Republic of Afghanistan Hamid KARZAI (since 7 December 2004); First Vice President Yunis QANUNI (since March 2014); Second Vice President Abdul Karim KHALILI (since 7 December 2004); note - the president is both the chief of state and head of government 
      
      
        head of government: President of the Islamic Republic of Afghanistan Hamid KARZAI (since 7 December 2004); First Vice President Yunis QANUNI (March 2014); Second Vice President Abdul Karim KHALILI (since 7 December 2004) 
      
      
        cabinet: 25 ministers; note - ministers are appointed by the president and approved by the National Assembly 
      
      
        elections: the president is elected by direct vote for a five-year term (eligible for a second term); if no candidate receives 50% or more of the vote in the first round of voting, the two candidates with the most votes will participate in a second round; first round of last election held on 5 April 2014 (second round held on 14 June 2014) 
      
      
        election results: first round results - Abdullah ABDULLAH 45%, Ashraf GHANI Ahmadzai 32%, Zalmai RASOUL 12%, other 11%"
Akrotiri,"chief of state: Queen ELIZABETH II (since 6 February 1952) 
      
      
        head of government: Administrator Major General Richard CRIPWELL (since January 2013); note - reports to the British Ministry of Defense; the Chief Officer is responsible for the day-to-day running of the civil government of the Sovereign Bases 
      
      
        elections: none; the monarchy is hereditary; the administrator appointed by the monarch"
Albania,"chief of state: President of the Republic Bujar NISHANI (since 24 July 2012) 
      
      
        head of government: Prime Minister Edi Rama (since 10 September 2013) 
      
      
        cabinet: Council of Ministers proposed by the prime minister, nominated by the president, and approved by parliament 
      
      
        elections: president is elected by the Assembly for a five-year term and is eligible for a second term (a candidate needs a three-fifths majority of the Assembly's 140 votes (84 votes) in one of the first three rounds of voting or a simple majority in round four or five to become president; up to five rounds of voting are held, if necessary); four election rounds held between 30 May and 11 June 2012 (next election to be held in 2017); prime minister appointed by the president on the proposal of the party or coalition of parties that has the majority of seats in the Assembly 
      
      
        election results: Bujar NISHANI elected president on fourth round of voting; Assembly vote (for first three rounds three-fifths majority, 84 votes, required; fourth round, a simple majority of votes is required): Bujar NISHANI 73 votes"
Algeria,"hief of state: President Abdelaziz BOUTEFLIKA (since 28 April 1999) 
      
      
        head of government: Prime Minister Abdelmalek SELLAL (since 28 April 2014) 
      
      
        cabinet: Cabinet of Ministers appointed by the president; note - on 5 May 2014, a new cabinet was announced 
      
      
        elections: president elected by popular vote for a five-year term (no term limits); election last held on 17 April 2014 (next to be held in April 2019) 
      
      
        election results: Abdelaziz BOUTEFLIKA reelected president for a fourth term; percent of vote - Abdelaziz BOUTEFLIKA 81.5%, Ali BENFLIS 12.2%, Abdelaziz ELAID 3.4%, other 2.9%; voter turnout - 51.7%"
American Samoa,"chief of state: President Barack H. OBAMA (since 20 January 2009); Vice President Joseph R. BIDEN (since 20 January 2009) 
      
      
        head of government: Governor Lolo Matalasi MOLIGA (since 3 January 2013) 
      
      
        cabinet: Cabinet made up of 12 department directors 
      
      
        elections: under the US Constitution, residents of unincorporated territories, such as American Samoa, do not vote in elections for US president and vice president; however, they may vote in Democratic and Republican presidential primary elections; governor and lieutenant governor elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held on 6 November 2012 with a runoff held on 20 November 2012 (next to be held in November 2016) 
      
      
        election results: runoff election percent of vote - Lolo Matalasi MOLIGA 52.9%, Faoa Aitofele SUNIA 47.1%"
Andorra,"chief of state: French Co-Prince Francois HOLLANDE (since 15 May 2012); represented by Christian FREMONT (since September 2008) and Spanish Coprince Archbishop Joan-Enric VIVES i Sicilia (since 12 May 2003); represented by Nemesi MARQUES i Oste (since 30 July 2003) 
      
      
        head of government: Head of Government (or Cap de Govern) Antoni MARTI PETIT (since 12 May 2011) 
      
      
        cabinet: Executive Council of nine ministers designated by the Head of Government 
      
      
        elections: Head of Government elected by the General Council (Andorran Parliament) and formally appointed by the co-princes for a four-year term; election last held on 3 April 2011 (next to be held in April 2015) 
      
      
        election results: Antoni MARTI PETIT was elected Head of Government; percent of General Council vote - 79%; note - the leader of the party which wins a majority of seats in the General Council is usually elected Head of Government"
Angola,"chief of state: President Jose Eduardo DOS SANTOS (since 21 September 1979); Vice President Manuel Domingos VICENTE (since 26 September 2012); note - the president is both chief of state and head of government 
      
      
        head of government: President Jose Eduardo DOS SANTOS (since 21 September 1979); Vice President Manuel Domingos VICENTE (since 26 September 2012) 
      
      
        cabinet: Council of Ministers appointed by the president 
      
      
        elections: president indirectly elected by National Assembly for a five-year term (eligible for a second consecutive or discontinuous term) under the 2010 constitution; note - according to the 2010 constitution, ballots are cast for parties rather than candidates, the majority leader is appointed president; following the results of the 2012 legislative elections DOS SANTOS became president (eligible for a second term) 
      
      
        election results: NA; as leader of the MPLA, Jose Eduardo DOS SANTOS became pesident following legislative elections on 31 August 2012; DOS SANTOS was inaugurated on 26 September 2012 to serve the first of a possible two terms under the 2010 constitution"
Anguilla,"chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Christina SCOTT (since 23 July 2013) 
      
      
        head of government: Chief Minister Hubert HUGHES (since 16 February 2010) 
      
      
        cabinet: Executive Council appointed by the governor from among the elected members of the House of Assembly 
      
      
        elections: the monarchy is hereditary; governor appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed chief minister by the governor"
Antigua and Barbuda,"chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Louisse LAKE-TACK (since 17 July 2007) 
      
      
        head of government: Prime Minister Gaston BROWNE (since 13 June 2014) 
      
      
        cabinet: Council of Ministers appointed by the governor general on the advice of the prime minister 
      
      
        elections: the monarchy is hereditary; governor general appointed by the monarch on the advice of the prime minister; following legislative elections, the leader of the majority party or the leader of the majority coalition usually appointed prime minister by the governor general"
Argentina,"chief of state: President Cristina FERNANDEZ DE KIRCHNER (since 10 December 2007); Vice President Amado BOUDOU (since 10 December 2011); note - the president is both chief of state and head of government 
      
      
        head of government: President Cristina FERNANDEZ DE KIRCHNER (since 10 December 2007); Vice President Amado BOUDOU (since 10 December 2011) 
      
      
        cabinet: Cabinet appointed by the president 
      
      
        elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second consecutive term); election last held on 23 October 2011 (next election to be held in October 2015) 
      
      
        election results: Cristina FERNANDEZ DE KIRCHNER reelected president; percent of vote - Cristina FERNANDEZ DE KIRCHNER 54%, Hermes BINNER 16.9%, Ricardo ALFONSIN 11.1%, Alberto Rodriguez SAA 8%, Eduardo DUHALDE 5.9%, other 4.1%"
Armenia,"chief of state: President Serzh SARGSIAN (since 9 April 2008) 
      
      
        head of government: Prime Minister Hovik ABRAHAMYAN (since 13 April 2014) 
      
      
        cabinet: Council of Ministers appointed by the prime minister 
      
      
        elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 18 February 2013 (next to be held February 2018); prime minister appointed by the president based on majority or plurality support in parliament; the prime minister and Council of Ministers must resign if the National Assembly refuses to accept their program 
      
      
        election results: Serzh SARGSIAN reelected president; percent of vote - Serzh SARGSIAN 58.6%, Raffi HOVHANNISIAN 36.7%, Hrant BAGRATIAN 2.2%, other 2.5%"
Aruba,"chief of state: King WILLEM-ALEXANDER of the Netherlands (since 30 April 2013); represented by Governor General Fredis REFUNJOL (since 11 May 2004) 
      
      
        head of government: Prime Minister Michiel ""Mike"" Godfried EMAN (since 30 October 2009) 
      
      
        cabinet: Council of Ministers elected by the Staten 
      
      
        elections: the monarchy is hereditary; governor general appointed for a six-year term by the monarch; prime minister and deputy prime minister elected by the Staten for four-year terms; election last held on 25 September 2009 (next to be held by September 2013) 
      
      
        election results: Michiel ""Mike"" Godfried EMAN elected prime minister; percent of legislative vote - NA"
Australia,"chief of state: Queen of Australia ELIZABETH II (since 6 February 1952); represented by Governor General Sir Peter COSGROVE (since 28 March 2014) 
      
      
        head of government: Prime Minister Anthony John ""Tony"" ABBOTT (since 18 September 2013); Deputy Prime Minister Warren TRUSS (since 18 September 2013) 
      
      
        cabinet: prime minister nominates, from among members of Parliament, candidates who are subsequently sworn in by the governor general to serve as government ministers 
      
      
        elections: the monarchy is hereditary; governor general appointed by the monarch on the recommendation of the prime minister; following legislative elections, the leader of the majority party or leader of a majority coalition is sworn in as prime minister by the governor general"
