Afghanistan,"$376 million (2012 est.) 
      
      $388.5 million (2011 est.) 
      
      
        note: not including illicit exports or reexports"
Albania,"$2.323 billion (2013 est.) 
      
      $2.1 billion (2012 est.)"
Algeria,"$68.25 billion (2013 est.) 
      
      $71.74 billion (2012 est.)"
American Samoa,$445.6 million (FY04 est.)
Andorra,"$70 million (2012 est.) 
      
      $72 million (2011 est.)"
Angola,"$70.84 billion (2013 est.) 
      
      $71.09 billion (2012 est.)"
Anguilla,"$12.2 million (2013 est.) 
      
      $7.3 million (2012 est.)"
Antigua and Barbuda,"$55 million (2013 est.) 
      
      $56.7 million (2012 est.)"
Argentina,"$85.08 billion (2013 est.) 
      
      $80.91 billion (2012 est.)"
Armenia,"$1.653 billion (2013 est.) 
      
      $1.588 billion (2012 est.)"
Aruba,"$2.222 billion (2013 est.) 
      
      $1.389 billion (2012 est.)"
Australia,"$251.7 billion (2013 est.) 
      
      $257.9 billion (2012 est.)"
Austria,"$165.6 billion (2013 est.) 
      
      $160.1 billion (2012 est.)"
Azerbaijan,"$34.46 billion (2013 est.) 
      
      $32.63 billion (2012 est.)"
"Bahamas, The","$960 million (2013 est.) 
      
      $984 million (2012 est.)"
Bahrain,"$20.69 billion (2013 est.) 
      
      $20.39 billion (2012 est.)"
Bangladesh,"$26.91 billion (2013 est.) 
      
      $24.92 billion (2012 est.)"
Barbados,"$1.051 billion (2013 est.) 
      
      $1.039 billion (2012 est.)"
Belarus,"$42.06 billion (2013 est.) 
      
      $45.57 billion (2012 est.)"
Belgium,"$295.3 billion (2013 est.) 
      
      $302.4 billion (2012 est.)"
Belize,"$633 million (2013 est.) 
      
      $628.3 million (2012 est.)"
Benin,"$1.108 billion (2013 est.) 
      
      $1.071 billion (2012 est.)"
Bermuda,"$13 million (2013 est.) 
      
      $12 million (2012 est.)"
Bhutan,"$721.8 million (2012 est.) 
      
      $662.2 million (2011 est.)"
Bolivia,"$12.16 billion (2013 est.) 
      
      $11.77 billion (2012 est.)"
Bosnia and Herzegovina,"$5.687 billion (2013 est.) 
      
      $5.161 billion (2012 est.)"
Botswana,"$7.569 billion (2013 est.) 
      
      $6.011 billion (2012 est.)"
Brazil,"$244.8 billion (2013 est.) 
      
      $242.6 billion (2012 est.)"
British Virgin Islands,"$26 million (2012 est.) 
      
      $25 million (2011 est.)"
Brunei,"$12.75 billion (2011) 
      
      $9.88 billion (2010)"
Bulgaria,"$27.9 billion (2013 est.) 
      
      $26.7 billion (2012 est.)"
Burkina Faso,"$2.844 billion (2013 est.) 
      
      $2.746 billion (2012 est.)"
