Afghanistan,"opium, fruits and nuts, handwoven carpets, wool, cotton, hides and pelts, precious and semi-precious gems"
Albania,"textiles and footwear; asphalt, metals and metallic ores, crude oil; vegetables, fruits, tobacco"
Algeria,"petroleum, natural gas, and petroleum products 97%"
American Samoa,canned tuna 93%
Andorra,"tobacco products, furniture"
Angola,"crude oil, diamonds, refined petroleum products, coffee, sisal, fish and fish products, timber, cotton"
Anguilla,"lobster, fish, livestock, salt, concrete blocks, rum"
Antigua and Barbuda,"petroleum products, bedding, handicrafts, electronic components, transport equipment, food and live animals"
Argentina,"soybeans and derivatives, petroleum and gas, vehicles, corn, wheat"
Armenia,"pig iron, unwrought copper, nonferrous metals, diamonds, mineral products, foodstuffs, energy"
Aruba,"live animals and animal products, art and collectibles, machinery and electrical equipment, transport equipment"
Australia,"coal, iron ore, gold, meat, wool, alumina, wheat, machinery and transport equipment"
Austria,"machinery and equipment, motor vehicles and parts, paper and paperboard, metal goods, chemicals, iron and steel, textiles, foodstuffs"
Azerbaijan,"oil and gas 90%, machinery, cotton, foodstuffs"
"Bahamas, The","crawfish, aragonite, crude salt, polystyrene products"
Bahrain,"petroleum and petroleum products, aluminum, textiles"
Bangladesh,"garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather"
Barbados,"manufactures, sugar and molasses, rum, other foods and beverages, chemicals, electrical components"
Belarus,"machinery and equipment, mineral products, chemicals, metals, textiles, foodstuffs"
Belgium,"machinery and equipment, chemicals, finished diamonds, metals and metal products, foodstuffs"
Belize,"sugar, bananas, citrus, clothing, fish products, molasses, wood, crude oil"
Benin,"cotton, cashews, shea butter, textiles, palm products, seafood"
Bermuda,reexports of pharmaceuticals
Bhutan,"electricity (to India), ferrosilicon, cement, calcium carbide, copper wire, manganese, vegetable oil"
Bolivia,"natural gas, soybeans and soy products, crude petroleum, zinc ore, tin"
Bosnia and Herzegovina,"metals, clothing, wood products"
Botswana,"diamonds, copper, nickel, soda ash, meat, textiles"
Brazil,"transport equipment, iron ore, soybeans, footwear, coffee, autos"
British Virgin Islands,"rum, fresh fish, fruits, animals; gravel, sand"
Brunei,"crude oil, natural gas, garments"
Bulgaria,"clothing, footwear, iron and steel, machinery and equipment, fuels"
Burkina Faso,"gold, cotton, livestock"
Burma,"natural gas, wood products, pulses, beans, fish, rice, clothing, jade and gems"
Burundi,"coffee, tea, sugar, cotton, hides"
Cabo Verde,"fuel, shoes, garments, fish, hides"
Cambodia,"clothing, timber, rubber, rice, fish, tobacco, footwear"
Cameroon,"crude oil and petroleum products, lumber, cocoa beans, aluminum, coffee, cotton"
Canada,"motor vehicles and parts, industrial machinery, aircraft, telecommunications equipment; chemicals, plastics, fertilizers; wood pulp, timber, crude petroleum, natural gas, electricity, aluminum"
Cayman Islands,"turtle products, manufactured consumer goods"
Central African Republic,"diamonds, timber, cotton, coffee"
Chad,"oil, cattle, cotton, gum arabic"
Chile,"copper, fruit, fish products, paper and pulp, chemicals, wine"
China,"electrical and other machinery, including data processing equipment, apparel, radio telephone handsets, textiles, integrated circuits"
Christmas Island,phosphate
Cocos (Keeling) Islands,copra
Colombia,"petroleum, coal, emeralds, coffee, nickel, cut flowers, bananas, apparel"
Comoros,"vanilla, ylang-ylang (perfume essence), cloves, copra"
"Congo, Democratic Republic of the","diamonds, copper, gold, cobalt, wood products, crude oil, coffee"
"Congo, Republic of the","petroleum, lumber, plywood, sugar, cocoa, coffee, diamonds"
Cook Islands,"copra, papayas, fresh and canned citrus fruit, coffee; fish; pearls and pearl shells; clothing"
Costa Rica,"bananas, pineapples, coffee, melons, ornamental plants, sugar; beef; seafood; electronic components, medical equipment"
Cote d'Ivoire,"cocoa, coffee, timber, petroleum, cotton, bananas, pineapples, palm oil, fish"
Croatia,"transport equipment, machinery, textiles, chemicals, foodstuffs, fuels"
Cuba,"petroleum, nickel, medical products, sugar, tobacco, fish, citrus, coffee"
Curacao,petroleum products
Cyprus,"citrus, potatoes, pharmaceuticals, cement, clothing"
Czech Republic,"machinery and transport equipment, raw materials and fuel, chemicals"
Denmark,"machinery and instruments, meat and meat products, dairy products, fish, pharmaceuticals, furniture, windmills"
Djibouti,"reexports, hides and skins, coffee (in transit)"
Dominica,"bananas, soap, bay oil, vegetables, grapefruit, oranges"
Dominican Republic,"ferronickel, sugar, gold, silver, coffee, cocoa, tobacco, meats, consumer goods"
Ecuador,"petroleum, bananas, cut flowers, shrimp, cacao, coffee, wood, fish"
Egypt,"crude oil and petroleum products, cotton, textiles, metal products, chemicals, processed food"
El Salvador,"offshore assembly exports, coffee, sugar, textiles and apparel, gold, ethanol, chemicals, electricity, iron and steel manufactures"
Equatorial Guinea,"petroleum products, timber"
Eritrea,"livestock, sorghum, textiles, food, small manufactures"
Estonia,"machinery and electrical equipment 21%, wood and wood products 9%, metals 9%, furniture 7%, vehicles and parts 5%, food products and beverages 4%, textiles 4%, plastics 3%"
Ethiopia,"coffee, khat, gold, leather products, live animals, oilseeds"
European Union,"machinery, motor vehicles, pharmaceuticals and other chemicals, fuels, aircraft, plastics, iron and steel, wood pulp and paper products, alcoholic beverages, furniture"
Falkland Islands (Islas Malvinas),"wool, hides, meat, venison, fish, squid"
Faroe Islands,"fish and fish products 94%, stamps, ships"
Fiji,"sugar, garments, gold, timber, fish, molasses, coconut oil"
Finland,"electrical and optical equipment, machinery, transport equipment, paper and pulp, chemicals, basic metals; timber"
France,"machinery and transportation equipment, aircraft, plastics, chemicals, pharmaceutical products, iron and steel, beverages"
French Polynesia,"cultured pearls, coconut products, mother-of-pearl, vanilla, shark meat"
Gabon,"crude oil, timber, manganese, uranium"
"Gambia, The","peanut products, fish, cotton lint, palm kernels"
Gaza Strip,"strawberries, carnations, vegetables (small and irregular shipments, as permitted to transit the Israeli-controlled Kerem Shalom crossing)"
Georgia,"vehicles, ferro-alloys, fertilizers, nuts, scrap metal, gold, copper ores"
Germany,"motor vehicles, machinery, chemicals, computer and electronic products, electrical equipment, pharmaceuticals, metals, transport equipment, foodstuffs, textiles, rubber and plastic products"
Ghana,"oil, gold, cocoa, timber, tuna, bauxite, aluminum, manganese ore, diamonds, horticultural products"
Gibraltar,"(principally reexports) petroleum 51%, manufactured goods"
Greece,"food and beverages, manufactured goods, petroleum products, chemicals, textiles"
Greenland,"fish and fish products 89%, metals 10% (2008)"
Grenada,"nutmeg, bananas, cocoa, fruit and vegetables, clothing, mace"
Guam,"transshipments of refined petroleum products, construction materials, fish, food and beverage products"
Guatemala,"coffee, sugar, petroleum, apparel, bananas, fruits and vegetables, cardamom"
Guernsey,"tomatoes, flowers and ferns, sweet peppers, eggplant, other vegetables"
Guinea,"bauxite, alumina, gold, diamonds, coffee, fish, agricultural products"
Guinea-Bissau,"fish, shrimp; cashew nuts, peanuts, palm kernels, sawn lumber"
Guyana,"sugar, gold, bauxite, alumina, rice, shrimp, molasses, rum, timber"
Haiti,"apparel, manufactures, oils, cocoa, mangoes, coffee"
Honduras,"apparel, coffee, shrimp, automobile wire harnesses, cigars, bananas, gold, palm oil, fruit, lobster, lumber"
Hong Kong,"electrical machinery and appliances, textiles, apparel, footwear, watches and clocks, toys, plastics, precious stones, printed material"
Hungary,"machinery and equipment 53.5%, other manufactures 31.2%, food products 8.7%, raw materials 3.4%, fuels and electricity 3.9% (2012)"
Iceland,"fish and fish products 40%, aluminum, animal products, ferrosilicon, diatomite"
India,"petroleum products, precious stones, machinery, iron and steel, chemicals, vehicles, apparel"
Indonesia,"oil and gas, electrical appliances, plywood, textiles, rubber"
Iran,"petroleum 80%, chemical and petrochemical products, fruits and nuts, carpets"
Iraq,"crude oil 84%, crude materials excluding fuels, food and live animals"
Ireland,"machinery and equipment, computers, chemicals, medical devices, pharmaceuticals; food products, animal products"
Isle of Man,"tweeds, herring, processed shellfish, beef, lamb"
Israel,"machinery and equipment, software, cut diamonds, agricultural products, chemicals, textiles and apparel"
Italy,"engineering products, textiles and clothing, production machinery, motor vehicles, transport equipment, chemicals; food, beverages and tobacco; minerals, nonferrous metals"
Jamaica,"alumina, bauxite, sugar, rum, coffee, yams, beverages, chemicals, wearing apparel, mineral fuels"
Japan,motor vehicles 13.6%; semiconductors 6.2%; iron and steel products 5.5%; auto parts 4.6%; plastic materials 3.5%; power generating machinery 3.5%
Jersey,"light industrial and electrical goods, dairy cattle, foodstuffs, textiles, flowers"
Jordan,"clothing, fertilizers, potash, phosphates, vegetables, pharmaceuticals"
Kazakhstan,"oil and oil products, natural gas, ferrous metals, chemicals, machinery, grain, wool, meat, coal"
Kenya,"tea, horticultural products, coffee, petroleum products, fish, cement"
Kiribati,"copra 62%, coconuts, seaweed, fish"
"Korea, North","minerals, metallurgical products, manufactures (including armaments), textiles, agricultural and fishery products"
"Korea, South","semiconductors, wireless telecommunications equipment, motor vehicles, auto parts, computers, display, home appliances, wire telecommunication equipment, steel, ships, petrochemicals"
Kosovo,"mining and processed metal products, scrap metals, leather products, machinery, appliances, prepared foodstuffs, beverages and tobacco, vegetable products, textile and textile articles"
Kuwait,"oil and refined products, fertilizers"
Kyrgyzstan,"gold, cotton, wool, garments, meat, tobacco; mercury, uranium, electricity; machinery; shoes"
Laos,"wood products, coffee, electricity, tin, copper, gold, cassava"
Latvia,"food products, wood and wood products, metals, machinery and equipment, textiles"
Lebanon,"jewelry, base metals, chemicals, miscellaneous consumer goods, fruit and vegetables, tobacco, construction minerals, electric power machinery and switchgear, textile fibers, paper"
Lesotho,"manufactures (clothing, footwear), wool and mohair, food and live animals, electricity, water, diamonds"
