Afghanistan,"total: 20.28  cu km/yr (1%/1%/98%) 
      
      
        per capita: 823.1  cu m/yr (2005)"
Albania,"total: 1.31  cu km/yr (43%/18%/39%) 
      
      
        per capita: 413.6  cu m/yr (2006)"
Algeria,"total: 5.72  cu km/yr (26%/16%/58%) 
      
      
        per capita: 182  cu m/yr (2005)"
Angola,"total: 0.71  cu km/yr (45%/34%/21%) 
      
      
        per capita: 40.27  cu m/yr (2005)"
Antigua and Barbuda,"total: 0.01  cu km/yr (63%/21%/15%) 
      
      
        per capita: 97.67  cu m/yr (2005)"
Argentina,"total: 32.57  cu km/yr (23%/13%/64%) 
      
      
        per capita: 864.9  cu m/yr (2005)"
Armenia,"total: 2.86  cu km/yr (40%/6%/54%) 
      
      
        per capita: 929.7  cu m/yr (2010)"
Australia,"total: 22.58  cu km/yr (27%/18%/55%) 
      
      
        per capita: 1,152  cu m/yr (2010)"
Austria,"total: 3.66  cu km/yr (18%/79%/3%) 
      
      
        per capita: 452.4  cu m/yr (2008)"
Azerbaijan,"total: 12.21  cu km/yr (4%/18%/78%) 
      
      
        per capita: 1,384  cu m/yr (2010)"
Bahrain,"total: 0.36  cu km/yr (50%/6%/45%) 
      
      
        per capita: 386  cu m/yr (2003)"
Bangladesh,"total: 35.87  cu km/yr (10%/2%/88%) 
      
      
        per capita: 238.3  cu m/yr (2008)"
Barbados,"total: 0.1  cu km/yr (20%/26%/54%) 
      
      
        per capita: 371.3  cu m/yr (2009)"
Belarus,"total: 4.34  cu km/yr (32%/65%/3%) 
      
      
        per capita: 435.4  cu m/yr (2009)"
Belgium,"total: 6.22  cu km/yr (12%/88%/1%) 
      
      
        per capita: 589.8  cu m/yr (2007)"
Belize,"total: 0.22  cu km/yr (4%/49%/46%) 
      
      
        per capita: 845.2  cu m/yr (2000)"
Benin,"total: 0.13  cu km/yr (32%/23%/45%) 
      
      
        per capita: 18.74  cu m/yr (2001)"
Bhutan,"total: 0.34  cu km/yr (5%/1%/94%) 
      
      
        per capita: 458  cu m/yr (2008)"
Bolivia,"total: 2.64  cu km/yr (25%/14%/61%) 
      
      
        per capita: 305.8  cu m/yr (2005)"
Botswana,"total: 0.19  cu km/yr (42%/19%/39%) 
      
      
        per capita: 107.3  cu m/yr (2005)"
Brazil,"total: 58.07  cu km/yr (28%/17%/55%) 
      
      
        per capita: 306  cu m/yr (2006)"
Brunei,"total: 0.09  cu km/yr (97%/0%/3%) 
      
      
        per capita: 301.6  cu m/yr (2009)"
Bulgaria,"total: 6.12  cu km/yr (16%/68%/16%) 
      
      
        per capita: 821.8  cu m/yr (2009)"
Burkina Faso,"total: 0.72  cu km/yr (46%/3%/51%) 
      
      
        per capita: 54.99  cu m/yr (2005)"
