Afghanistan,"household consumption: 96.5% 
      
      
        government consumption: 23.3% 
      
      
        investment in fixed capital: 25.4% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 18.1% 
      
      
        imports of goods and services: -63.4% 
      
       (2011 est.)"
Albania,"household consumption: 87.6% 
      
      
        government consumption: 8.4% 
      
      
        investment in fixed capital: 25% 
      
      
        investment in inventories: -2.6% 
      
      
        exports of goods and services: 36% 
      
      
        imports of goods and services: -54.4% 
      
       (2013 est.)"
Algeria,"household consumption: 33.7% 
      
      
        government consumption: 20.6% 
      
      
        investment in fixed capital: 32.9% 
      
      
        investment in inventories: 8.2% 
      
      
        exports of goods and services: 33.3% 
      
      
        imports of goods and services: -28.7% 
      
       (2013 est.)"
Angola,"household consumption: 49.2% 
      
      
        government consumption: 20% 
      
      
        investment in fixed capital: 11.4% 
      
      
        investment in inventories: -0.1% 
      
      
        exports of goods and services: 59.2% 
      
      
        imports of goods and services: -39.7% 
      
       (2013 est.)"
Anguilla,"household consumption: 74.5% 
      
      
        government consumption: 20.1% 
      
      
        investment in fixed capital: 22.1% 
      
      
        exports of goods and services: 43.7% 
      
      
        imports of goods and services: -60.4% 
      
       (2013 est.)"
Antigua and Barbuda,"household consumption: 55.8% 
      
      
        government consumption: 14.9% 
      
      
        investment in fixed capital: 28% 
      
      
        investment in inventories: 0.1% 
      
      
        exports of goods and services: 46.2% 
      
      
        imports of goods and services: -45% 
      
       (2013 est.)"
Argentina,"household consumption: 55.5% 
      
      
        government consumption: 18% 
      
      
        investment in fixed capital: 22% 
      
      
        investment in inventories: 3.1% 
      
      
        exports of goods and services: 20.3% 
      
      
        imports of goods and services: -18.9% 
      
       (2013 est.)"
Armenia,"household consumption: 84.7% 
      
      
        government consumption: 13% 
      
      
        investment in fixed capital: 22.7% 
      
      
        investment in inventories: -0.9% 
      
      
        exports of goods and services: 23.6% 
      
      
        imports of goods and services: -43.1% 
      
       (2013 est.)"
Australia,"household consumption: 54.6% 
      
      
        government consumption: 17.8% 
      
      
        investment in fixed capital: 27.4% 
      
      
        investment in inventories: 0.1% 
      
      
        exports of goods and services: 20.9% 
      
      
        imports of goods and services: -20.8% 
      
       (2013 est.)"
Austria,"household consumption: 54.6% 
      
      
        government consumption: 19.2% 
      
      
        investment in fixed capital: 20.8% 
      
      
        investment in inventories: 0.5% 
      
      
        exports of goods and services: 56.9% 
      
      
        imports of goods and services: -52% 
      
       (2013 est.)"
Azerbaijan,"household consumption: 41.4% 
      
      
        government consumption: 10.5% 
      
      
        investment in fixed capital: 23.3% 
      
      
        investment in inventories: 0.1% 
      
      
        exports of goods and services: 49.9% 
      
      
        imports of goods and services: -25.2% 
      
       (2013 est.)"
"Bahamas, The","household consumption: 68.7% 
      
      
        government consumption: 15.5% 
      
      
        investment in fixed capital: 34.4% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 45.8% 
      
      
        imports of goods and services: -64.4% 
      
       (2013 est.)"
Bahrain,"household consumption: 39.8% 
      
      
        government consumption: 15.6% 
      
      
        investment in fixed capital: 20.7% 
      
      
        investment in inventories: 0.8% 
      
      
        exports of goods and services: 74.8% 
      
      
        imports of goods and services: -51.7% 
      
       (2013 est.)"
Bangladesh,"household consumption: 75.3% 
      
      
        government consumption: 5.7% 
      
      
        investment in fixed capital: 25.6% 
      
      
        investment in inventories: 3.6% 
      
      
        exports of goods and services: 24.5% 
      
      
        imports of goods and services: -34.7% 
      
       (2013 est.)"
Barbados,"household consumption: 81.7% 
      
      
        government consumption: 15.4% 
      
      
        investment in fixed capital: 14.3% 
      
      
        investment in inventories: 1.9% 
      
      
        exports of goods and services: 40.5% 
      
      
        imports of goods and services: -53.8% 
      
       (2013 est.)"
Belarus,"household consumption: 46.3% 
      
      
        government consumption: 15.3% 
      
      
        investment in fixed capital: 30% 
      
      
        investment in inventories: 0.7% 
      
      
        exports of goods and services: 80.2% 
      
      
        imports of goods and services: -72.5% 
      
       (2013 est.)"
Belgium,"household consumption: 53.7% 
      
      
        government consumption: 25% 
      
      
        investment in fixed capital: 20.2% 
      
      
        investment in inventories: 0.8% 
      
      
        exports of goods and services: 81.8% 
      
      
        imports of goods and services: -81.5% 
      
       (2013 est.)"
Belize,"household consumption: 79.3% 
      
      
        government consumption: 16.8% 
      
      
        investment in fixed capital: 31.2% 
      
      
        investment in inventories: 1.2% 
      
      
        exports of goods and services: 62.1% 
      
      
        imports of goods and services: -90.6% 
      
       (2013 est.)"
Benin,"household consumption: NA cu m 
      
      
        government consumption: 12.7% 
      
      
        investment in fixed capital: 18.6% 
      
      
        investment in inventories: 0.2% 
      
      
        exports of goods and services: 13.2% 
      
      
        imports of goods and services: -26% 
      
       (2013 est.)"
Bermuda,"household consumption: 29.4% 
      
      
        government consumption: 15% 
      
      
        investment in fixed capital: 23.3% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 64.8% 
      
      
        imports of goods and services: -32.5% 
      
       (2013 est.)"
Bhutan,"household consumption: 37.9% 
      
      
        government consumption: 21.3% 
      
      
        investment in fixed capital: 64% 
      
      
        investment in inventories: -0.1% 
      
      
        exports of goods and services: 28.6% 
      
      
        imports of goods and services: -51.7% 
      
       (2013 est.)"
Bolivia,"household consumption: 58.9% 
      
      
        government consumption: 13.4% 
      
      
        investment in fixed capital: 18% 
      
      
        investment in inventories: 0.3% 
      
      
        exports of goods and services: 47.8% 
      
      
        imports of goods and services: -38.4% 
      
       (2013 est.)"
Bosnia and Herzegovina,"household consumption: 82.1% 
      
      
        government consumption: 22.1% 
      
      
        investment in fixed capital: 17.7% 
      
      
        investment in inventories: 1.5% 
      
      
        exports of goods and services: 29% 
      
      
        imports of goods and services: -52.4% 
      
       (2012 est.)"
Botswana,"household consumption: 51.6% 
      
      
        government consumption: 18.3% 
      
      
        investment in fixed capital: 34.1% 
      
      
        investment in inventories: -1.2% 
      
      
        exports of goods and services: 47% 
      
      
        imports of goods and services: -49.8% 
      
       (2013 est.)"
Brazil,"household consumption: 62.5% 
      
      
        government consumption: 21.7% 
      
      
        investment in fixed capital: 18.3% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 12.4% 
      
      
        imports of goods and services: -14.9% 
      
       (2013 est.)"
British Virgin Islands,"household consumption: 34.1% 
      
      
        government consumption: 8.3% 
      
      
        investment in fixed capital: 23.7% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 107.8% 
      
      
        imports of goods and services: -73.9% 
      
       (2013 est.)"
Brunei,"household consumption: 22.1% 
      
      
        government consumption: 18.2% 
      
      
        investment in fixed capital: 14.6% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 78.4% 
      
      
        imports of goods and services: -33.3% 
      
       (2013 est.)"
Bulgaria,"household consumption: 70.4% 
      
      
        government consumption: 7.9% 
      
      
        investment in fixed capital: 21.3% 
      
      
        investment in inventories: 2.5% 
      
      
        exports of goods and services: 69.7% 
      
      
        imports of goods and services: -71.8% 
      
       (2013 est.)"
Burkina Faso,"household consumption: 55.2% 
      
      
        government consumption: 16.9% 
      
      
        investment in fixed capital: 18.3% 
      
      
        investment in inventories: 0.2% 
      
      
        exports of goods and services: 34.4% 
      
      
        imports of goods and services: -25% 
      
       (2013 est.)"
Burma,"household consumption: 80.6% 
      
      
        government consumption: 3.8% 
      
      
        investment in fixed capital: 17.5% 
      
      
        investment in inventories: 0.3% 
      
      
        exports of goods and services: 20.1% 
      
      
        imports of goods and services: -22.3% 
      
       (2013 est.)"
Burundi,"household consumption: 88.8% 
      
      
        government consumption: 22.4% 
      
      
        investment in fixed capital: 22.1% 
      
      
        investment in inventories: -4.6% 
      
      
        exports of goods and services: 7.2% 
      
      
        imports of goods and services: -35.9% 
      
       (2013 est.)"
Cabo Verde,"household consumption: 52.9% 
      
      
        government consumption: 16.6% 
      
      
        investment in fixed capital: 41.9% 
      
      
        investment in inventories: 1.7% 
      
      
        exports of goods and services: 34.3% 
      
      
        imports of goods and services: -47.3% 
      
       (2013 est.)"
Cambodia,"household consumption: 74.7% 
      
      
        government consumption: 7.7% 
      
      
        investment in fixed capital: 16.4% 
      
      
        investment in inventories: 2.1% 
      
      
        exports of goods and services: 65.3% 
      
      
        imports of goods and services: -66.2% 
      
       (2013 est.)"
Cameroon,"household consumption: 65.6% 
      
      
        government consumption: 16% 
      
      
        investment in fixed capital: 21.7% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 31.7% 
      
      
        imports of goods and services: -35% 
      
       (2013 est.)"
Canada,"household consumption: 55.8% 
      
      
        government consumption: 21.6% 
      
      
        investment in fixed capital: 24.6% 
      
      
        investment in inventories: 0.2% 
      
      
        exports of goods and services: 30.1% 
      
      
        imports of goods and services: -32.3% 
      
       (2013 est.)"
Cayman Islands,"household consumption: 62.7% 
      
      
        government consumption: 14.8% 
      
      
        investment in fixed capital: 22.3% 
      
      
        exports of goods and services: 57.4% 
      
      
        imports of goods and services: -57.1% 
      
       (2013 est.)"
Central African Republic,"household consumption: 91.5% 
      
      
        government consumption: 6.1% 
      
      
        investment in fixed capital: 8.3% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 9.7% 
      
      
        imports of goods and services: -15.6% 
      
       (2013 est.)"
Chad,"household consumption: 25.9% 
      
      
        government consumption: 12.2% 
      
      
        investment in fixed capital: 53% 
      
      
        investment in inventories: 0.3% 
      
      
        exports of goods and services: 32% 
      
      
        imports of goods and services: -23.4% 
      
      (2013 est.)"
Chile,"household consumption: 63.2% 
      
      
        government consumption: 12% 
      
      
        investment in fixed capital: 25% 
      
      
        investment in inventories: 0.6% 
      
      
        exports of goods and services: 32.7% 
      
      
        imports of goods and services: -33.5% 
      
       (2013 est.)"
China,"household consumption: 36.3% 
      
      
        government consumption: 13.7% 
      
      
        investment in fixed capital: 46% 
      
      
        investment in inventories: 1.2% 
      
      
        exports of goods and services: 25.1% 
      
      
        imports of goods and services: -22.2% 
      
       (2013 est.)"
Colombia,"household consumption: 61.7% 
      
      
        government consumption: 16.7% 
      
      
        investment in fixed capital: 23.8% 
      
      
        investment in inventories: -0.3% 
      
      
        exports of goods and services: 17.3% 
      
      
        imports of goods and services: -19.3% 
      
       (2013 est.)"
Comoros,"household consumption: 97.2% 
      
      
        government consumption: 17.4% 
      
      
        investment in fixed capital: 21.6% 
      
      
        investment in inventories: 5.1% 
      
      
        exports of goods and services: 15% 
      
      
        imports of goods and services: -56.4% 
      
       (2013 est.)"
"Congo, Democratic Republic of the","household consumption: 65.9% 
      
      
        government consumption: 12.5% 
      
      
        investment in fixed capital: 27.9% 
      
      
        investment in inventories: 1% 
      
      
        exports of goods and services: 49.9% 
      
      
        imports of goods and services: -56.3% 
      
       (2013 est.)"
"Congo, Republic of the","household consumption: 24.8% 
      
      
        government consumption: 11.1% 
      
      
        investment in fixed capital: 55.4% 
      
      
        investment in inventories: 0.9% 
      
      
        exports of goods and services: 91.8% 
      
      
        imports of goods and services: -84.1% 
      
       (2013 est.)"
Costa Rica,"household consumption: 64.7% 
      
      
        government consumption: 17.9% 
      
      
        investment in fixed capital: 20.9% 
      
      
        investment in inventories: 0.8% 
      
      
        exports of goods and services: 35.2% 
      
      
        imports of goods and services: -39.5% 
      
       (2013 est.)"
Cote d'Ivoire,"household consumption: 79.1% 
      
      
        government consumption: 9.1% 
      
      
        investment in fixed capital: 12.7% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 53.2% 
      
      
        imports of goods and services: -54.1% 
      
       (2013 est.)"
Croatia,"household consumption: 59.2% 
      
      
        government consumption: 20% 
      
      
        investment in fixed capital: 18.5% 
      
      
        investment in inventories: 1.7% 
      
      
        exports of goods and services: 44.4% 
      
      
        imports of goods and services: -43.8% 
      
       (2013 est.)"
Cuba,"household consumption: 52.1% 
      
      
        government consumption: 34.4% 
      
      
        investment in fixed capital: 10% 
      
      
        investment in inventories: -3.4% 
      
      
        exports of goods and services: 26% 
      
      
        imports of goods and services: -19.2% 
      
       (2013 est.)"
Cyprus,"household consumption: 67.2% 
      
      
        government consumption: 20.1% 
      
      
        investment in fixed capital: 10.5% 
      
      
        investment in inventories: -4.8% 
      
      
        exports of goods and services: 45.5% 
      
      
        imports of goods and services: -38.5% 
      
       (2013 est.)"
Czech Republic,"household consumption: 45.1% 
      
      
        government consumption: 18.3% 
      
      
        investment in fixed capital: 27% 
      
      
        investment in inventories: 0.1% 
      
      
        exports of goods and services: 81.1% 
      
      
        imports of goods and services: -71.5% 
      
       (2013 est.)"
Denmark,"household consumption: 49.1% 
      
      
        government consumption: 28.8% 
      
      
        investment in fixed capital: 17.7% 
      
      
        investment in inventories: 0.2% 
      
      
        exports of goods and services: 53.4% 
      
      
        imports of goods and services: -49.2% 
      
       (2013 est.)"
Djibouti,"household consumption: 56.6% 
      
      
        government consumption: 23.1% 
      
      
        investment in fixed capital: 35.7% 
      
      
        investment in inventories: 0.5% 
      
      
        exports of goods and services: 35.2% 
      
      
        imports of goods and services: -51.1% 
      
       (2013 est.)"
Dominica,"household consumption: 65.5% 
      
      
        government consumption: 18.9% 
      
      
        investment in fixed capital: 24.8% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 46.4% 
      
      
        imports of goods and services: -55.6% 
      
       (2013 est.)"
Dominican Republic,"household consumption: 83.3% 
      
      
        government consumption: 7.7% 
      
      
        investment in fixed capital: 15.6% 
      
      
        investment in inventories: 0.1% 
      
      
        exports of goods and services: 26.4% 
      
      
        imports of goods and services: -33.2% 
      
       (2013 est.)"
Ecuador,"household consumption: 62.4% 
      
      
        government consumption: 13.4% 
      
      
        investment in fixed capital: 26.6% 
      
      
        investment in inventories: 0.3% 
      
      
        exports of goods and services: 29.4% 
      
      
        imports of goods and services: -32.1% 
      
       (2013 est.)"
Egypt,"household consumption: 78.6% 
      
      
        government consumption: 11.8% 
      
      
        investment in fixed capital: 14.3% 
      
      
        investment in inventories: 0.4% 
      
      
        exports of goods and services: 18% 
      
      
        imports of goods and services: -23.2% 
      
       (2013 est.)"
El Salvador,"household consumption: 93.9% 
      
      
        government consumption: 11.1% 
      
      
        investment in fixed capital: 14.5% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 29% 
      
      
        imports of goods and services: -48.5% 
      
       (2013 est.)"
Equatorial Guinea,"household consumption: 26.7% 
      
      
        government consumption: 3.7% 
      
      
        investment in fixed capital: 37.9% 
      
      
        investment in inventories: 1% 
      
      
        exports of goods and services: 80.8% 
      
      
        imports of goods and services: -50.1% 
      
       (2013 est.)"
Eritrea,"household consumption: 75.1% 
      
      
        government consumption: 18.4% 
      
      
        investment in fixed capital: 15.7% 
      
      
        exports of goods and services: 10.2% 
      
      
        imports of goods and services: -19.4% 
      
       (2013 est.)"
Estonia,"household consumption: 50.6% 
      
      
        government consumption: 19% 
      
      
        investment in fixed capital: 24.5% 
      
      
        investment in inventories: 0.9% 
      
      
        exports of goods and services: 90.4% 
      
      
        imports of goods and services: -90.3% 
      
       (2013 est.)"
Ethiopia,"household consumption: 83.1% 
      
      
        government consumption: 8.6% 
      
      
        investment in fixed capital: 26.1% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 11.5% 
      
      
        imports of goods and services: -29.3% 
      
       (2013 est.)"
European Union,"household consumption: 56.9% 
      
      
        government consumption: 21.6% 
      
      
        investment in fixed capital: 17.9% 
      
      
        investment in inventories: 0.1% 
      
      
        exports of goods and services: 44.9% 
      
      
        imports of goods and services: -42.9% 
      
       (2012 est.)"
Fiji,"household consumption: 90.4% 
      
      
        government consumption: 16% 
      
      
        investment in fixed capital: 22.7% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 39.7% 
      
      
        imports of goods and services: -68.8% 
      
       (2013 est.)"
Finland,"household consumption: 56.3% 
      
      
        government consumption: 24.3% 
      
      
        investment in fixed capital: 18.3% 
      
      
        investment in inventories: 0.3% 
      
      
        exports of goods and services: 38% 
      
      
        imports of goods and services: -37.3% 
      
       (2013 est.)"
France,"household consumption: 57.6% 
      
      
        government consumption: 25.1% 
      
      
        investment in fixed capital: 18.7% 
      
      
        investment in inventories: 0.1% 
      
      
        exports of goods and services: 27.3% 
      
      
        imports of goods and services: -28.8% 
      
       (2013 est.)"
Gabon,"household consumption: 39.1% 
      
      
        government consumption: 10.5% 
      
      
        investment in fixed capital: 33.7% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 58.1% 
      
      
        imports of goods and services: -41.4% 
      
       (2013 est.)"
"Gambia, The","household consumption: 89.2% 
      
      
        government consumption: 10.9% 
      
      
        investment in fixed capital: 19.1% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 28% 
      
      
        imports of goods and services: -47.3% 
      
       (2013 est.)"
Gaza Strip,"household consumption: 99.5% 
      
      
        government consumption: 29.5% 
      
      
        investment in fixed capital: 18% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 14.9% 
      
      
        imports of goods and services: -62% 
      
       (2013 est.)"
Georgia,"household consumption: 68.6% 
      
      
        government consumption: 19% 
      
      
        investment in fixed capital: 23.6% 
      
      
        investment in inventories: 3.2% 
      
      
        exports of goods and services: 39.9% 
      
      
        imports of goods and services: -54.4% 
      
       (2013 est.)"
Germany,"household consumption: 57.6% 
      
      
        government consumption: 19.4% 
      
      
        investment in fixed capital: 17.5% 
      
      
        investment in inventories: 0.1% 
      
      
        exports of goods and services: 49.5% 
      
      
        imports of goods and services: -44.1% 
      
       (2013 est.)"
Ghana,"household consumption: 64.2% 
      
      
        government consumption: 14.2% 
      
      
        investment in fixed capital: 31.7% 
      
      
        investment in inventories: 0.7% 
      
      
        exports of goods and services: 50.2% 
      
      
        imports of goods and services: -61% 
      
       (2013 est.)"
Greece,"household consumption: 72.7% 
      
      
        government consumption: 17.4% 
      
      
        investment in fixed capital: 12.3% 
      
      
        investment in inventories: 0.9% 
      
      
        exports of goods and services: 28.4% 
      
      
        imports of goods and services: -31.7% 
      
       (2013 est.)"
Grenada,"household consumption: 91.6% 
      
      
        government consumption: 15.8% 
      
      
        investment in fixed capital: 16.8% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 21.9% 
      
      
        imports of goods and services: -46.1% 
      
       (2013 est.)"
Guatemala,"household consumption: 84.5% 
      
      
        government consumption: 11% 
      
      
        investment in fixed capital: 14.1% 
      
      
        investment in inventories: 0.7% 
      
      
        exports of goods and services: 25.1% 
      
      
        imports of goods and services: -35.3% 
      
       (2013 est.)"
Guinea,"household consumption: 84.7% 
      
      
        government consumption: 12.4% 
      
      
        investment in fixed capital: 37.1% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 22.8% 
      
      
        imports of goods and services: -57% 
      
       (2013 est.)"
Guinea-Bissau,"household consumption: 81.3% 
      
      
        government consumption: 13% 
      
      
        investment in fixed capital: 12.9% 
      
      
        investment in inventories: 0% 
      
      
        exports of goods and services: 25.5% 
      
      
        imports of goods and services: -32.7% 
      
       (2013 est.)"
