Afghanistan,"agriculture: 20% 
      
      
        industry: 25.6% 
      
      
        services: 54.4% 
      
      
        note: data exclude opium production (2011 est.)"
Albania,"agriculture: 19.5% 
      
      
        industry: 12% 
      
      
        services: 68.5% 
      
       (2011 est.)"
Algeria,"agriculture: 9.4% 
      
      
        industry: 62.6% 
      
      
        services: 28% (2013 est.)"
American Samoa,"agriculture: NA% 
      
      
        industry: NA% 
      
      
        services: NA%"
Andorra,"agriculture: 14% 
      
      
        industry: 79% 
      
      
        services: 6% (2011 est.)"
Angola,"agriculture: 10.2% 
      
      
        industry: 61.4% 
      
      
        services: 28.4% (2011 est.)"
Anguilla,"agriculture: 2.5% 
      
      
        industry: 23.6% 
      
      
        services: 73.8% (2013 est.)"
Antigua and Barbuda,"agriculture: 2.2% 
      
      
        industry: 16.4% 
      
      
        services: 81.4% (2013 est.)"
Argentina,"agriculture: 9.3% 
      
      
        industry: 29.7% 
      
      
        services: 61% (2013 est.)"
Armenia,"agriculture: 20.6% 
      
      
        industry: 37.3% 
      
      
        services: 42.1% (2013 est.)"
Aruba,"agriculture: 0.4% 
      
      
        industry: 33.3% 
      
      
        services: 66.3% (2002 est.)"
Australia,"agriculture: 3.8% 
      
      
        industry: 27.4% 
      
      
        services: 68.7% (2013 est.)"
Austria,"agriculture: 1.6% 
      
      
        industry: 28.6% 
      
      
        services: 69.8% (2013 est.)"
Azerbaijan,"agriculture: 6.2% 
      
      
        industry: 63% 
      
      
        services: 30.8% (2013 est.)"
"Bahamas, The","agriculture: 2.1% 
      
      
        industry: 7.1% 
      
      
        services: 90.8% (2013 est.)"
Bahrain,"agriculture: 0.3% 
      
      
        industry: 46.7% 
      
      
        services: 53% (2013 est.)"
Bangladesh,"agriculture: 17.2% 
      
      
        industry: 28.9% 
      
      
        services: 53.9% (2013 est.)"
Barbados,"agriculture: 3.1% 
      
      
        industry: 13.9% 
      
      
        services: 83% (2013 est.)"
Belarus,"agriculture: 9.2% 
      
      
        industry: 46.2% 
      
      
        services: 44.7% (2013 est.)"
Belgium,"agriculture: 0.8% 
      
      
        industry: 22.6% 
      
      
        services: 76.6% (2013 est.)"
Belize,"agriculture: 13% 
      
      
        industry: 23% 
      
      
        services: 64% (2012 est.)"
Benin,"agriculture: 31.6% 
      
      
        industry: 12.9% 
      
      
        services: 55.6% (2013 est.)"
Bermuda,"agriculture: 0.7% 
      
      
        industry: 5.7% 
      
      
        services: 93.5% (2013 est.)"
Bhutan,"agriculture: 13.8% 
      
      
        industry: 41.2% 
      
      
        services: 45% (2013 est.)"
Bolivia,"agriculture: 9.2% 
      
      
        industry: 38.5% 
      
      
        services: 52.3% (2013 est.)"
Bosnia and Herzegovina,"agriculture: 8.1% 
      
      
        industry: 26.4% 
      
      
        services: 65.5% (2013 est.)"
Botswana,"agriculture: 1.9% 
      
      
        industry: 35.7% 
      
      
        services: 62.4% (2013 est.)"
Brazil,"agriculture: 5.5% 
      
      
        industry: 26.4% 
      
      
        services: 68.1% 
      
       (2013 est.)"
British Virgin Islands,"agriculture: 1.1% 
      
      
        industry: 11.7% 
      
      
        services: 87.2% (2013 est.)"
Brunei,"agriculture: 0.7% 
      
      
        industry: 70.9% 
      
      
        services: 28.4% (2013 est.)"
Bulgaria,"agriculture: 6.7% 
      
      
        industry: 30.3% 
      
      
        services: 63% (2013 est.)"
Burkina Faso,"agriculture: 33.6% 
      
      
        industry: 23.6% 
      
      
        services: 42.8% (2013 est.)"
Burma,"agriculture: 38% 
      
      
        industry: 20.3% 
      
      
        services: 41.7% (2013 est.)"
Burundi,"agriculture: 34.4% 
      
      
        industry: 18.4% 
      
      
        services: 47.2% (2013 est.)"
Cabo Verde,"agriculture: 9.3% 
      
      
        industry: 18.8% 
      
      
        services: 71.9% (2013 est.)"
Cambodia,"agriculture: 34.8% 
      
      
        industry: 24.5% 
      
      
        services: 40.7% (2013 est.)"
Cameroon,"agriculture: 20.6% 
      
      
        industry: 27.3% 
      
      
        services: 52.1% (2013 est.)"
Canada,"agriculture: 1.7% 
      
      
        industry: 28.4% 
      
      
        services: 69.9% (2013 est.)"
Cayman Islands,"agriculture: 0.3% 
      
      
        industry: 27.4% 
      
      
        services: 72.3% (2013 est.)"
Central African Republic,"agriculture: 56.6% 
      
      
        industry: 14.5% 
      
      
        services: 28.9% (2013 est.)"
Chad,"agriculture: 46.3% 
      
      
        industry: 9.9% 
      
      
        services: 43.8% (2013 est.)"
Chile,"agriculture: 3.6% 
      
      
        industry: 35.4% 
      
      
        services: 61% (2013 est.)"
China,"agriculture: 10% 
      
      
        industry: 43.9% 
      
      
        services: 46.1% 
      
       (2013 est.)"
Colombia,"agriculture: 6.6% 
      
      
        industry: 37.8% 
      
      
        services: 55.6% (2013 est.)"
Comoros,"agriculture: 51% 
      
      
        industry: 10% 
      
      
        services: 39% (2012 est.)"
"Congo, Democratic Republic of the","agriculture: 44.3% 
      
      
        industry: 21.7% 
      
      
        services: 34% (2013 est.)"
"Congo, Republic of the","agriculture: 3.3% 
      
      
        industry: 73.9% 
      
      
        services: 22.9% (2013 est.)"
Cook Islands,"agriculture: 5.1% 
      
      
        industry: 12.7% 
      
      
        services: 82.1% (2010 est.)"
Costa Rica,"agriculture: 6.2% 
      
      
        industry: 21.3% 
      
      
        services: 72.5% (2013 est.)"
Cote d'Ivoire,"agriculture: 26.3% 
      
      
        industry: 21.3% 
      
      
        services: 52.4% (2013 est.)"
Croatia,"agriculture: 5% 
      
      
        industry: 25.8% 
      
      
        services: 69.2% (2013 est.)"
Cuba,"agriculture: 3.8% 
      
      
        industry: 22.3% 
      
      
        services: 73.9% (2013 est.)"
Curacao,"agriculture: 0.7% 
      
      
        industry: 15.5% 
      
      
        services: 83.8% (2012 est.)"
Cyprus,"agriculture: 2.4% 
      
      
        industry: 15.9% 
      
      
        services: 81.7% (2013 est.)"
Czech Republic,"agriculture: 2.4% 
      
      
        industry: 37.3% 
      
      
        services: 60.3% (2012 est.)"
Denmark,"agriculture: 1.5% 
      
      
        industry: 21.7% 
      
      
        services: 76.8% (2013 est.)"
Djibouti,"agriculture: 3% 
      
      
        industry: 17.3% 
      
      
        services: 79.7% (2013 est.)"
Dominica,"agriculture: 15.7% 
      
      
        industry: 15.6% 
      
      
        services: 68.7% (2013 est.)"
Dominican Republic,"agriculture: 6% 
      
      
        industry: 29.1% 
      
      
        services: 64.9% (2013 est.)"
Ecuador,"agriculture: 5.9% 
      
      
        industry: 35.1% 
      
      
        services: 59% (2013 est.)"
Egypt,"agriculture: 14.5% 
      
      
        industry: 37.5% 
      
      
        services: 48% (2013 est.)"
El Salvador,"agriculture: 10.3% 
      
      
        industry: 29.5% 
      
      
        services: 60.1% (2013 est.)"
Equatorial Guinea,"agriculture: 4.6% 
      
      
        industry: 87.3% 
      
      
        services: 8.1% (2013 est.)"
Eritrea,"agriculture: 11.7% 
      
      
        industry: 26.9% 
      
      
        services: 61.4% (2013 est.)"
Estonia,"agriculture: 3.9% 
      
      
        industry: 30% 
      
      
        services: 66.2% (2013 est.)"
Ethiopia,"agriculture: 47% 
      
      
        industry: 10.8% 
      
      
        services: 42.2% (2013 est.)"
European Union,"agriculture: 1.8% 
      
      
        industry: 25.2% 
      
      
        services: 72.8% (2013 est.)"
Falkland Islands (Islas Malvinas),"agriculture: 95% 
      
      
        industry: NA% 
      
      
        services: NA% (1996)"
Faroe Islands,"agriculture: 16% 
      
      
        industry: 29% 
      
      
        services: 55% (2007 est.)"
Fiji,"agriculture: 11.7% 
      
      
        industry: 18.1% 
      
      
        services: 70.2% (2013 est.)"
Finland,"agriculture: 2.9% 
      
      
        industry: 25.1% 
      
      
        services: 71.9% (2013 est.)"
France,"agriculture: 1.9% 
      
      
        industry: 18.7% 
      
      
        services: 79.4% (2013 est.)"
French Polynesia,"agriculture: 3.1% 
      
      
        industry: 20% 
      
      
        services: 76.9% (2006)"
Gabon,"agriculture: 3.6% 
      
      
        industry: 63.9% 
      
      
        services: 32.5% (2013 est.)"
"Gambia, The","agriculture: 19.7% 
      
      
        industry: 12.6% 
      
      
        services: 67.7% (2013 est.)"
Gaza Strip,see entry for West Bank
Georgia,"agriculture: 8.5% 
      
      
        industry: 21.6% 
      
      
        services: 69.9% (2013 est.)"
Germany,"agriculture: 0.8% 
      
      
        industry: 30.1% 
      
      
        services: 69% 
      
       (2013 est.)"
Ghana,"agriculture: 21.5% 
      
      
        industry: 28.7% 
      
      
        services: 49.8% (2013 est.)"
Gibraltar,"agriculture: 0% 
      
      
        industry: 0% 
      
      
        services: 100% (2008 est.)"
Greece,"agriculture: 3.5% 
      
      
        industry: 16% 
      
      
        services: 80.5% (2013 est.)"
Greenland,"agriculture: 4% 
      
      
        industry: 29% 
      
      
        services: 67% (2009 est.)"
Grenada,"agriculture: 5.6% 
      
      
        industry: 15.8% 
      
      
        services: 78.5% (2013 est.)"
