Afghanistan,$20.65 billion (2013 est.)
Albania,$12.8 billion (2013 est.)
Algeria,$215.7 billion (2013 est.)
American Samoa,$462.2 million (2005)
Andorra,$4.8 billion (2012 est.)
Angola,$124 billion (2013 est.)
Anguilla,$175.4 million (2009 est.)
Antigua and Barbuda,$1.22 billion (2013 est.)
Argentina,$484.6 billion (2013 est.)
Armenia,$10.44 billion (2013 est.)
Aruba,$2.516 billion (2009 est.)
Australia,$1.488 trillion (2013 est.)
Austria,$417.9 billion (2013 est.)
Azerbaijan,$76.01 billion (2013 est.)
"Bahamas, The",$8.373 billion (2013 est.)
Bahrain,$28.36 billion (2013 est.)
Bangladesh,$140.2 billion (2013 est.)
Barbados,$4.262 billion (2013 est.)
Belarus,$69.24 billion (2013 est.)
Belgium,$507.4 billion (2013 est.)
Belize,$1.637 billion (2013 est.)
Benin,$8.359 billion (2013 est.)
Bermuda,$5.6 billion (2011)
Bhutan,$2.133 billion (2013 est.)
Bolivia,$30.79 billion (2013 est.)
Bosnia and Herzegovina,$18.87 billion (2013 est.)
Botswana,$15.53 billion (2013 est.)
Brazil,$2.19 trillion (2013 est.)
British Virgin Islands,$1.095 billion (2008)
Brunei,$16.56 billion (2013 est.)
Bulgaria,$53.7 billion (2013 est.)
Burkina Faso,$12.13 billion (2013 est.)
Burma,$59.43 billion (2013 est.)
Burundi,$2.676 billion (2013 est.)
Cabo Verde,$1.955 billion (2013 est.)
Cambodia,$15.64 billion (2013 est.)
Cameroon,$27.88 billion (2013 est.)
Canada,$1.825 trillion (2013 est.)
Cayman Islands,$2.25 billion (2008 est.)
Central African Republic,$2.05 billion (2013 est.)
Chad,$13.59 billion (2013 est.)
Chile,$281.7 billion (2013 est.)
China,"$9.33 trillion 
      
      
        note: because China's exchange rate is determine by fiat, rather than by market forces, the official exchange rate measure of GDP is not an accurate measure of China's output; GDP at the official exchange rate substantially understates the actual level of China's output vis-a-vis the rest of the world; in China's situation, GDP at purchasing power parity provides the best measure for comparing output across countries (2013 est.)"
Colombia,$369.2 billion (2013 est.)
Comoros,$658 million (2013 est.)
"Congo, Democratic Republic of the",$18.56 billion (2013 est.)
"Congo, Republic of the",$14.25 billion (2013 est.)
Cook Islands,$183.2 million (2005 est.)
Costa Rica,$48.51 billion (2013 est.)
Cote d'Ivoire,$28.28 billion (2013 est.)
Croatia,$59.14 billion (2013 est.)
Cuba,$72.3 billion (2012 est.)
Curacao,$5.6 billion (2012 est.)
Cyprus,$21.78 billion (2013 est.)
Czech Republic,$194.8 billion (2013 est.)
Denmark,$324.3 billion (2013 est.)
Djibouti,$1.459 billion (2013 est.)
Dominica,$495 million (2013 est.)
Dominican Republic,$59.27 billion (2013 est.)
Ecuador,$91.41 billion (2013 est.)
Egypt,$262 billion (2013 est.)
El Salvador,$24.67 billion (2013 est.)
Equatorial Guinea,$17.08 billion (2013 est.)
Eritrea,$3.438 billion (2013 est.)
Estonia,$24.28 billion (2013 est.)
Ethiopia,$47.34 billion (2013 est.)
European Union,$16.95 trillion (2013 est.)
Falkland Islands (Islas Malvinas),$164.5 million (2007 est.)
Faroe Islands,$2.32 billion (2010 est.)
Fiji,$4.218 billion (2013 est.)
Finland,$259.6 billion (2013 est.)
France,$2.739 trillion (2013 est.)
French Polynesia,$5.65 billion (2006)
Gabon,$19.97 billion (2013 est.)
"Gambia, The",$896 million (2013 est.)
