Afghanistan,"$1,100 (2013 est.) 
      
      $1,100 (2012 est.) 
      
      $1,000 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Albania,"$10,700 (2013 est.) 
      
      $10,400 (2012 est.) 
      
      $9,900 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Algeria,"$7,500 (2013 est.) 
      
      $7,400 (2012 est.) 
      
      $7,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
American Samoa,"$8,000 (2007 est.) 
      
      $5,800 (2005 est.)"
Andorra,"$37,200 (2011 est.) 
      
      $37,700 (2010 est.) 
      
      $37,900 (2009 est.)"
Angola,"$6,300 (2013 est.) 
      
      $6,200 (2012 est.) 
      
      $6,000 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Anguilla,"$12,200 (2008 est.)"
Antigua and Barbuda,"$18,400 (2013 est.) 
      
      $18,100 (2012 est.) 
      
      $17,800 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Argentina,"$18,600 (2013 est.) 
      
      $18,200 (2012 est.) 
      
      $18,000 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Armenia,"$6,300 (2013 est.) 
      
      $6,000 (2012 est.) 
      
      $5,600 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Aruba,"$25,300 (2011 est.)"
Australia,"$43,000 (2013 est.) 
      
      $42,500 (2012 est.) 
      
      $41,700 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Austria,"$42,600 (2013 est.) 
      
      $42,500 (2012 est.) 
      
      $42,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Azerbaijan,"$10,800 (2013 est.) 
      
      $10,500 (2012 est.) 
      
      $10,400 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
"Bahamas, The","$32,000 (2013 est.) 
      
      $31,800 (2012 est.) 
      
      $31,500 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bahrain,"$29,800 (2013 est.) 
      
      $29,100 (2012 est.) 
      
      $28,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bangladesh,"$2,100 (2013 est.) 
      
      $2,000 (2012 est.) 
      
      $1,900 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Barbados,"$25,100 (2013 est.) 
      
      $25,400 (2012 est.) 
      
      $25,400 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Belarus,"$16,100 (2013 est.) 
      
      $15,700 (2012 est.) 
      
      $15,400 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Belgium,"$37,800 (2013 est.) 
      
      $38,000 (2012 est.) 
      
      $38,400 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Belize,"$8,800 (2013 est.) 
      
      $8,800 (2012 est.) 
      
      $8,500 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Benin,"$1,600 (2013 est.) 
      
      $1,600 (2012 est.) 
      
      $1,500 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bermuda,"$86,000 (2011 est.)"
Bhutan,"$7,000 (2013 est.) 
      
      $6,700 (2012 est.) 
      
      $6,100 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bolivia,"$5,500 (2013 est.) 
      
      $5,200 (2012 est.) 
      
      $4,900 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bosnia and Herzegovina,"$8,300 (2013 est.) 
      
      $8,200 (2012 est.) 
      
      $8,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Botswana,"$16,400 (2013 est.) 
      
      $15,900 (2012 est.) 
      
      $15,500 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Brazil,"$12,100 (2013 est.) 
      
      $11,900 (2012 est.) 
      
      $11,900 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
British Virgin Islands,"$42,300 (2010 est.)"
Brunei,"$54,800 (2013 est.) 
      
      $54,900 (2012 est.) 
      
      $55,200 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bulgaria,"$14,400 (2013 est.) 
      
      $14,300 (2012 est.) 
      
      $14,100 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Burkina Faso,"$1,500 (2013 est.) 
      
      $1,400 (2012 est.) 
      
      $1,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Burma,"$1,700 (2013 est.) 
      
      $1,600 (2012 est.) 
      
      $1,600 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Burundi,"$600 (2013 est.) 
      
      $600 (2012 est.) 
      
      $600 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cabo Verde,"$4,400 (2013 est.) 
      
      $4,400 (2012 est.) 
      
      $4,400 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cambodia,"$2,600 (2013 est.) 
      
      $2,400 (2012 est.) 
      
      $2,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cameroon,"$2,400 (2013 est.) 
      
      $2,400 (2012 est.) 
      
      $2,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Canada,"$43,100 (2013 est.) 
      
      $42,900 (2012 est.) 
      
      $42,700 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cayman Islands,"$43,800 (2004 est.)"
Central African Republic,"$700 (2013 est.) 
      
      $900 (2012 est.) 
      
      $800 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Chad,"$2,500 (2013 est.) 
      
      $2,500 (2012 est.) 
      
      $2,400 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Chile,"$19,100 (2013 est.) 
      
      $18,500 (2012 est.) 
      
      $17,600 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
China,"$9,800 (2013 est.) 
      
      $9,100 (2012 est.) 
      
      $8,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Colombia,"$11,100 (2013 est.) 
      
      $10,800 (2012 est.) 
      
      $10,500 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Comoros,"$1,300 (2013 est.) 
      
      $1,300 (2012 est.) 
      
      $1,300 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
"Congo, Democratic Republic of the","$400 (2013 est.) 
      
      $400 (2012 est.) 
      
      $400 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
"Congo, Republic of the","$4,800 (2013 est.) 
      
      $4,700 (2012 est.) 
      
      $4,600 (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cook Islands,"$9,100 (2005 est.)"
