Afghanistan,"$45.3 billion (2013 est.) 
      
      $34.25 billion (2012 est.) 
      
      $30.45 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Albania,"$28.34 billion (2013 est.) 
      
      $28.14 billion (2012 est.) 
      
      $27.78 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars 
      
      Albania has an informal, and unreported, sector that may be as large as 50% of official GDP"
Algeria,"$284.7 billion (2013 est.) 
      
      $276.2 billion (2012 est.) 
      
      $267.4 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
American Samoa,"$575.3 million (2007 est.) 
      
      $510.1 million (2003 est.)"
Andorra,"$3.163 billion (2012 est.) 
      
      $3.214 billion (2011 est.) 
      
      $3.227 billion (2010 est.) 
      
      
        note: data are in 2012 US dollars"
Angola,"$131.8 billion (2013 est.) 
      
      $124.8 billion (2012 est.) 
      
      $118.7 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Anguilla,"$175.4 million (2009 est.) 
      
      $191.7 million (2008 est.) 
      
      $108.9 million (2004 est.)"
Antigua and Barbuda,"$1.61 billion (2013 est.) 
      
      $1.583 billion (2012 est.) 
      
      $1.558 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Argentina,"$771 billion (2013 est.) 
      
      $745.2 billion (2012 est.) 
      
      $731.3 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Armenia,"$20.61 billion (2013 est.) 
      
      $19.7 billion (2012 est.) 
      
      $18.38 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Aruba,"$2.516 billion (2009 est.) 
      
      $2.258 billion (2005 est.) 
      
      $2.205 billion (2004 est.)"
Australia,"$998.3 billion (2013 est.) 
      
      $974.2 billion (2012 est.) 
      
      $939.7 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Austria,"$361 billion (2013 est.) 
      
      $359.6 billion (2012 est.) 
      
      $356.5 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Azerbaijan,"$102.7 billion (2013 est.) 
      
      $97.04 billion (2012 est.) 
      
      $94.98 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
"Bahamas, The","$11.4 billion (2013 est.) 
      
      $11.19 billion (2012 est.) 
      
      $10.98 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bahrain,"$34.96 billion (2013 est.) 
      
      $33.48 billion (2012 est.) 
      
      $31.95 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bangladesh,"$324.6 billion (2013 est.) 
      
      $307 billion (2012 est.) 
      
      $289.2 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Barbados,"$7.004 billion (2013 est.) 
      
      $7.056 billion (2012 est.) 
      
      $7.056 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Belarus,"$150.4 billion (2013 est.) 
      
      $147.3 billion (2012 est.) 
      
      $145 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Belgium,"$421.7 billion (2013 est.) 
      
      $421.3 billion (2012 est.) 
      
      $422.5 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Belize,"$3.083 billion (2013 est.) 
      
      $3.008 billion (2012 est.) 
      
      $2.857 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Benin,"$16.65 billion (2013 est.) 
      
      $15.86 billion (2012 est.) 
      
      $15.04 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bermuda,"$5.6 billion (2011 est.) 
      
      $5.803 billion (2010 est.)"
Bhutan,"$5.235 billion (2013 est.) 
      
      $4.947 billion (2012 est.) 
      
      $4.529 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bolivia,"$59.11 billion (2013 est.) 
      
      $55.35 billion (2012 est.) 
      
      $52.63 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bosnia and Herzegovina,"$32.16 billion (2013 est.) 
      
      $31.9 billion (2012 est.) 
      
      $32.26 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Botswana,"$34 billion (2013 est.) 
      
      $32.71 billion (2012 est.) 
      
      $31.4 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Brazil,"$2.416 trillion (2013 est.) 
      
      $2.362 trillion (2012 est.) 
      
      $2.342 trillion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
British Virgin Islands,$500 million (2010 est.)
Brunei,"$22.25 billion (2013 est.) 
      
      $21.93 billion (2012 est.) 
      
      $21.73 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Bulgaria,"$104.6 billion (2013 est.) 
      
      $104.1 billion (2012 est.) 
      
      $103.3 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Burkina Faso,"$26.51 billion (2013 est.) 
      
      $24.9 billion (2012 est.) 
      
      $22.85 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Burma,"$111.1 billion (2013 est.) 
      
      $104 billion (2012 est.) 
      
      $97.81 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Burundi,"$5.75 billion (2013 est.) 
      
      $5.504 billion (2012 est.) 
      
      $5.291 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cabo Verde,"$2.222 billion (2013 est.) 
      
      $2.19 billion (2012 est.) 
      
      $2.135 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cambodia,"$39.64 billion (2013 est.) 
      
      $37.04 billion (2012 est.) 
      
      $34.52 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cameroon,"$53.16 billion (2013 est.) 
      
      $50.85 billion (2012 est.) 
      
      $48.62 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Canada,"$1.518 trillion (2013 est.) 
      
      $1.494 trillion (2012 est.) 
      
      $1.469 trillion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
Cayman Islands,"$2.25 billion (2008 est.) 
      
      $2.23 billion (2003 est.)"
Central African Republic,"$3.336 billion (2013 est.) 
      
      $3.902 billion (2012 est.) 
      
      $3.748 billion (2011 est.) 
      
      
        note: data are in 2013 US dollars"
