Afghanistan,"3.1% (2013 est.) 
      
      12.5% (2012 est.) 
      
      6.1% (2011 est.)"
Albania,"0.7% (2013 est.) 
      
      1.3% (2012 est.) 
      
      3.1% (2011 est.)"
Algeria,"3.1% (2013 est.) 
      
      3.3% (2012 est.) 
      
      2.6% (2011 est.)"
American Samoa,3% (2003)
Andorra,"-1.6% (2012 est.) 
      
      -0.4% (2011 est.) 
      
      -1.9% (2010 est.)"
Angola,"5.6% (2013 est.) 
      
      5.2% (2012 est.) 
      
      3.9% (2011 est.)"
Anguilla,-8.5% (2009 est.)
Antigua and Barbuda,"1.7% (2013 est.) 
      
      1.6% (2012 est.) 
      
      -3% (2011 est.)"
Argentina,"3.5% (2013 est.) 
      
      1.9% (2012 est.) 
      
      8.9% (2011 est.)"
Armenia,"4.6% (2013 est.) 
      
      7.2% (2012 est.) 
      
      4.7% (2011 est.)"
Aruba,2.4% (2005 est.)
Australia,"2.5% (2013 est.) 
      
      3.7% (2012 est.) 
      
      2.4% (2011 est.)"
Austria,"0.4% (2013 est.) 
      
      0.9% (2012 est.) 
      
      2.8% (2011 est.)"
Azerbaijan,"5.8% (2013 est.) 
      
      2.2% (2012 est.) 
      
      0.1% (2011 est.)"
"Bahamas, The","1.9% (2013 est.) 
      
      1.8% (2012 est.) 
      
      1.7% (2011 est.)"
Bahrain,"4.4% (2013 est.) 
      
      4.8% (2012 est.) 
      
      2.1% (2011 est.)"
Bangladesh,"5.8% (2013 est.) 
      
      6.1% (2012 est.) 
      
      6.5% (2011 est.)"
Barbados,"-0.8% (2013 est.) 
      
      0% (2012 est.) 
      
      0.8% (2011 est.)"
Belarus,"2.1% (2013 est.) 
      
      1.5% (2012 est.) 
      
      5.5% (2011 est.)"
Belgium,"0.1% (2013 est.) 
      
      -0.3% (2012 est.) 
      
      1.8% (2011 est.)"
Belize,"2.5% (2013 est.) 
      
      5.3% (2012 est.) 
      
      1.9% (2011 est.)"
Benin,"5% (2013 est.) 
      
      5.4% (2012 est.) 
      
      3.5% (2011 est.)"
Bermuda,-3.5% (2011)
Bhutan,"5.8% (2013 est.) 
      
      9.2% (2012 est.) 
      
      8.5% (2011 est.)"
Bolivia,"6.8% (2013 est.) 
      
      5.2% (2012 est.) 
      
      5.2% (2011 est.)"
