Albania,"14.1% of GDP (2013 est.) 
      
      13.6% of GDP (2012 est.) 
      
      13.6% of GDP (2011 est.)"
Algeria,"45.5% of GDP (2013 est.) 
      
      44.4% of GDP (2012 est.) 
      
      47.7% of GDP (2011 est.)"
Angola,"19.1% of GDP (2013 est.) 
      
      23.8% of GDP (2012 est.) 
      
      24% of GDP (2011 est.)"
Antigua and Barbuda,"18% of GDP (2013 est.) 
      
      18% of GDP (2012 est.) 
      
      18.4% of GDP (2011 est.)"
Argentina,"24.6% of GDP (2013 est.) 
      
      24% of GDP (2012 est.) 
      
      25.6% of GDP (2011 est.)"
Armenia,"16.2% of GDP (2013 est.) 
      
      13.2% of GDP (2012 est.) 
      
      16.1% of GDP (2011 est.)"
Australia,"24.4% of GDP (2013 est.) 
      
      25.2% of GDP (2012 est.) 
      
      25.1% of GDP (2011 est.)"
Austria,"23.9% of GDP (2013 est.) 
      
      24.4% of GDP (2012 est.) 
      
      24.5% of GDP (2011 est.)"
Azerbaijan,"41% of GDP (2013 est.) 
      
      44.4% of GDP (2012 est.) 
      
      45.1% of GDP (2011 est.)"
"Bahamas, The","14.3% of GDP (2013 est.) 
      
      19.3% of GDP (2012 est.) 
      
      17.8% of GDP (2011 est.)"
Bahrain,"27.6% of GDP (2013 est.) 
      
      27.6% of GDP (2012 est.) 
      
      27.5% of GDP (2011 est.)"
Bangladesh,"28.3% of GDP (2013 est.) 
      
      27% of GDP (2012 est.) 
      
      25% of GDP (2011 est.)"
Barbados,"9% of GDP (2013 est.) 
      
      9.4% of GDP (2012 est.) 
      
      3.4% of GDP (2011 est.)"
Belarus,"24.8% of GDP (2013 est.) 
      
      31.8% of GDP (2012 est.) 
      
      29.2% of GDP (2011 est.)"
Belgium,"19.2% of GDP (2013 est.) 
      
      19.6% of GDP (2012 est.) 
      
      20.8% of GDP (2011 est.)"
Belize,"31.2% of GDP (2013 est.) 
      
      29.2% of GDP (2012 est.) 
      
      28.2% of GDP (2011 est.)"
Benin,"9.9% of GDP (2013 est.) 
      
      9% of GDP (2012 est.) 
      
      7.9% of GDP (2011 est.)"
Bhutan,"29.6% of GDP (2013 est.) 
      
      29.1% of GDP (2012 est.) 
      
      29.2% of GDP (2011 est.)"
Bolivia,"25.7% of GDP (2013 est.) 
      
      26% of GDP (2012 est.) 
      
      24.9% of GDP (2011 est.)"
Bosnia and Herzegovina,"8.6% of GDP (2013 est.) 
      
      6.3% of GDP (2012 est.) 
      
      6.4% of GDP (2011 est.)"
Botswana,"33.7% of GDP (2013 est.) 
      
      28.9% of GDP (2012 est.) 
      
      41.1% of GDP (2011 est.)"
Brazil,"14.8% of GDP (2013 est.) 
      
      15.2% of GDP (2012 est.) 
      
      17.6% of GDP (2011 est.)"
Bulgaria,"23.5% of GDP (2013 est.) 
      
      22.5% of GDP (2012 est.) 
      
      22% of GDP (2011 est.)"
Burkina Faso,"12.2% of GDP (2013 est.) 
      
      14.1% of GDP (2012 est.) 
      
      16.6% of GDP (2011 est.)"
Burma,"11.9% of GDP (2013 est.) 
      
      12.9% of GDP (2012 est.) 
      
      13.7% of GDP (2011 est.)"
Burundi,"-0.9% of GDP (2013 est.) 
      
      -0.8% of GDP (2012 est.) 
      
      6.3% of GDP (2011 est.)"
Cabo Verde,"38.5% of GDP (2013 est.) 
      
      34.2% of GDP (2012 est.) 
      
      31.2% of GDP (2011 est.)"
Cambodia,"9.6% of GDP (2013 est.) 
      
      9.1% of GDP (2012 est.) 
      
      12% of GDP (2011 est.)"
Cameroon,"21.6% of GDP (2013 est.) 
      
      21% of GDP (2012 est.) 
      
      19.8% of GDP (2011 est.)"
Canada,"21.5% of GDP (2013 est.) 
      
      21.2% of GDP (2012 est.) 
      
      21.1% of GDP (2011 est.)"
Central African Republic,"2.4% of GDP (2013 est.) 
      
      3.8% of GDP (2012 est.) 
      
      3.7% of GDP (2011 est.)"
