Afghanistan,9.6% of GDP (2011)
Albania,6.3% of GDP (2011)
Algeria,3.9% of GDP (2011)
Andorra,7.2% of GDP (2011)
Angola,3.5% of GDP (2011)
Antigua and Barbuda,5.9% of GDP (2011)
Argentina,8.1% of GDP (2011)
Armenia,4.3% of GDP (2011)
Australia,9% of GDP (2011)
Austria,10.6% of GDP (2011)
Azerbaijan,5.2% of GDP (2011)
"Bahamas, The",7.7% of GDP (2011)
Bahrain,3.8% of GDP (2011)
Bangladesh,3.7% of GDP (2011)
Barbados,7.7% of GDP (2011)
Belarus,5.3% of GDP (2011)
Belgium,10.6% of GDP (2011)
Belize,5.7% of GDP (2011)
Benin,4.6% of GDP (2011)
Bhutan,4.1% of GDP (2011)
Bolivia,4.9% of GDP (2011)
Bosnia and Herzegovina,10.2% of GDP (2011)
Botswana,5.1% of GDP (2011)
Brazil,8.9% of GDP (2011)
Brunei,2.5% of GDP (2011)
Bulgaria,7.6% of GDP (2010)
Burkina Faso,6.5% of GDP (2011)
Burma,2% of GDP (2011)
Burundi,8.7% of GDP (2011)
Cabo Verde,4.8% of GDP (2011)
Cambodia,5.7% of GDP (2011)
Cameroon,5.2% of GDP (2011)
Canada,11.2% of GDP (2011)
Central African Republic,3.8% of GDP (2011)
Chad,4.3% of GDP (2011)
Chile,7.5% of GDP (2011)
China,5.2% of GDP (2011)
Colombia,6.1% of GDP (2011)
Comoros,5.3% of GDP (2011)
"Congo, Democratic Republic of the",8.5% of GDP (2011)
"Congo, Republic of the",2.5% of GDP (2011)
Cook Islands,5.5% of GDP (2011)
Costa Rica,10.9% of GDP (2011)
Cote d'Ivoire,6.8% of GDP (2011)
Croatia,7.8% of GDP (2010)
Cuba,10% of GDP (2011)
Cyprus,7.4% of GDP (2011)
Czech Republic,7.4% of GDP (2011)
Denmark,11.2% of GDP (2011)
Djibouti,7.9% of GDP (2011)
Dominica,5.9% of GDP (2011)
Dominican Republic,5.4% of GDP (2011)
Ecuador,7.3% of GDP (2011)
Egypt,4.9% of GDP (2011)
El Salvador,6.8% of GDP (2011)
Equatorial Guinea,4% of GDP (2011)
Eritrea,2.6% of GDP (2011)
Estonia,6% of GDP (2011)
Ethiopia,4.7% of GDP (2011)
Fiji,3.8% of GDP (2011)
Finland,8.9% of GDP (2011)
France,11.6% of GDP (2011)
Gabon,3.2% of GDP (2011)
"Gambia, The",4.4% of GDP (2011)
Georgia,9.4% of GDP (2011)
Germany,11.1% of GDP (2011)
Ghana,4.8% of GDP (2011)
Greece,9% of GDP (2011)
Grenada,6.2% of GDP (2011)
Guatemala,6.7% of GDP (2011)
Guinea,6% of GDP (2011)
Guinea-Bissau,6.3% of GDP (2011)
Guyana,5.9% of GDP (2011)
Haiti,7.9% of GDP (2011)
Honduras,9.1% of GDP (2009)
Hungary,7.7% of GDP (2011)
Iceland,9.1% of GDP (2011)
India,3.9% of GDP (2011)
Indonesia,2.7% of GDP (2011)
Iran,6% of GDP (2011)
