Afghanistan,0.1% (2012 est.)
Albania,NA
Algeria,0.1%; note - no country specific models provided (2009 est.)
American Samoa,NA
Andorra,NA
Angola,2.3% (2012 est.)
Anguilla,NA
Antigua and Barbuda,NA
Argentina,0.4% (2012 est.)
Armenia,0.2% (2012 est.)
Aruba,NA
Australia,0.1% (2009 est.)
Austria,0.3% (2009 est.)
Azerbaijan,0.2% (2012 est.)
"Bahamas, The",3.3% (2012 est.)
Bahrain,0.2% (2001 est.)
Bangladesh,0.1% (2012 est.)
Barbados,0.9% (2012 est.)
Belarus,0.4% (2012 est.)
Belgium,0.2% (2009 est.)
Belize,1.4% (2012 est.)
Benin,1.1% (2012 est.)
Bermuda,0.3% (2005 est.)
Bhutan,0.2% (2012 est.)
Bolivia,0.3% (2012 est.)
Bosnia and Herzegovina,less than 0.1% (2007 est.)
Botswana,23% (2012 est.)
Brazil,NA
British Virgin Islands,NA
Brunei,less than 0.1% (2003 est.)
Bulgaria,0.1% (2009 est.)
Burkina Faso,1% (2012 est.)
Burma,0.6% (2012 est.)
Burundi,1.3% (2012 est.)
Cabo Verde,0.2% (2012 est.)
Cambodia,0.8% (2012 est.)
Cameroon,4.5% (2012 est.)
Canada,0.3% (2009 est.)
Cayman Islands,NA
Central African Republic,4.7% (2009 est.)
Chad,2.7% (2012 est.)
Chile,0.4% (2012 est.)
China,0.1% (2012 est.)
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,0.5% (2012 est.)
Comoros,0.1% (2009 est.)
"Congo, Democratic Republic of the",1.1% (2012 est.)
"Congo, Republic of the",2.8% (2012 est.)
Cook Islands,NA
Costa Rica,0.3% (2012 est.)
Cote d'Ivoire,3.2% (2012 est.)
Croatia,less than 0.1% (2009 est.)
Cuba,0.1% (2012 est.)
Curacao,NA
Cyprus,0.1% (2003 est.)
Czech Republic,less than 0.1% (2009 est.)
Denmark,0.2% (2009 est.)
Djibouti,1.2% (2012 est.)
Dominica,NA
Dominican Republic,0.7% (2012 est.)
Ecuador,0.6% (2012 est.)
Egypt,0.1% (2012 est.)
El Salvador,0.6% (2012 est.)
Equatorial Guinea,6.2% (2012 est.)
Eritrea,0.7% (2012 est.)
Estonia,1.2% (2009 est.)
Ethiopia,1.3% (2012 est.)
European Union,note - see individual country entries of member states
Falkland Islands (Islas Malvinas),NA
Faroe Islands,NA
Fiji,0.2% (2012 est.)
Finland,0.1% (2009 est.)
France,0.4% (2009 est.)
French Polynesia,NA
Gabon,4% (2012 est.)
"Gambia, The",1.3% (2012 est.)
Gaza Strip,NA
Georgia,0.3% (2012 est.)
Germany,0.1% (2009 est.)
Ghana,1.4% (2012 est.)
Gibraltar,NA
Greece,0.1% (2009 est.)
Greenland,NA
Grenada,NA
Guam,NA
Guatemala,0.7% (2012 est.)
Guernsey,NA
Guinea,1.7% (2012 est.)
Guinea-Bissau,3.9% (2012 est.)
Guyana,1.3% (2012 est.)
Haiti,2.1% (2012 est.)
Holy See (Vatican City),NA
Honduras,0.5% (2012 est.)
Hong Kong,0.1% (2003 est.)
Hungary,less than 0.1% (2009 est.)
Iceland,0.3% (2009 est.)
India,0.3% (2012 est.)
Indonesia,0.4% (2012 est.)
Iran,0.2% (2012 est.)
Iraq,less than 0.1% (2001 est.)
Ireland,0.2% (2009 est.)
Isle of Man,NA
Israel,0.2% (2009 est.)
Italy,0.3% (2009 est.)
Jamaica,1.7% (2012 est.)
Japan,less than 0.1% (2009 est.)
Jersey,NA
Jordan,less than 0.1% (2001 est.)
Kazakhstan,0.1% (2009 est.)
Kenya,6.1% (2012 est.)
Kiribati,NA
"Korea, North",NA
"Korea, South",less than 0.1% (2009 est.)
Kuwait,0.1% (2001 est.)
Kyrgyzstan,0.3% (2012 est.)
Laos,0.3% (2012 est.)
Latvia,0.7% (2009 est.)
Lebanon,0.1% (2009 est.)
Lesotho,23.1% (2012 est.)
Liberia,0.9% (2012 est.)
Libya,0.3% (2001 est.)
Liechtenstein,NA
Lithuania,0.1% (2009 est.)
Luxembourg,0.3% (2009 est.)
Macau,NA
Macedonia,less than 0.1% (2007 est.)
Madagascar,0.5% (2012 est.)
Malawi,10.8% (2012 est.)
Malaysia,0.4% (2012 est.)
Maldives,0.1% (2012 est.)
Mali,0.9% (2012 est.)
Malta,0.1% (2009 est.)
Marshall Islands,NA
Mauritania,0.4% (2012 est.)
Mauritius,1.2% (2012 est.)
Mexico,0.2% (2012 est.)
"Micronesia, Federated States of",NA
Moldova,0.7% (2012 est.)
Monaco,NA
Mongolia,less than 0.1% (2009 est.)
Montserrat,NA
Morocco,0.1% (2012 est.)
Mozambique,11.1% (2012 est.)
Namibia,13.3% (2012 est.)
Nauru,NA
Nepal,0.3% (2012 est.)
Netherlands,0.2% (2009 est.)
New Caledonia,NA
New Zealand,0.1% (2009 est.)
Nicaragua,0.3% (2012 est.)
Niger,0.5% (2012 est.)
Nigeria,3.1% (2012 est.)
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,NA
Norway,0.1% (2009 est.)
Oman,0.1% (2009 est.)
Pakistan,0.1% (2012 est.)
Palau,NA
Panama,0.7% (2012 est.)
Papua New Guinea,0.5% (2012 est.)
Paraguay,0.3% (2012 est.)
Peru,0.4% (2012 est.)
Philippines,0.1% (2012 est.)
Pitcairn Islands,NA
Poland,0.1%; note - no country specific models provided (2009 est.)
Portugal,0.6% (2009 est.)
Puerto Rico,NA
Qatar,less than 0.1% (2009 est.)
Romania,0.1% (2009 est.)
Russia,1% (2009 est.)
Rwanda,2.9% (2012 est.)
"Saint Helena, Ascension, and Tristan da Cunha",NA
Saint Kitts and Nevis,NA
Saint Lucia,NA
Saint Pierre and Miquelon,NA
Saint Vincent and the Grenadines,NA
Samoa,NA
San Marino,NA
Sao Tome and Principe,1% (2012 est.)
Saudi Arabia,0.01% (2001 est.)
Senegal,0.5% (2012 est.)
Serbia,0.1% (2009 est.)
Seychelles,NA
Sierra Leone,1.5% (2012 est.)
Singapore,0.1% (2009 est.)
Sint Maarten,NA
Slovakia,less than 0.1% (2009 est.)
Slovenia,less than 0.1% (2009 est.)
