Afghanistan,300 (2012 est.)
Albania,NA
Algeria,"fewer than 1,000 (2009 est.)"
American Samoa,NA
Andorra,NA
Angola,"12,600 (2012 est.)"
Anguilla,NA
Antigua and Barbuda,NA
Argentina,"3,700 (2012 est.)"
Armenia,200 (2012 est.)
Aruba,NA
Australia,fewer than 100 (2009 est.)
Austria,fewer than 100 (2009 est.)
Azerbaijan,600 (2012 est.)
"Bahamas, The",300 (2012 est.)
Bahrain,fewer than 200 (2003 est.)
Bangladesh,400 (2012 est.)
Barbados,NA (2009 est.)
Belarus,"1,200 (2012 est.)"
Belgium,fewer than 100 (2009 est.)
Belize,100 (2012 est.)
Benin,"3,100 (2012 est.)"
Bermuda,392 (2005 est.)
Bhutan,100 (2012 est.)
Bolivia,"1,300 (2012 est.)"
Bosnia and Herzegovina,100 (2001 est.)
Botswana,"5,700 (2012 est.)"
Brazil,NA
British Virgin Islands,NA
Brunei,fewer than 200 (2003 est.)
Bulgaria,fewer than 200 (2009 est.)
Burkina Faso,"5,500 (2012 est.)"
Burma,"11,600 (2012 est.)"
Burundi,"4,800 (2012 est.)"
Cabo Verde,NA
Cambodia,"2,700 (2012 est.)"
Cameroon,"34,600 (2012 est.)"
Canada,"fewer than 1,000 (2009 est.)"
Cayman Islands,NA
Central African Republic,"11,000 (2009 est.)"
Chad,"14,400 (2012 est.)"
Chile,NA
China,"26,000 (2009 est.)"
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,"6,500 (2012 est.)"
Comoros,fewer than 100 (2009 est.)
"Congo, Democratic Republic of the","31,700 (2012 est.)"
"Congo, Republic of the","5,200 (2012 est.)"
Cook Islands,NA
Costa Rica,300 (2012 est.)
Cote d'Ivoire,"31,200 (2012 est.)"
Croatia,fewer than 100 (2009 est.)
Cuba,fewer than 100 (2009 est.)
Curacao,NA
Cyprus,NA
Czech Republic,fewer than 100 (2009 est.)
Denmark,fewer than 100 (2009 est.)
Djibouti,800 (2012 est.)
Dominica,NA
Dominican Republic,"1,900 (2012 est.)"
Ecuador,"2,700 (2012 est.)"
Egypt,300 (2012 est.)
El Salvador,"1,000 (2012 est.)"
Equatorial Guinea,"1,400 (2012 est.)"
Eritrea,"1,200 (2012 est.)"
Estonia,fewer than 500 (2009 est.)
Ethiopia,"47,200 (2012 est.)"
European Union,note - see individual country entries of member states
Falkland Islands (Islas Malvinas),NA
