Afghanistan,"lowest 10%: 3.8% 
      
      
        highest 10%: 24% (2008)"
Albania,"lowest 10%: 3.5% 
      
      
        highest 10%: 29% (2008)"
Algeria,"lowest 10%: 2.8% 
      
      
        highest 10%: 26.8% (1995)"
American Samoa,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Andorra,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Angola,"lowest 10%: 0.6% 
      
      
        highest 10%: 44.7% (2000)"
Anguilla,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Antigua and Barbuda,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Argentina,"lowest 10%: 1.5% 
      
      
        highest 10%: 32.3% (2010 est.)"
Armenia,"lowest 10%: 3.7% 
      
      
        highest 10%: 25.4% (2008)"
Aruba,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Australia,"lowest 10%: 2% 
      
      
        highest 10%: 25.4% (1994)"
Austria,"lowest 10%: 4% 
      
      
        highest 10%: 22% (2011)"
Azerbaijan,"lowest 10%: 3.4% 
      
      
        highest 10%: 27.4% (2008)"
"Bahamas, The","lowest 10%: 1% 
      
      
        highest 10%: 22% (2007)"
Bahrain,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Bangladesh,"lowest 10%: 4% 
      
      
        highest 10%: 27% (2010 est.)"
Barbados,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Belarus,"lowest 10%: 3.8% 
      
      
        highest 10%: 21.9% (2008)"
Belgium,"lowest 10%: 3.4% 
      
      
        highest 10%: 28.4% (2006)"
Belize,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Benin,"lowest 10%: 3.1% 
      
      
        highest 10%: 29% (2003)"
Bermuda,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Bhutan,"lowest 10%: 2.3% 
      
      
        highest 10%: 37.6% (2003)"
Bolivia,"lowest 10%: 1.8% 
      
      
        highest 10%: 46% (2012 est.)"
Bosnia and Herzegovina,"lowest 10%: 2.7% 
      
      
        highest 10%: 27.3% (2007)"
Botswana,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Brazil,"lowest 10%: 0.8% 
      
      
        highest 10%: 42.9% (2009 est.)"
British Virgin Islands,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Brunei,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Bulgaria,"lowest 10%: 2% 
      
      
        highest 10%: 35.2% (2007)"
Burkina Faso,"lowest 10%: 2.9% 
      
      
        highest 10%: 32.2% (2009 est.)"
Burma,"lowest 10%: 2.8% 
      
      
        highest 10%: 32.4% (1998)"
Burundi,"lowest 10%: 4.1% 
      
      
        highest 10%: 28% (2006)"
Cabo Verde,"lowest 10%: 1.9% 
      
      
        highest 10%: 40.6% (2001)"
Cambodia,"lowest 10%: 3% 
      
      
        highest 10%: 37.3% (2007)"
Cameroon,"lowest 10%: 2.3% 
      
      
        highest 10%: 35.4% (2001)"
Canada,"lowest 10%: 2.6% 
      
      
        highest 10%: 24.8% (2000)"
Cayman Islands,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Central African Republic,"lowest 10%: 2.1% 
      
      
        highest 10%: 33% (2003)"
Chad,"lowest 10%: 2.6% 
      
      
        highest 10%: 30.8% (2003)"
Chile,"lowest 10%: 1.5% 
      
      
        highest 10%: 42.8% (2009 est.)"
China,"lowest 10%: 1.7% 
      
      
        highest 10%: 30% 
      
      
        note: data are for urban households only (2009)"
Colombia,"lowest 10%: 0.9% 
      
      
        highest 10%: 44.4% (2010 est.)"
Comoros,"lowest 10%: 0.9% 
      
      
        highest 10%: 55.2% (2004)"
"Congo, Democratic Republic of the","lowest 10%: 2.3% 
      
      
        highest 10%: 34.7% (2006)"
"Congo, Republic of the","lowest 10%: 2.1% 
      
      
        highest 10%: 37.1% (2005)"
Cook Islands,"lowest 10%: NA% 
      
      
        highest 10%: NA%"
Costa Rica,"lowest 10%: 1.2% 
      
      
        highest 10%: 39.5% (2009 est.)"
Cote d'Ivoire,"lowest 10%: 2.2% 
      
      
        highest 10%: 31.8% (2008)"
Croatia,"lowest 10%: 3.3% 
      
      
        highest 10%: 27.5% (2008 est.)"
