Afghanistan,"$6.39 billion (2012 est.) 
      
      $5.154 billion (2011 est.)"
Albania,"$4.835 billion (2013 est.) 
      
      $4.985 billion (2012 est.)"
Algeria,"$55.02 billion (2013 est.) 
      
      $51.57 billion (2012 est.)"
American Samoa,$308.8 million (FY04 est.)
Andorra,"$1.43 billion (2012 est.) 
      
      $1.501 billion (2011 est.)"
Angola,"$26.09 billion (2013 est.) 
      
      $23.72 billion (2012 est.)"
Anguilla,"$140.1 million (2013 est.) 
      
      $129.3 million (2012 est.)"
Antigua and Barbuda,"$340.8 million (2013 est.) 
      
      $402.7 million (2012 est.)"
Argentina,"$71.3 billion (2013 est.) 
      
      $65.55 billion (2012 est.)"
Armenia,"$3.459 billion (2013 est.) 
      
      $3.656 billion (2012 est.)"
Aruba,"$3.162 billion (2013 est.) 
      
      $2.039 billion (2012 est.)"
Australia,"$245.8 billion (2013 est.) 
      
      $263 billion (2012 est.)"
Austria,"$167.9 billion (2013 est.) 
      
      $163.2 billion (2012 est.)"
Azerbaijan,"$10.72 billion (2013 est.) 
      
      $9.65 billion (2012 est.)"
"Bahamas, The","$3.245 billion (2013 est.) 
      
      $3.386 billion (2012 est.)"
Bahrain,"$14.41 billion (2013 est.) 
      
      $13.24 billion (2012 est.)"
Bangladesh,"$32.94 billion (2013 est.) 
      
      $32.29 billion (2012 est.)"
Barbados,"$1.674 billion (2013 est.) 
      
      $1.584 billion (2012 est.)"
Belarus,"$45.17 billion (2013 est.) 
      
      $45.01 billion (2012 est.)"
Belgium,"$310.2 billion (2013 est.) 
      
      $311.1 billion (2012 est.)"
Belize,"$864 million (2013 est.) 
      
      $837.1 million (2012 est.)"
Benin,"$1.835 billion (2013 est.) 
      
      $1.755 billion (2012 est.)"
Bermuda,"$925 million (2013 est.) 
      
      $900 million (2012 est.)"
Bhutan,"$1.28 billion (2012 est.) 
      
      $1.185 billion (2011 est.)"
Bolivia,"$9.282 billion (2013 est.) 
      
      $8.18 billion (2012 est.)"
Bosnia and Herzegovina,"$10.3 billion (2013 est.) 
      
      $10.02 billion (2012 est.)"
Botswana,"$7.389 billion (2013 est.) 
      
      $7.918 billion (2012 est.)"
Brazil,"$241.4 billion (2013 est.) 
      
      $223.2 billion (2012 est.)"
British Virgin Islands,"$310 million (2012 est.) 
      
      $320 million (2011 est.)"
Brunei,"$3.02 billion (2011 est.) 
      
      $2.73 billion (2010 est.)"
Bulgaria,"$32.88 billion (2013 est.) 
      
      $31.15 billion (2012 est.)"
Burkina Faso,"$2.941 billion (2013 est.) 
      
      $2.675 billion (2012 est.)"
Burma,"$10.11 billion (2013 est.) 
      
      $7.998 billion (2012 est.) 
      
      
        note: import figures are grossly underestimated due to the value of consumer goods, diesel fuel, and other products smuggled in from Thailand, China, Malaysia, and India"
Burundi,"$867.2 million (2013 est.) 
      
      $886.2 million (2012 est.)"
Cabo Verde,"$796.3 million (2013 est.) 
      
      $878.7 million (2012 est.)"
Cambodia,"$8.895 billion (2013 est.) 
      
      $7.965 billion (2012 est.)"
Cameroon,"$6.795 billion (2013 est.) 
      
      $6.321 billion (2012 est.)"
Canada,"$471 billion (2013 est.) 
      
      $474.9 billion (2012 est.)"
Cayman Islands,"$719 million (2013 est.) 
      
      $698.1 million (2012 est.)"
Central African Republic,"$218.6 million (2013 est.) 
      
      $333.7 million (2012 est.)"
Chad,"$2.701 billion (2013 est.) 
      
      $NA (2012 est.)"
Chile,"$75.7 billion (2013 est.) 
      
      $74.86 billion (2012 est.)"
China,"$1.95 trillion (2013 est.) 
      
      $1.818 trillion (2012 est.)"
Christmas Island,$NA
Cocos (Keeling) Islands,$NA
Colombia,"$53.5 billion (2013 est.) 
      
      $54.64 billion (2012 est.)"
Comoros,"$208.8 million (2013 est.) 
      
      $208 million (2012 est.)"
"Congo, Democratic Republic of the","$8.924 billion (2013 est.) 
      
      $8.187 billion (2012 est.)"
"Congo, Republic of the","$4.297 billion (2013 est.) 
      
      $4.45 billion (2012 est.)"
Cook Islands,"$83.49 million (2011 est.) 
      
      $80.55 million"
Costa Rica,"$17.56 billion (2013 est.) 
      
      $16.75 billion (2012 est.)"
Cote d'Ivoire,"$9.859 billion (2013 est.) 
      
      $8.973 billion (2012 est.)"
Croatia,"$21.74 billion (2013 est.) 
      
      $22.16 billion (2012 est.)"
Cuba,"$13.6 billion (2013 est.) 
      
      $13.72 billion (2012 est.)"
Curacao,"$1.285 billion (2011 est.) 
      
      $1.275 billion (2010 est.)"
Cyprus,"$4.747 billion (2013 est.) 
      
      $6.755 billion (2012 est.)"
Czech Republic,"$143.4 billion (2013 est.) 
      
      $141.4 billion (2012 est.)"
Denmark,"$98.45 billion (2013 est.) 
      
      $96.77 billion (2012 est.)"
Djibouti,"$593.3 million (2013 est.) 
      
      $574.2 million (2012 est.)"
Dominica,"$219.6 million (2013 est.) 
      
      $182.7 million (2012 est.)"
Dominican Republic,"$16.8 billion (2013 est.) 
      
      $17.76 billion (2012 est.)"
Ecuador,"$26.22 billion (2013 est.) 
      
      $24.58 billion (2012 est.)"
Egypt,"$59.22 billion (2013 est.) 
      
      $60.26 billion (2012 est.)"
El Salvador,"$10.03 billion (2013 est.) 
      
      $9.912 billion (2012 est.)"
Equatorial Guinea,"$7.943 billion (2013 est.) 
      
      $8.045 billion (2012 est.)"
Eritrea,"$1.027 billion (2013 est.) 
      
      $972.8 million (2012 est.)"
Estonia,"$16.38 billion (2013 est.) 
      
      $15.6 billion (2012 est.)"
Ethiopia,"$10.68 billion (2013 est.) 
      
      $10.25 billion (2012 est.)"
European Union,"$2.312 trillion (2012 est.) 
      
      $2.404 trillion (2011 est.) 
      
      
        note: external imports, excluding intra-EU trade"
Falkland Islands (Islas Malvinas),$90 million (2004 est.)
Faroe Islands,"$776 million (2010) 
      
      $786 million (2009)"
Fiji,"$2.054 billion (2013 est.) 
      
      $1.867 billion (2012 est.)"
Finland,"$70.67 billion (2013 est.) 
      
      $72.13 billion (2012 est.)"
France,"$659.8 billion (2013 est.) 
      
      $653.4 billion (2012 est.)"
French Polynesia,"$2.2 billion (2008 est.) 
      
      $1.706 billion (2005 est.)"
Gabon,"$3.934 billion (2013 est.) 
      
      $3.638 billion (2012 est.)"
"Gambia, The","$359.7 million (2013 est.) 
      
      $365.8 million (2012 est.)"
Gaza Strip,see entry for West Bank
Georgia,"$7.064 billion (2013 est.) 
      
      $7.842 billion (2012 est.)"
Germany,"$1.233 trillion (2013 est.) 
      
      $1.222 trillion (2012 est.)"
Ghana,"$18.49 billion (2013 est.) 
      
      $17.76 billion (2012 est.)"
Gibraltar,$2.967 billion (2004 est.)
Greece,"$50.58 billion (2013 est.) 
      
      $53.53 billion (2012 est.)"
Greenland,"$814.2 million (2010) 
      
      $726 million (2009)"
Grenada,"$297 million (2012 est.) 
      
      $290.4 million (2011 est.)"
Guam,$901 million (2011 est.)
Guatemala,"$16.7 billion (2013 est.) 
      
      $15.84 billion (2012 est.)"
Guernsey,$NA
Guinea,"$2.384 billion (2013 est.) 
      
      $2.606 billion (2012 est.)"
Guinea-Bissau,"$206.4 million (2013 est.) 
      
      $189.8 million (2012 est.)"
Guyana,"$2.039 billion (2013 est.) 
      
      $1.978 billion (2012 est.)"
Haiti,"$2.697 billion (2013 est.) 
      
      $2.679 billion (2012 est.)"
Honduras,"$11.34 billion (2013 est.) 
      
      $11.18 billion (2012 est.)"
Hong Kong,"$520.6 billion (2013 est.) 
      
      $501.6 billion (2012 est.)"
Hungary,"$89.52 billion (2013 est.) 
      
      $87.37 billion (2012 est.)"
Iceland,"$4.526 billion (2013 est.) 
      
      $4.441 billion (2012 est.)"
India,"$467.5 billion (2013 est.) 
      
      $488.9 billion (2012 est.)"
Indonesia,"$178.6 billion (2013 est.) 
      
      $178.7 billion (2012 est.)"
Iran,"$64.42 billion (2013 est.) 
      
      $70.03 billion (2012 est.)"
Iraq,"$66.61 billion (2013 est.) 
      
      $50.16 billion (2012 est.)"
Ireland,"$61.51 billion (2013 est.) 
      
      $63.63 billion (2012 est.)"
Isle of Man,$NA
Israel,"$67.03 billion (2013 est.) 
      
      $71.67 billion (2012 est.)"
Italy,"$435.8 billion (2013 est.) 
      
      $453.5 billion (2012 est.)"
Jamaica,"$5.559 billion (2013 est.) 
      
      $5.905 billion (2012 est.)"
Japan,"$766.6 billion (2013 est.) 
      
      $830.1 billion (2012 est.)"
Jersey,$NA
Jordan,"$18.61 billion (2013 est.) 
      
      $18.46 billion (2012 est.)"
Kazakhstan,"$52.03 billion (2013 est.) 
      
      $49.08 billion (2012 est.)"
Kenya,"$15.86 billion (2013 est.) 
      
      $15.1 billion (2011 est.)"
Kiribati,"$80.09 million (2010 est.) 
      
      $62 million (2004 est.)"
"Korea, North","$4.828 billion (2012 est.) 
      
      $4.367 billion"
"Korea, South","$516.6 billion (2013 est.) 
      
      $519.6 billion (2012 est.)"
Kosovo,"$3.398 billion (2013 est.) 
      
      $3.477 billion (2012 est.)"
Kuwait,"$24.42 billion (2013 est.) 
      
      $22.79 billion (2012 est.)"
Kyrgyzstan,"$5.082 billion (2013 est.) 
      
      $4.967 billion (2012 est.)"
Laos,"$3.238 billion (2013 est.) 
      
      $2.744 billion (2012 est.)"
Latvia,"$15.56 billion (2013 est.) 
      
      $15.15 billion (2012 est.)"
Lebanon,"$20.97 billion (2013 est.) 
      
      $20.33 billion (2012 est.)"
Lesotho,"$2.148 billion (2013 est.) 
      
      $2.239 billion (2012 est.)"
Liberia,"$2.457 billion (2013 est.) 
      
      $2.275 billion (2012 est.)"
Libya,"$27.15 billion (2013 est.) 
      
      $18.1 billion (2012 est.)"
Liechtenstein,"$2.09 billion (2012 est.) 
      
      $2.218 billion (2011 est.) 
      
      
        note: trade data exclude trade with Switzerland"
Lithuania,"$32.52 billion (2013 est.) 
      
      $30.44 billion (2012 est.)"
Luxembourg,"$23.12 billion (2013 est.) 
      
      $23.78 billion (2012 est.)"
Macau,"$10.13 billion (2013 est.) 
      
      $8.866 billion (2012 est.)"
Macedonia,"$6.6 billion (2013 est.) 
      
      $6.511 billion (2012 est.)"
Madagascar,"$2.794 billion (2013 est.) 
      
      $2.755 billion (2012 est.)"
Malawi,"$2.42 billion (2013 est.) 
      
      $2.151 billion (2012 est.)"
Malaysia,"$192.9 billion (2013 est.) 
      
      $186.9 billion (2012 est.)"
Maldives,"$1.406 billion (2012 est.) 
      
      $1.314 billion (2011 est.)"
Mali,"$2.895 billion (2013 est.) 
      
      $2.794 billion (2012 est.)"
Malta,"$7.436 billion (2013 est.) 
      
      $8.209 billion (2012 est.)"
Marshall Islands,"$118.7 million (2011 est.) 
      
      $54.7 million (2000 est.)"
Mauritania,"$3.355 billion (2013 est.) 
      
      $3.176 billion (2012 est.)"
Mauritius,"$4.953 billion (2013 est.) 
      
      $5.104 billion (2012 est.)"
Mexico,"$370.7 billion (2013 est.) 
      
      $350.9 billion (2012 est.)"
"Micronesia, Federated States of",$132.7 million (2004)
Moldova,"$5.493 billion (2013 est.) 
      
      $5.213 billion (2012 est.)"
Monaco,"$1.162 billion (2011) 
      
      $850.2 million (2010) 
      
      
        note: full customs integration with France, which collects and rebates Monegasque trade duties; also participates in EU market system through customs union with France"
Mongolia,"$5.696 billion (2013 est.) 
      
      $5.934 billion (2012 est.)"
Montenegro,"$2.4 billion (2012 est.) 
      
      $2.5 billion (2011 est.)"
Montserrat,"$30 million (2013 est.) 
      
      $32.5 million (2012 est.)"
Morocco,"$38.66 billion (2013 est.) 
      
      $38.88 billion (2012 est.)"
Mozambique,"$7.068 billion (2013 est.) 
      
      $6.168 billion (2012 est.)"
Namibia,"$7.084 billion (2013 est.) 
      
      $6.44 billion (2012 est.)"
Nauru,$NA (2004 est.)
Nepal,"$6.329 billion (2013 est.) 
      
      $5.951 billion (2012 est.)"
Netherlands,"$511 billion (2013 est.) 
      
      $498.5 billion (2012 est.)"
New Caledonia,"$3.245 billion (2012 est.) 
      
      $3.698 billion (2011 est.)"
New Zealand,"$37.35 billion (2013 est.) 
      
      $37.04 billion (2012 est.)"
Nicaragua,"$5.65 billion (2013 est.) 
      
      $5.851 billion (2012 est.)"
Niger,"$2.314 billion (2013 est.) 
      
      $2.273 billion (2012 est.)"
Nigeria,"$55.98 billion (2013 est.) 
      
      $53.36 billion (2012 est.)"
Niue,$9.038 million (2004)
Norfolk Island,$NA
Northern Mariana Islands,$214.4 million (2001)
Norway,"$90.14 billion (2013 est.) 
      
      $89.05 billion (2012 est.)"
Oman,"$30.75 billion (2013 est.) 
      
      $25.63 billion (2012 est.)"
Pakistan,"$39.27 billion (2013 est.) 
      
      $40.07 billion (2012 est.)"
Palau,"$113.4 million (2010 est.) 
      
      $107.3 million (2004 est.)"
Panama,"$26.61 billion (2013 est.) 
      
      $24.61 billion (2012 est.) 
      
      
        note: includes the Colon Free Zone"
Papua New Guinea,"$4.587 billion (2013 est.) 
      
      $4.767 billion (2012 est.)"
Paraguay,"$12.37 billion (2013 est.) 
      
      $11.06 billion (2012 est.)"
Peru,"$42.13 billion (2013 est.) 
      
      $41.11 billion (2012 est.)"
Philippines,"$63.91 billion (2013 est.) 
      
      $61.49 billion (2012 est.)"
Pitcairn Islands,$NA
Poland,"$207.4 billion (2013 est.) 
      
      $197.7 billion (2012 est.)"
Portugal,"$59 billion (2013 est.) 
      
      $72.35 billion (2012 est.)"
Puerto Rico,"$47.32 billion (2013 est.) 
      
      $49 billion (2012 est.)"
Qatar,"$39.58 billion (2013 est.) 
      
      $27.73 billion (2012 est.)"
Romania,"$73.42 billion (2013 est.) 
      
      $70.17 billion (2012 est.)"
Russia,"$341 billion (2013 est.) 
      
      $335.7 billion (2012 est.)"
Rwanda,"$1.937 billion (2013 est.) 
      
      $1.871 billion (2012 est.)"
"Saint Helena, Ascension, and Tristan da Cunha",$20.53 million (2010 est.)
Saint Kitts and Nevis,"$355.4 million (2013 est.) 
      
      $225.6 million (2012 est.)"
Saint Lucia,"$592.7 million (2013 est.) 
      
      $579.3 million (2012 est.)"
Saint Pierre and Miquelon,"$95.35 million (2010 est.) 
      
      $68.2 million (2005 est.)"
Saint Vincent and the Grenadines,"$301.5 million (2013 est.) 
      
      $314.6 million (2012 est.)"
Samoa,"$318.7 million (2011 est.) 
      
      $280 million (2010 est.)"
San Marino,"$2.551 billion (2011 est.) 
      
      $2.132 billion (2010 est.)"
Sao Tome and Principe,"$112.8 million (2013 est.) 
      
      $115.1 million (2012 est.)"
Saudi Arabia,"$147 billion (2013 est.) 
      
      $141.8 billion (2012 est.)"
Senegal,"$5.61 billion (2013 est.) 
      
      $5.733 billion (2012 est.)"
Serbia,"$20.54 billion (2013 est.) 
      
      $19.01 billion (2012 est.)"
Seychelles,"$846.4 million (2013 est.) 
      
      $889.6 million (2012 est.)"
Sierra Leone,"$1.637 billion (2013 est.) 
      
      $1.597 billion (2012 est.)"
Singapore,"$373 billion (2013 est.) 
      
      $379.7 billion (2012 est.)"
Slovakia,"$77.96 billion (2013 est.) 
      
      $75.99 billion (2012 est.)"
Slovenia,"$29.49 billion (2013 est.) 
      
      $28.39 billion (2012 est.)"
Solomon Islands,"$446 million (2012 est.) 
      
      $446 million (2012 est.)"
Somalia,"$1.263 billion (2010 est.) 
      
      $798 million (2006 est.)"
South Africa,"$99.55 billion (2013 est.) 
      
      $102.6 billion (2012 est.)"
Spain,"$431 billion (2013 est.) 
      
      $422 billion (2012 est.)"
Sri Lanka,"$18 billion (2013 est.) 
      
      $19.19 billion (2012 est.)"
Sudan,"$5.941 billion (2013 est.) 
      
      $8.123 billion (2012 est.)"
Suriname,"$1.778 billion (2013 est.) 
      
      $1.761 billion (2012 est.)"
Svalbard,$NA
Swaziland,"$1.545 billion (2013 est.) 
      
      $1.578 billion (2012 est.)"
Sweden,"$158 billion (2013 est.) 
      
      $163.3 billion (2012 est.)"
Switzerland,"$200.5 billion (2013 est.) 
      
      $197.9 billion (2012 est.)"
Syria,"$8.917 billion (2013 est.) 
      
      $10.78 billion (2012 est.)"
Taiwan,"$268.5 billion (2013 est.) 
      
      $268.8 billion (2012 est.)"
Tajikistan,"$4.121 billion (2013 est.) 
      
      $3.778 billion (2012 est.)"
Tanzania,"$11.16 billion (2013 est.) 
      
      $10.32 billion (2012 est.)"
Thailand,"$219 billion (2013 est.) 
      
      $219.8 billion (2012 est.)"
Timor-Leste,"$689 million (2011 est.) 
      
      $378 million (2010 est.)"
Togo,"$1.677 billion (2013 est.) 
      
      $1.604 billion (2012 est.)"
Tokelau,"$969,200 (2002)"
Tonga,"$122.5 million (2013 est.) 
      
      $121.9 million (2012 est.)"
Trinidad and Tobago,"$9.638 billion (2013 est.) 
      
      $9.065 billion (2012 est.)"
Tunisia,"$24.95 billion (2013 est.) 
      
      $23.1 billion (2012 est.)"
Turkey,"$242.9 billion (2013 est.) 
      
      $228.6 billion (2012 est.)"
Turkmenistan,"$12.48 billion (2013 est.) 
      
      $14.14 billion (2012 est.)"
Turks and Caicos Islands,$591.3 million (2008 est.)
Tuvalu,"$16.5 million (2010 est.) 
      
      $12.91 million (2005)"
Uganda,"$4.858 billion (2013 est.) 
      
      $5.187 billion (2012 est.)"
Ukraine,"$87.21 billion (2013 est.) 
      
      $89.71 billion (2012 est.)"
United Arab Emirates,"$249.6 billion (2013 est.) 
      
      $221.9 billion (2012 est.)"
