Afghanistan,"machinery and other capital goods, food, textiles, petroleum products"
Albania,"machinery and equipment, foodstuffs, textiles, chemicals"
Algeria,"capital goods, foodstuffs, consumer goods"
American Samoa,"raw materials for canneries, food, petroleum products, machinery and parts"
Andorra,"consumer goods, food, fuel, electricity"
Angola,"machinery and electrical equipment, vehicles and spare parts; medicines, food, textiles, military goods"
Anguilla,"fuels, foodstuffs, manufactures, chemicals, trucks, textiles"
Antigua and Barbuda,"food and live animals, machinery and transport equipment, manufactures, chemicals, oil"
Argentina,"machinery, motor vehicles, petroleum and natural gas, organic chemicals, plastics"
Armenia,"natural gas, petroleum, tobacco products, foodstuffs, diamonds"
Aruba,"machinery and electrical equipment, crude oil for refining and reexport, chemicals; foodstuffs"
Australia,"machinery and transport equipment, computers and office machines, telecommunication equipment and parts; crude oil and petroleum products"
Austria,"machinery and equipment, motor vehicles, chemicals, metal goods, oil and oil products; foodstuffs"
Azerbaijan,"machinery and equipment, oil products, foodstuffs, metals, chemicals"
"Bahamas, The","machinery and transport equipment, manufactures, chemicals, mineral fuels; food and live animals"
Bahrain,"crude oil, machinery, chemicals"
Bangladesh,"machinery and equipment, chemicals, iron and steel, textiles, foodstuffs, petroleum products, cement"
Barbados,"consumer goods, machinery, foodstuffs, construction materials, chemicals, fuel, electrical components"
Belarus,"mineral products, machinery and equipment, chemicals, foodstuffs, metals"
Belgium,"raw materials, machinery and equipment, chemicals, raw diamonds, pharmaceuticals, foodstuffs, transportation equipment, oil products"
Belize,"machinery and transport equipment, manufactured goods; fuels, chemicals, pharmaceuticals; food, beverages, tobacco"
Benin,"foodstuffs, capital goods, petroleum products"
Bermuda,"clothing, fuels, machinery and transport equipment, construction materials, chemicals, food and live animals"
Bhutan,"fuel and lubricants, passenger cars, machinery and parts, fabrics, rice"
Bolivia,"petroleum products, plastics, paper, aircraft and aircraft parts, prepared foods, automobiles, insecticides"
Bosnia and Herzegovina,"machinery and equipment, chemicals, fuels, foodstuffs"
Botswana,"foodstuffs, machinery, electrical goods, transport equipment, textiles, fuel and petroleum products, wood and paper products, metal and metal products"
Brazil,"machinery, electrical and transport equipment, chemical products, oil, automotive parts, electronics"
British Virgin Islands,"building materials, automobiles, foodstuffs, machinery"
Brunei,"iron and steel, motor vehicles, machinery and transport equipment, manufactured goods, food, chemicals"
Bulgaria,"machinery and equipment; metals and ores; chemicals and plastics; fuels, minerals, and raw materials"
Burkina Faso,"capital goods, foodstuffs, petroleum"
Burma,"fabric, petroleum products, fertilizer, plastics, machinery, transport equipment; cement, construction materials, crude oil; food products, edible oil"
Burundi,"capital goods, petroleum products, foodstuffs"
Cabo Verde,"foodstuffs, industrial products, transport equipment, fuels"
Cambodia,"petroleum products, cigarettes, gold, construction materials, machinery, motor vehicles, pharmaceutical products"
Cameroon,"machinery, electrical equipment, transport equipment, fuel, food"
Canada,"machinery and equipment, motor vehicles and parts, crude oil, chemicals, electricity, durable consumer goods"
Cayman Islands,"foodstuffs, manufactured goods, fuels"
Central African Republic,"food, textiles, petroleum products, machinery, electrical equipment, motor vehicles, chemicals, pharmaceuticals"
Chad,"machinery and transportation equipment, industrial goods, foodstuffs, textiles"
Chile,"petroleum and petroleum products, chemicals, electrical and telecommunications equipment, industrial machinery, vehicles, natural gas"
China,"electrical and other machinery, oil and mineral fuels; nuclear reactor, boiler, and machinery components; optical and medical equipment, metal ores, motor vehicles; soybeans"
Christmas Island,consumer goods
Cocos (Keeling) Islands,foodstuffs
Colombia,"industrial equipment, transportation equipment, consumer goods, chemicals, paper products, fuels, electricity"
Comoros,"rice and other foodstuffs, consumer goods, petroleum products, cement, transport equipment"
"Congo, Democratic Republic of the","foodstuffs, mining and other machinery, transport equipment, fuels"
"Congo, Republic of the","capital equipment, construction materials, foodstuffs"
Cook Islands,"foodstuffs, textiles, fuels, timber, capital goods"
Costa Rica,"raw materials, consumer goods, capital equipment, petroleum, construction materials"
Cote d'Ivoire,"fuel, capital equipment, foodstuffs"
Croatia,"machinery, transport and electrical equipment; chemicals, fuels and lubricants; foodstuffs"
Cuba,"petroleum, food, machinery and equipment, chemicals"
Curacao,"crude petroleum, food, manufactures"
Cyprus,"consumer goods, petroleum and lubricants, machinery, transport equipment"
Czech Republic,"machinery and transport equipment, raw materials and fuels, chemicals"
Denmark,"machinery and equipment, raw materials and semimanufactures for industry, chemicals, grain and foodstuffs, consumer goods"
Djibouti,"foods, beverages, transport equipment, chemicals, petroleum products"
Dominica,"manufactured goods, machinery and equipment, food, chemicals"
Dominican Republic,"foodstuffs, petroleum, cotton and fabrics, chemicals and pharmaceuticals"
Ecuador,"industrial materials, fuels and lubricants, nondurable consumer goods"
Egypt,"machinery and equipment, foodstuffs, chemicals, wood products, fuels"
El Salvador,"raw materials, consumer goods, capital goods, fuels, foodstuffs, petroleum, electricity"
Equatorial Guinea,"petroleum sector equipment, other equipment, construction materials, vehicles"
Eritrea,"machinery, petroleum products, food, manufactured goods"
Estonia,"machinery and electrical equipment, mineral fuels, chemical products, foodstuffs, plastics, textiles"
Ethiopia,"food and live animals, petroleum and petroleum products, chemicals, machinery, motor vehicles, cereals, textiles"
European Union,"fuels and crude oil, machinery, vehicles, pharmaceuticals and other chemicals, precious gemstones, textiles, aircraft, plastics, metals, ships"
Falkland Islands (Islas Malvinas),"fuel, food and drink, building materials, clothing"
Faroe Islands,"goods for household consumption 24%, machinery and transport equipment 23.5%, fuels 21.4%, raw materials and semi-manufactures, salt"
Fiji,"manufactured goods, machinery and transport equipment, petroleum products, food, chemicals"
Finland,"foodstuffs, petroleum and petroleum products, chemicals, transport equipment, iron and steel, machinery, computers, electronic industry products, textile yarn and fabrics, grains"
France,"machinery and equipment, vehicles, crude oil, aircraft, plastics, chemicals"
French Polynesia,"fuels, foodstuffs, machinery and equipment"
Gabon,"machinery and equipment, foodstuffs, chemicals, construction materials"
"Gambia, The","foodstuffs, manufactures, fuel, machinery and transport equipment"
Gaza Strip,"food, consumer goods 
      
      
        note: Israel permits basic commercial imports through the Kerem Shalom crossing, but many ""dual use"" goods, such as construction materials and electronics, are smuggled through tunnels beneath Gaza's border with Egypt"
Georgia,"fuels, vehicles, machinery and parts, grain and other foods, pharmaceuticals"
Germany,"machinery, data processing equipment, vehicles, chemicals, oil and gas, metals, electric equipment, pharmaceuticals, foodstuffs, agricultural products"
Ghana,"capital equipment, refined petroleum, foodstuffs"
Gibraltar,"fuels, manufactured goods, foodstuffs"
Greece,"machinery, transport equipment, fuels, chemicals"
Greenland,"machinery and transport equipment, manufactured goods, food, petroleum products"
Grenada,"food, manufactured goods, machinery, chemicals, fuel"
Guam,"petroleum and petroleum products, food, manufactured goods"
Guatemala,"fuels, machinery and transport equipment, construction materials, grain, fertilizers, electricity, mineral products, chemical products, plastic materials and products"
Guernsey,"coal, gasoline, oil, machinery and equipment"
Guinea,"petroleum products, metals, machinery, transport equipment, textiles, grain and other foodstuffs"
Guinea-Bissau,"foodstuffs, machinery and transport equipment, petroleum products"
Guyana,"manufactures, machinery, petroleum, food"
Haiti,"food, manufactured goods, machinery and transport equipment, fuels, raw materials"
Honduras,"machinery and transport equipment, industrial raw materials, chemical products, fuels, foodstuffs"
Hong Kong,"raw materials and semi-manufactures, consumer goods, capital goods, foodstuffs, fuel (most is reexported)"
Hungary,"machinery and equipment 45.4%, other manufactures 34.3%, fuels and electricity 12.6%, food products 5.3%, raw materials 2.5% (2012)"
Iceland,"machinery and equipment, petroleum products, foodstuffs, textiles"
India,"crude oil, precious stones, machinery, fertilizer, iron and steel, chemicals"
Indonesia,"machinery and equipment, chemicals, fuels, foodstuffs"
Iran,"industrial supplies, capital goods, foodstuffs and other consumer goods, technical services"
Iraq,"food, medicine, manufactures"
Ireland,"data processing equipment, other machinery and equipment, chemicals, petroleum and petroleum products, textiles, clothing"
Isle of Man,"timber, fertilizers, fish"
Israel,"raw materials, military equipment, investment goods, rough diamonds, fuels, grain, consumer goods"
Italy,"engineering products, chemicals, transport equipment, energy products, minerals and nonferrous metals, textiles and clothing; food, beverages, and tobacco"
Jamaica,"food and other consumer goods, industrial supplies, fuel, parts and accessories of capital goods, machinery and transport equipment, construction materials"
Japan,petroleum 15.5%; liquid natural gas 5.7%; clothing 3.9%; semiconductors 3.5%; coal 3.5%; audio and visual apparatus 2.7% (2011 est.)
Jersey,"machinery and transport equipment, manufactured goods, foodstuffs, mineral fuels, chemicals"
Jordan,"crude oil, machinery, transport equipment, iron, cereals"
Kazakhstan,"machinery and equipment, metal products, foodstuffs"
Kenya,"machinery and transportation equipment, petroleum products, motor vehicles, iron and steel, resins and plastics"
Kiribati,"foodstuffs, machinery and equipment, miscellaneous manufactured goods, fuel"
"Korea, North","petroleum, coking coal, machinery and equipment, textiles, grain"
"Korea, South","machinery, electronics and electronic equipment, oil, steel, optical instruments, transport equipment, organic chemicals, plastics"
Kosovo,"foodstuffs, livestock, wood, petroleum, chemicals, machinery, minerals, textiles, stone, ceramic and glass products, electrical equipment"
Kuwait,"food, construction materials, vehicles and parts, clothing"
Kyrgyzstan,"oil and gas, machinery and equipment, chemicals, foodstuffs"
Laos,"machinery and equipment, vehicles, fuel, consumer goods"
Latvia,"machinery and equipment, consumer goods, chemicals, fuels, vehicles"
Lebanon,"petroleum products, cars, medicinal products, clothing, meat and live animals, consumer goods, paper, textile fabrics, tobacco, electrical machinery and equipment, chemicals"
Lesotho,"food; building materials, vehicles, machinery, medicines, petroleum products"
Liberia,"fuels, chemicals, machinery, transportation equipment, manufactured goods; foodstuffs"
Libya,"machinery, semi-finished goods, food, transport equipment, consumer products"
Liechtenstein,"agricultural products, raw materials, energy products, machinery, metal goods, textiles, foodstuffs, motor vehicles"
Lithuania,"mineral products, machinery and equipment, transport equipment, chemicals, textiles and clothing, metals"
Luxembourg,"minerals, metals, foodstuffs, quality consumer goods"
Macau,"raw materials and semi-manufactured goods, consumer goods (foodstuffs, beverages, tobacco, garments and footwear, motor vehicles), capital goods, mineral fuels and oils"
Macedonia,"machinery and equipment, automobiles, chemicals, fuels, food products"
Madagascar,"capital goods, petroleum, consumer goods, food"
Malawi,"food, petroleum products, semi-manufactures, consumer goods, transportation equipment"
Malaysia,"electronics, machinery, petroleum products, plastics, vehicles, iron and steel products, chemicals"
Maldives,"petroleum products, clothing, intermediate and capital goods"
Mali,"petroleum, machinery and equipment, construction materials, foodstuffs, textiles"
Malta,"mineral fuels, oils and products; electrical machinery; aircraft/spacecraft and parts thereof; machinery and mechanical appliances; plastic and other semi-manufactured goods; vehicles and parts thereof"
Marshall Islands,"foodstuffs, machinery and equipment, fuels, beverages, tobacco"
Mauritania,"machinery and equipment, petroleum products, capital goods, foodstuffs, consumer goods"
Mauritius,"manufactured goods, capital equipment, foodstuffs, petroleum products, chemicals"
Mexico,"metalworking machines, steel mill products, agricultural machinery, electrical equipment, car parts for assembly, repair parts for motor vehicles, aircraft, and aircraft parts"
"Micronesia, Federated States of","food, manufactured goods, machinery and equipment, beverages"
Moldova,"mineral products and fuel, machinery and equipment, chemicals, textiles"
Mongolia,"machinery and equipment, fuel, cars, food products, industrial consumer goods, chemicals, building materials, cigarettes and tobacco, appliances, soap and detergent"
Montserrat,"machinery and transportation equipment, foodstuffs, manufactured goods, fuels, lubricants, and related materials"
Morocco,"crude petroleum, textile fabric, telecommunications equipment, wheat, gas and electricity, transistors, plastics"
Mozambique,"machinery and equipment, vehicles, fuel, chemicals, metal products, foodstuffs, textiles"
Namibia,"foodstuffs; petroleum products and fuel, machinery and equipment, chemicals"
Nauru,"food, fuel, manufactures, building materials, machinery"
Nepal,"petroleum products, machinery and equipment, gold, electrical goods, medicine"
Netherlands,"machinery and transport equipment, chemicals, fuels, foodstuffs, clothing"
New Caledonia,"machinery and equipment, fuels, chemicals, foodstuffs"
New Zealand,"machinery and equipment, vehicles, aircraft, petroleum, electronics, textiles, plastics"
Nicaragua,"consumer goods, machinery and equipment, raw materials, petroleum products"
Niger,"foodstuffs, machinery, vehicles and parts, petroleum, cereals"
Nigeria,"machinery, chemicals, transport equipment, manufactured goods, food and live animals"
Niue,"food, live animals, manufactured goods, machinery, fuels, lubricants, chemicals, drugs"
Norfolk Island,NA
Northern Mariana Islands,"food, construction equipment and materials, petroleum products"
Norway,"machinery and equipment, chemicals, metals, foodstuffs"
Oman,"machinery and transport equipment, manufactured goods, food, livestock, lubricants"
Pakistan,"petroleum, petroleum products, machinery, plastics, transportation equipment, edible oils, paper and paperboard, iron and steel, tea"
Palau,"machinery and equipment, fuels, metals; foodstuffs"
Panama,"fuel products, medicines, vehicles, iron and steel rods, cellular phones"
Papua New Guinea,"machinery and transport equipment, manufactured goods, food, fuels, chemicals"
Paraguay,"road vehicles, consumer goods, tobacco, petroleum products, electrical machinery, tractors, chemicals, vehicle parts"
Peru,"petroleum and petroleum products, chemicals, plastics, machinery, vehicles, color TV sets, power shovels, front-end loaders, telephones and telecommunication equipment, iron and steel, wheat, corn, soybean products, paper, cotton, vaccines and medicines"
Philippines,"electronic products, mineral fuels, machinery and transport equipment, iron and steel, textile fabrics, grains, chemicals, plastic"
Pitcairn Islands,"fuel oil, machinery, building materials, flour, sugar, other foodstuffs"
Poland,"machinery and transport equipment 38%, intermediate manufactured goods 21%, chemicals 15%, minerals, fuels, lubricants, and related materials 9% (2011 est.)"
Portugal,"agricultural products, chemical products, vehicles and other transport material, optical and precision instruments, computer accessories and parts, semi-conductors and related devices, oil products, base metals, food products, textile materials"
Puerto Rico,"chemicals, machinery and equipment, clothing, food, fish, petroleum products"
Qatar,"machinery and transport equipment, food, chemicals"
Romania,"machinery and equipment, chemicals, fuels and minerals, metals, textile and products, agricultural products"
Russia,"machinery, vehicles, pharmaceutical products, plastic, semi-finished metal products, meat, fruits and nuts, optical and medical instruments, iron, steel"
Rwanda,"foodstuffs, machinery and equipment, steel, petroleum products, cement and construction material"
"Saint Helena, Ascension, and Tristan da Cunha","food, beverages, tobacco, fuel oils, animal feed, building materials, motor vehicles and parts, machinery and parts"
Saint Kitts and Nevis,"machinery, manufactures, food, fuels"
