Afghanistan,"Pakistan 24.3%, US 18%, Russia 8.7%, India 5.8%, China 5.6%, Germany 4.4% (2012)"
Albania,"Italy 31.9%, Greece 9.5%, China 6.4%, Germany 6%, Turkey 5.7% (2012)"
Algeria,"France 12.8%, China 11.8%, Italy 10.3%, Spain 8.6%, Germany 5.2% (2012)"
Angola,"China 20.9%, Portugal 19.5%, US 7.7%, South Africa 7.1%, Brazil 5.9% (2012)"
Argentina,"Brazil 27.2%, US 15.6%, China 11.9%, Germany 4.5% (2012)"
Armenia,"Russia 20%, Germany 11%, Bulgaria 9%, Belgium 9%, Iran 6.5%, US 6.1%, Canada 5.9%, Netherlands 5.6%, Georgia 5.6%, Switzerland 5.2% (2012 est.)"
Aruba,"US 46.4%, Netherlands 11.5%, UK 5.4% (2012)"
Australia,"China 18.4%, US 11.7%, Japan 7.9%, Singapore 6%, Germany 4.6%, Thailand 4.2%, South Korea 4.1% (2012)"
Austria,"Germany 40.39%, Italy 6.13%, Switzerland 5.36% (2013 est.)"
Azerbaijan,"Russia 14.1%, Turkey 13.7%, UK 12.5%, Germany 7.7%, Ukraine 5.5%, China 5.3%, France 4% (2013 est.)"
"Bahamas, The","US 30.1%, India 20.3%, Singapore 8.7%, South Korea 6.8%, China 5%, Colombia 4.5%, Canada 4.2% (2012)"
Bahrain,"Saudi Arabia 27.4%, US 9.6%, China 9.5%, Japan 6.4%, India 4.9%, France 4.7% (2012)"
Bangladesh,"China 21.7%, India 16.3%, Malaysia 5.2%, Republic of Korea 4.5%, Japan 4.1% (2013 est.)"
Barbados,"Trinidad and Tobago 35.9%, US 26.9%, China 5.6% (2012)"
Belarus,"Russia 59.4%, Germany 5.9%, China 5.1%, Ukraine 5% (2012)"
Belgium,"Netherlands 20.9%, Germany 14.2%, France 10.6%, US 6.1%, UK 5.5%, Ireland 4.4% (2012)"
Belize,"US 23.6%, Germany 15%, Mexico 11.5%, Cuba 8.4%, Guatemala 4.8%, China 4.7%, Singapore 4% (2012)"
Benin,"China 37.2%, US 8.9%, India 6.7%, France 5.6%, Malaysia 5.3% (2012)"
Bermuda,"South Korea 46.2%, US 21%, Singapore 9.9%, China 7%, Turkmenistan 4.8% (2012)"
Bhutan,"India 72.3%, South Korea 6% (2013 est.)"
Bolivia,"Chile 21.3%, Brazil 20.3%, Argentina 10.9%, US 10.1%, Peru 6.5%, Venezuela 6.2%, China 4.9% (2012)"
Bosnia and Herzegovina,"Germany 11.4%, Russian Federation 9.9%, Serbia 9.8%, Italy 9.7%, China 6%, Slovenia 5%, Croatia 12.8% (2012 est.)"
Brazil,"China 15.3%, US 14.6%, Argentina 7.4%, Germany 6.4%, South Korea 4.1% (2012)"
Brunei,"Singapore 26.3%, China 21.3%, UK 21.3%, Malaysia 11.8% (2012)"
Bulgaria,"Russia 20.9%, Germany 11.3%, Italy 6.7%, Romania 6.6%, Greece 6.1%, Turkey 4.6%, Spain 4.5% (2012)"
Burkina Faso,"Cote dIvoire 17.6%, France 15.2%, Ghana 4.8%, Togo 4.4% (2012)"
Burma,"China 36.9%, Thailand 20.2%, Singapore 8.7%, South Korea 8.7%, Japan 8.2%, Malaysia 4.6% (2012)"
Burundi,"Saudi Arabia 11.3%, Belgium 10.1%, China 9.1%, India 7.9%, Tanzania 6.5%, Kenya 6%, Uganda 5.7%, Zambia 4.6%, US 4.1% (2012)"
Cabo Verde,"Portugal 38.1%, Netherlands 21.5%, China 7.9%, Spain 7% (2012)"
Cambodia,"Thailand 27.1%, Vietnam 20.3%, China 19.5%, Singapore 7.1%, Hong Kong 5.8%, South Korea 4.3% (2012)"
Cameroon,"China 18.7%, France 14.9%, Nigeria 12.3%, Belgium 5.2%, US 4.4%, India 4.2% (2012)"
Canada,"US 50.6%, China 11%, Mexico 5.5% (2012)"
Central African Republic,"Netherlands 20.3%, France 9.7%, Cameroon 9.1%, South Korea 9.1% (2012)"
Chad,"China 20.2%, Cameroon 18.2%, France 16.1%, Saudi Arabia 5.6%, US 4.2% (2012)"
Chile,"US 22.9%, China 18.2%, Argentina 6.6%, Brazil 6.5% (2012)"
China,"South Korea 9.4%, Japan 8.3%, Taiwan 8%, United States 7.8%, Australia 5%, Germany 4.8% (2013 est.)"
Colombia,"US 24.2%, China 16.3%, Mexico 10.9%, Brazil 4.8% (2012)"
Comoros,"Pakistan 15.7%, France 14.2%, UAE 11.5%, India 8.5%, China 6.7%, Kenya 5.3%, Singapore 5.2% (2012)"
"Congo, Democratic Republic of the","South Africa 22.3%, China 15.3%, Belgium 8%, Zambia 6.9%, Zimbabwe 5.6%, France 4.9%, Kenya 4.7% (2012)"
"Congo, Republic of the","France 19.5%, China 13.5%, Brazil 9.1%, US 6.1%, India 5.8%, Italy 4.8%, Belgium 4.4% (2012)"
Costa Rica,"US 49.8%, China 8.2%, Mexico 6.6% (2012)"
Cote d'Ivoire,"Nigeria 25%, France 11%, China 7.2% (2012)"
Croatia,"Germany 13.7%, Italy 12.5%, Slovenia 11.5%, Austria 9.1%, Hungary 6.2%, Russia 5.4% (2012 est.)"
Cuba,"Venezuela 38.3%, China 10.8%, Spain 8.9%, Brazil 5.2%, US 4.3% (2012)"
Cyprus,"Greece 21.6%, Israel 11.9%, Italy 8.3%, UK 7.3%, Germany 7.1%, Netherlands 6.7%, France 6%, China 4.5% (2012)"
Czech Republic,"Germany 29.5%, Poland 7.7%, Slovakia 7.4%, China 6.3%, Netherlands 5.8%, Russia 5.3%, Austria 4.3% (2012)"
Denmark,"Germany 21.2%, Sweden 13.5%, Netherlands 7.5%, China 6.4%, Norway 6.3%, UK 5.6% (2012)"
Djibouti,"China 24.4%, Saudi Arabia 16.4%, India 10.6%, Indonesia 7.3% (2012)"
Dominica,"Japan 39.3%, US 15.6%, Trinidad and Tobago 13.5%, China 5.1% (2012)"
Dominican Republic,"US 43.3%, Venezuela 7.7%, China 6.3%, Mexico 5.3%, Colombia 4.1% (2012)"
Ecuador,"US 28.4%, China 11.3%, Colombia 8.8%, Peru 4.5% (2012)"
Egypt,"China 9.5%, US 7.6%, Germany 6.7%, Russia 5.3%, Ukraine 5.3%, Turkey 5.1%, Italy 5% (2012)"
El Salvador,"US 35.4%, Guatemala 12.7%, Mexico 7%, China 5.6%, Germany 4.2% (2012)"
Equatorial Guinea,"Spain 18.4%, China 17.4%, US 11.1%, France 8%, Italy 5.9%, Cote dIvoire 5.3%, Brazil 4.4% (2012)"
Estonia,"Finland 15.1%, Germany 10.7%, Sweden 10.7%, Latvia 10%, Lithuania 9%, Poland 6.6%, China 4.4%, Russia 4.1% (2012)"
Ethiopia,"China 13.1%, US 11%, Saudi Arabia 8.4%, India 5.4% (2012)"
Faroe Islands,"Denmark 42%, Norway 32%, Germany 8.7%, Iceland 5.3% (2012)"
Fiji,"Singapore 32.8%, Australia 15.5%, NZ 14.5%, China 10.7% (2012)"
Finland,"Russia 17.7%, Sweden 14.8%, Germany 13.9%, Netherlands 8.1%, China 4.4% (2012)"
France,"Germany 19.5%, Belgium 11.3%, Italy 7.6%, Netherlands 7.4%, Spain 6.6%, UK 5.1%, China 4.9% (2012)"
Gabon,"France 28.2%, China 12.6%, US 9.4%, Belgium 5.8%, Cameroon 4.3% (2012)"
"Gambia, The","China 27.6%, Senegal 8.5%, Brazil 8.1%, UK 6.4%, India 6.1%, Indonesia 4.1% (2012)"
Georgia,"Turkey 17%, Ukraine 8%, Azerbaijan 8%, Russia 7%, China 7% (2013 est.)"
Germany,"Netherlands 12.88%, France 7.61%, China 6.25%, Belgium 6.13%, Italy 5.31%, United Kingdom 4.61%, Austria 4.33%, United States 4.19%, Switzerland 4.3%, Austria 4.1%, Poland 4% (2013 est.)"
Ghana,"China 25.6%, Nigeria 11%, US 7%, Netherlands 6.2%, Singapore 4.5%, UK 4.1%, India 4% (2012)"
Greece,"Russia 13.8%, Germany 9.5%, Italy 7.9%, Iraq 7.8%, Netherlands 4.7%, France 4.5%, China 4.5% (2013 est.)"
Greenland,"Denmark 65.4%, Sweden 17.5%, Netherlands 5.5% (2012)"
Grenada,"Trinidad and Tobago 44.3%, US 16.4%, China 4.6% (2012)"
Guatemala,"US 38%, Mexico 11.3%, China 7.4%, El Salvador 4.6% (2012)"
Guinea,"China 14.2%, Netherlands 7.6% (2012)"
Guinea-Bissau,"Portugal 28.8%, Senegal 17.5%, US 7.3%, China 5% (2012)"
Guyana,"US 22.2%, Trinidad and Tobago 21.9%, China 12.3%, Cuba 6.1%, Suriname 4% (2012)"
Haiti,"Dominican Republic 34.5%, US 26.2%, Netherlands Antilles 9.4%, China 7% (2012)"
Honduras,"US 44.3%, Guatemala 8.5%, El Salvador 5.7%, Mexico 5.6%, China 4.7%, Costa Rica 4.1% (2012)"
Hong Kong,"China 44.5%, Japan 8%, Taiwan 6.8%, South Korea 5.5%, US 4.9% (2012 est.)"
