Afghanistan,NA%
Albania,3.1% (2013 est.)
Algeria,2.5% (2013 est.)
American Samoa,NA%
Andorra,NA%
Angola,5.5% (2013 est.)
Anguilla,2% (2013 est.)
Antigua and Barbuda,1% (2013 est.)
Argentina,"2.7% 
      
      
        note: based on private sector estimates (2013 est.)"
Armenia,3.9% (2013 est.)
Aruba,NA%
Australia,3.2% (2013 est.)
Austria,0.5% (2013 est.)
Azerbaijan,3% (2013 est.)
"Bahamas, The",1.5% (2013 est.)
Bahrain,4.7% (2013 est.)
Bangladesh,9% (2013 est.)
Barbados,-0.7% (2013 est.)
Belarus,1% (2013 est.)
Belgium,0.2% (2013 est.)
Belize,-1% (2013 est.)
Benin,3.7% (2013 est.)
Bermuda,1% (2013 est.)
Bhutan,7% (2013 est.)
Bolivia,5.6% (2013 est.)
Bosnia and Herzegovina,11.7% (2013 est.)
Botswana,7.2% (2013 est.)
Brazil,3% (2013 est.)
British Virgin Islands,3% (2013 est.)
Brunei,1.5% (2013 est.)
Bulgaria,1% (2013 est.)
Burkina Faso,6.5% (2013 est.)
Burma,11.4% (2013 est.)
Burundi,4.5% (2013 est.)
Cabo Verde,1.8% (2013 est.)
Cambodia,9.5% (2013 est.)
Cameroon,4.1% (2013 est.)
Canada,1.4% (2013 est.)
Cayman Islands,1.5% (2013 est.)
Central African Republic,-11% (2013 est.)
Chad,10% (2013 est.)
Chile,3% (2013 est.)
China,7.6% (2013 est.)
Colombia,2.5% (2013 est.)
Comoros,4% (2013 est.)
"Congo, Democratic Republic of the",12% (2013 est.)
"Congo, Republic of the",2% (2013 est.)
Cook Islands,1% (2002)
Costa Rica,4.3% (2013 est.)
Cote d'Ivoire,7% (2013 est.)
Croatia,-1.8% (2013 est.)
Cuba,2.6% (2013 est.)
Curacao,NA%
Cyprus,-3.5% (2013 est.)
Czech Republic,0.5% (2013 est.)
Denmark,1.1% (2013 est.)
Djibouti,8% (2013 est.)
Dominica,-1% (2013 est.)
Dominican Republic,2.5% (2013 est.)
Ecuador,"3.1% 
      
      
        note: excludes oil refining (2013 est.)"
Egypt,1.4% (2013 est.)
El Salvador,2.1% (2013 est.)
Equatorial Guinea,3.2% (2013 est.)
Eritrea,7% (2013 est.)
Estonia,3% (2013 est.)
Ethiopia,9% (2013 est.)
European Union,-0.3% (2013 est.)
Falkland Islands (Islas Malvinas),NA%
Faroe Islands,3.4% (2009 est.)
Fiji,2.5% (2013 est.)
Finland,-4.2% (2013 est.)
France,-0.4% (2013 est.)
French Polynesia,NA%
Gabon,4.4% (2013 est.)
"Gambia, The",3.4% (2013 est.)
Georgia,3% (2013 est.)
Germany,-0.3% (2013 est.)
Ghana,10.5% (2013 est.)
Gibraltar,NA%
Greece,-3.5% (2013 est.)
Greenland,NA%
Grenada,-2% (2013 est.)
Guam,NA%
Guatemala,3.7% (2013 est.)
Guernsey,NA%
Guinea,4.6% (2013 est.)
Guinea-Bissau,1.2% (2013 est.)
Guyana,13.5% (2013 est.)
Haiti,6% (2013 est.)
Honduras,4.6% (2013 est.)
Hong Kong,0% (2013 est.)
Hungary,1.8% (2013 est.)
Iceland,-1% (2013 est.)
India,0.9% (2013 est.)
Indonesia,4.3% (2013 est.)
Iran,-5.2% (2013 est.)
Iraq,6.9% (2013 est.)
Ireland,0.2% (2013 est.)
Israel,5.5% (2013 est.)
Italy,-2.7% (2013 est.)
Jamaica,1.5% (2013 est.)
Japan,1% (2013 est.)
Jersey,NA%
Jordan,2.8% (2013 est.)
Kazakhstan,2.1% (2013 est.)
Kenya,5.1% (2013 est.)
Kiribati,NA%
"Korea, North",0.5% (2013 est.)
"Korea, South",2.5% (2013 est.)
Kuwait,4.1% (2013 est.)
Kyrgyzstan,12% (2013 est.)
Laos,11% (2013 est.)
Latvia,4.2% (2013 est.)
Lebanon,3% (2013 est.)
Lesotho,4.3% (2013 est.)
Liberia,NA%
Libya,9.6% (2013 est.)
Liechtenstein,NA%
Lithuania,2% (2013 est.)
Luxembourg,-1% (2013 est.)
Macau,17.6% (2013 est.)
Macedonia,3.2% (2013 est.)
Madagascar,4% (2013 est.)
Malawi,2.8% (2013 est.)
Malaysia,5% (2013 est.)
Maldives,14% (2012 est.)
Mali,7% (2013 est.)
Malta,-6.9% (2013)
Marshall Islands,NA%
Mauritania,8% (2013 est.)
Mauritius,0.2% (2013 est.)
Mexico,3.5% (2013 est.)
"Micronesia, Federated States of",NA%
Moldova,6.8% (2013 est.)
Monaco,NA%
Mongolia,11% (2013 est.)
Montserrat,2% (2013 est.)
Morocco,1.2% (2013 est.)
Mozambique,8% (2013 est.)
Namibia,5.6% (2013 est.)
Nauru,NA%
Nepal,1.5% (2013 est.)
Netherlands,0.5% (2013 est.)
New Caledonia,8% (2013 est.)
New Zealand,1.9% (2013 est.)
Nicaragua,3% (2013 est.)
Niger,5.7% (2013 est.)
Nigeria,0.9% (2013 est.)
Niue,NA%
Northern Mariana Islands,NA%
Norway,-3% (2013 est.)
Oman,3.5% (2013 est.)
Pakistan,3.5% (2013 est.)
Palau,NA%
Panama,9.2% (2013 est.)
Papua New Guinea,5.5% (2013 est.)
Paraguay,5.6% (2013 est.)
Peru,5% (2013 est.)
Philippines,9% (2013 est.)
Poland,5.2% (2013 est.)
Portugal,-1% (2013 est.)
Puerto Rico,0.5% (2013 est.)
Qatar,2.9% (2013 est.)
Romania,8% (2013 est.)
Russia,0.1% (2013 est.)
Rwanda,6% (2013 est.)
"Saint Helena, Ascension, and Tristan da Cunha",NA%
Saint Kitts and Nevis,0.5% (2013 est.)
Saint Lucia,2.6% (2013 est.)
Saint Pierre and Miquelon,NA%
Saint Vincent and the Grenadines,3% (2013 est.)
Samoa,-4.8% (2013 est.)
San Marino,-1.1% (2012 est.)
Sao Tome and Principe,4% (2013 est.)
Saudi Arabia,2.7% (2013 est.)
Senegal,3% (2013 est.)
Serbia,5.5% (2013 est.)
Seychelles,3.7% (2013 est.)
Sierra Leone,42% (2013 est.)
Singapore,1.7% (2013 est.)
Slovakia,6.5% (2013 est.)
Slovenia,-0.6% (2013 est.)
Solomon Islands,14% (2013 est.)
Somalia,NA%
South Africa,0.9% (2013 est.)
Spain,-1.2% (2013 est.)
Sri Lanka,10% (2013 est.)
Sudan,11% (2013 est.)
Suriname,4% (2013 est.)
Swaziland,0.4% (2013 est.)
Sweden,-1% (2013 est.)
Switzerland,2.2% (2013 est.)
Syria,-20.6% (2013 est.)
Taiwan,1.8% (2013 est.)
Tajikistan,3.9% (2013 est.)
Tanzania,7.4% (2013 est.)
Thailand,-3.1% (2013 est.)
Timor-Leste,6.2% (2013 est.)
Togo,5.1% (2013 est.)
Tonga,1% (2013 est.)
Trinidad and Tobago,1.2% (2013 est.)
Tunisia,3% (2013 est.)
Turkey,3.5% (2013 est.)
Turkmenistan,8% (2013 est.)
Turks and Caicos Islands,3% (2013 est.)
Tuvalu,NA%
Uganda,3.8% (2013 est.)
Ukraine,-5% (2013 est.)
United Arab Emirates,3.3% (2013 est.)
United Kingdom,-0.3% (2013 est.)
United States,2.5% (2013 est.)
Uruguay,6.6% (2013 est.)
Uzbekistan,7.1% (2013 est.)
Vanuatu,4.8% (2013 est.)
Venezuela,1% (2013 est.)
Vietnam,5% (2013 est.)
Virgin Islands,NA%
Wallis and Futuna,NA%
West Bank,3% (2013 est.)
Western Sahara,NA%
World,3.5% (2013 est.)
