Afghanistan,"total: 117.23 deaths/1,000 live births 
      
      
        male: 124.89 deaths/1,000 live births 
      
      
        female: 109.18 deaths/1,000 live births (2014 est.)"
Albania,"total: 13.19 deaths/1,000 live births 
      
      
        male: 14.68 deaths/1,000 live births 
      
      
        female: 11.54 deaths/1,000 live births (2014 est.)"
Algeria,"total: 21.76 deaths/1,000 live births 
      
      
        male: 23.54 deaths/1,000 live births 
      
      
        female: 19.9 deaths/1,000 live births (2014 est.)"
American Samoa,"total: 8.92 deaths/1,000 live births 
      
      
        male: 11.47 deaths/1,000 live births 
      
      
        female: 6.21 deaths/1,000 live births (2014 est.)"
Andorra,"total: 3.69 deaths/1,000 live births 
      
      
        male: 3.68 deaths/1,000 live births 
      
      
        female: 3.7 deaths/1,000 live births (2014 est.)"
Angola,"total: 79.99 deaths/1,000 live births 
      
      
        male: 83.74 deaths/1,000 live births 
      
      
        female: 76.05 deaths/1,000 live births (2014 est.)"
Anguilla,"total: 3.4 deaths/1,000 live births 
      
      
        male: 3.81 deaths/1,000 live births 
      
      
        female: 2.97 deaths/1,000 live births (2014 est.)"
Antigua and Barbuda,"total: 13.29 deaths/1,000 live births 
      
      
        male: 15.3 deaths/1,000 live births 
      
      
        female: 11.17 deaths/1,000 live births (2014 est.)"
Argentina,"total: 9.96 deaths/1,000 live births 
      
      
        male: 11.15 deaths/1,000 live births 
      
      
        female: 8.71 deaths/1,000 live births (2014 est.)"
Armenia,"total: 13.97 deaths/1,000 live births 
      
      
        male: 15.39 deaths/1,000 live births 
      
      
        female: 12.36 deaths/1,000 live births (2014 est.)"
Aruba,"total: 11.74 deaths/1,000 live births 
      
      
        male: 15.44 deaths/1,000 live births 
      
      
        female: 7.97 deaths/1,000 live births (2014 est.)"
Australia,"total: 4.43 deaths/1,000 live births 
      
      
        male: 4.74 deaths/1,000 live births 
      
      
        female: 4.1 deaths/1,000 live births (2014 est.)"
Austria,"total: 4.16 deaths/1,000 live births 
      
      
        male: 5.01 deaths/1,000 live births 
      
      
        female: 3.27 deaths/1,000 live births (2014 est.)"
Azerbaijan,"total: 26.67 deaths/1,000 live births 
      
      
        male: 27.47 deaths/1,000 live births 
      
      
        female: 25.76 deaths/1,000 live births (2014 est.)"
"Bahamas, The","total: 12.5 deaths/1,000 live births 
      
      
        male: 12.51 deaths/1,000 live births 
      
      
        female: 12.49 deaths/1,000 live births (2014 est.)"
Bahrain,"total: 9.68 deaths/1,000 live births 
      
      
        male: 10.69 deaths/1,000 live births 
      
      
        female: 8.65 deaths/1,000 live births (2014 est.)"
Bangladesh,"total: 45.67 deaths/1,000 live births 
      
      
        male: 48.15 deaths/1,000 live births 
      
      
        female: 43.09 deaths/1,000 live births (2014 est.)"
Barbados,"total: 10.93 deaths/1,000 live births 
      
      
        male: 12.58 deaths/1,000 live births 
      
      
        female: 9.26 deaths/1,000 live births (2014 est.)"
