Afghanistan,"6.8% (2012 est.) 
      
      5.7% (2011 est.)"
Albania,"1.7% (2013 est.) 
      
      2.1% (2012 est.)"
Algeria,"3.9% (2013 est.) 
      
      8.9% (2012 est.)"
American Samoa,NA%
Andorra,"1.1% (2012 est.) 
      
      -2.5% (2011 est.)"
Angola,"8.9% (2013 est.) 
      
      10.3% (2012 est.)"
Anguilla,"3.1% (2013 est.) 
      
      4.4% (2012 est.)"
Antigua and Barbuda,"3% (2013 est.) 
      
      3.4% (2012 est.)"
Argentina,"20.8% (2013 est.) 
      
      25.3% (2012 est.) 
      
      
        note: data are derived from private estimates"
Armenia,"6.2% (2013 est.) 
      
      2.6% (2012 est.)"
Aruba,"-2% (2013 est.) 
      
      0.6% (2012 est.)"
Australia,"2.4% (2013 est.) 
      
      1.8% (2012 est.)"
Austria,"2.1% (2013 est.) 
      
      2.6% (2012 est.)"
Azerbaijan,"2.4% (2013 est.) 
      
      1.1% (2012 est.)"
"Bahamas, The","1% (2013 est.) 
      
      2% (2012 est.)"
Bahrain,"3.1% (2013 est.) 
      
      2.8% (2012 est.)"
Bangladesh,"7.6% (2013 est.) 
      
      6.6% (2012 est.)"
Barbados,"2.1% (2013 est.) 
      
      4.8% (2012 est.)"
Belarus,"19% (2013 est.) 
      
      59.1% (2012 est.)"
Belgium,"1.3% (2013 est.) 
      
      2.6% (2012 est.)"
Belize,"1.3% (2013 est.) 
      
      1.3% (2012 est.)"
Benin,"2.4% (2013 est.) 
      
      6.8% (2012 est.)"
Bermuda,"1.8% (2013 est.) 
      
      2.4% (2012 est.)"
Bhutan,"11% (2013 est.) 
      
      10.9% (2012 est.)"
Bolivia,"6.5% (2013 est.) 
      
      4.5% (2012 est.)"
Bosnia and Herzegovina,"0.2% (2013 est.) 
      
      1.8% (2012 est.)"
Botswana,"6.1% (2013 est.) 
      
      7.5% (2012 est.)"
Brazil,"6.2% (2013 est.) 
      
      5.4% (2012 est.)"
British Virgin Islands,"1.6% (2013 est.) 
      
      2.2% (2012 est.)"
Brunei,"1% (2013 est.) 
      
      0.5% (2012 est.)"
Bulgaria,"1.5% (2013 est.) 
      
      3% (2012 est.)"
Burkina Faso,"2.1% (2013 est.) 
      
      3.8% (2012 est.)"
Burma,"5.7% (2013 est.) 
      
      1.5% (2012 est.)"
Burundi,"9.3% (2013 est.) 
      
      18% (2012 est.)"
Cabo Verde,"1.9% (2013 est.) 
      
      2.5% (2012 est.)"
Cambodia,"3.2% (2013 est.) 
      
      2.9% (2012 est.)"
Cameroon,"2.6% (2013 est.) 
      
      2.9% (2012 est.)"
Canada,"1% (2013 est.) 
      
      1.5% (2012 est.)"
Cayman Islands,"1.8% (2013 est.) 
      
      1.2% (2012 est.)"
Central African Republic,"7% (2013 est.) 
      
      5.8% (2012 est.)"
Chad,"4.5% (2013 est.) 
      
      10.2% (2012 est.)"
Chile,"1.7% (2013 est.) 
      
      3% (2012 est.)"
China,"2.6% (2013 est.) 
      
      2.6% (2012 est.)"
Colombia,"2.2% (2013 est.) 
      
      3.4% (2011 est.)"
Comoros,"2.5% (2013 est.) 
      
      6.3% (2012 est.)"
"Congo, Democratic Republic of the","7.1% (2013 est.) 
      
      9.5% (2012 est.)"
"Congo, Republic of the","1.7% (2013 est.) 
      
      3.9% (2012 est.)"
Cook Islands,"2.2% (2011 est.) 
      
      2.2% (2011 est.)"
Costa Rica,"5.6% (2013 est.) 
      
      4.5% (2012 est.)"
Cote d'Ivoire,"2.9% (2013 est.) 
      
      1.3% (2012 est.)"
Croatia,"2.2% (2013 est.) 
      
      3.4% (2012 est.)"
Cuba,"6% (2013 est.) 
      
      5.5% (2012 est.)"
Curacao,"3.2% (2012 est.) 
      
      2.3% (2011 est.)"
Cyprus,"0.2% (2013 est.) 
      
      $NA (2012 est.)"
Czech Republic,"1.4% (2013 est.) 
      
      3.3% (2012 est.)"
Denmark,"0.8% (2013 est.) 
      
      2.4% (2012 est.)"
Djibouti,"2.5% (2013 est.) 
      
      7.9% (2012 est.)"
Dominica,"1.8% (2013 est.) 
      
      1.4% (2012 est.)"
Dominican Republic,"5% (2013 est.) 
      
      3.7% (2012 est.)"
Ecuador,"2.6% (2013 est.) 
      
      4.5% (2011 est.)"
Egypt,"9% (2013 est.) 
      
      7.1% (2012 est.)"
