Afghanistan,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Albania,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Algeria,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Andorra,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Angola,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Antigua and Barbuda,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Argentina,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Armenia,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Australia,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Austria,accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction
Azerbaijan,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
"Bahamas, The",has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Bahrain,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Bangladesh,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Barbados,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Belarus,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Belgium,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Belize,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Benin,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Bermuda,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Bhutan,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Bolivia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Bosnia and Herzegovina,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Botswana,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Brazil,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Brunei,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Bulgaria,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Burkina Faso,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Burma,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Burundi,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Cabo Verde,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Cambodia,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Cameroon,accepts compulsory ICJ jurisdiction; non-party state to the ICCt
Canada,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
Central African Republic,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Chad,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Chile,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
China,has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt
Colombia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Comoros,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
"Congo, Democratic Republic of the",accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction
"Congo, Republic of the",has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
Cook Islands,has not submitted an ICJ jurisdiction declaration (New Zealand normally retains responsibility for external affairs); accepts ICCt jurisdiction
Costa Rica,accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction
Cote d'Ivoire,accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction under Article 12(3)of the Rome Statute
Croatia,has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction
