Afghanistan,"highest court(s): Supreme Court or Stera Mahkama (consists of the Supreme Court Chief and 8 justices organized into criminal, public security, civil, and commercial divisions or dewans) 
      
      
        judge selection and term of office: court chief and justices appointed by the president with the approval of the Wolesi Jirga; court chief and justices serve single 10-year terms 
      
      
        subordinate courts: Appeals Courts; Primary Courts; Special Courts for issues including narcotics, security, property, family, and juveniles"
Akrotiri,"highest court(s): Senior Judges' Court (consists of several visiting judges from England and Wales) 
      
      
        judge selection and term of office: judges appointment and tenure NA 
      
      
        subordinate courts: Resident Judges' Court; Courts Martial"
Albania,"highest court(s): Constitutional Court (consists of 9 judges, including a chairman); Court of Cassation (consists of 14 judges, including the chief justice) 
      
      
        judge selection and term of office: Constitutional Court judges appointed by the president with the consent of the Assembly to serve single 9-year terms; chairman elected by the People's Assembly for single 3-year term;  Court of Cassation judges, including the chairman, appointed by the president with the consent of the Assembly to serve  single, 9-year terms) 
      
      
        subordinate courts: Courts of Appeal; Courts of First Instance"
Algeria,"highest court(s): Supreme Court or Cour Supreme (consists of 150 judges organized into four divisions: civil and commercial; social security and labor; criminal; and administrative; Constitutional Council (consists of 9 members including the court president) 
      
      note - Algeria's judicial system does not include sharia courts 
      
      
        judge selection and term of office: Supreme Court judges appointed by the High Council of Magistracy, an administrative body presided over by the president of the republic, and includes the republic vice-president and several members; judge tenure NA; Constitutional Council members - 3 appointed by the president of the republic, 2 each by the two houses of the Parliament, 1 by the Supreme Court, and 1 by the Council of State; Council president and members appointed for single 6-year terms with half of the membership renewed every 3 years 
      
      
        subordinate courts: appellate or wilaya courts; first instance or daira tribunals"
American Samoa,"highest court(s): High Court of American Samoa (consists of the chief justice, associate chief justice, and 6 Samoan associate judges and organized into trial, family, drug, and appellate divisions) 
      
      note - American Samoa has no US federal courts 
      
      
        judge selection and term of office: chief justice and associate chief justice appointed by the US Secretary of the Interior to serve for life; Samoan associate judges appointed by the governor to serve for life 
      
      
        subordinate courts: district and village courts"
Andorra,"highest court(s): Supreme Court of Justice of Andorra or Tribunal Superior de la Justicia d'Andorra (consists of the court president and 8 judges organized into civil, criminal, and administrative chambers); Constitutional Court or Tribunal Constitucional (consists of 4 magistrates) 
      
      
        judge selection and term of office: Supreme Court president and judges appointed by the Supreme Council of Justice, a 5-member judicial policy and administrative body appointed 1 each by the co-princes, 1 by the General Council, 1 by the executive council president, and 1 by the courts; judges serve 6-year renewable terms; Constitutional magistrates appointed 2 by the co-princes and 2 by the General Council; magistrates' appointments limited to two consecutive 8-year terms 
      
      
        subordinate courts: Tribunal of Judges or Tribunal de Batlles; Tribunal of the Courts or Tribunal de Corts"
Angola,"highest court(s): Supreme Court or Tribunal da Relacao (consists of the chief justice and NA judges; Constitutional Court or Tribunal Constitucional (consists of 11 members) 
      
      
        judge selection and term of office: Supreme Court judges appointed by the president upon recommendation of the Supreme Judicial Council, an 18-member body presided over by the president; judge tenure NA; Constitutional Court  judges - 4 nominated by the president, 4 elected by National Assembly, 2 elected by Supreme National Council, 1 elected by competitive submission of curricula; judges serve single 7-year terms 
      
      
        subordinate courts: provincial and municipal courts"
Anguilla,"highest court(s): the Eastern Caribbean Supreme Court (ECSC) is the itinerant superior court of record for the 9-member Organization of Eastern Caribbean States to include Anguilla; the ECSC - headquartered on St. Lucia - is headed by the chief justice and is comprised of the Court of Appeal with 3 justices and the High Court with 16 judges; sittings of the Court of Appeal and High Court rotate among the 9 member states; High Court judges reside in 7 member states, though none resides on Anguilla 
      
      
        judge selection and term of office: Eastern Caribbean Supreme Court chief justice appointed by Her Majesty, Queen ELIZABETH II; other justices and judges appointed by the Judicial and Legal Services Commission; Court of Appeal justices appointed for life with mandatory retirement at age 65; High Court judges appointed for life with mandatory retirement at age 62 
      
      
        subordinate courts: Magistrate's Court; Juvenile Court"
Antigua and Barbuda,"highest court(s): the Eastern Caribbean Supreme Court (ECSC) is the itinerant superior court of record for the 9-member Organization of Eastern Caribbean States to include Antigua and Barbuda; the ECSC - headquartered on St. Lucia - is headed by the chief justice and is comprised of the Court of Appeal with 3 justices and the High Court with 16 judges; sittings of the Court of Appeal and High Court rotate among the 9 member states; 2 High Court judges reside on Antigua and Barbuda 
      
      note - Antigua and Barbuda replaced the Judicial Committee of the Privy Council in London as the final appellate court; also a member of the Caribbean Court of Justice 
      
      
        judge selection and term of office: Eastern Caribbean Supreme Court Chief Justice appointed by the Her Majesty, Queen ELIZABETH II; other justices and judges appointed by the Judicial and Legal Services Commission; Court of Appeal justices appointed for life with mandatory retirement at age 65; High Court judges appointed for life with mandatory retirement at age 62 
      
      
        subordinate courts: Industrial Court; Magistrates' Courts"
Argentina,"highest court(s): Supreme Court or Corte Suprema (consists of the court president, vice-president, and 5 judges) 
      
      note - Argentina has  a system of federal and provincial courts 
      
      
        judge selection and term of office: judges nominated by the president and approved by the Senate; judges serve for life 
      
      
        subordinate courts: federal level appellate, district, and territorial courts; provincial level supreme, appellate, and first instance courts"
Armenia,"highest court(s): Court of Cassation (consists of the court chairman and organized into a criminal chamber and a civil and administrative chamber, each with a court chairman and 2 judges); Constitutional Court (consists of 9 judges) 
      
      
        judge selection and term of office: Court of Cassation judges nominated by the Judicial Council, a 9-member body of selected judges and legal scholars; judges appointed by the president; Constitutional Court judges - 4 appointed by the president, and 5 elected by National Assembly; judges of both courts can serve until retirement at age 65 
      
      
        subordinate courts: 2 Courts of Appeal (for civil cases and for criminal and military cases); district courts; Administrative Court"
Aruba,"highest court(s): Joint Court of Justice of Aruba, Curacao, Sint Maarten, and of Bonaire, Sint Eustatitus and Saba or  ""Joint Court of Justice"" (consists of the presiding judge, NA members, and NA substitutes); final appeals heard by the Supreme Court, in The Hague, Netherlands 
      
      note - prior to 2010, the Joint Court of Justice was the Common Court of Justice of the  Netherlands Antilles and Aruba 
      
      
        judge selection and term of office: Joint Court judges appointed by the monarch for life 
      
      
        subordinate courts: Courts in First Instance"
Australia,"highest court(s): High Court of Australia (consists of 7 justices, including the chief justice); note - each of the 6 states, 2 territories, and Norfolk Island has a Supreme Court; the High Court is the final appellate court beyond the state and territory supreme courts 
      
      
        judge selection and term of office: justices appointed by the governor-general in council for life with mandatory retirement at age 70 
      
      
        subordinate courts: subordinate courts at the federal level: Federal Court; Federal Magistrates' Courts of Australia; Family Court; subordinate courts at the state and territory level: Local Court - New South Wales; Magistrates' Courts  Victoria, Queensland, South Australia, Western Australia, Tasmania, Northern Territory, Australian Capital Territory; District Courts  New South Wales, Queensland, South Australia, Western Australia; County Court  Victoria; Family Court  Western Australia; Court of Petty Sessions  Norfolk Island"
Austria,"highest court(s): Supreme Court of Justice or Oberster Gerichtshof (consists of 85 judges organized into 17 senates or panels of five judges each); Constitutional Court or  Verfassungsgerichtshof (consists of 20 judges including 6 substitutes; Administrative Court or Verwaltungsgerichtshof - 2 judges plus other members depending on the importance of the case) 
      
      
        judge selection and term of office: Supreme Court judges nominated by executive branch departments and appointed by the president; judges serve for life; Constitutional Court judges nominated by several executive branch departments and approved by the president; judges serve for life; Administrative Court judges recommended by executive branch departments and appointed by the president; terms of judges and members determined by the president 
      
      
        subordinate courts: Courts of Appeal (4);  Regional Courts (20);  district courts (120); county courts"
Azerbaijan,"highest court(s): Supreme Court (consists of the chairman, deputy chairman, and at least 24 judges in plenum sessions); Constitutional Court (consists of 9 judges) 
      
      
        judge selection and term of office: Supreme Court judges nominated by the president and appointed by the Milli Majlis; judge tenure NA; Constitutional Court chairman and deputy chairman appointed by the president; other court judges nominated by the president and appointed by the Milli Majlis to serve single 15-year terms 
      
      
        subordinate courts: Courts of Appeal (replaced the Economic Court in 2002); district and municipal courts;"
"Bahamas, The","highest court(s): The Bahamas Court of Appeal (consists of the court president and 4 justices, sitting in panels of 3 justices) 
      
      note - as of 2008, the Bahamas was not a party to the agreement establishing the Caribbean Court of Justice as the highest appellate court for the 15-member Caribbean Community (CARICOM); the Judicial Committee of the Privy Council (in London) serves as the final court of appeal for the Bahamas 
      
      
        judge selection and term of office: Court of Appeal justices appointed by the governor-general on the advice of the prime minister and in consultation with the Judicial and Legal Services Commission; justices appointed for life with mandatory retirement at age 68-70 
      
      
        subordinate courts: Supreme Court; Industrial Tribunal; Stipendiary and Magistrates Courts; Family Island Administrators"
Bahrain,"highest court(s): Court of Cassation (consists of a chairman and 3 judges); Constitutional Court (consists of a president and 6 members) 
      
      note - the judiciary of Bahrain is divided into the civil law and sharia law courts 
      
      
        judge selection and term of office: Court of Cassation and Constitutional Court judges appointed by royal decree and serve for a specified tenure 
      
      
        subordinate courts: High Court of Appeal; middle and lower civil courts; higher and lower shariah courts, and the High Shariah Court of Appeal"
Bangladesh,"highest court(s): Supreme Court of Bangladesh (organized into the Appellate Division with 7 justices and the High Court Division with 99 justices) 
      
      
        judge selection and term of office: chief justice and justices appointed by the president; justices serve until retirement at age 67 
      
      
        subordinate courts: civil courts include: Assistant Judge's Court; Joint District Judge's Court; Additional District Judge's Court; District Judge's Court; criminal courts include: Court of Sessions; Court of Metropolitan Sessions; special courts/tribunals; Metropolitan Magistrate Courts; Magistrate Court"
Barbados,"highest court(s): Supreme Court (consists of the High Court with 8 justices) and the Court of Appeal (consists of the chief Justice and president of the court and 4 justices 
      
      note - Barbados, a member of the Caribbean Court of Justice, replaced the Judicial Committee of the Privy Council (in London) as the final court of appeal 
      
      
        judge selection and term of office: Supreme Court chief justice appointed by the governor-general on the recommendation of the prime minister and opposition leader of Parliament; other justices appointed by the governor-general on the recommendation of the Judicial and Legal Service Commission, a 5-member independent body consisting of the Supreme Court chief justice, the commission head, and governor-general appointees recommended by the prime minister; justices serve until mandatory retirement at age 65 
      
      
        subordinate courts: Magistrates' Courts"
Belarus,"highest court(s): Supreme Court (consists of the chairman, deputy chairman, and NA judges); Constitutional Court (consists of 12 judges including a chairman and deputy chairman) 
      
      
        judge selection and term of office: Supreme Court judges appointed by the president with the consent of the Council of the Republic; judges initially appointed for 5 years and evaluated for life appointment; Constitutional Court judges - 6 appointed by the president and 6 elected by the Chamber of Representatives; term of judges is 11 years with an age limit of 70 
      
      
        subordinate courts: regional, district, city, town, and military courts"
Belgium,"highest court(s): Constitutional Court or Grondwettelijk Hof in Dutch and Cour constitutionelle in French (consists of 12 judges - 6 Dutch-speaking and 6 French-speaking); Supreme Court of Justice or Hof van Cassatie in Dutch and Cour de Cassation in French (court organized into 3 chambers: civil and commercial; criminal; social, fiscal, and armed forces; each chamber includes a Dutch division and a French division, each with a chairperson and 5-6 judges) 
      
      
        judge selection and term of office: Constitutional Court judges appointed by the monarch from candidates submitted by Parliament; judges appointed for life with mandatory retirement at age 70; Supreme Court judges appointed by the monarch from candidates submitted by the  High Council of Justice, a 44-member independent body of judicial and non-judicial members; judges appointed for life 
      
      
        subordinate courts: Courts of Appeal; regional courts; specialized courts for administrative, commercial, labor, and audit issues; magistrate's courts; justices of the peace"
Belize,"highest court(s): Supreme Court of Judicature (consists of the Court of Appeal with the court president and 3 justices, and the Supreme Court with the chief justice and 2 judges) 
      
      note - in 2005, Belize ceased final appeals in civil and criminal cases to the Judicial Committee of the Privy Council (in London),  replacing it with the Caribbean Court of Justice, the judicial organ of the Caribbean Community 
      
      
        judge selection and term of office: Court of Appeal president and justices appointed by the governor general upon advice of the prime minister after consultation with the National Assembly opposition leader; justices' tenures vary by terms of appointment;  Supreme Court chief justice appointed by the governor-general upon the advice of the prime minister and the National Assembly opposition leader; other judges appointed by the governor-general upon the advice of the Judicial and Legal Services Section of the Public Services Commission and with the concurrence of the prime minister after consultation with the National Assembly opposition leader; judges can be appointed beyond age 65 but must retire by age 75 
      
      
        subordinate courts: Summary Jurisdiction Courts (criminal) and District Courts (civil)"
Benin,"highest court(s): Supreme Court or Cour Supreme (consists of the court president and 3 chamber presidents organized into an administrative division, judicial chamber, and chamber of accounts) Constitutional Court or Cour Constitutionnelle (consists of 7 members including the court president); High Court of Justice (consists of the Constitutional Court members, 6 members appointed by the National Assembly, and the Supreme Court president) 
      
      note - jurisdiction of the High Court of Justice is to limited cases of high treason by the national president or members of the government 
      
      
        judge selection and term of office: Supreme Court president and judges appointed by the national president upon the advice of the National Assembly; judges appointed for single renewable 5-year terms; Constitutional Court members - 4 appointed by the National Assembly and 3 by the national president; members appointed for single renewable 5-year terms; High Court of Justice ""other"" members elected by the National Assembly; member tenure NA 
      
      
        subordinate courts: Court of Appeal or Cour d'Appel; district courts; village courts; Assize courts"
Bermuda,"highest court(s): Court of Appeal (consists of the court president and 4 justices); Supreme Court (consists of the chief justice, 4 puisne judges, and 1 associate justice) 
      
      note - the Judicial Committee of the Privy Council, in London, is the court of last resort 
      
      
        judge selection and term of office: Court of Appeal justice appointed by the governor; justice tenure by individual appointment; Supreme Court judges nominated by the Judicial and Legal Services Commission and appointed by the governor; judge tenure NA 
      
      
        subordinate courts: commercial court (began in 2006); magistrates' courts"
Bhutan,"highest court(s): Supreme Court (consists of 5 justices including the chief justice ) 
      
      note - the Supreme Court has sole jurisdiction in constitutional matters 
      
      
        judge selection and term of office: Supreme Court chief justice appointed by the monarch upon the advice of the National Judicial Commission, a 4-member body to include the Legislative Committee of the National Assembly, the attorney general, the Chief Justice of Bhutan and the senior Associate Justice of the Supreme Court; other judges (drangpons) appointed by the monarch from among the High Court judges selected by the National Judicial Commission; chief justice serves a 5-year term or until reaching age 65 years, whichever is earlier; the four other judges serve 10-year terms or until age 65, whichever is earlier 
      
      
        subordinate courts: High Court (first appellate court); District or Dzongkhag Courts; sub-district or Dungkhag Courts"
Bolivia,"highest court(s): Supreme Court or Tribunal Supremo de Justicia (consists of 12 judges); Plurinational Constitutional Tribunal (consists of 7 primary and 7 alternate magistrates); Plurinational Electoral Organ (consists of 7 members); 
      
      
        judge selection and term of office: Supreme Court and Plurinational Constitutional Tribunal judges elected by popular vote from list of candidates pre-selected by Plurinational Legislative Assembly for 6-year terms); Plurinational Electoral Organ members - 6 judges elected by the Assembly and 1 appointed by the president; judges and members serve 6-year terms 
      
      
        note: the 2009 constitution reformed the procedure for selecting judicial officials for the Supreme Court, Constitutional Tribunal, and the Plurinational Electoral Organ by direct national vote, which occurred in October 2011 
      
      
        subordinate courts: Agro-Environmental Court; Council of the Judiciary; District Courts (in each of the 9 administrative departments)"
Bosnia and Herzegovina,"highest court(s): BiH Constitutional Court (consists of 9 members); Court of BiH (consists of 44 national judges and 7 international judges organized into three divisions - Administrative, Appellate, and Criminal, which includes a War Crimes Chamber) 
      
      
        judge selection and term of office: BiH Constitutional Court judges - 4 selected by the Bosniak/Croat Federation's House of Representatives, 2 selected by the Republika Srpska's National Assembly, and 3 non-Bosnian judges selected by the president of the European Court of Human Rights; Court of BiH president and national judges appointed by the High Judicial and Prosecutorial Council; Court of BiH president appointed for renewable 6-year term; other national judges appointed to serve until age 70; international judges recommended by the president of the Court of BiH and appointed by the High Representative for Bosnia and Herzegovina; international judges appointed to serve until age 70 
      
      
        subordinate courts: the Federation has 10 cantonal courts plus a number of municipal courts; the Republika Srpska has a supreme court, 5 district courts, and a number of municipal courts"
Botswana,"highest court(s): Court of Appeal, High Court (each consists of a chief justice and number of other judges as prescribed by the Parliament) 
      
      
        judge selection and term of office: Court of Appeal and High Court chief justices appointed by the president and other judges appointed by the president upon the advice of the Judicial Service Commission; all judges appointed to serve until age 70 
      
      
        subordinate courts: Industrial Court (with circuits scheduled monthly in the capital city and in three districts); Magistrates Courts (one in each district); Customary Court of Appeal; Paramount Chief's Court/Urban Customary Court; Senior Chief's Representative Court; Chief's Representatives Court; Headman's Court"
Brazil,"highest court(s): Supreme Federal Court (consists of 11 justices) 
      
      
        judge selection and term of office: justices appointed by the president and approved by the Federal Senate; justices appointed to serve until mandatory retirement at age 70 
      
      
        subordinate courts: Federal Appeals Court, Superior Court of Justice, Superior Electoral Court, regional federal courts; state court system"
British Virgin Islands,"highest court(s): the Eastern Caribbean Supreme Court (ECSC) is the itinerant superior court of record for the 9-member Organization of Eastern Caribbean States to include the British Virgin Islands;  the ECSC - with its headquarters on St. Lucia - is headed by the chief justice and is comprised of the Court of Appeal with 3 justices and the High Court with 16 judges; sittings of the Court of Appeal and High Court rotate among the 9 member states; 3 High Court judges reside in member states; 3 High Court judges reside on the British Virgin Islands 
      
      
        judge selection and term of office: Eastern Caribbean Supreme Court chief justice appointed by Her Majesty, Queen ELIZABETH II; other justices and judges appointed by the Judicial and Legal Services Commission; Court of Appeal justices appointed for life with mandatory retirement at age 65; High Court judges appointed for life with mandatory retirement at age 62 
      
      
        subordinate courts: Magistrates' Courts"
Brunei,"highest court(s): Supreme Court (consists of Court of Appeal and High Court, each with a chief justice and 2 judges); Sharia Court of Appeal (consists of judges appointed by the monarch) 
      
      note - Brunei has a dual judicial system of secular and sharia (religious) courts; the Judicial Committee of Privy Council in London serves as the final appellate court for civil cases only 
      
      
        judge selection and term of office: Supreme Court judges appointed by the monarch to serve until age 65, and older if approved by the monarch; Sharia Court of Appeal judges appointed by the monarch; judge tenure NA 
      
      
        subordinate courts: Intermediate Court; Magistrate's Courts; Juvenile Court; small claims courts; lower sharia courts (2006)"
