Afghanistan,7.512 million (2012 est.)
Albania,1.098 million (2013 est.)
Algeria,11.15 million (2013 est.)
American Samoa,"17,630 (2005)"
Andorra,"36,060 (2012)"
Angola,9.018 million (2013 est.)
Anguilla,"6,049 (2001)"
Antigua and Barbuda,"30,000 (1991)"
Argentina,"17.32 million 
      
      
        note: urban areas only (2013 est.)"
Armenia,1.394 million (2013 est.)
Aruba,"51,610 
      
      
        note: of the 51,610 workers aged 15 and over in the labor force, 32,252 were born in Aruba and 19,353 came from abroad; foreign workers are 38% of the employed population (2007 est.)"
Australia,12.44 million (2013 est.)
Austria,3.737 million (2013 est.)
Azerbaijan,4.68 million (2012 est.)
"Bahamas, The","196,900 (2013 est.)"
Bahrain,"716,500 
      
      
        note: 44% of the population in the 15-64 age group is non-national (2013 est.)"
Bangladesh,"78.62 million 
      
      
        note: extensive export of labor to Saudi Arabia, Kuwait, UAE, Oman, Qatar, and Malaysia; workers' remittances were $10.9 billion in FY09/10 (2013 est.)"
Barbados,"141,800 (2013 est.)"
Belarus,5 million (2009)
Belgium,5.15 million (2013 est.)
Belize,"120,500 
      
      
        note: shortage of skilled labor and all types of technical personnel (2008 est.)"
Benin,3.662 million (2007 est.)
Bermuda,"37,400 (2011)"
Bhutan,"336,400 
      
      
        note: major shortage of skilled labor (2012)"
Bolivia,4.922 million (2012 est.)
Bosnia and Herzegovina,1.49 million (2012 est.)
Botswana,1.308 million (2013 est.)
Brazil,107.3 million (2013 est.)
British Virgin Islands,"12,770 (2004)"
Brunei,"205,800 (2011 est.)"
Bulgaria,2.551 million (2013 est.)
Burkina Faso,"6.668 million 
      
      
        note: a large part of the male labor force migrates annually to neighboring countries for seasonal employment (2007)"
Burma,34.31 million (2013 est.)
Burundi,4.245 million (2007)
Cabo Verde,"196,100 (2007)"
Cambodia,7.9 million (2011 est.)
Cameroon,8.426 million (2013 est.)
Canada,19.08 million (2013 est.)
Cayman Islands,"39,000 
      
      
        note: nearly 55% are non-nationals (2007)"
Central African Republic,2.082 million (2011 est.)
Chad,4.293 million (2007)
Chile,8.367 million (2013 est.)
China,"797.6 million 
      
      
        note: by the end of 2012, China's population at working age (15-64 years) was 1.0040 billion (2013 est.)"
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,23.75 million (2013 est.)
Comoros,"233,500 (2011 est.)"
"Congo, Democratic Republic of the",35.18 million (2013 est.)
"Congo, Republic of the",2.89 million (2011 est.)
Cook Islands,"6,820 (2001)"
Costa Rica,"2.222 million 
      
      
        note: this official estimate excludes Nicaraguans living in Costa Rica (2013 est.)"
Cote d'Ivoire,7.928 million (2013 est.)
Croatia,1.715 million (2013 est.)
Cuba,"5.233 million 
      
      
        note: state sector 72.3%, non-state sector 27.7% (2013 est.)"
Curacao,"73,010 (2013)"
Cyprus,"443,500 (2013 est.)"
Czech Republic,5.304 million (2013 est.)
Denmark,2.795 million (2013 est.)
Djibouti,"294,600 (2012)"
Dominica,"25,000 (2000 est.)"
Dominican Republic,4.912 million (2013 est.)
Ecuador,6.953 million (2013 est.)
Egypt,27.69 million (2013 est.)
El Salvador,2.738 million (2013 est.)
Equatorial Guinea,"195,200 (2007)"
Eritrea,2.955 million (2012 est.)
Estonia,"692,900 (2013 est.)"
Ethiopia,45.65 million (2013 est.)
European Union,228.6 million (2013 est.)
Falkland Islands (Islas Malvinas),"5,246 (2006)"
Faroe Islands,"34,710 (November 2010)"
Fiji,"335,000 (2007 est.)"
Finland,2.685 million (2013 est.)
France,29.94 million (2013 est.)
French Polynesia,"116,000 (2007)"
Gabon,"629,100 (2013 est.)"
"Gambia, The","777,100 (2007)"
Gaza Strip,"348,200 (2010 est.)"
Georgia,1.959 million (2011 est.)
Germany,44.2 million (2013 est.)
Ghana,12.07 million (2013 est.)
Gibraltar,"12,690 (2001) (2001)"
Greece,4.918 million (2013 est.)
Greenland,"28,600 (2011)"
Grenada,"59,900 (2013 est.)"
Guam,"69,390 
      
      
        note: this number is for the civilian labor force only (2010 est.)"
Guatemala,4.465 million (2013 est.)
Guernsey,"31,470 (March 2006)"
Guinea,5.409 million (2013 est.)
Guinea-Bissau,"632,700 (2007)"
Guyana,"313,100 (2009 est.)"
Haiti,"4.81 million 
      
      
        note: shortage of skilled labor, unskilled labor abundant (2010 est.)"
Holy See (Vatican City),"2,832 (December 2011)"
Honduras,3.507 million (2013 est.)
