Afghanistan,"agriculture: 78.6% 
      
      
        industry: 5.7% 
      
      
        services: 15.7% (FY08/09 est.)"
Albania,"agriculture: 54.6% 
      
      
        industry: 12.8% 
      
      
        services: 32.6% 
      
       (December 2012 est)"
Algeria,"agriculture: 14% 
      
      
        industry: 13.4% 
      
      
        construction and public works: 10% 
      
      
        trade: 14.6% 
      
      
        government: 32% 
      
      
        other: 16% (2003 est.)"
Andorra,"agriculture: 0.4% 
      
      
        industry: 4.7% 
      
      
        services: 94.9% (2010)"
Angola,"agriculture: 85% 
      
      
        industry and services: 15% (2003 est.)"
Anguilla,"agriculture/fishing/forestry/mining: 4% 
      
      
        manufacturing: 3% 
      
      
        construction: 18% 
      
      
        transportation and utilities: 10% 
      
      
        commerce: 36% 
      
      
        services: 29% (2000 est.)"
Antigua and Barbuda,"agriculture: 7% 
      
      
        industry: 11% 
      
      
        services: 82% (1983)"
Argentina,"agriculture: 5% 
      
      
        industry: 23% 
      
      
        services: 72% (2009 est.)"
Armenia,"agriculture: 44.2% 
      
      
        industry: 16.8% 
      
      
        services: 39% (2008 est.)"
Aruba,"agriculture: NA% 
      
      
        industry: NA% 
      
      
        services: NA% 
      
      
        note: most employment is in wholesale and retail trade, followed by hotels and restaurants"
Australia,"agriculture: 3.6% 
      
      
        industry: 21.1% 
      
      
        services: 75% (2009 est.)"
Austria,"agriculture: 5.5% 
      
      
        industry: 26% 
      
      
        services: 68.5% (2012 est.)"
Azerbaijan,"agriculture: 38.3% 
      
      
        industry: 12.1% 
      
      
        services: 49.6% (2008)"
"Bahamas, The","agriculture: 3% 
      
      
        industry: 11% 
      
      
        tourism: 49% 
      
      
        other services: 37% (2011 est.)"
Bahrain,"agriculture: 1% 
      
      
        industry: 79% 
      
      
        services: 20% (1997 est.)"
Bangladesh,"agriculture: 47% 
      
      
        industry: 13% 
      
      
        services: 40% (2010 est.)"
Barbados,"agriculture: 10% 
      
      
        industry: 15% 
      
      
        services: 75% (1996 est.)"
Belarus,"agriculture: 9.4% 
      
      
        industry: 45.9% 
      
      
        services: 44.7% (2005 est.)"
Belgium,"agriculture: 2% 
      
      
        industry: 25% 
      
      
        services: 73% (2007 est.)"
Belize,"agriculture: 10.2% 
      
      
        industry: 18.1% 
      
      
        services: 71.7% (2007)"
Bermuda,"agriculture and fishing: 3% 
      
      
        laborers: 17% 
      
      
        clerical: 19% 
      
      
        professional and technical: 21% 
      
      
        administrative and managerial: 15% 
      
      
        sales: 7% 
      
      
        services: 19% (2004 est.)"
Bhutan,"agriculture: 62% 
      
      
        industry: 19% 
      
      
        services: 19% (2012 est.)"
Bolivia,"agriculture: 32% 
      
      
        industry: 27.4% 
      
      
        services: 40.6% (2009 est.)"
Bosnia and Herzegovina,"agriculture: 18.9% 
      
      
        industry: 29.8% 
      
      
        services: 51.3% (2013)"
Botswana,"agriculture: NA% 
      
      
        industry: NA% 
      
      
        services: NA%"
Brazil,"agriculture: 15.7% 
      
      
        industry: 13.3% 
      
      
        services: 71% 
      
       (2011 est.)"
British Virgin Islands,"agriculture: 0.6% 
      
      
        industry: 40% 
      
      
        services: 59.4% (2005)"
Brunei,"agriculture: 4.2% 
      
      
        industry: 62.8% 
      
      
        services: 33% (2008 est.)"
Bulgaria,"agriculture: 7.1% 
      
      
        industry: 35.2% 
      
      
        services: 57.7% (2009)"
Burkina Faso,"agriculture: 90% 
      
      
        industry and services: 10% (2000 est.)"
Burma,"agriculture: 70% 
      
      
        industry: 7% 
      
      
        services: 23% (2001)"
Burundi,"agriculture: 93.6% 
      
      
        industry: 2.3% 
      
      
        services: 4.1% (2002 est.)"
Cambodia,"agriculture: 55.8% 
      
      
        industry: 16.9% 
      
      
        services: 27.3% (2010 est.)"
Cameroon,"agriculture: 70% 
      
      
        industry: 13% 
      
      
        services: 17% (2001 est.)"
