Afghanistan,"Afghan Persian or Dari (official) 50%, Pashto (official) 35%, Turkic languages (primarily Uzbek and Turkmen) 11%, 30 minor languages (primarily Balochi and Pashai) 4%, much bilingualism, but Dari functions as the lingua franca 
      
      
        note: the Turkic languages Uzbek and Turkmen, as well as Balochi, Pashai, Nuristani, and Pamiri are the third official languages in areas where the majority speaks them"
Akrotiri,"English, Greek"
Albania,"Albanian 98.8% (official - derived from Tosk dialect), Greek 0.5%, other 0.6% (including Macedonian, Roma, Vlach, Turkish, Italian, and Serbo-Croatian), unspecified 0.1% (2011 est.)"
Algeria,"Arabic (official), French (lingua franca), Berber dialects: Kabylie Berber (Tamazight), Chaouia Berber (Tachawit), Mzab Berber, Tuareg Berber (Tamahaq)"
American Samoa,"Samoan 90.6% (closely related to Hawaiian and other Polynesian languages), English 2.9%, Tongan 2.4%, other Pacific islander 2.1%, other 2% 
      
      
        note: most people are bilingual (2000 census)"
Andorra,"Catalan (official), French, Castilian, Portuguese"
Angola,"Portuguese (official), Bantu and other African languages"
Anguilla,English (official)
Antigua and Barbuda,"English (official), local dialects"
Argentina,"Spanish (official), Italian, English, German, French, indigenous (Mapudungun, Quechua)"
Armenia,"Armenian (official) 97.9%, Kurdish (spoken by Yezidi minority) 1%, other 1% (2011 est.)"
Aruba,"Papiamento (a Spanish-Portuguese-Dutch-English dialect) 69.4%, Spanish 13.7%, English (widely spoken) 7.1%, Dutch (official) 6.1%, Chinese 1.5%, other 1.7%, unspecified 0.4% (2010 est.)"
Australia,"English 76.8%, Mandarin 1.6%, Italian 1.4%, Arabic 1.3%, Greek 1.2%, Cantonese 1.2%, Vietnamese 1.1%, other 10.4%, unspecified 5% (2011 est.)"
Austria,"German (official nationwide) 88.6%, Turkish 2.3%, Serbian 2.2%, Croatian (official in Burgenland) 1.6%, other (includes Slovene, official in Carinthia, and Hungarian, official in Burgenland) 5.3% (2001 census)"
Azerbaijan,"Azerbaijani (Azeri) (official) 92.5%, Russian 1.4%, Armenian 1.4%, other 4.7% (2009 est.)"
"Bahamas, The","English (official), Creole (among Haitian immigrants)"
Bahrain,"Arabic (official), English, Farsi, Urdu"
Bangladesh,"Bangla (official, also known as Bengali), English"
Barbados,"English (official), Bajan (English-based creole language, widely spoken in informal settings)"
Belarus,"Belarusian (official) 23.4%, Russian (official) 70.2%, other 3.1% (includes small Polish- and Ukrainian-speaking minorities), unspecified 3.3% (2009 est.)"
Belgium,"Dutch (official) 60%, French (official) 40%, German (official) less than 1%, legally bilingual (Dutch and French)"
Belize,"Spanish 46%, Creole 32.9%, Mayan dialects 8.9%, English 3.9% (official), Garifuna 3.4% (Carib), German 3.3%, other 1.4%, unknown 0.2% (2000 census)"
Benin,"French (official), Fon and Yoruba (most common vernaculars in south), tribal languages (at least six major ones in north)"
Bermuda,"English (official), Portuguese"
Bhutan,"Sharchhopka 28%, Dzongkha (official) 24%, Lhotshamkha 22%, other 26% (includes foreign languages) (2005 est.)"
Bolivia,"Spanish (official) 60.7%, Quechua (official) 21.2%, Aymara (official) 14.6%, Guarani (official), foreign languages 2.4%, other 1.2% 
      
      
        note: Bolivia's 2009 constitution designates Spanish and all indigenous languages as official; 36 indigenous languages are specified, including some that are extinct (2001 census)"
Bosnia and Herzegovina,"Bosnian (official), Croatian (official), Serbian (official)"
Botswana,"Setswana 78.2%, Kalanga 7.9%, Sekgalagadi 2.8%, English (official) 2.1%, other 8.6%, unspecified 0.4% (2001 census)"
Brazil,"Portuguese (official and most widely spoken language) 
      
      
        note: less common languages include Spanish (border areas and schools), German, Italian, Japanese, English, and a large number of minor Amerindian languages"
British Virgin Islands,English (official)
Brunei,"Malay (official), English, Chinese"
