Afghanistan,"the bicameral National Assembly consists of the Meshrano Jirga or House of Elders (102 seats, two-thirds of members elected from provincial councils for four-year terms, and one-third nominated by the president for five-year terms) and the Wolesi Jirga or House of People (no more than 250 seats; members directly elected for five-year terms) 
      
      
        note: the constitution allows the government to convene a constitutional Loya Jirga (Grand Council) on issues of independence, national sovereignty, and territorial integrity; it can amend the provisions of the constitution and prosecute the president; it is made up of members of the National Assembly and chairpersons of the provincial and district councils; no Loya Jirga of this type has ever been held, and district councils have never been elected 
      
      
        elections: last held on 18 September 2010 (next expected in 2015) 
      
      
        election results: results by party - NA; note - ethnicity is the main factor influencing political alliances; approximate percentage of seats by ethnic group - Pashtun 39%, Hazara 24%, Tajik 21%, Uzbek 6%, other 10% (including Aimak, Arab, Baloch, Nuristani, Pahhai, Turkmen, Turkic); women hold 69 seats"
Albania,"unicameral Assembly or Kuvendi (140 deputies elected through a regional proportional system from multi-name lists of parties or party coalitions according to their respective order; elected for a four-year term) 
      
      
        elections: last held on 23 June 2013 (next to be held in 2017) 
      
      
        election results: percent of vote by party- PS 41.36%, PD 30.63%, LSI 10.46%, PR 3.02%, PDIU 2.61%, other 11.92%; seats by party- PS 65, PD 50, LSI 16, PDIU 4, PR 3, other 2 
      
      
        note: seats by parliamentary group as of March 2014 - ASHE 85, APMI 55"
Algeria,"bicameral Parliament consists of the Council of the Nation (upper house; 144 seats; one-third of the members appointed by the president, two-thirds elected by indirect vote to serve six-year terms; the constitution requires half the Council to be renewed every three years) and the National People's Assembly (lower house; 462 seats; members elected by popular vote to serve five-year terms) 
      
      
        elections: Council of the Nation - last held on 29 December 2012 (next to be held in December 2017); National People's Assembly - last held on 10 May 2012 (next to be held in 2017) 
      
      
        election results: Council of the Nation election of 29 December 2009 - percent of vote by party - NA; seats by party - NA; National People's Assembly election of 10 May 2012 - percent of vote by party - NA; seats by party - FLN 221, RND 70, AAV 47, FFS 21, PT 17, FNA 9, El Adala 7, MPA 6, PFJ 5, FC 4, PNSD 4, other 32, independents 19"
American Samoa,"bicameral Fono or Legislative Assembly consists of the Senate (18 seats; members are elected from local chiefs to serve four-year terms) and the House of Representatives (21 seats; 20 members are elected by popular vote and 1 is an appointed, nonvoting delegate from Swains Island; members serve two-year terms) 
      
      
        elections: House of Representatives - last held on 6 November 2012 (next to be held in November 2014); Senate - last held on 6 November 2012 (next to be held in November 2016) 
      
      
        election results: Senate - percent of vote by party - NA; seats by party - independents 18; House of Representatives - percent of vote by party - NA; seats by party - independents 20 
      
      
        note: American Samoa elects one nonvoting representative to the US House of Representatives; election last held on 6 November 2012 (next to be held in November 2014); results - Eni F. H. FALEOMAVAEGA reelected as delegate"
Andorra,"unicameral General Council of the Valleys or Consell General de las Valls (a minimum of 28 seats; members are elected by direct popular vote, 14 from a single national constituency and 14 to represent each of the seven parishes; to serve four-year terms); note - each voter casts two separate ballots - one for the national list, one for the parish list 
      
      
        elections: last held on 3 April 2011 (next to be held in April 2015) 
      
      
        election results: percent of vote by party - DA 55%, PS 35%, Andorra for Change 7%, VA 3%; seats by party - DA 22, PS 6; note - numbers of votes and percentages are for the respective national list; number of seats include seats won by the parish lists"
Angola,"unicameral National Assembly or Assembleia Nacional (220 seats; members elected by proportional vote to serve five-year terms) 
      
      
        elections: last held on 31 August 2012 (next to be held in 2017) 
      
      
        election results: percent of vote by party - MPLA 71.8%, UNITA 18.7%, CASA-CE 6.0%, PRS 1.7%, FNLA 1.1%, other 0.7%; seats by party - MPLA 175, UNITA 32, CASA-CE 8, PRS 3, FNLA 2"
Anguilla,"unicameral House of Assembly (11 seats; 7 members elected by direct popular vote, 2 ex officio members, and 2 appointed; members serve five-year terms) 
      
      
        elections: last held on 15 February 2010 (next to be held in 2015) 
      
      
        election results: percent of vote by party - NA; seats by party - AUM 4, AUF 2, APP 1"
Antigua and Barbuda,"bicameral Parliament consists of the Senate (17 seats; members appointed by the governor general) and the House of Representatives (17 seats; members are elected by proportional representation to serve five-year terms) 
      
      
        elections: House of Representatives - last held on 12 June 2014 (next to be held in 2019) 
      
      
        election results: percent of vote by party - ALP 56.4% UPP 42%; seats by party - ALP 14, UPP 3"
Argentina,"bicameral National Congress or Congreso Nacional consists of the Senate (72 seats; members are elected by direct vote; presently one-third of the members elected every two years to serve six-year terms) and the Chamber of Deputies (257 seats; members are elected by direct vote; one-half of the members elected every two years to serve four-year terms) 
      
      
        elections: Senate - last held on 27 October 2013 (next to be held October 2015); Chamber of Deputies - last held on 27 October 2013 (next to be held October 2015)

      
      
        election results: Senate - percent of vote by bloc or party - NA; seats by bloc or party - FpV 32, UCR 17, dissident Peronists 7, FAP and UNEN 7, FpV allies 6, PRO and allies 3, other 6; Chamber of Deputies - percent of vote by bloc or party - NA; seats by bloc or party - FpV 18, FpV allies 14, UCR 10, dissident Peronists 34, FAP and UNEN 21, PRO 16, CC 3, other 14"
Armenia,"unicameral National Assembly (Parliament) or Azgayin Zhoghov (131 seats; members elected by popular vote, 90 members elected by party list and 41 by direct vote; to serve five-year terms) 
      
      
        elections: last held on 6 May 2012 (next to be held in the spring of 2017) 
      
      
        election results: percent of vote by party - RPA 44%, Prosperous Armenia 30.1%, ANC 7.1%, Heritage Party 5.8%, ARF (Dashnak) 5.7%, Rule of Law 5.5%, other 1.8%; seats by party - RPA 69, Prosperous Armenia 37, ANC 7, Heritage Party 5, ARF (Dashnak) 5, Rule of Law 6, independent 2"
