Afghanistan,"total population: 50.49 years 
      
      
        male: 49.17 years 
      
      
        female: 51.88 years (2014 est.)"
Albania,"total population: 77.96 years 
      
      
        male: 75.33 years 
      
      
        female: 80.86 years (2014 est.)"
Algeria,"total population: 76.39 years 
      
      
        male: 75.12 years 
      
      
        female: 77.72 years (2014 est.)"
American Samoa,"total population: 74.91 years 
      
      
        male: 71.96 years 
      
      
        female: 78.04 years (2014 est.)"
Andorra,"total population: 82.65 years 
      
      
        male: 80.51 years 
      
      
        female: 84.92 years (2014 est.)"
Angola,"total population: 55.29 years 
      
      
        male: 54.16 years 
      
      
        female: 56.47 years (2014 est.)"
Anguilla,"total population: 81.2 years 
      
      
        male: 78.61 years 
      
      
        female: 83.86 years (2014 est.)"
Antigua and Barbuda,"total population: 76.12 years 
      
      
        male: 74.04 years 
      
      
        female: 78.3 years (2014 est.)"
Argentina,"total population: 77.51 years 
      
      
        male: 74.28 years 
      
      
        female: 80.91 years (2014 est.)"
Armenia,"total population: 74.12 years 
      
      
        male: 70.9 years 
      
      
        female: 77.78 years (2014 est.)"
Aruba,"total population: 76.35 years 
      
      
        male: 73.3 years 
      
      
        female: 79.47 years (2014 est.)"
Australia,"total population: 82.07 years 
      
      
        male: 79.63 years 
      
      
        female: 84.64 years (2014 est.)"
Austria,"total population: 80.17 years 
      
      
        male: 77.25 years 
      
      
        female: 83.24 years (2014 est.)"
Azerbaijan,"total population: 71.91 years 
      
      
        male: 68.92 years 
      
      
        female: 75.26 years (2014 est.)"
"Bahamas, The","total population: 71.93 years 
      
      
        male: 69.48 years 
      
      
        female: 74.46 years (2014 est.)"
Bahrain,"total population: 78.58 years 
      
      
        male: 76.4 years 
      
      
        female: 80.81 years (2014 est.)"
Bangladesh,"total population: 70.65 years 
      
      
        male: 68.75 years 
      
      
        female: 72.63 years (2014 est.)"
Barbados,"total population: 74.99 years 
      
      
        male: 72.64 years 
      
      
        female: 77.37 years (2014 est.)"
Belarus,"total population: 72.15 years 
      
      
        male: 66.53 years 
      
      
        female: 78.1 years (2014 est.)"
Belgium,"total population: 79.92 years 
      
      
        male: 76.76 years 
      
      
        female: 83.22 years (2014 est.)"
Belize,"total population: 68.49 years 
      
      
        male: 66.88 years 
      
      
        female: 70.17 years (2014 est.)"
Benin,"total population: 61.07 years 
      
      
        male: 59.75 years 
      
      
        female: 62.47 years (2014 est.)"
Bermuda,"total population: 81.04 years 
      
      
        male: 77.83 years 
      
      
        female: 84.31 years (2014 est.)"
Bhutan,"total population: 68.98 years 
      
      
        male: 68.06 years 
      
      
        female: 69.95 years (2014 est.)"
Bolivia,"total population: 68.55 years 
      
      
        male: 65.78 years 
      
      
        female: 71.45 years (2014 est.)"
Bosnia and Herzegovina,"total population: 76.33 years 
      
      
        male: 73.33 years 
      
      
        female: 79.55 years (2014 est.)"
Botswana,"total population: 54.06 years 
      
      
        male: 55.75 years 
      
      
        female: 52.32 years (2014 est.)"
Brazil,"total population: 73.28 years 
      
      
        male: 69.73 years 
      
      
        female: 77 years (2014 est.)"
British Virgin Islands,"total population: 78.29 years 
      
      
        male: 76.99 years 
      
      
        female: 79.66 years (2014 est.)"
Brunei,"total population: 76.77 years 
      
      
        male: 74.46 years 
      
      
        female: 79.19 years (2014 est.)"
Bulgaria,"total population: 74.33 years 
      
      
        male: 70.74 years 
      
      
        female: 78.13 years (2014 est.)"
Burkina Faso,"total population: 54.78 years 
      
      
        male: 52.77 years 
      
      
        female: 56.85 years (2014 est.)"
Burma,"total population: 65.94 years 
      
      
        male: 63.57 years 
      
      
        female: 68.46 years (2014 est.)"
Burundi,"total population: 59.55 years 
      
      
        male: 57.94 years 
      
      
        female: 61.22 years (2014 est.)"
Cabo Verde,"total population: 71.57 years 
      
      
        male: 69.32 years 
      
      
        female: 73.89 years (2014 est.)"
Cambodia,"total population: 63.78 years 
      
      
        male: 61.35 years 
      
      
        female: 66.32 years (2014 est.)"
Cameroon,"total population: 57.35 years 
      
      
        male: 56.09 years 
      
      
        female: 58.65 years (2014 est.)"
Canada,"total population: 81.67 years 
      
      
        male: 79.07 years 
      
      
        female: 84.42 years (2014 est.)"
Cayman Islands,"total population: 81.02 years 
      
      
        male: 78.33 years 
      
      
        female: 83.76 years (2014 est.)"
Central African Republic,"total population: 51.35 years 
      
      
        male: 50.06 years 
      
      
        female: 52.67 years (2014 est.)"
Chad,"total population: 49.44 years 
      
      
        male: 48.3 years 
      
      
        female: 50.63 years (2014 est.)"
Chile,"total population: 78.44 years 
      
      
        male: 75.42 years 
      
      
        female: 81.59 years (2014 est.)"
China,"total population: 75.15 years 
      
      
        male: 73.09 years 
      
      
        female: 77.43 years (2014 est.)"
Christmas Island,"total population: NA 
      
      
        male: NA 
      
      
        female: NA"
Cocos (Keeling) Islands,"total population: NA 
      
      
        male: NA 
      
      
        female: NA"
Colombia,"total population: 75.25 years 
      
      
        male: 72.08 years 
      
      
        female: 78.61 years (2014 est.)"
Comoros,"total population: 63.48 years 
      
      
        male: 61.23 years 
      
      
        female: 65.8 years (2014 est.)"
"Congo, Democratic Republic of the","total population: 56.54 years 
      
      
        male: 55.03 years 
      
      
        female: 58.09 years (2014 est.)"
"Congo, Republic of the","total population: 58.52 years 
      
      
        male: 57.38 years 
      
      
        female: 59.7 years (2014 est.)"
Cook Islands,"total population: 75.38 years 
      
      
        male: 72.56 years 
      
      
        female: 78.33 years (2014 est.)"
Costa Rica,"total population: 78.23 years 
      
      
        male: 75.59 years 
      
      
        female: 81.01 years (2014 est.)"
Cote d'Ivoire,"total population: 58.01 years 
      
      
        male: 56.9 years 
      
      
        female: 59.16 years (2014 est.)"
Croatia,"total population: 76.41 years 
      
      
        male: 72.81 years 
      
      
        female: 80.2 years (2014 est.)"
Cuba,"total population: 78.22 years 
      
      
        male: 75.92 years 
      
      
        female: 80.65 years (2014 est.)"
Curacao,"total: NA 
      
      
        males: 72.4 years 
      
      
        females: 80.1 years (2009)"
Cyprus,"total population: 78.34 years 
      
      
        male: 75.54 years 
      
      
        female: 81.27 years (2014 est.)"
Czech Republic,"total population: 78.31 years 
      
      
        male: 75.34 years 
      
      
        female: 81.45 years (2014 est.)"
Denmark,"total population: 79.09 years 
      
      
        male: 76.68 years 
      
      
        female: 81.64 years (2014 est.)"
Djibouti,"total population: 62.4 years 
      
      
        male: 59.93 years 
      
      
        female: 64.94 years (2014 est.)"
Dominica,"total population: 76.59 years 
      
      
        male: 73.63 years 
      
      
        female: 79.7 years (2014 est.)"
Dominican Republic,"total population: 77.8 years 
      
      
        male: 75.6 years 
      
      
        female: 80.08 years (2014 est.)"
Ecuador,"total population: 76.36 years 
      
      
        male: 73.4 years 
      
      
        female: 79.46 years (2014 est.)"
Egypt,"total population: 73.45 years 
      
      
        male: 70.82 years 
      
      
        female: 76.2 years (2014 est.)"
El Salvador,"total population: 74.18 years 
      
      
        male: 70.9 years 
      
      
        female: 77.62 years (2014 est.)"
Equatorial Guinea,"total population: 63.49 years 
      
      
        male: 62.43 years 
      
      
        female: 64.58 years (2014 est.)"
