Afghanistan,"definition: age 15 and over can read and write 
      
      
        total population: 28.1% 
      
      
        male: 43.1% 
      
      
        female: 12.6% (2000 est.)"
Albania,"definition: age 9 and over can read and write 
      
      
        total population: 96.8% 
      
      
        male: 98% 
      
      
        female: 95.7% (2011 est.)"
Algeria,"definition: age 15 and over can read and write 
      
      
        total population: 72.6% 
      
      
        male: 81.3% 
      
      
        female: 63.9% (2006 est.)"
American Samoa,"definition: age 15 and over can read and write 
      
      
        total population: 97% 
      
      
        male: 98% 
      
      
        female: 97% (1980 est.)"
Andorra,"definition: age 15 and over can read and write 
      
      
        total population: 100% 
      
      
        male: 100% 
      
      
        female: 100%"
Angola,"definition: age 15 and over can read and write 
      
      
        total population: 70.4% 
      
      
        male: 82.6% 
      
      
        female: 58.6% (2011 est.)"
Anguilla,"definition: age 12 and over can read and write 
      
      
        total population: 95% 
      
      
        male: 95% 
      
      
        female: 95% (1984 est.)"
Antigua and Barbuda,"definition: age 15 and over has completed five or more years of schooling 
      
      
        total population: 99% 
      
      
        male: 98.4% 
      
      
        female: 99.4% (2011 est.)"
Argentina,"definition: age 10 and over can read and write 
      
      
        total population: 97.9% 
      
      
        male: 97.8% 
      
      
        female: 97.9% (2011 est.)"
Armenia,"definition: age 15 and over can read and write 
      
      
        total population: 99.6% 
      
      
        male: 99.7% 
      
      
        female: 99.5% (2011 est.)"
Aruba,"definition: age 15 and over can read and write 
      
      
        total population: 96.8% 
      
      
        male: 96.9% 
      
      
        female: 96.7% (2010 est.)"
Australia,"definition: age 15 and over can read and write 
      
      
        total population: 99% 
      
      
        male: 99% 
      
      
        female: 99% (2003 est.)"
Austria,"definition: age 15 and over can read and write 
      
      
        total population: 98% 
      
      
        male: NA 
      
      
        female: NA"
Azerbaijan,"definition: age 15 and over can read and write 
      
      
        total population: 99.8% 
      
      
        male: 99.9% 
      
      
        female: 99.7% (2010 census)"
"Bahamas, The","definition: age 15 and over can read and write 
      
      
        total population: 95.6% 
      
      
        male: 94.7% 
      
      
        female: 96.5% (2003 est.)"
Bahrain,"definition: age 15 and over can read and write 
      
      
        total population: 94.6% 
      
      
        male: 96.1% 
      
      
        female: 91.6% (2010 est.)"
Bangladesh,"definition: age 15 and over can read and write 
      
      
        total population: 57.7% 
      
      
        male: 62% 
      
      
        female: 53.4% (2011 est.)"
Barbados,"definition: age 15 and over has ever attended school 
      
      
        total population: 99.7% 
      
      
        male: 99.7% 
      
      
        female: 99.7% (2002 est.)"
Belarus,"definition: age 15 and over can read and write 
      
      
        total population: 99.6% 
      
      
        male: 99.8% 
      
      
        female: 99.5% (2009 est.)"
Belgium,"definition: age 15 and over can read and write 
      
      
        total population: 99% 
      
      
        male: 99% 
      
      
        female: 99% (2003 est.)"
Belize,"definition: age 15 and over can read and write 
      
      
        total population: 76.9% 
      
      
        male: 76.7% 
      
      
        female: 77.1% (2000 census)"
Benin,"definition: age 15 and over can read and write 
      
      
        total population: 42.4% 
      
      
        male: 55.2% 
      
      
        female: 30.3% (2010 census)"
Bermuda,"definition: age 15 and over can read and write 
      
      
        total population: 98% 
      
      
        male: 98% 
      
      
        female: 99% (2005 est.)"
Bhutan,"definition: age 15 and over can read and write 
      
      
        total population: 52.8% 
      
      
        male: 65% 
      
      
        female: 38.7% (2005 est.)"
Bolivia,"definition: age 15 and over can read and write 
      
      
        total population: 91.2% 
      
      
        male: 95.8% 
      
      
        female: 86.8% (2009 est.)"
Bosnia and Herzegovina,"definition: age 15 and over can read and write 
      
      
        total population: 98% 
      
      
        male: 99.5% 
      
      
        female: 96.7% (2011 est.)"
