Afghanistan,"degree of risk: intermediate 
      
      
        food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne disease: malaria 
      
      
        animal contact disease: rabies 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013)"
Angola,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, typhoid fever 
      
      
        vectorborne diseases: dengue fever, malaria 
      
      
        water contact disease: schistosomiasis 
      
      
        animal contact disease: rabies (2013)"
Bangladesh,"degree of risk: high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever 
      
      
        vectorborne diseases: dengue fever and malaria are high risks in some locations 
      
      
        water contact disease: leptospirosis 
      
      
        animal contact disease: rabies 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013)"
Belize,"degree of risk: high 
      
      
        food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: dengue fever and malaria (2013)"
Benin,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: dengue fever, malaria, and yellow fever 
      
      
        respiratory disease: meningococcal meningitis 
      
      
        animal contact disease: rabies (2013)"
Bhutan,"degree of risk: high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: dengue fever and malaria (2013)"
Bolivia,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial diarrhea and hepatitis A 
      
      
        vectorborne diseases: dengue fever, malaria, and yellow fever (2013)"
Botswana,"degree of risk: high 
      
      
        food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne disease: malaria (2013)"
Burkina Faso,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne disease: dengue fever, malaria, and yellow fever 
      
      
        water contact disease: schistosomiasis 
      
      
        respiratory disease: meningococcal meningitis 
      
      
        animal contact disease: rabies 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013)"
Burma,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: dengue fever, malaria, and Japanese encephalitis 
      
      
        water contact disease: leptospirosis 
      
      
        animal contact disease: rabies 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013)"
Burundi,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: malaria and dengue fever 
      
      
        water contact disease: schistosomiasis 
      
      
        animal contact disease: rabies (2013)"
Cambodia,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: dengue fever, Japanese encephalitis, and malaria 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013)"
Cameroon,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: malaria, dengue fever, and yellow fever 
      
      
        water contact disease: schistosomiasis 
      
      
        respiratory disease: meningococcal meningitis 
      
      
        animal contact disease: rabies (2013)"
Central African Republic,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever 
      
      
        vectorborne diseases: malaria and dengue fever 
      
      
        respiratory disease: meningococcal meningitis 
      
      
        water contact disease: schistosomiasis 
      
      
        animal contact disease: rabies (2013)"
Chad,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever 
      
      
        vectorborne diseases: malaria and dengue fever 
      
      
        water contact disease: schistosomiasis 
      
      
        respiratory disease: meningococcal meningitis 
      
      
        animal contact disease: rabies (2013)"
China,"degree of risk: intermediate 
      
      
        food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne disease: Japanese encephalitis 
      
      
        soil contact disease: hantaviral hemorrhagic fever with renal syndrome (HFRS) 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds
 (2013)"
Colombia,"degree of risk: high 
      
      
        food or waterborne diseases: bacterial diarrhea 
      
      
        vectorborne diseases: dengue fever, malaria, and yellow fever (2013)"
"Congo, Democratic Republic of the","degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: malaria, dengue fever, and trypanosomiasis-gambiense (African sleeping sickness) 
      
      
        water contact disease: schistosomiasis 
      
      
        animal contact disease: rabies (2013)"
"Congo, Republic of the","degree of risk: very high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne disease: malaria and dengue fever 
      
      
        animal contact disease: rabies 
      
      
        water contact disease: schistosomiasis (2013)"
Costa Rica,"degree of risk: intermediate 
      
      
        food or waterborne diseases: bacterial diarrhea 
      
      
        vectorborne diseases: dengue fever (2013)"
Cote d'Ivoire,"degree of risk: very high 
      
      
        food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: malaria, dengue fever, and yellow fever 
      
      
        water contact disease: schistosomiasis 
      
      
        animal contact disease: rabies 
      
      
        respiratory disease: meningococcal meningitis 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013)"
Croatia,"degree of risk: intermediate 
      
      
        vectorborne diseases: tickborne encephalitis 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013)"
Cuba,"degree of risk: intermediate 
      
      
        food or waterborne diseases: bacterial diarrhea and hepatitis A 
      
      
        vectorborne diseases: dengue fever (2013)"
Djibouti,"degree of risk: high 
      
      
        food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne disease: dengue fever 
      
      
        note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013)"
Dominican Republic,"degree of risk: high 
      
      
        food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne disease: dengue fever (2013)"
Ecuador,"degree of risk: high 
      
      
        food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever 
      
      
        vectorborne diseases: dengue fever and malaria (2013)"
