Afghanistan,"males age 16-49: 7,056,339 
      
      
        females age 16-49: 6,653,419 (2010 est.)"
Albania,"males age 16-49: 731,111 
      
      
        females age 16-49: 780,216 (2010 est.)"
Algeria,"males age 16-49: 10,273,129 
      
      
        females age 16-49: 10,114,552 (2010 est.)"
Andorra,"males age 16-49: 22,390 (2010 est.)"
Angola,"males age 16-49: 3,062,438 
      
      
        females age 16-49: 2,964,262 (2010 est.)"
Anguilla,"males age 16-49: 3,641 (2010 est.)"
Antigua and Barbuda,"males age 16-49: 21,141 
      
      
        females age 16-49: 24,056 (2010 est.)"
Argentina,"males age 16-49: 10,038,967 
      
      
        females age 16-49: 9,959,134 (2010 est.)"
Armenia,"males age 16-49: 805,847 
      
      
        females age 16-49: 854,296 (2010 est.)"
Aruba,"males age 16-49: 24,891 
      
      
        females age 16-49: 26,202 (2010 est.)"
Australia,"males age 16-49: 5,316,464 
      
      
        females age 16-49: 5,116,722 (2010 est.)"
Austria,"males age 16-49: 1,941,110 
      
      
        females age 16-49: 1,910,434 (2010 est.)"
Azerbaijan,"males age 16-49: 2,354,249 
      
      
        females age 16-49: 2,334,632 (2010 est.)"
"Bahamas, The","males age 16-49: 85,568 (2010 est.)"
Bahrain,"males age 16-49: 508,863 
      
      
        females age 16-49: 290,801 (2010 est.)"
Bangladesh,"males age 16-49: 36,520,491 (2010 est.)"
Barbados,"males age 16-49: 73,820 
      
      
        females age 16-49: 73,835 (2010 est.)"
Belarus,"males age 16-49: 2,401,785 
      
      
        females age 16-49: 2,429,653 (2010 est.)"
Belgium,"males age 16-49: 2,359,232 
      
      
        females age 16-49: 2,291,689 (2010 est.)"
Belize,"males age 16-49: 81,284 
      
      
        females age 16-49: 79,185 (2010 est.)"
Benin,"males age 16-49: 2,095,373 
      
      
        females age 16-49: 2,038,351 (2010 est.)"
Bermuda,"males age 16-49: 15,081 (2010 est.)"
Bhutan,"males age 16-49: 202,407 
      
      
        females age 16-49: 180,349 (2010 est.)"
Bolivia,"males age 16-49: 2,472,490 
      
      
        females age 16-49: 2,535,768 (2010 est.)"
Bosnia and Herzegovina,"males age 16-49: 1,180,829 
      
      
        females age 16-49: 1,143,919 (2010 est.)"
Botswana,"males age 16-49: 557,647 
      
      
        females age 16-49: 531,095 (2010 est.)"
Brazil,"males age 16-49: 53,350,703 
      
      
        females age 16-49: 53,433,918 (2010 est.)"
British Virgin Islands,"males age 16-49: 7,266 (2010 est.)"
Brunei,"males age 16-49: 112,688 
      
      
        females age 16-49: 117,536 (2010 est.)"
Bulgaria,"males age 16-49: 1,637,470 
      
      
        females age 16-49: 1,621,352 (2010 est.)"
Burkina Faso,"males age 16-49: 3,735,735 (2010 est.)"
Burma,"males age 16-49: 14,747,845 
      
      
        females age 16-49: 14,710,871 (2010 est.)"
Burundi,"males age 16-49: 2,182,327 
      
      
        females age 16-49: 2,202,125 (2010 est.)"
Cabo Verde,"males age 16-49: 132,087 
      
      
        females age 16-49: 136,956 (2010 est.)"
Cambodia,"males age 16-49: 3,883,724 
      
      
        females age 16-49: 4,003,585 (2010 est.)"
Cameroon,"males age 16-49: 4,667,251 
      
      
        females age 16-49: 4,548,909 (2010 est.)"
Canada,"males age 16-49: 8,031,266 
      
      
        females age 16-49: 7,755,550 (2010 est.)"
Cayman Islands,"males age 16-49: 12,238 (2010 est.)"
Central African Republic,"males age 16-49: 1,149,856 
      
      
        females age 16-49: 1,145,897 (2010 est.)"
Chad,"males age 16-49: 2,090,244 
      
      
        females age 16-49: 2,441,321 (2010 est.)"
Chile,"males age 16-49: 4,324,732 
      
      
        females age 16-49: 4,251,954 (2010 est.)"
China,"males age 16-49: 385,821,101 
      
      
        females age 16-49: 363,789,674 (2010 est.)"
Colombia,"males age 16-49: 11,692,647 
      
      
        females age 16-49: 11,727,625 (2010 est.)"
Comoros,"males age 16-49: 184,236 
      
      
        females age 16-49: 183,363 (2010 est.)"
"Congo, Democratic Republic of the","males age 16-49: 15,980,106 (2010 est.)"
"Congo, Republic of the","males age 16-49: 928,664 
      
      
        females age 16-49: 914,265 (2010 est.)"
Costa Rica,"males age 16-49: 1,255,798 
      
      
        females age 16-49: 1,230,202 (2010 est.)"
Cote d'Ivoire,"males age 16-49: 5,247,522 
      
      
        females age 16-49: 5,047,901 (2010 est.)"
Croatia,"males age 16-49: 1,016,234 
      
      
        females age 16-49: 1,017,355 (2010 est.)"
Cuba,"males age 16-49: 2,998,201 
      
      
        females age 16-49: 2,919,107 (2010 est.)"
Cyprus,"Cypriot National Guard (CNG):  
      
      
        males age 16-49: 327,875 
      
      
        females age 16-49: 287,891 (2010 est.)"
Czech Republic,"males age 16-49: 2,506,826 
      
      
        females age 16-49: 2,407,634 (2010 est.)"
Denmark,"males age 16-49: 1,236,337 
      
      
        females age 16-49: 1,224,182 (2010 est.)"
Djibouti,"males age 16-49: 170,386 
      
      
        females age 16-49: 221,411 (2010 est.)"
Dominica,"males age 16-49: 19,075 (2010 est.)"
Dominican Republic,"males age 16-49: 2,580,083 
      
      
        females age 16-49: 2,464,698 (2010 est.)"
Ecuador,"males age 16-49: 3,728,906 
      
      
        females age 16-49: 3,844,918 (2010 est.)"
Egypt,"males age 16-49: 21,012,199 
      
      
        females age 16-49: 20,145,021 (2010 est.)"
El Salvador,"males age 16-49: 1,449,214 
      
      
        females age 16-49: 1,611,248 (2010 est.)"
Equatorial Guinea,"males age 16-49: 151,147 
      
      
        females age 16-49: 150,345 (2010 est.)"
Eritrea,"males age 16-49: 1,350,446 
      
      
        females age 16-49: 1,362,575 (2010 est.)"
Estonia,"males age 16-49: 291,801 
      
      
        females age 16-49: 302,696 (2010 est.)"
Ethiopia,"males age 16-49: 19,067,499 
      
      
        females age 16-49: 19,726,816 (2010 est.)"
Faroe Islands,"males age 16-49: 11,831 (2010 est.)"
Fiji,"males age 16-49: 233,240 
      
      
        females age 16-49: 222,587 (2010 est.)"
Finland,"males age 16-49: 1,155,368 
      
      
        females age 16-49: 1,106,193 (2010 est.)"
France,"males age 16-49: 14,563,662 
      
      
        females age 16-49: 14,238,434 (2010 est.)"
French Polynesia,"males age 16-49: 82,722 (2010 est.)"
Gabon,"males age 16-49: 350,640 
      
      
        females age 16-49: 351,718 (2010 est.)"
"Gambia, The","males age 16-49: 423,306 
      
      
        females age 16-49: 438,641 (2010 est.)"
Gaza Strip,"males age 16-49: 385,961 (2010 est.)"
Georgia,"males age 16-49: 1,080,840 
      
      
        females age 16-49: 1,122,031 (2010 est.)"
Germany,"males age 16-49: 18,529,299 
      
      
        females age 16-49: 17,888,543 (2010 est.)"
Ghana,"males age 16-49: 6,268,191 
      
      
        females age 16-49: 6,194,339 (2010 est.)"
Gibraltar,"males age 16-49: 7,037 (2010 est.)"
Greece,"males age 16-49: 2,485,389 
      
      
        females age 16-49: 2,469,854 (2010 est.)"
Greenland,"males age 16-49: 15,280 (2010 est.)"
Grenada,"males age 16-49: 27,468 (2010 est.)"
Guatemala,"males age 16-49: 3,165,870 
      
      
        females age 16-49: 3,371,217 (2010 est.)"
Guinea,"males age 16-49: 2,359,203 
      
      
        females age 16-49: 2,329,784 (2010 est.)"
Guinea-Bissau,"males age 16-49: 370,790 
      
      
        females age 16-49: 372,171 (2010 est.)"
Guyana,"males age 16-49: 189,840 (2010 est.)"
Haiti,"males age 16-49: 2,398,804 
      
      
        females age 16-49: 2,415,039 (2010 est.)"
Honduras,"males age 16-49: 2,045,914 
      
      
        females age 16-49: 1,991,418 (2010 est.)"
Hong Kong,"males age 16-49: 1,704,090 
      
      
        females age 16-49: 1,873,175 (2010 est.)"
Hungary,"males age 16-49: 2,349,948 
      
      
        females age 16-49: 2,290,568 (2010 est.)"
Iceland,"males age 16-49: 75,337 (2010 est.)"
India,"males age 16-49: 319,129,420 
      
      
        females age 16-49: 296,071,637 (2010 est.)"
Indonesia,"males age 16-49: 65,847,171 
      
      
        females age 16-49: 63,228,017 (2010 est.)"
Iran,"males age 16-49: 23,619,215 
      
      
        females age 16-49: 22,628,341 (2010 est.)"
Iraq,"males age 16-49: 7,767,329 
      
      
        females age 16-49: 7,461,766 (2010 est.)"
Ireland,"males age 16-49: 1,179,125 
      
      
        females age 16-49: 1,163,728 (2010 est.)"
Israel,"males age 16-49: 1,797,960 
      
      
        females age 16-49: 1,713,230 (2010 est.)"
Italy,"males age 16-49: 13,865,688 
      
      
        females age 16-49: 14,003,755 (2010 est.)"
Jamaica,"males age 16-49: 726,263 
      
      
        females age 16-49: 742,958 (2010 est.)"
Japan,"males age 16-49: 27,301,443 
      
      
        females age 16-49: 26,307,003 (2010 est.)"
Jordan,"males age 16-49: 1,674,260 
      
      
        females age 16-49: 1,611,315 (2010 est.)"
Kazakhstan,"males age 16-49: 4,163,629 
      
      
        females age 16-49: 4,179,051 (2010 est.)"
Kenya,"males age 16-49: 9,768,140 
      
      
        females age 16-49: 9,466,257 (2010 est.)"
Kiribati,"males age 16-49: 25,190 (2010 est.)"
"Korea, North","males age 16-49: 6,515,279 
      
      
        females age 16-49: 6,418,693 (2010 est.)"
"Korea, South","males age 16-49: 13,185,794 
      
      
        females age 16-49: 12,423,496 (2010 est.)"
Kuwait,"males age 16-49: 1,002,480 
      
      
        females age 16-49: 616,958 (2010 est.)"
Kyrgyzstan,"males age 16-49: 1,456,881 
      
      
        females age 16-49: 1,470,317 (2010 est.)"
Laos,"males age 16-49: 1,574,362 
      
      
        females age 16-49: 1,607,856 (2010 est.)"
Latvia,"males age 16-49: 546,090 
      
      
        females age 16-49: 540,810 (2010 est.)"
Lebanon,"males age 16-49: 1,081,016 
      
      
        females age 16-49: 1,115,349 (2010 est.)"
Lesotho,"males age 16-49: 472,456 
      
      
        females age 16-49: 508,953 (2010 est.)"
Liberia,"males age 16-49: 815,826 
      
      
        females age 16-49: 828,484 (2010 est.)"
Libya,"males age 16-49: 1,775,078 
      
      
        females age 16-49: 1,714,194 (2010 est.)"
Liechtenstein,"males age 16-49: 8,009 (2010 est.)"
Lithuania,"males age 16-49: 890,074 
      
      
        females age 16-49: 875,780 (2010 est.)"
Luxembourg,"males age 16-49: 118,665 
      
      
        females age 16-49: 117,456 (2010 est.)"
Macau,"males age 16-49: 150,780 (2010 est.)"
Macedonia,"males age 16-49: 532,196 
      
      
        females age 16-49: 511,964 (2010 est.)"
Madagascar,"males age 16-49: 4,900,729 
      
      
        females age 16-49: 4,909,061 (2010 est.)"
Malawi,"males age 16-49: 3,514,809 (2010 est.)"
