Afghanistan,"males age 16-49: 4,050,222 
      
      
        females age 16-49: 3,797,087 (2010 est.)"
Albania,"males age 16-49: 622,379 
      
      
        females age 16-49: 660,715 (2010 est.)"
Algeria,"males age 16-49: 8,622,897 
      
      
        females age 16-49: 8,626,222 (2010 est.)"
American Samoa,"males age 16-49: 14,562 
      
      
        females age 16-49: 14,129 (2010 est.)"
Andorra,"males age 16-49: 17,977 
      
      
        females age 16-49: 17,069 (2010 est.)"
Angola,"males age 16-49: 1,546,781 
      
      
        females age 16-49: 1,492,308 (2010 est.)"
Anguilla,"males age 16-49: 3,009 
      
      
        females age 16-49: 3,397 (2010 est.)"
Antigua and Barbuda,"males age 16-49: 17,676 
      
      
        females age 16-49: 19,960 (2010 est.)"
Argentina,"males age 16-49: 8,458,362 
      
      
        females age 16-49: 8,414,460 (2010 est.)"
Armenia,"males age 16-49: 644,372 
      
      
        females age 16-49: 717,272 (2010 est.)"
Aruba,"males age 16-49: 20,527 
      
      
        females age 16-49: 21,493 (2010 est.)"
Australia,"males age 16-49: 4,411,958 
      
      
        females age 16-49: 4,239,985 (2010 est.)"
Austria,"males age 16-49: 1,579,862 
      
      
        females age 16-49: 1,554,130 (2010 est.)"
Azerbaijan,"males age 16-49: 1,773,993 
      
      
        females age 16-49: 1,964,012 (2010 est.)"
"Bahamas, The","males age 16-49: 63,429 
      
      
        females age 16-49: 64,645 (2010 est.)"
Bahrain,"males age 16-49: 423,757 
      
      
        females age 16-49: 245,302 (2010 est.)"
Bangladesh,"males age 16-49: 30,486,086 
      
      
        females age 16-49: 35,616,093 (2010 est.)"
Barbados,"males age 16-49: 58,125 
      
      
        females age 16-49: 58,016 (2010 est.)"
Belarus,"males age 16-49: 1,693,626 
      
      
        females age 16-49: 2,012,401 (2010 est.)"
Belgium,"males age 16-49: 1,934,957 
      
      
        females age 16-49: 1,877,268 (2010 est.)"
Belize,"males age 16-49: 59,431 
      
      
        females age 16-49: 57,221 (2010 est.)"
Benin,"males age 16-49: 1,385,065 
      
      
        females age 16-49: 1,400,045 (2010 est.)"
Bermuda,"males age 16-49: 12,323 
      
      
        females age 16-49: 12,174 (2010 est.)"
Bhutan,"males age 16-49: 157,664 
      
      
        females age 16-49: 144,861 (2010 est.)"
Bolivia,"males age 16-49: 1,762,260 
      
      
        females age 16-49: 2,013,281 (2010 est.)"
Bosnia and Herzegovina,"males age 16-49: 968,242 
      
      
        females age 16-49: 937,327 (2010 est.)"
Botswana,"males age 16-49: 340,949 
      
      
        females age 16-49: 302,332 (2010 est.)"
Brazil,"males age 16-49: 38,993,989 
      
      
        females age 16-49: 44,841,661 (2010 est.)"
British Virgin Islands,"males age 16-49: 6,057 
      
      
        females age 16-49: 5,805 (2010 est.)"
Brunei,"males age 16-49: 95,141 
      
      
        females age 16-49: 99,386 (2010 est.)"
Bulgaria,"males age 16-49: 1,320,955 
      
      
        females age 16-49: 1,337,616 (2010 est.)"
Burkina Faso,"males age 16-49: 2,366,168 
      
      
        females age 16-49: 2,367,673 (2010 est.)"
Burma,"males age 16-49: 10,451,515 
      
      
        females age 16-49: 11,181,537 (2010 est.)"
Burundi,"males age 16-49: 1,398,769 
      
      
        females age 16-49: 1,481,417 (2010 est.)"
Cabo Verde,"males age 16-49: 106,864 
      
      
        females age 16-49: 117,518 (2010 est.)"
Cambodia,"males age 16-49: 2,638,167 
      
      
        females age 16-49: 2,965,328 (2010 est.)"
Cameroon,"males age 16-49: 2,794,998 
      
      
        females age 16-49: 2,718,110 (2010 est.)"
Canada,"males age 16-49: 6,633,472 
      
      
        females age 16-49: 6,389,669 (2010 est.)"
Cayman Islands,"males age 16-49: 9,981 
      
      
        females age 16-49: 10,417 (2010 est.)"
Central African Republic,"males age 16-49: 655,875 
      
      
        females age 16-49: 661,308 (2010 est.)"
Chad,"males age 16-49: 1,183,242 
      
      
        females age 16-49: 1,395,811 (2010 est.)"
Chile,"males age 16-49: 3,621,475 
      
      
        females age 16-49: 3,561,099 (2010 est.)"
China,"males age 16-49: 318,265,016 
      
      
        females age 16-49: 300,323,611 (2010 est.)"
