Afghanistan,"male: 392,116 
      
      
        female: 370,295 (2010 est.)"
Albania,"male: 31,986 
      
      
        female: 29,533 (2010 est.)"
Algeria,"male: 342,895 
      
      
        female: 330,098 (2010 est.)"
American Samoa,"male: 775 
      
      
        female: 762 (2010 est.)"
Andorra,"male: 397 
      
      
        female: 347 (2010 est.)"
Angola,"male: 155,476 
      
      
        female: 152,054 (2010 est.)"
Anguilla,"male: 111 
      
      
        female: 113 (2010 est.)"
Antigua and Barbuda,"male: 806 
      
      
        female: 799 (2010 est.)"
Argentina,"male: 339,503 
      
      
        female: 323,170 (2010 est.)"
Armenia,"male: 23,470 
      
      
        female: 21,417 (2010 est.)"
Aruba,"male: 767 
      
      
        female: 743 (2010 est.)"
Australia,"male: 143,565 
      
      
        female: 135,800 (2010 est.)"
Austria,"male: 48,108 
      
      
        female: 45,752 (2010 est.)"
Azerbaijan,"male: 76,923 
      
      
        female: 71,024 (2010 est.)"
"Bahamas, The","male: 2,829 
      
      
        female: 2,750 (2010 est.)"
Bahrain,"male: 8,988 
      
      
        female: 8,117 (2010 est.)"
Bangladesh,"male: 1,606,963 
      
      
        female: 1,689,442 (2010 est.)"
Barbados,"male: 1,842 
      
      
        female: 1,849 (2010 est.)"
Belarus,"male: 51,855 
      
      
        female: 48,760 (2010 est.)"
Belgium,"male: 59,665 
      
      
        female: 57,142 (2010 est.)"
Belize,"male: 3,723 
      
      
        female: 3,584 (2010 est.)"
Benin,"male: 108,496 
      
      
        female: 104,526 (2010 est.)"
Bermuda,"male: 433 
      
      
        female: 410 (2010 est.)"
Bhutan,"male: 7,363 
      
      
        female: 7,095 (2010 est.)"
Bolivia,"male: 108,334 
      
      
        female: 104,945 (2010 est.)"
Bosnia and Herzegovina,"male: 26,601 
      
      
        female: 24,879 (2010 est.)"
Botswana,"male: 23,649 
      
      
        female: 23,063 (2010 est.)"
Brazil,"male: 1,733,168 
      
      
        female: 1,672,477 (2010 est.)"
British Virgin Islands,"male: 168 
      
      
        female: 162 (2010 est.)"
Brunei,"male: 3,572 
      
      
        female: 3,465 (2010 est.)"
Bulgaria,"male: 33,444 
      
      
        female: 32,075 (2010 est.)"
Burkina Faso,"male: 193,905 
      
      
        female: 191,662 (2010 est.)"
Burma,"male: 522,478 
      
      
        female: 506,388 (2010 est.)"
Burundi,"male: 117,956 
      
      
        female: 116,956 (2010 est.)"
Cabo Verde,"male: 6,029 
      
      
        female: 6,026 (2010 est.)"
Cambodia,"male: 151,143 
      
      
        female: 154,542 (2010 est.)"
Cameroon,"male: 215,248 
      
      
        female: 211,636 (2010 est.)"
Canada,"male: 218,069 
      
      
        female: 206,195 (2010 est.)"
Cayman Islands,"male: 333 
      
      
        female: 342 (2010 est.)"
Central African Republic,"male: 54,843 
      
      
        female: 53,999 (2010 est.)"
Chad,"male: 128,723 
      
      
        female: 128,244 (2010 est.)"
Chile,"male: 141,500 
      
      
        female: 135,709 (2010 est.)"
China,"male: 10,406,544 
      
      
        female: 9,131,990 (2010 est.)"
Colombia,"male: 430,634 
      
      
        female: 413,974 (2010 est.)"
Comoros,"male: 8,831 
      
      
        female: 8,809 (2010 est.)"
"Congo, Democratic Republic of the","male: 877,684 
      
      
        female: 871,880 (2010 est.)"
"Congo, Republic of the","male: 50,000 
      
      
        female: 49,641 (2010 est.)"
Cook Islands,"male: 127 
      
      
        female: 107 (2010 est.)"
Costa Rica,"male: 42,201 
      
      
        female: 40,444 (2010 est.)"
Cote d'Ivoire,"male: 247,011 
      
      
        female: 242,958 (2010 est.)"
Croatia,"male: 28,334 
      
      
        female: 27,015 (2010 est.)"
Cuba,"male: 72,823 
      
      
        female: 69,108 (2010 est.)"
Cyprus,"male: 8,167 
      
      
        female: 7,398 (2010 est.)"
Czech Republic,"male: 49,999 
      
      
        female: 47,501 (2010 est.)"
Denmark,"male: 37,913 
      
      
        female: 35,865 (2010 est.)"
Djibouti,"male: 8,360 
      
      
        female: 8,602 (2010 est.)"
Dominica,"male: 675 
      
      
        female: 636 (2010 est.)"
Dominican Republic,"male: 100,047 
      
      
        female: 96,302 (2010 est.)"
Ecuador,"male: 152,593 
      
      
        female: 147,143 (2010 est.)"
Egypt,"male: 783,405 
      
      
        female: 748,647 (2010 est.)"
El Salvador,"male: 71,530 
      
      
        female: 68,971 (2010 est.)"
Equatorial Guinea,"male: 7,398 
      
      
        female: 7,126 (2010 est.)"
Eritrea,"male: 66,829 
      
      
        female: 66,731 (2010 est.)"
Estonia,"male: 6,668 
      
      
        female: 6,309 (2010 est.)"
Ethiopia,"male: 967,411 
      
      
        female: 981,714 (2010 est.)"
Faroe Islands,"male: 372 
      
      
        female: 373 (2010 est.)"
Fiji,"male: 8,403 
      
      
        female: 8,039 (2010 est.)"
Finland,"male: 32,599 
      
      
        female: 31,416 (2010 est.)"
France,"male: 396,050 
      
      
        female: 377,839 (2010 est.)"
French Polynesia,"male: 2,498 
      
      
        female: 2,390 (2010 est.)"
Gabon,"male: 17,638 
      
      
        female: 17,614 (2010 est.)"
"Gambia, The","male: 20,508 
      
      
        female: 20,853 (2010 est.)"
Gaza Strip,"male: 18,805 
      
      
        female: 17,903 (2010 est.)"
Georgia,"male: 29,723 
      
      
        female: 27,242 (2010 est.)"
Germany,"male: 405,438 
      
      
        female: 384,930 (2010 est.)"
Ghana,"male: 267,896 
      
      
        female: 260,992 (2010 est.)"
