Afghanistan,$NA
Albania,$NA
Algeria,$NA
Argentina,"$34.24 billion (31 December 2012 est.) 
      
      $43.58 billion (31 December 2011) 
      
      $63.91 billion (31 December 2010 est.)"
Armenia,"$132.1 million (31 December 2012 est.) 
      
      $139.6 million (31 December 2011) 
      
      $144.8 million (31 December 2010 est.)"
Australia,"$NA (31 December 2012 est.) 
      
      $1.198 trillion (31 December 2011) 
      
      $1.455 trillion (31 December 2010 est.)"
Austria,"$106 billion (31 December 2012 est.) 
      
      $82.37 billion (31 December 2011) 
      
      $NA (31 December 2010 est.)"
Azerbaijan,$NA
"Bahamas, The",$NA (31 December 2012 est.)
Bahrain,"$16.06 billion (31 December 2012 est.) 
      
      $17.15 billion (31 December 2011) 
      
      $20.43 billion (31 December 2010 est.)"
Bangladesh,"$NA (February 2014 est.) 
      
      $17.48 billion (31 December 2012) 
      
      $23.55 billion (31 December 2011 est.)"
Barbados,"$4.495 billion (31 December 2012 est.) 
      
      $NA (31 December 2011) 
      
      $4.366 billion (31 December 2010 est.)"
Belarus,$NA
Belgium,"$NA (31 December 2012 est.) 
      
      $NA (31 December 2011) 
      
      $269.3 billion (31 December 2010 est.)"
Belize,$NA
Benin,$NA
Bermuda,"$1.487 billion (31 December 2012 est.) 
      
      $1.436 billion (31 December 2011) 
      
      $1.535 billion (31 December 2010 est.)"
Bhutan,"$NA 
      
      $283.4 million"
Bolivia,"$9.684 billion (31 December 2013) 
      
      $7.689 billion (31 December 2012) 
      
      $6.089 billion (31 December 2011)"
Bosnia and Herzegovina,$NA
Botswana,"$4.588 billion (31 December 2012 est.) 
      
      $4.107 billion (31 December 2011) 
      
      $4.076 billion (31 December 2010 est.)"
Brazil,"$1.23 trillion (31 December 2012 est.) 
      
      $1.229 trillion (31 December 2011) 
      
      $1.546 trillion (31 December 2010 est.)"
Brunei,$NA
Bulgaria,"$6.666 billion (31 December 2012 est.) 
      
      $8.253 billion (31 December 2011) 
      
      $7.276 billion (31 December 2010 est.)"
Burkina Faso,$NA
Burma,$NA
Burundi,$NA
Cambodia,$NA
Cameroon,$230 million (31 December 2012 est.)
Canada,"$2.016 trillion (31 December 2012 est.) 
      
      $1.907 trillion (31 December 2011) 
      
      $2.16 trillion (31 December 2010 est.)"
Cayman Islands,"$NA (31 December 2008) 
      
      $183.5 million (31 December 2007) 
      
      $188.4 million (31 December 2006)"
Central African Republic,$NA
Chad,$NA
Chile,"$313.3 billion (31 December 2012 est.) 
      
      $270.3 billion (31 December 2011) 
      
      $341.6 billion (31 December 2010 est.)"
China,"$6.499 trillion (31 December 2013 est.) 
      
      $5.753 trillion (31 December 2012) 
      
      $3.389 trillion (31 December 2011 est.)"
Colombia,"$262.1 billion (31 December 2012 est.) 
      
      $NA (31 December 2011) 
      
      $208.5 billion (31 December 2010 est.)"
"Congo, Democratic Republic of the",$NA
"Congo, Republic of the",$NA
Costa Rica,"$2.015 billion (31 December 2012 est.) 
      
      $1.443 billion (31 December 2011) 
      
      $1.445 billion (31 December 2010 est.)"
Cote d'Ivoire,"$7.829 billion (31 December 2012 est.) 
      
      $NA (31 December 2011) 
      
      $7.099 billion (31 December 2010 est.)"
Croatia,"$21.63 billion (31 December 2013 est.) 
      
      $23.24 billion (31 December 2012) 
      
      $23.75 billion (31 December 2011 est.)"
Cyprus,"$1.996 billion (31 December 2012 est.) 
      
      $2.853 billion (31 December 2011) 
      
      $NA (31 December 2010 est.)"
Czech Republic,"$54.92 billion (30 December 3013 est.) 
      
      $59.88 billion (28 December 2012) 
      
      $53.2 billion (30 December 2011 est.)"
Denmark,"$NA (31 December 2012 est.) 
      
      $179.5 billion (31 December 2011) 
      
      $231.7 billion (31 December 2010 est.)"
Dominican Republic,$NA
Ecuador,"$5.911 billion (31 December 2012 est.) 
      
      $5.779 billion (31 December 2011) 
      
      $5.263 billion (31 December 2010 est.)"
Egypt,"$63.49 billion (23 January 2014 est.) 
      
      $58.01 billion (31 December 2012) 
      
      $48.68 billion (31 December 2011 est.)"
El Salvador,"$10.74 billion (31 December 2012 est.) 
      
      $5.474 billion (31 December 2011) 
      
      $NA (31 December 2010 est.)"
Estonia,"$2.332 billion (31 December 2012 est.) 
      
      $1.611 billion (31 December 2011) 
      
      $2.26 billion (31 December 2010 est.)"
Ethiopia,$NA
European Union,"$10.4 trillion (31 December 2012 est.) 
      
      $NA (31 December 2011) 
      
      $10.56 trillion (31 December 2010 est.)"
Fiji,"$452.5 million (31 December 2012 est.) 
      
      $392.2 million (31 December 2011) 
      
      $418.8 million (31 December 2010 est.)"
Finland,"$158.7 billion (31 December 2012 est.) 
      
      $143.1 billion (31 December 2011) 
      
      $118.2 billion (31 December 2010 est.)"
France,"$1.762 trillion (31 December 2012 est.) 
      
      $1.538 trillion (31 December 2011) 
      
      $1.983 trillion (31 December 2010 est.)"
French Polynesia,$NA
Gabon,$NA
"Gambia, The",$NA
Georgia,"$943.4 million (31 December 2012 est.) 
      
      $NA (31 December 2011) 
      
      $NA (31 December 2010 est.)"
Germany,"$1.486 trillion (31 December 2012 est.) 
      
      $1.184 trillion (31 December 2011) 
      
      $1.43 trillion (31 December 2010 est.)"
