Afghanistan,"460 deaths/100,000 live births (2010)"
Albania,"27 deaths/100,000 live births (2010)"
Algeria,"97 deaths/100,000 live births (2010)"
Angola,"450 deaths/100,000 live births (2010)"
Argentina,"77 deaths/100,000 live births (2010)"
Armenia,"30 deaths/100,000 live births (2010)"
Australia,"7 deaths/100,000 live births (2010)"
Austria,"4 deaths/100,000 live births (2010)"
Azerbaijan,"43 deaths/100,000 live births (2010)"
"Bahamas, The","47 deaths/100,000 live births (2010)"
Bahrain,"20 deaths/100,000 live births (2010)"
Bangladesh,"240 deaths/100,000 live births (2010)"
Barbados,"51 deaths/100,000 live births (2010)"
Belarus,"4 deaths/100,000 live births (2010)"
Belgium,"8 deaths/100,000 live births (2010)"
Belize,"53 deaths/100,000 live births (2010)"
Benin,"350 deaths/100,000 live births (2010)"
Bhutan,"180 deaths/100,000 live births (2010)"
Bolivia,"190 deaths/100,000 live births (2008)"
Bosnia and Herzegovina,"8 deaths/100,000 live births (2010)"
Botswana,"160 deaths/100,000 live births (2010)"
Brazil,"56 deaths/100,000 live births (2010)"
Brunei,"24 deaths/100,000 live births (2010)"
Bulgaria,"11 deaths/100,000 live births (2010)"
Burkina Faso,"300 deaths/100,000 live births (2010)"
Burma,"200 deaths/100,000 live births (2010)"
Burundi,"800 deaths/100,000 live births (2010)"
Cabo Verde,"79 deaths/100,000 live births (2010)"
Cambodia,"250 deaths/100,000 live births (2010)"
Cameroon,"690 deaths/100,000 live births (2010)"
Canada,"12 deaths/100,000 live births (2010)"
Central African Republic,"890 deaths/100,000 live births (2010)"
Chad,"1,100 deaths/100,000 live births (2010)"
Chile,"25 deaths/100,000 live births (2010)"
China,"37 deaths/100,000 live births (2010)"
Colombia,"92 deaths/100,000 live births (2010)"
Comoros,"280 deaths/100,000 live births (2010)"
"Congo, Democratic Republic of the","540 deaths/100,000 live births (2010)"
"Congo, Republic of the","560 deaths/100,000 live births (2010)"
Costa Rica,"40 deaths/100,000 live births (2010)"
Cote d'Ivoire,"400 deaths/100,000 live births (2010)"
Croatia,"17 deaths/100,000 live births (2010)"
